B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,B14006_001M,B14006_001EA,B14006_001MA,B14006_002M,B14006_002EA,B14006_002MA,B14006_003M,B14006_003EA,B14006_003MA,B14006_004M,B14006_004EA,B14006_004MA,B14006_005M,B14006_005EA,B14006_005MA,B14006_006M,B14006_006EA,B14006_006MA,B14006_007M,B14006_007EA,B14006_007MA,B14006_008M,B14006_008EA,B14006_008MA,B14006_009M,B14006_009EA,B14006_009MA,B14006_010M,B14006_010EA,B14006_010MA,B14006_011M,B14006_011EA,B14006_011MA,B14006_012M,B14006_012EA,B14006_012MA,B14006_013M,B14006_013EA,B14006_013MA,B14006_014M,B14006_014EA,B14006_014MA,B14006_015M,B14006_015EA,B14006_015MA,B14006_016M,B14006_016EA,B14006_016MA,B14006_017M,B14006_017EA,B14006_017MA,B14006_018M,B14006_018EA,B14006_018MA,B14006_019M,B14006_019EA,B14006_019MA,B14006_020M,B14006_020EA,B14006_020MA,B14006_021M,B14006_021EA,B14006_021MA,state
19531937,12180,2815995,46865,904111,24648,51958,4619,52723,4234,198732,9637,176398,9675,177596,9713,205975,9714,40729,4515,1911884,30670,16715942,46993,3661240,28978,228423,9488,174964,9243,697609,15515,736222,16716,801115,13744,822132,17398,200775,9029,13054702,39506,12180,null,null,46865,null,null,24648,null,null,4619,null,null,4234,null,null,9637,null,null,9675,null,null,9713,null,null,9714,null,null,4515,null,null,30670,null,null,46993,null,null,28978,null,null,9488,null,null,9243,null,null,15515,null,null,16716,null,null,13744,null,null,17398,null,null,9029,null,null,39506,null,null,12
9657614,8617,1502194,32747,564638,18730,35119,3709,36822,4138,141160,8907,118343,7236,99467,6069,107833,6917,25894,3301,937556,21520,8155420,34543,2067205,23854,130076,6727,100267,5715,416412,11290,453583,11210,482418,8902,385027,12128,99422,6009,6088215,24855,8617,null,null,32747,null,null,18730,null,null,3709,null,null,4138,null,null,8907,null,null,7236,null,null,6069,null,null,6917,null,null,3301,null,null,21520,null,null,34543,null,null,23854,null,null,6727,null,null,5715,null,null,11290,null,null,11210,null,null,8902,null,null,12128,null,null,6009,null,null,24855,null,null,13
1337273,3049,124674,9980,33579,4264,2259,974,1637,574,5122,1326,7623,1529,6036,1317,8514,1833,2388,868,91095,6995,1212599,10321,284499,6927,21058,2023,14361,2144,54440,3147,58035,2827,56644,2976,63217,3475,16744,1927,928100,8747,3049,null,null,9980,null,null,4264,null,null,974,null,null,574,null,null,1326,null,null,1529,null,null,1317,null,null,1833,null,null,868,null,null,6995,null,null,10321,null,null,6927,null,null,2023,null,null,2144,null,null,3147,null,null,2827,null,null,2976,null,null,3475,null,null,1927,null,null,8747,null,null,15
1586988,3004,221989,14826,80797,7183,3110,963,4240,1282,16028,2687,14851,2551,16895,2646,23212,3031,2461,1031,141192,9345,1364999,14968,359808,9774,19541,2159,17863,2222,81695,4104,81967,4546,80202,3427,62690,4669,15850,2293,1005191,11443,3004,null,null,14826,null,null,7183,null,null,963,null,null,1282,null,null,2687,null,null,2551,null,null,2646,null,null,3031,null,null,1031,null,null,9345,null,null,14968,null,null,9774,null,null,2159,null,null,2222,null,null,4104,null,null,4546,null,null,3427,null,null,4669,null,null,2293,null,null,11443,null,null,16
12051606,7915,1531909,32722,568550,18499,36264,3377,30144,3065,121717,6524,107732,5859,105900,6273,129605,6468,37188,3524,963359,18418,10519697,34697,2592633,20908,185506,6559,128524,6231,517107,10374,546610,10740,582770,8525,475030,9838,157086,5919,7927064,25489,7915,null,null,32722,null,null,18499,null,null,3377,null,null,3065,null,null,6524,null,null,5859,null,null,6273,null,null,6468,null,null,3524,null,null,18418,null,null,34697,null,null,20908,null,null,6559,null,null,6231,null,null,10374,null,null,10740,null,null,8525,null,null,9838,null,null,5919,null,null,25489,null,null,17
6192970,5952,854850,21142,316434,12163,18362,2097,19005,2702,75189,4697,58680,4635,57341,4094,72796,6341,15061,2424,538416,13039,5338120,22367,1264503,15672,82773,4438,67854,4752,278813,7225,278745,7445,298739,6333,205237,7622,52342,4048,4073617,15598,5952,null,null,21142,null,null,12163,null,null,2097,null,null,2702,null,null,4697,null,null,4635,null,null,4094,null,null,6341,null,null,2424,null,null,13039,null,null,22367,null,null,15672,null,null,4438,null,null,4752,null,null,7225,null,null,7445,null,null,6333,null,null,7622,null,null,4048,null,null,15598,null,null,18
2915849,4100,334287,11591,129676,7543,7383,1503,6462,1176,24195,2517,19937,2312,17192,2086,47669,3651,6838,1495,204611,7029,2581562,11878,613961,7051,46947,3177,34404,2720,132851,5071,137190,4610,141645,4210,89290,4543,31634,3004,1967601,9248,4100,null,null,11591,null,null,7543,null,null,1503,null,null,1176,null,null,2517,null,null,2312,null,null,2086,null,null,3651,null,null,1495,null,null,7029,null,null,11878,null,null,7051,null,null,3177,null,null,2720,null,null,5071,null,null,4610,null,null,4210,null,null,4543,null,null,3004,null,null,9248,null,null,19
2710264,3254,324928,13590,123932,7853,6708,1300,5858,1448,25718,3129,19569,2406,20096,2746,39903,3770,6080,1424,200996,8302,2385336,13822,614981,10031,42890,3314,32375,2710,130856,4840,138277,4845,136507,3568,99571,5034,34505,2761,1770355,11477,3254,null,null,13590,null,null,7853,null,null,1300,null,null,1448,null,null,3129,null,null,2406,null,null,2746,null,null,3770,null,null,1424,null,null,8302,null,null,13822,null,null,10031,null,null,3314,null,null,2710,null,null,4840,null,null,4845,null,null,3568,null,null,5034,null,null,2761,null,null,11477,null,null,20
4141014,4959,749606,22364,247499,10525,13851,1987,13595,1906,58867,4452,52984,4456,50090,4023,51111,4233,7001,1555,502107,15741,3391408,22441,774526,14008,46820,3409,36688,2684,167856,5070,169665,5370,180055,5912,132848,6795,40594,3245,2616882,17322,4959,null,null,22364,null,null,10525,null,null,1987,null,null,1906,null,null,4452,null,null,4456,null,null,4023,null,null,4233,null,null,1555,null,null,15741,null,null,22441,null,null,14008,null,null,3409,null,null,2684,null,null,5070,null,null,5370,null,null,5912,null,null,6795,null,null,3245,null,null,17322,null,null,21
4360318,7917,858581,23839,314496,13390,18504,2938,16336,2260,79063,6266,69029,5415,60661,4603,62746,5288,8157,1703,544085,16766,3501737,25206,815217,14781,56955,4168,41075,3916,171354,6672,177559,7487,188412,6335,143273,6860,36589,3520,2686520,16554,7917,null,null,23839,null,null,13390,null,null,2938,null,null,2260,null,null,6266,null,null,5415,null,null,4603,null,null,5288,null,null,1703,null,null,16766,null,null,25206,null,null,14781,null,null,4168,null,null,3916,null,null,6672,null,null,7487,null,null,6335,null,null,6860,null,null,3520,null,null,16554,null,null,22
1261311,2384,155661,9460,45515,4491,3302,1045,4076,1174,11465,1896,6304,1380,8632,1648,9777,1597,1959,952,110146,6001,1105650,9415,226260,6336,14178,1682,11155,1649,43380,2928,47406,3436,54613,2129,43339,3006,12189,1833,879390,7335,2384,null,null,9460,null,null,4491,null,null,1045,null,null,1174,null,null,1896,null,null,1380,null,null,1648,null,null,1597,null,null,952,null,null,6001,null,null,9415,null,null,6336,null,null,1682,null,null,1649,null,null,2928,null,null,3436,null,null,2129,null,null,3006,null,null,1833,null,null,7335,null,null,23
