B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,B08505F_001M,B08505F_001EA,B08505F_001MA,B08505F_002M,B08505F_002EA,B08505F_002MA,B08505F_003M,B08505F_003EA,B08505F_003MA,B08505F_004M,B08505F_004EA,B08505F_004MA,B08505F_005M,B08505F_005EA,B08505F_005MA,B08505F_006M,B08505F_006EA,B08505F_006MA,B08505F_007M,B08505F_007EA,B08505F_007MA,state
282716,13609,210869,10800,41121,4665,8187,2091,6085,1689,8770,1943,7684,2101,13609,null,null,10800,null,null,4665,null,null,2091,null,null,1689,null,null,1943,null,null,2101,null,null,12
132953,9558,86664,7484,33459,4880,2538,1366,2467,1064,3883,1542,3942,1263,9558,null,null,7484,null,null,4880,null,null,1366,null,null,1064,null,null,1542,null,null,1263,null,null,13
6286,1393,3709,1007,1233,579,423,290,511,323,190,195,220,187,1393,null,null,1007,null,null,579,null,null,290,null,null,323,null,null,195,null,null,187,null,null,15
30030,3599,23807,3148,4376,1361,21,38,837,537,429,395,560,410,3599,null,null,3148,null,null,1361,null,null,38,null,null,537,null,null,395,null,null,410,null,null,16
390402,12613,269081,10352,55968,4967,36710,4237,10771,2118,10935,2496,6937,1664,12613,null,null,10352,null,null,4967,null,null,4237,null,null,2118,null,null,2496,null,null,1664,null,null,17
61881,5184,47196,4299,9564,1997,1728,745,1570,761,1161,568,662,421,5184,null,null,4299,null,null,1997,null,null,745,null,null,761,null,null,568,null,null,421,null,null,18
20398,2624,13949,2297,4145,945,527,418,799,377,534,342,444,300,2624,null,null,2297,null,null,945,null,null,418,null,null,377,null,null,342,null,null,300,null,null,19
37895,3683,28954,3223,5893,1675,189,253,714,396,1387,647,758,639,3683,null,null,3223,null,null,1675,null,null,253,null,null,396,null,null,647,null,null,639,null,null,20
16174,2788,11287,2155,3412,1587,26,43,672,420,478,433,299,299,2788,null,null,2155,null,null,1587,null,null,43,null,null,420,null,null,433,null,null,299,null,null,21
32802,3740,20491,2959,9031,2621,204,234,1157,609,1350,613,569,426,3740,null,null,2959,null,null,2621,null,null,234,null,null,609,null,null,613,null,null,426,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
102047,7223,63198,5925,21953,3783,9745,1918,2430,1152,3060,1854,1661,599,7223,null,null,5925,null,null,3783,null,null,1918,null,null,1152,null,null,1854,null,null,599,null,null,24
