B13002_001E,B13002_001M,B13002_002E,B13002_002M,B13002_003E,B13002_003M,B13002_004E,B13002_004M,B13002_005E,B13002_005M,B13002_006E,B13002_006M,B13002_007E,B13002_007M,B13002_008E,B13002_008M,B13002_009E,B13002_009M,B13002_010E,B13002_010M,B13002_011E,B13002_011M,B13002_012E,B13002_012M,B13002_013E,B13002_013M,B13002_014E,B13002_014M,B13002_015E,B13002_015M,B13002_016E,B13002_016M,B13002_017E,B13002_017M,B13002_018E,B13002_018M,B13002_019E,B13002_019M,B13002_001M,B13002_001EA,B13002_001MA,B13002_002M,B13002_002EA,B13002_002MA,B13002_003M,B13002_003EA,B13002_003MA,B13002_004M,B13002_004EA,B13002_004MA,B13002_005M,B13002_005EA,B13002_005MA,B13002_006M,B13002_006EA,B13002_006MA,B13002_007M,B13002_007EA,B13002_007MA,B13002_008M,B13002_008EA,B13002_008MA,B13002_009M,B13002_009EA,B13002_009MA,B13002_010M,B13002_010EA,B13002_010MA,B13002_011M,B13002_011EA,B13002_011MA,B13002_012M,B13002_012EA,B13002_012MA,B13002_013M,B13002_013EA,B13002_013MA,B13002_014M,B13002_014EA,B13002_014MA,B13002_015M,B13002_015EA,B13002_015MA,B13002_016M,B13002_016EA,B13002_016MA,B13002_017M,B13002_017EA,B13002_017MA,B13002_018M,B13002_018EA,B13002_018MA,B13002_019M,B13002_019EA,B13002_019MA,state
4600794,7853,217513,7885,125513,6088,587,409,86091,4675,38835,4048,92000,5597,6910,1765,70951,5165,14139,2582,4383281,11660,1744646,17882,6304,1474,509103,10080,1229239,14260,2638635,19079,585583,5934,1265165,13367,787887,13790,7853,null,null,7885,null,null,6088,null,null,409,null,null,4675,null,null,4048,null,null,5597,null,null,1765,null,null,5165,null,null,2582,null,null,11660,null,null,17882,null,null,1474,null,null,10080,null,null,14260,null,null,19079,null,null,5934,null,null,13367,null,null,13790,null,null,12
2572034,7566,142813,7693,87821,5726,590,421,64772,4894,22459,3155,54992,4480,4936,1313,42952,4126,7104,1349,2429221,10356,1020777,14252,3728,1045,310889,8183,706160,11659,1408444,15556,348200,6559,642386,10080,417858,10454,7566,null,null,7693,null,null,5726,null,null,421,null,null,4894,null,null,3155,null,null,4480,null,null,1313,null,null,4126,null,null,1349,null,null,10356,null,null,14252,null,null,1045,null,null,8183,null,null,11659,null,null,15556,null,null,6559,null,null,10080,null,null,10454,null,null,13
323189,1919,21614,2197,14620,1866,47,79,11048,1858,3525,796,6994,1509,561,326,4937,1292,1496,808,301575,2595,140111,4529,709,422,46030,3138,93372,3034,161464,4576,37298,1674,79134,3233,45032,2965,1919,null,null,2197,null,null,1866,null,null,79,null,null,1858,null,null,796,null,null,1509,null,null,326,null,null,1292,null,null,808,null,null,2595,null,null,4529,null,null,422,null,null,3138,null,null,3034,null,null,4576,null,null,1674,null,null,3233,null,null,2965,null,null,15
383036,2655,23210,2671,16561,2221,135,201,13346,2027,3080,907,6649,1432,502,335,5105,1402,1042,492,359826,3461,176831,6324,1582,631,66278,4116,108971,4349,182995,6588,57092,2516,77903,4441,48000,3943,2655,null,null,2671,null,null,2221,null,null,201,null,null,2027,null,null,907,null,null,1432,null,null,335,null,null,1402,null,null,492,null,null,3461,null,null,6324,null,null,631,null,null,4116,null,null,4349,null,null,6588,null,null,2516,null,null,4441,null,null,3943,null,null,16
3071443,5435,152395,5811,97336,5018,439,298,69629,4512,27268,2487,55059,3611,5395,1114,40991,3561,8673,1437,2919048,7798,1195137,13118,3660,860,347918,8253,843559,9203,1723911,14206,411908,3923,845869,8412,466134,9322,5435,null,null,5811,null,null,5018,null,null,298,null,null,4512,null,null,2487,null,null,3611,null,null,1114,null,null,3561,null,null,1437,null,null,7798,null,null,13118,null,null,860,null,null,8253,null,null,9203,null,null,14206,null,null,3923,null,null,8412,null,null,9322,null,null,17
1548168,4793,87507,4952,54749,3534,488,409,44182,3489,10079,1533,32758,3623,2958,1006,26524,3120,3276,933,1460661,7332,627684,9597,2278,700,200687,5608,424719,7869,832977,10134,220468,4033,385595,6497,226914,7413,4793,null,null,4952,null,null,3534,null,null,409,null,null,3489,null,null,1533,null,null,3623,null,null,1006,null,null,3120,null,null,933,null,null,7332,null,null,9597,null,null,700,null,null,5608,null,null,7869,null,null,10134,null,null,4033,null,null,6497,null,null,7413,null,null,18
704948,3518,41605,2988,29028,2670,169,189,22656,2129,6203,1509,12577,1588,1420,536,9464,1435,1693,673,663343,4545,302303,5922,885,373,99625,4091,201793,4162,361040,6189,103821,2368,172918,4825,84301,3723,3518,null,null,2988,null,null,2670,null,null,189,null,null,2129,null,null,1509,null,null,1588,null,null,536,null,null,1435,null,null,673,null,null,4545,null,null,5922,null,null,373,null,null,4091,null,null,4162,null,null,6189,null,null,2368,null,null,4825,null,null,3723,null,null,19
660416,3673,35762,2703,25367,2164,38,38,19699,1949,5630,1181,10395,1730,1026,477,8832,1565,537,360,624654,4087,291438,6627,1526,633,106998,3937,182914,4410,333216,7354,96241,2864,150659,4635,86316,3974,3673,null,null,2703,null,null,2164,null,null,38,null,null,1949,null,null,1181,null,null,1730,null,null,477,null,null,1565,null,null,360,null,null,4087,null,null,6627,null,null,633,null,null,3937,null,null,4410,null,null,7354,null,null,2864,null,null,4635,null,null,3974,null,null,20
1032658,4411,54853,3408,33761,2956,783,450,26176,2501,6802,1177,21092,2634,2164,793,15176,2395,3752,1007,977805,5277,438065,8805,1427,554,144965,5225,291673,6573,539740,8695,147329,4268,237317,5126,155094,6330,4411,null,null,3408,null,null,2956,null,null,450,null,null,2501,null,null,1177,null,null,2634,null,null,793,null,null,2395,null,null,1007,null,null,5277,null,null,8805,null,null,554,null,null,5225,null,null,6573,null,null,8695,null,null,4268,null,null,5126,null,null,6330,null,null,21
1116608,4828,61893,4186,31378,2825,287,240,25020,2627,6071,1327,30515,3215,3724,1031,23789,2836,3002,1074,1054715,6823,398689,9536,1689,828,137671,6327,259329,7243,656026,10622,149075,4359,307849,7328,199102,8294,4828,null,null,4186,null,null,2825,null,null,240,null,null,2627,null,null,1327,null,null,3215,null,null,1031,null,null,2836,null,null,1074,null,null,6823,null,null,9536,null,null,828,null,null,6327,null,null,7243,null,null,10622,null,null,4359,null,null,7328,null,null,8294,null,null,22
