B11001G_001E,B11001G_001M,B11001G_002E,B11001G_002M,B11001G_003E,B11001G_003M,B11001G_004E,B11001G_004M,B11001G_005E,B11001G_005M,B11001G_006E,B11001G_006M,B11001G_007E,B11001G_007M,B11001G_008E,B11001G_008M,B11001G_009E,B11001G_009M,B11001G_001M,B11001G_001EA,B11001G_001MA,B11001G_002M,B11001G_002EA,B11001G_002MA,B11001G_003M,B11001G_003EA,B11001G_003MA,B11001G_004M,B11001G_004EA,B11001G_004MA,B11001G_005M,B11001G_005EA,B11001G_005MA,B11001G_006M,B11001G_006EA,B11001G_006MA,B11001G_007M,B11001G_007EA,B11001G_007MA,B11001G_008M,B11001G_008EA,B11001G_008MA,B11001G_009M,B11001G_009EA,B11001G_009MA,state
120572,5916,78987,4339,51661,3895,27326,2926,6308,1420,21018,2611,41585,3564,30354,2808,11231,1977,5916,null,null,4339,null,null,3895,null,null,2926,null,null,1420,null,null,2611,null,null,3564,null,null,2808,null,null,1977,null,null,12
53596,3851,35907,3391,24238,2480,11669,1982,3532,1010,8137,1594,17689,2437,13912,2203,3777,1145,3851,null,null,3391,null,null,2480,null,null,1982,null,null,1010,null,null,1594,null,null,2437,null,null,2203,null,null,1145,null,null,13
75692,3440,56238,3085,37874,2637,18364,1952,6461,1283,11903,1325,19454,1807,14339,1555,5115,1164,3440,null,null,3085,null,null,2637,null,null,1952,null,null,1283,null,null,1325,null,null,1807,null,null,1555,null,null,1164,null,null,15
11522,1651,6653,1412,5736,1325,917,471,345,247,572,360,4869,1019,3086,838,1783,745,1651,null,null,1412,null,null,1325,null,null,471,null,null,247,null,null,360,null,null,1019,null,null,838,null,null,745,null,null,16
71132,4250,43934,3240,26601,2699,17333,2129,3737,1124,13596,1644,27198,2874,19862,2457,7336,1302,4250,null,null,3240,null,null,2699,null,null,2129,null,null,1124,null,null,1644,null,null,2874,null,null,2457,null,null,1302,null,null,17
31134,3208,17357,2235,10041,1613,7316,1300,1177,453,6139,1258,13777,2085,10754,1705,3023,904,3208,null,null,2235,null,null,1613,null,null,1300,null,null,453,null,null,1258,null,null,2085,null,null,1705,null,null,904,null,null,18
11402,1623,6441,1229,3766,847,2675,967,353,255,2322,904,4961,1211,3892,1112,1069,467,1623,null,null,1229,null,null,847,null,null,967,null,null,255,null,null,904,null,null,1211,null,null,1112,null,null,467,null,null,19
22146,2177,14993,1615,10617,1514,4376,901,1095,454,3281,853,7153,1349,5820,1216,1333,616,2177,null,null,1615,null,null,1514,null,null,901,null,null,454,null,null,853,null,null,1349,null,null,1216,null,null,616,null,null,20
19627,2419,12450,1877,6925,1262,5525,1346,1190,573,4335,1299,7177,1493,5503,1178,1674,791,2419,null,null,1877,null,null,1262,null,null,1346,null,null,573,null,null,1299,null,null,1493,null,null,1178,null,null,791,null,null,21
21442,2606,14482,2264,9481,1766,5001,1141,1425,577,3576,1101,6960,1262,4909,1013,2051,794,2606,null,null,2264,null,null,1766,null,null,1141,null,null,577,null,null,1101,null,null,1262,null,null,1013,null,null,794,null,null,22
