B22005B_001E,B22005B_001M,B22005B_002E,B22005B_002M,B22005B_003E,B22005B_003M,B22005B_001M,B22005B_001EA,B22005B_001MA,B22005B_002M,B22005B_002EA,B22005B_002MA,B22005B_003M,B22005B_003EA,B22005B_003MA,state
1041426,10945,300042,8046,741384,11348,10945,null,null,8046,null,null,11348,null,null,12
1142075,11043,272061,8388,870014,12037,11043,null,null,8388,null,null,12037,null,null,13
9651,1420,958,480,8693,1361,1420,null,null,480,null,null,1361,null,null,15
2829,1176,686,691,2143,976,1176,null,null,691,null,null,976,null,null,16
679986,7386,214092,6895,465894,7263,7386,null,null,6895,null,null,7263,null,null,17
229634,4529,57781,3533,171853,5234,4529,null,null,3533,null,null,5234,null,null,18
37732,2520,14372,1818,23360,2302,2520,null,null,1818,null,null,2302,null,null,19
64221,2847,13307,1776,50914,2872,2847,null,null,1776,null,null,2872,null,null,20
139595,3768,36117,3089,103478,3416,3768,null,null,3089,null,null,3416,null,null,21
523323,6628,166565,6386,356758,7826,6628,null,null,6386,null,null,7826,null,null,22
4732,929,2104,678,2628,768,929,null,null,678,null,null,768,null,null,23
651937,7549,125364,6013,526573,7833,7549,null,null,6013,null,null,7833,null,null,24
167190,4630,46380,3281,120810,4447,4630,null,null,3281,null,null,4447,null,null,25
521368,6280,172954,5685,348414,6404,6280,null,null,5685,null,null,6404,null,null,26
103376,3522,38797,2595,64579,3559,3522,null,null,2595,null,null,3559,null,null,27
393344,6287,106839,5183,286505,6098,6287,null,null,5183,null,null,6098,null,null,28
266343,5387,69323,4016,197020,5177,5387,null,null,4016,null,null,5177,null,null,29
1624,649,141,218,1483,620,649,null,null,218,null,null,620,null,null,30
33211,1631,10516,1754,22695,1944,1631,null,null,1754,null,null,1944,null,null,31
92168,3697,25137,2955,67031,3795,3697,null,null,2955,null,null,3795,null,null,32
4845,901,1020,513,3825,973,901,null,null,513,null,null,973,null,null,33
416520,7331,78801,3832,337719,6954,7331,null,null,3832,null,null,6954,null,null,34
12913,1579,2458,821,10455,1565,1579,null,null,821,null,null,1565,null,null,35
1060267,11543,290180,8169,770087,9621,11543,null,null,8169,null,null,9621,null,null,36
810599,9749,219522,6911,591077,9585,9749,null,null,6911,null,null,9585,null,null,37
7848,1765,2728,1383,5120,1694,1765,null,null,1383,null,null,1694,null,null,38
578481,7025,184778,6083,393703,8074,7025,null,null,6083,null,null,8074,null,null,39
111051,3089,32438,2301,78613,3300,3089,null,null,2301,null,null,3300,null,null,40
26034,1900,9561,1450,16473,2143,1900,null,null,1450,null,null,2143,null,null,41
498490,6465,158076,6465,340414,6970,6465,null,null,6465,null,null,6970,null,null,42
23423,1673,7950,1454,15473,1368,1673,null,null,1454,null,null,1368,null,null,44
488550,7816,140568,5492,347982,7991,7816,null,null,5492,null,null,7991,null,null,45
4018,715,1245,587,2773,577,715,null,null,587,null,null,577,null,null,46
419691,6475,110348,5320,309343,6346,6475,null,null,5320,null,null,6346,null,null,47
1211530,13537,252759,8572,958771,14125,13537,null,null,8572,null,null,14125,null,null,48
8821,1180,2786,994,6035,1138,1180,null,null,994,null,null,1138,null,null,49
2036,830,658,414,1378,656,830,null,null,414,null,null,656,null,null,50
590052,7295,106357,4824,483695,7386,7295,null,null,4824,null,null,7386,null,null,51
95671,4110,27009,2956,68662,3478,4110,null,null,2956,null,null,3478,null,null,53
24566,2217,6476,1489,18090,1820,2217,null,null,1489,null,null,1820,null,null,54
130082,3478,54652,3129,75430,3296,3478,null,null,3129,null,null,3296,null,null,55
2283,883,413,480,1870,733,883,null,null,480,null,null,733,null,null,56
145759,4829,62690,3140,83069,3599,4829,null,null,3140,null,null,3599,null,null,72
488782,6629,138246,5235,350536,6243,6629,null,null,5235,null,null,6243,null,null,01
7107,1232,276,243,6831,1330,1232,null,null,243,null,null,1330,null,null,02
102444,3599,23051,2240,79393,3833,3599,null,null,2240,null,null,3833,null,null,04
175091,3768,46409,2883,128682,4189,3768,null,null,2883,null,null,4189,null,null,05
815815,9129,143236,5901,672579,8890,9129,null,null,5901,null,null,8890,null,null,06
78695,3125,18147,2146,60548,3167,3125,null,null,2146,null,null,3167,null,null,08
134273,3996,39804,3022,94469,3902,3996,null,null,3022,null,null,3902,null,null,09
70973,2423,15414,2005,55559,2630,2423,null,null,2005,null,null,2630,null,null,10
125034,3067,35529,2842,89505,3276,3067,null,null,2842,null,null,3276,null,null,11
