B06002_001E,B06002_001M,B06002_002E,B06002_002M,B06002_003E,B06002_003M,B06002_004E,B06002_004M,B06002_005E,B06002_005M,B06002_001M,B06002_001EA,B06002_001MA,B06002_002M,B06002_002EA,B06002_002MA,B06002_003M,B06002_003EA,B06002_003MA,B06002_004M,B06002_004EA,B06002_004MA,B06002_005M,B06002_005EA,B06002_005MA,state
42.1,0.1,21.8,0.2,55.1,0.2,40.9,0.8,48.0,0.3,0.1,null,null,0.2,null,null,0.2,null,null,0.8,null,null,0.3,null,null,12
36.5,0.2,28.2,0.2,44.4,0.3,36.0,1.2,40.9,0.4,0.2,null,null,0.2,null,null,0.3,null,null,1.2,null,null,0.4,null,null,13
38.9,0.3,33.1,0.6,39.0,0.7,34.4,4.2,49.6,0.9,0.3,null,null,0.6,null,null,0.7,null,null,4.2,null,null,0.9,null,null,15
36.1,0.1,25.6,0.6,46.4,0.6,36.0,7.5,40.5,0.9,0.1,null,null,0.6,null,null,0.6,null,null,7.5,null,null,0.9,null,null,16
37.9,0.1,32.6,0.1,46.8,0.4,42.6,1.5,44.7,0.3,0.1,null,null,0.1,null,null,0.4,null,null,1.5,null,null,0.3,null,null,17
37.6,0.1,34.0,0.2,45.5,0.4,39.3,3.1,38.3,0.5,0.1,null,null,0.2,null,null,0.4,null,null,3.1,null,null,0.5,null,null,18
38.0,0.2,37.6,0.3,39.8,0.6,32.9,5.9,36.7,1.2,0.2,null,null,0.3,null,null,0.6,null,null,5.9,null,null,1.2,null,null,19
36.5,0.2,30.7,0.3,44.1,0.6,39.1,4.1,40.2,0.7,0.2,null,null,0.3,null,null,0.6,null,null,4.1,null,null,0.7,null,null,20
38.7,0.2,37.1,0.3,43.1,0.5,36.3,2.9,37.5,0.8,0.2,null,null,0.3,null,null,0.5,null,null,2.9,null,null,0.8,null,null,21
36.5,0.2,34.9,0.2,43.1,0.8,38.3,4.5,39.1,1.0,0.2,null,null,0.2,null,null,0.8,null,null,4.5,null,null,1.0,null,null,22
44.5,0.2,39.7,0.5,50.8,0.7,48.5,4.3,46.0,2.3,0.2,null,null,0.5,null,null,0.7,null,null,4.3,null,null,2.3,null,null,23
38.5,0.2,28.0,0.3,47.6,0.4,35.7,1.6,42.8,0.4,0.2,null,null,0.3,null,null,0.4,null,null,1.6,null,null,0.4,null,null,24
39.5,0.1,34.9,0.2,44.7,0.5,39.3,1.6,43.4,0.4,0.1,null,null,0.2,null,null,0.5,null,null,1.6,null,null,0.4,null,null,25
39.7,0.2,36.6,0.2,50.7,0.4,31.0,1.6,43.0,0.4,0.2,null,null,0.2,null,null,0.4,null,null,1.6,null,null,0.4,null,null,26
37.9,0.2,34.9,0.2,45.4,0.4,35.6,2.0,38.2,0.4,0.2,null,null,0.2,null,null,0.4,null,null,2.0,null,null,0.4,null,null,27
37.2,0.2,34.7,0.3,42.8,0.7,43.0,9.4,39.7,1.1,0.2,null,null,0.3,null,null,0.7,null,null,9.4,null,null,1.1,null,null,28
38.4,0.2,34.4,0.2,46.6,0.4,34.9,3.4,39.7,1.0,0.2,null,null,0.2,null,null,0.4,null,null,3.4,null,null,1.0,null,null,29
40.1,0.3,33.1,0.7,47.7,0.8,34.5,6.3,44.0,3.5,0.3,null,null,0.7,null,null,0.8,null,null,6.3,null,null,3.5,null,null,30
36.3,0.2,33.3,0.4,42.8,0.8,33.4,4.9,36.5,0.8,0.2,null,null,0.4,null,null,0.8,null,null,4.9,null,null,0.8,null,null,31
37.9,0.2,14.3,0.3,46.7,0.4,40.8,3.3,45.0,0.3,0.2,null,null,0.3,null,null,0.4,null,null,3.3,null,null,0.3,null,null,32
42.7,0.3,29.8,0.6,50.2,0.4,42.6,3.0,45.6,1.8,0.3,null,null,0.6,null,null,0.4,null,null,3.0,null,null,1.8,null,null,33
39.5,0.1,28.9,0.2,49.9,0.4,47.5,1.4,45.1,0.2,0.1,null,null,0.2,null,null,0.4,null,null,1.4,null,null,0.2,null,null,34
37.7,0.2,28.4,0.4,49.2,0.6,39.9,2.7,44.7,0.8,0.2,null,null,0.4,null,null,0.6,null,null,2.7,null,null,0.8,null,null,35
38.4,0.1,32.3,0.2,40.7,0.4,47.6,1.1,46.3,0.2,0.1,null,null,0.2,null,null,0.4,null,null,1.1,null,null,0.2,null,null,36
38.7,0.1,32.9,0.2,44.8,0.3,37.4,1.5,39.9,0.4,0.1,null,null,0.2,null,null,0.3,null,null,1.5,null,null,0.4,null,null,37
35.0,0.3,35.8,0.7,34.3,1.2,29.4,2.7,33.7,2.5,0.3,null,null,0.7,null,null,1.2,null,null,2.7,null,null,2.5,null,null,38
39.3,0.1,36.3,0.2,49.3,0.4,38.7,2.1,40.8,0.7,0.1,null,null,0.2,null,null,0.4,null,null,2.1,null,null,0.7,null,null,39
36.4,0.2,30.8,0.3,45.3,0.4,36.5,3.5,39.7,0.6,0.2,null,null,0.3,null,null,0.4,null,null,3.5,null,null,0.6,null,null,40
39.2,0.2,27.1,0.4,49.6,0.4,37.6,2.5,43.4,0.6,0.2,null,null,0.4,null,null,0.4,null,null,2.5,null,null,0.6,null,null,41
40.6,0.1,39.7,0.2,43.3,0.5,39.0,1.3,42.0,0.6,0.1,null,null,0.2,null,null,0.5,null,null,1.3,null,null,0.6,null,null,42
40.2,0.2,35.8,0.8,42.5,1.1,39.1,6.6,46.8,1.7,0.2,null,null,0.8,null,null,1.1,null,null,6.6,null,null,1.7,null,null,44
39.1,0.2,34.0,0.3,45.6,0.4,37.3,2.4,40.5,0.7,0.2,null,null,0.3,null,null,0.4,null,null,2.4,null,null,0.7,null,null,45
36.8,0.3,34.1,0.6,42.6,0.9,38.2,4.5,34.1,2.0,0.3,null,null,0.6,null,null,0.9,null,null,4.5,null,null,2.0,null,null,46
