B19301G_001E,B19301G_001M,B19301G_001M,B19301G_001EA,B19301G_001MA,state
16580,986,986,null,null,12
15095,998,998,null,null,13
23644,939,939,null,null,15
15624,3726,3726,null,null,16
17228,908,908,null,null,17
11311,1059,1059,null,null,18
12764,1968,1968,null,null,19
13087,1453,1453,null,null,20
11020,1561,1561,null,null,21
14271,1819,1819,null,null,22
16808,5854,5854,null,null,23
21236,1676,1676,null,null,24
19146,1241,1241,null,null,25
14800,978,978,null,null,26
16548,1333,1333,null,null,27
10848,2111,2111,null,null,28
13718,1325,1325,null,null,29
14945,2094,2094,null,null,30
14279,2121,2121,null,null,31
16820,1578,1578,null,null,32
16290,3109,3109,null,null,33
20158,1179,1179,null,null,34
18930,1987,1987,null,null,35
20739,1423,1423,null,null,36
13637,1010,1010,null,null,37
20492,4649,4649,null,null,38
13279,801,801,null,null,39
16746,838,838,null,null,40
17101,1282,1282,null,null,41
14557,1413,1413,null,null,42
14796,2885,2885,null,null,44
11840,1163,1163,null,null,45
10226,2141,2141,null,null,46
14171,1722,1722,null,null,47
19008,1018,1018,null,null,48
14720,1541,1541,null,null,49
14951,3223,3223,null,null,50
20757,1364,1364,null,null,51
20462,1039,1039,null,null,53
10720,1918,1918,null,null,54
14374,1879,1879,null,null,55
26402,11691,11691,null,null,56
11140,1030,1030,null,null,72
15539,1812,1812,null,null,01
19775,1557,1557,null,null,02
17558,1703,1703,null,null,04
13350,1778,1778,null,null,05
22259,631,631,null,null,06
19710,1212,1212,null,null,08
16321,1780,1780,null,null,09
12450,2157,2157,null,null,10
39893,7194,7194,null,null,11
