C25055_001E,C25055_001M,C25055_002E,C25055_002M,C25055_003E,C25055_003M,C25055_004E,C25055_004M,C25055_005E,C25055_005M,C25055_001M,C25055_001EA,C25055_001MA,C25055_002M,C25055_002EA,C25055_002MA,C25055_003M,C25055_003EA,C25055_003MA,C25055_004M,C25055_004EA,C25055_004MA,C25055_005M,C25055_005EA,C25055_005MA,state
2594344,19409,1837694,17475,360891,8792,225179,7733,170580,6358,19409,null,null,17475,null,null,8792,null,null,7733,null,null,6358,null,null,12
1343035,16441,1028752,14379,168130,7192,93528,4898,52625,3551,16441,null,null,14379,null,null,7192,null,null,4898,null,null,3551,null,null,13
183461,4397,128389,3406,27239,2671,15800,1744,12033,1667,4397,null,null,3406,null,null,2671,null,null,1744,null,null,1667,null,null,15
178918,6143,136369,5353,18202,2074,12652,1779,11695,1567,6143,null,null,5353,null,null,2074,null,null,1779,null,null,1567,null,null,16
1606712,17023,1161800,15531,207768,6477,125910,4682,111234,4883,17023,null,null,15531,null,null,6477,null,null,4682,null,null,4883,null,null,17
759055,10989,554352,9516,102618,4861,56614,3368,45471,2762,10989,null,null,9516,null,null,4861,null,null,3368,null,null,2762,null,null,18
341654,6567,248632,5966,37795,2421,23538,2164,31689,2039,6567,null,null,5966,null,null,2421,null,null,2164,null,null,2039,null,null,19
360185,7382,261574,6592,45067,2953,25148,2027,28396,2209,7382,null,null,6592,null,null,2953,null,null,2027,null,null,2209,null,null,20
518068,9043,378246,7119,72992,3815,39981,3191,26849,2553,9043,null,null,7119,null,null,3815,null,null,3191,null,null,2553,null,null,21
554521,10794,412029,9168,76878,4105,41896,3253,23718,1918,10794,null,null,9168,null,null,4105,null,null,3253,null,null,1918,null,null,22
139310,4904,87176,4408,23047,2122,15869,1635,13218,1766,4904,null,null,4408,null,null,2122,null,null,1635,null,null,1766,null,null,23
722470,11662,515520,10423,98453,4620,59447,3604,49050,2974,11662,null,null,10423,null,null,4620,null,null,3604,null,null,2974,null,null,24
947779,11697,639474,9656,136501,4906,89347,4544,82457,3964,11697,null,null,9656,null,null,4906,null,null,4544,null,null,3964,null,null,25
1093611,14417,764417,11695,156253,5140,88655,3955,84286,3455,14417,null,null,11695,null,null,5140,null,null,3955,null,null,3455,null,null,26
591005,8759,413395,8240,69901,3248,43667,2871,64042,2872,8759,null,null,8240,null,null,3248,null,null,2871,null,null,2872,null,null,27
313437,8097,236105,7623,41273,3225,22154,2134,13905,2050,8097,null,null,7623,null,null,3225,null,null,2134,null,null,2050,null,null,28
756137,10606,537728,9015,104134,4757,59905,3578,54370,3429,10606,null,null,9015,null,null,4757,null,null,3578,null,null,3429,null,null,29
120429,5252,82834,3940,16950,2212,10299,1394,10346,1467,5252,null,null,3940,null,null,2212,null,null,1394,null,null,1467,null,null,30
245609,5305,179694,4571,29245,2173,16201,1411,20469,1552,5305,null,null,4571,null,null,2173,null,null,1411,null,null,1552,null,null,31
464864,8085,330592,7147,66764,3726,43380,3103,24128,2305,8085,null,null,7147,null,null,3726,null,null,3103,null,null,2305,null,null,32
148665,5071,97586,4121,23279,2391,11036,1359,16764,2133,5071,null,null,4121,null,null,2391,null,null,1359,null,null,2133,null,null,33
1135513,12839,776000,11099,166409,6392,106313,4421,86791,3574,12839,null,null,11099,null,null,6392,null,null,4421,null,null,3574,null,null,34
227499,6845,169980,5876,27205,2756,17597,2127,12717,1797,6845,null,null,5876,null,null,2756,null,null,2127,null,null,1797,null,null,35
3247789,19458,2148809,17009,502848,9067,314015,8190,282117,5952,19458,null,null,17009,null,null,9067,null,null,8190,null,null,5952,null,null,36
1297513,15499,975891,14736,159270,6246,96437,4119,65915,3308,15499,null,null,14736,null,null,6246,null,null,4119,null,null,3308,null,null,37
108527,3898,81120,3615,11538,1562,6593,1379,9276,1300,3898,null,null,3615,null,null,1562,null,null,1379,null,null,1300,null,null,38
1522518,15099,1073175,11691,221740,6794,124579,5331,103024,4661,15099,null,null,11691,null,null,6794,null,null,5331,null,null,4661,null,null,39
472637,7618,355415,6416,59145,2989,33313,2022,24764,1767,7618,null,null,6416,null,null,2989,null,null,2022,null,null,1767,null,null,40
575832,10745,408377,9580,72032,4668,48987,3509,46436,2771,10745,null,null,9580,null,null,4668,null,null,3509,null,null,2771,null,null,41
1468449,15057,993109,13046,196872,6557,132493,5355,145975,5062,15057,null,null,13046,null,null,6557,null,null,5355,null,null,5062,null,null,42
165853,5924,109326,4641,27250,2437,15501,1635,13776,1850,5924,null,null,4641,null,null,2437,null,null,1635,null,null,1850,null,null,44
538108,10971,400834,10148,70913,4076,38594,3421,27767,2578,10971,null,null,10148,null,null,4076,null,null,3421,null,null,2578,null,null,45
101969,3792,67829,3683,13780,1597,8329,1371,12031,1288,3792,null,null,3683,null,null,1597,null,null,1371,null,null,1288,null,null,46
822456,14791,614359,12206,109990,5107,61190,3829,36917,2091,14791,null,null,12206,null,null,5107,null,null,3829,null,null,2091,null,null,47
3519323,23250,2768441,21314,382564,10454,214114,6884,154204,5791,23250,null,null,21314,null,null,10454,null,null,6884,null,null,5791,null,null,48
271441,7526,222614,7222,25040,2294,12022,1550,11765,1530,7526,null,null,7222,null,null,2294,null,null,1550,null,null,1530,null,null,49
71809,3429,47375,2801,10955,1597,6913,1159,6566,878,3429,null,null,2801,null,null,1597,null,null,1159,null,null,878,null,null,50
1024547,12464,772946,10287,126874,5395,68092,4815,56635,3233,12464,null,null,10287,null,null,5395,null,null,4815,null,null,3233,null,null,51
