B19202C_001E,B19202C_001M,B19202C_001M,B19202C_001EA,B19202C_001MA,state
26984,4444,4444,null,null,12
19783,12753,12753,null,null,13
17323,11385,11385,null,null,15
null,null,null,null,null,16
31950,4290,4290,null,null,17
25320,5852,5852,null,null,18
22662,12720,12720,null,null,19
24950,5716,5716,null,null,20
12330,10169,10169,null,null,21
10737,8364,8364,null,null,22
11627,2615,2615,null,null,23
21707,15893,15893,null,null,24
35243,25315,25315,null,null,25
26267,3152,3152,null,null,26
20325,3019,3019,null,null,27
16609,7321,7321,null,null,28
17912,7700,7700,null,null,29
19324,4995,4995,null,null,30
37649,17374,17374,null,null,31
26371,5488,5488,null,null,32
43700,42629,42629,null,null,33
22472,13832,13832,null,null,34
22378,3254,3254,null,null,35
27103,8949,8949,null,null,36
19811,3043,3043,null,null,37
20865,4894,4894,null,null,38
23933,13884,13884,null,null,39
23513,2109,2109,null,null,40
21348,3450,3450,null,null,41
14511,7171,7171,null,null,42
null,null,null,null,null,44
29495,12919,12919,null,null,45
15615,1629,1629,null,null,46
29945,15507,15507,null,null,47
31198,4236,4236,null,null,48
20310,13476,13476,null,null,49
14424,1797,1797,null,null,50
32651,17743,17743,null,null,51
26360,6565,6565,null,null,53
18026,11698,11698,null,null,54
26043,7392,7392,null,null,55
12036,7003,7003,null,null,56
13062,6814,6814,null,null,72
23952,23012,23012,null,null,01
22168,4235,4235,null,null,02
17763,2772,2772,null,null,04
19375,12594,12594,null,null,05
26049,7379,7379,null,null,06
22367,6512,6512,null,null,08
null,null,null,null,null,09
null,null,null,null,null,10
null,null,null,null,null,11
