B06004F_001E,B06004F_001M,B06004F_002E,B06004F_002M,B06004F_003E,B06004F_003M,B06004F_004E,B06004F_004M,B06004F_005E,B06004F_005M,B06004F_001M,B06004F_001EA,B06004F_001MA,B06004F_002M,B06004F_002EA,B06004F_002MA,B06004F_003M,B06004F_003EA,B06004F_003MA,B06004F_004M,B06004F_004EA,B06004F_004MA,B06004F_005M,B06004F_005EA,B06004F_005MA,state
570424,25434,153757,9970,108204,10585,66518,6631,241945,15312,25434,null,null,9970,null,null,10585,null,null,6631,null,null,15312,null,null,12
299220,21983,97141,9648,49814,5890,15171,4508,137094,11533,21983,null,null,9648,null,null,5890,null,null,4508,null,null,11533,null,null,13
12321,2548,3829,1367,5350,1380,497,334,2645,966,2548,null,null,1367,null,null,1380,null,null,334,null,null,966,null,null,15
66137,7319,25232,3639,18136,4310,1261,1093,21508,3727,7319,null,null,3639,null,null,4310,null,null,1093,null,null,3727,null,null,16
822784,24826,410815,15668,44688,5191,24201,3145,343080,14138,24826,null,null,15668,null,null,5191,null,null,3145,null,null,14138,null,null,17
157755,11013,58356,5749,34073,4843,6940,2301,58386,6181,11013,null,null,5749,null,null,4843,null,null,2301,null,null,6181,null,null,18
42129,4612,11548,2090,8500,1625,1580,893,20501,2562,4612,null,null,2090,null,null,1625,null,null,893,null,null,2562,null,null,19
74123,7806,26846,4072,16760,2751,781,519,29736,4501,7806,null,null,4072,null,null,2751,null,null,519,null,null,4501,null,null,20
37591,5245,9919,2510,8405,1936,1541,753,17726,3269,5245,null,null,2510,null,null,1936,null,null,753,null,null,3269,null,null,21
68208,6424,19298,3036,11324,1961,1890,895,35696,4425,6424,null,null,3036,null,null,1961,null,null,895,null,null,4425,null,null,22
2450,826,627,344,730,425,400,250,693,427,826,null,null,344,null,null,425,null,null,250,null,null,427,null,null,23
230326,12625,47883,5405,39665,4697,6748,1784,136030,8851,12625,null,null,5405,null,null,4697,null,null,1784,null,null,8851,null,null,24
285412,15924,96777,8804,28102,4017,41477,4997,119056,8415,15924,null,null,8804,null,null,4017,null,null,4997,null,null,8415,null,null,25
118621,8994,57752,5439,15765,1981,4343,1359,40761,4318,8994,null,null,5439,null,null,1981,null,null,1359,null,null,4318,null,null,26
111852,6950,38732,3416,17463,2574,1198,439,54459,4431,6950,null,null,3416,null,null,2574,null,null,439,null,null,4431,null,null,27
30583,4250,8842,2275,6932,1482,3585,1756,11224,2452,4250,null,null,2275,null,null,1482,null,null,1756,null,null,2452,null,null,28
71031,6374,24792,3808,19203,3703,2216,1051,24820,3034,6374,null,null,3808,null,null,3703,null,null,1051,null,null,3034,null,null,29
3738,1189,1435,617,1670,663,54,94,579,367,1189,null,null,617,null,null,663,null,null,94,null,null,367,null,null,30
38348,5844,14578,3074,7464,1642,560,278,15746,2913,5844,null,null,3074,null,null,1642,null,null,278,null,null,2913,null,null,31
274293,14398,77141,6372,66079,5919,4378,1044,126695,8587,14398,null,null,6372,null,null,5919,null,null,1044,null,null,8587,null,null,32
8057,2144,1419,735,3348,1228,867,592,2423,970,2144,null,null,735,null,null,1228,null,null,592,null,null,970,null,null,33
543530,20839,193730,10574,48824,5946,42480,4503,258496,13861,20839,null,null,10574,null,null,5946,null,null,4503,null,null,13861,null,null,34
206526,11007,139674,8116,29623,4187,2187,1011,35042,4405,11007,null,null,8116,null,null,4187,null,null,1011,null,null,4405,null,null,35
1767107,34876,777829,22860,44454,4677,138271,8666,806553,23371,34876,null,null,22860,null,null,4677,null,null,8666,null,null,23371,null,null,36
