B25103_001E,B25103_001M,B25103_002E,B25103_002M,B25103_003E,B25103_003M,B25103_001M,B25103_001EA,B25103_001MA,B25103_002M,B25103_002EA,B25103_002MA,B25103_003M,B25103_003EA,B25103_003MA,state
1793,14,1944,17,1522,28,14,null,null,17,null,null,28,null,null,12
1493,13,1725,19,1072,24,13,null,null,19,null,null,24,null,null,13
1619,50,1654,62,1540,87,50,null,null,62,null,null,87,null,null,15
1397,23,1430,24,1318,47,23,null,null,24,null,null,47,null,null,16
4185,28,4572,39,3499,44,28,null,null,39,null,null,44,null,null,17
1152,11,1228,12,975,22,11,null,null,12,null,null,22,null,null,18
2209,25,2382,30,1939,40,25,null,null,30,null,null,40,null,null,19
1999,26,2196,37,1759,32,26,null,null,37,null,null,32,null,null,20
1155,13,1325,16,845,24,13,null,null,16,null,null,24,null,null,21
861,24,1081,35,535,23,24,null,null,35,null,null,23,null,null,22
2495,35,2686,44,2115,70,35,null,null,44,null,null,70,null,null,23
3290,23,3379,27,3029,49,23,null,null,27,null,null,49,null,null,24
4445,27,4484,35,4356,43,27,null,null,35,null,null,43,null,null,25
2290,14,2451,20,1998,22,14,null,null,20,null,null,22,null,null,26
2359,15,2468,17,2115,34,15,null,null,17,null,null,34,null,null,27
909,22,1092,30,681,29,22,null,null,30,null,null,29,null,null,28
1454,14,1590,25,1254,18,14,null,null,25,null,null,18,null,null,29
1804,33,1934,41,1569,61,33,null,null,41,null,null,61,null,null,30
2571,27,2778,37,2198,54,27,null,null,37,null,null,54,null,null,31
1520,29,1590,34,1380,39,29,null,null,34,null,null,39,null,null,32
5488,72,5688,85,5009,145,72,null,null,85,null,null,145,null,null,33
7986,46,8116,52,7691,91,46,null,null,52,null,null,91,null,null,34
1334,30,1478,35,1085,52,30,null,null,35,null,null,52,null,null,35
5054,38,5423,47,4550,58,38,null,null,47,null,null,58,null,null,36
1402,10,1537,17,1148,20,10,null,null,17,null,null,20,null,null,37
1777,42,2019,72,1434,54,42,null,null,72,null,null,54,null,null,38
2152,19,2374,21,1801,21,19,null,null,21,null,null,21,null,null,39
1179,15,1409,20,797,19,15,null,null,20,null,null,19,null,null,40
2832,24,2951,33,2529,44,24,null,null,33,null,null,44,null,null,41
2763,15,3088,27,2270,32,15,null,null,27,null,null,32,null,null,42
4021,64,4066,77,3941,100,64,null,null,77,null,null,100,null,null,44
870,11,1002,16,639,19,11,null,null,16,null,null,19,null,null,45
2133,51,2279,57,1901,78,51,null,null,57,null,null,78,null,null,46
1139,13,1241,15,965,16,13,null,null,15,null,null,16,null,null,47
2863,19,3555,26,1844,26,19,null,null,26,null,null,26,null,null,48
1627,15,1635,19,1602,32,15,null,null,19,null,null,32,null,null,49
4146,77,4231,99,3983,135,77,null,null,99,null,null,135,null,null,50
2112,24,2346,30,1649,29,24,null,null,30,null,null,29,null,null,51
3049,27,3145,30,2826,39,27,null,null,30,null,null,39,null,null,53
681,14,839,18,530,16,14,null,null,18,null,null,16,null,null,54
3268,19,3363,22,3074,37,19,null,null,22,null,null,37,null,null,55
1281,29,1348,34,1154,61,29,null,null,34,null,null,61,null,null,56
565,28,695,49,457,36,28,null,null,49,null,null,36,null,null,72
562,8,639,11,437,13,8,null,null,11,null,null,13,null,null,01
3198,87,3436,96,2468,182,87,null,null,96,null,null,182,null,null,02
1426,12,1494,16,1258,23,12,null,null,16,null,null,23,null,null,04
777,14,927,24,615,22,14,null,null,24,null,null,22,null,null,05
3565,17,3962,23,2489,26,17,null,null,23,null,null,26,null,null,06
1611,15,1671,19,1444,26,15,null,null,19,null,null,26,null,null,08
5663,46,5803,61,5348,92,46,null,null,61,null,null,92,null,null,09
1364,26,1437,32,1198,52,26,null,null,32,null,null,52,null,null,10
3255,132,3492,140,2305,445,132,null,null,140,null,null,445,null,null,11
