B19001A_001E,B19001A_001M,B19001A_002E,B19001A_002M,B19001A_003E,B19001A_003M,B19001A_004E,B19001A_004M,B19001A_005E,B19001A_005M,B19001A_006E,B19001A_006M,B19001A_007E,B19001A_007M,B19001A_008E,B19001A_008M,B19001A_009E,B19001A_009M,B19001A_010E,B19001A_010M,B19001A_011E,B19001A_011M,B19001A_012E,B19001A_012M,B19001A_013E,B19001A_013M,B19001A_014E,B19001A_014M,B19001A_015E,B19001A_015M,B19001A_016E,B19001A_016M,B19001A_017E,B19001A_017M,B19001A_001M,B19001A_001EA,B19001A_001MA,B19001A_002M,B19001A_002EA,B19001A_002MA,B19001A_003M,B19001A_003EA,B19001A_003MA,B19001A_004M,B19001A_004EA,B19001A_004MA,B19001A_005M,B19001A_005EA,B19001A_005MA,B19001A_006M,B19001A_006EA,B19001A_006MA,B19001A_007M,B19001A_007EA,B19001A_007MA,B19001A_008M,B19001A_008EA,B19001A_008MA,B19001A_009M,B19001A_009EA,B19001A_009MA,B19001A_010M,B19001A_010EA,B19001A_010MA,B19001A_011M,B19001A_011EA,B19001A_011MA,B19001A_012M,B19001A_012EA,B19001A_012MA,B19001A_013M,B19001A_013EA,B19001A_013MA,B19001A_014M,B19001A_014EA,B19001A_014MA,B19001A_015M,B19001A_015EA,B19001A_015MA,B19001A_016M,B19001A_016EA,B19001A_016MA,B19001A_017M,B19001A_017EA,B19001A_017MA,state
6063776,20702,375746,10620,292241,8304,303429,9328,334652,10616,316329,9281,324671,9608,311398,8598,314956,9050,262602,8558,506206,11643,625984,11842,731661,14719,469048,10819,278713,7632,285264,8484,330876,8685,20702,null,null,10620,null,null,8304,null,null,9328,null,null,10616,null,null,9281,null,null,9608,null,null,8598,null,null,9050,null,null,8558,null,null,11643,null,null,11842,null,null,14719,null,null,10819,null,null,7632,null,null,8484,null,null,8685,null,null,12
2277774,11805,130158,5793,93709,4124,96720,4927,106267,5547,99050,4251,106761,5323,99777,5633,108676,6225,91900,4902,185853,7192,237657,8599,291950,8116,207769,7943,125000,5629,138678,6085,157849,6253,11805,null,null,5793,null,null,4124,null,null,4927,null,null,5547,null,null,4251,null,null,5323,null,null,5633,null,null,6225,null,null,4902,null,null,7192,null,null,8599,null,null,8116,null,null,7943,null,null,5629,null,null,6085,null,null,6253,null,null,13
151402,3116,7265,1228,4853,988,3688,785,4847,1061,5021,1160,6969,1472,6077,1126,5695,1317,4814,1019,10670,1731,15463,1743,19635,1814,15889,1829,11300,1646,13603,1577,15613,1939,3116,null,null,1228,null,null,988,null,null,785,null,null,1061,null,null,1160,null,null,1472,null,null,1126,null,null,1317,null,null,1019,null,null,1731,null,null,1743,null,null,1814,null,null,1829,null,null,1646,null,null,1577,null,null,1939,null,null,15
563299,4430,39120,3321,27769,2779,27087,2580,28732,2887,25612,2680,32799,3490,29653,3080,27177,2591,28740,2499,48974,3152,65640,3639,69654,3965,46217,3633,25325,2256,23023,2399,17777,2205,4430,null,null,3321,null,null,2779,null,null,2580,null,null,2887,null,null,2680,null,null,3490,null,null,3080,null,null,2591,null,null,2499,null,null,3152,null,null,3639,null,null,3965,null,null,3633,null,null,2256,null,null,2399,null,null,2205,null,null,16
3619597,13053,189537,6850,133841,5710,149828,6632,160166,5869,143977,5388,155548,6588,148532,5837,150558,5306,131635,5393,274516,7519,364750,8048,486341,9687,367880,7844,224076,6614,262168,6808,276244,6882,13053,null,null,6850,null,null,5710,null,null,6632,null,null,5869,null,null,5388,null,null,6588,null,null,5837,null,null,5306,null,null,5393,null,null,7519,null,null,8048,null,null,9687,null,null,7844,null,null,6614,null,null,6808,null,null,6882,null,null,17
2179446,11130,120226,5302,94936,4491,105761,4695,112850,5271,110170,4526,111743,5065,112013,6381,112425,5018,95780,4783,190594,5810,253047,7643,292589,7735,189335,5808,101457,4820,96773,4240,79747,4021,11130,null,null,5302,null,null,4491,null,null,4695,null,null,5271,null,null,4526,null,null,5065,null,null,6381,null,null,5018,null,null,4783,null,null,5810,null,null,7643,null,null,7735,null,null,5808,null,null,4820,null,null,4240,null,null,4021,null,null,18
1158356,6930,60074,3324,49697,2926,52579,3051,57932,3683,57413,3251,56772,3326,54120,2741,57169,3764,50185,3014,100237,3936,128398,4599,165816,4996,106418,5022,61308,3330,53594,2772,46644,3024,6930,null,null,3324,null,null,2926,null,null,3051,null,null,3683,null,null,3251,null,null,3326,null,null,2741,null,null,3764,null,null,3014,null,null,3936,null,null,4599,null,null,4996,null,null,5022,null,null,3330,null,null,2772,null,null,3024,null,null,19
969924,6845,53188,3335,43093,2669,40858,2694,50156,2893,47403,3268,51348,3580,48256,3077,50822,3317,41773,3165,79370,4021,109784,4506,124179,4463,88416,4408,49025,2966,46259,2919,45994,2358,6845,null,null,3335,null,null,2669,null,null,2694,null,null,2893,null,null,3268,null,null,3580,null,null,3077,null,null,3317,null,null,3165,null,null,4021,null,null,4506,null,null,4463,null,null,4408,null,null,2966,null,null,2919,null,null,2358,null,null,20
1524820,9147,136537,5504,93159,4885,90422,5283,84517,3744,80918,4449,81268,4496,75797,4837,72921,4512,63384,4149,120035,5630,157645,5211,177969,6082,114661,5321,64618,3797,55300,3422,55669,3670,9147,null,null,5504,null,null,4885,null,null,5283,null,null,3744,null,null,4449,null,null,4496,null,null,4837,null,null,4512,null,null,4149,null,null,5630,null,null,5211,null,null,6082,null,null,5321,null,null,3797,null,null,3422,null,null,3670,null,null,21
1123033,7550,79449,4298,51878,3813,61143,4659,58269,3669,51075,3514,52332,3332,51221,3691,54991,4011,47931,3828,85956,4814,111892,4868,136030,5648,98293,4029,62251,4323,63677,4416,56645,3514,7550,null,null,4298,null,null,3813,null,null,4659,null,null,3669,null,null,3514,null,null,3332,null,null,3691,null,null,4011,null,null,3828,null,null,4814,null,null,4868,null,null,5648,null,null,4029,null,null,4323,null,null,4416,null,null,3514,null,null,22
