B99151_001E,B99151_002E,B99151_003E,B99151_001EA,B99151_002EA,B99151_003EA,state
14703671,1250122,13453549,null,null,null,12
6785395,463612,6321783,null,null,null,13
990937,84383,906554,null,null,null,15
1087265,66263,1021002,null,null,null,16
8665219,564731,8100488,null,null,null,17
4392576,265222,4127354,null,null,null,18
2087020,129581,1957439,null,null,null,19
1891936,118659,1773277,null,null,null,20
2995509,181980,2813529,null,null,null,21
3115020,215125,2899895,null,null,null,22
966569,46580,919989,null,null,null,23
4122508,308173,3814335,null,null,null,24
4727515,360068,4367447,null,null,null,25
6760402,384930,6375472,null,null,null,26
3725283,201140,3524143,null,null,null,27
1957022,120233,1836789,null,null,null,28
4121014,258362,3862652,null,null,null,29
712616,44378,668238,null,null,null,30
1243820,82518,1161302,null,null,null,31
2010610,152444,1858166,null,null,null,32
947586,54197,893389,null,null,null,33
6171172,454077,5717095,null,null,null,34
1391381,94978,1296403,null,null,null,35
13653592,1280287,12373305,null,null,null,36
6877185,478843,6398342,null,null,null,37
495015,32636,462379,null,null,null,38
7922061,435150,7486911,null,null,null,39
2571636,202261,2369375,null,null,null,40
2857952,188321,2669631,null,null,null,41
8921975,582697,8339278,null,null,null,42
734045,43295,690750,null,null,null,44
3388476,237296,3151180,null,null,null,45
565894,27407,538487,null,null,null,46
4527198,294715,4232483,null,null,null,47
17775280,1209591,16565689,null,null,null,48
1783244,87861,1695383,null,null,null,49
439563,20478,419085,null,null,null,50
5721173,397515,5323658,null,null,null,51
4996555,315035,4681520,null,null,null,53
1291757,62185,1229572,null,null,null,54
3933329,218675,3714654,null,null,null,55
390794,20683,370111,null,null,null,56
2372197,136389,2235808,null,null,null,72
3300713,267082,3033631,null,null,null,01
478951,36038,442913,null,null,null,02
4626409,452109,4174300,null,null,null,04
1990448,137312,1853136,null,null,null,05
26304241,2391904,23912337,null,null,null,06
3745506,292331,3453175,null,null,null,08
2467737,155095,2312642,null,null,null,09
662547,40876,621671,null,null,null,10
480158,48459,431699,null,null,null,11
