B28009C_001E,B28009C_001M,B28009C_002E,B28009C_002M,B28009C_003E,B28009C_003M,B28009C_004E,B28009C_004M,B28009C_005E,B28009C_005M,B28009C_006E,B28009C_006M,B28009C_001M,B28009C_001EA,B28009C_001MA,B28009C_002M,B28009C_002EA,B28009C_002MA,B28009C_003M,B28009C_003EA,B28009C_003MA,B28009C_004M,B28009C_004EA,B28009C_004MA,B28009C_005M,B28009C_005EA,B28009C_005MA,B28009C_006M,B28009C_006EA,B28009C_006MA,state
51202,5632,47425,5485,90,133,43414,5143,3921,1435,3777,1046,5632,null,null,5485,null,null,133,null,null,5143,null,null,1435,null,null,1046,null,null,12
37188,5721,33718,5453,604,730,26807,5187,6307,2651,3470,1645,5721,null,null,5453,null,null,730,null,null,5187,null,null,2651,null,null,1645,null,null,13
2609,855,2256,841,0,185,1949,805,307,231,353,330,855,null,null,841,null,null,185,null,null,805,null,null,231,null,null,330,null,null,15
25525,2576,22856,2587,8,16,19356,2417,3492,1302,2669,966,2576,null,null,2587,null,null,16,null,null,2417,null,null,1302,null,null,966,null,null,16
29643,3660,27529,3487,142,151,25122,3343,2265,886,2114,849,3660,null,null,3487,null,null,151,null,null,3343,null,null,886,null,null,849,null,null,17
16905,2456,14230,2223,57,65,12426,2212,1747,1170,2675,1263,2456,null,null,2223,null,null,65,null,null,2212,null,null,1170,null,null,1263,null,null,18
10459,1701,9447,1576,0,159,8430,1632,1017,573,1012,501,1701,null,null,1576,null,null,159,null,null,1632,null,null,573,null,null,501,null,null,19
20698,2534,18608,2493,344,478,16089,2487,2175,782,2090,599,2534,null,null,2493,null,null,478,null,null,2487,null,null,782,null,null,599,null,null,20
10648,2275,8181,2104,103,200,6366,1676,1712,1097,2467,1050,2275,null,null,2104,null,null,200,null,null,1676,null,null,1097,null,null,1050,null,null,21
24818,2662,21633,2681,0,208,19330,2633,2303,975,3185,1005,2662,null,null,2681,null,null,208,null,null,2633,null,null,975,null,null,1005,null,null,22
7808,1199,7192,1173,29,42,6174,1213,989,436,616,274,1199,null,null,1173,null,null,42,null,null,1213,null,null,436,null,null,274,null,null,23
14878,2475,13868,2537,86,132,12413,2306,1369,959,1010,606,2475,null,null,2537,null,null,132,null,null,2306,null,null,959,null,null,606,null,null,24
11915,2150,10985,2112,0,203,10605,2094,380,284,930,616,2150,null,null,2112,null,null,203,null,null,2094,null,null,284,null,null,616,null,null,25
49223,3491,44412,3431,148,121,40105,3339,4159,1137,4811,1278,3491,null,null,3431,null,null,121,null,null,3339,null,null,1137,null,null,1278,null,null,26
59804,2959,50682,3300,20,32,43511,3343,7151,1393,9122,1728,2959,null,null,3300,null,null,32,null,null,3343,null,null,1393,null,null,1728,null,null,27
12951,1501,9709,1905,0,213,8330,1947,1379,743,3242,1510,1501,null,null,1905,null,null,213,null,null,1947,null,null,743,null,null,1510,null,null,28
30041,3401,25633,3222,112,183,21912,3105,3609,1179,4408,1445,3401,null,null,3222,null,null,183,null,null,3105,null,null,1179,null,null,1445,null,null,29
63874,2572,52094,3264,1100,830,44607,3676,6387,1862,11780,2299,2572,null,null,3264,null,null,830,null,null,3676,null,null,1862,null,null,2299,null,null,30
14982,1322,13060,1299,64,104,11377,1280,1619,443,1922,589,1322,null,null,1299,null,null,104,null,null,1280,null,null,443,null,null,589,null,null,31
33485,3601,29592,3408,52,77,27050,3688,2490,1014,3893,1287,3601,null,null,3408,null,null,77,null,null,3688,null,null,1014,null,null,1287,null,null,32
