B23008_001E,B23008_001M,B23008_002E,B23008_002M,B23008_003E,B23008_003M,B23008_004E,B23008_004M,B23008_005E,B23008_005M,B23008_006E,B23008_006M,B23008_007E,B23008_007M,B23008_008E,B23008_008M,B23008_009E,B23008_009M,B23008_010E,B23008_010M,B23008_011E,B23008_011M,B23008_012E,B23008_012M,B23008_013E,B23008_013M,B23008_014E,B23008_014M,B23008_015E,B23008_015M,B23008_016E,B23008_016M,B23008_017E,B23008_017M,B23008_018E,B23008_018M,B23008_019E,B23008_019M,B23008_020E,B23008_020M,B23008_021E,B23008_021M,B23008_022E,B23008_022M,B23008_023E,B23008_023M,B23008_024E,B23008_024M,B23008_025E,B23008_025M,B23008_026E,B23008_026M,B23008_027E,B23008_027M,B23008_001M,B23008_001EA,B23008_001MA,B23008_002M,B23008_002EA,B23008_002MA,B23008_003M,B23008_003EA,B23008_003MA,B23008_004M,B23008_004EA,B23008_004MA,B23008_005M,B23008_005EA,B23008_005MA,B23008_006M,B23008_006EA,B23008_006MA,B23008_007M,B23008_007EA,B23008_007MA,B23008_008M,B23008_008EA,B23008_008MA,B23008_009M,B23008_009EA,B23008_009MA,B23008_010M,B23008_010EA,B23008_010MA,B23008_011M,B23008_011EA,B23008_011MA,B23008_012M,B23008_012EA,B23008_012MA,B23008_013M,B23008_013EA,B23008_013MA,B23008_014M,B23008_014EA,B23008_014MA,B23008_015M,B23008_015EA,B23008_015MA,B23008_016M,B23008_016EA,B23008_016MA,B23008_017M,B23008_017EA,B23008_017MA,B23008_018M,B23008_018EA,B23008_018MA,B23008_019M,B23008_019EA,B23008_019MA,B23008_020M,B23008_020EA,B23008_020MA,B23008_021M,B23008_021EA,B23008_021MA,B23008_022M,B23008_022EA,B23008_022MA,B23008_023M,B23008_023EA,B23008_023MA,B23008_024M,B23008_024EA,B23008_024MA,B23008_025M,B23008_025EA,B23008_025MA,B23008_026M,B23008_026EA,B23008_026MA,B23008_027M,B23008_027EA,B23008_027MA,state
3916874,10716,1287696,10980,760211,13150,439578,12413,273490,11944,29424,3918,17719,4010,527485,12965,114599,7469,104646,7262,9953,2272,412886,12785,318910,12481,93976,8293,2629178,12905,1597252,18226,1035424,17556,437205,15540,82060,5887,42563,5911,1031926,21097,223655,11749,198722,10494,24933,4670,808271,20278,667502,21818,140769,9687,10716,null,null,10980,null,null,13150,null,null,12413,null,null,11944,null,null,3918,null,null,4010,null,null,12965,null,null,7469,null,null,7262,null,null,2272,null,null,12785,null,null,12481,null,null,8293,null,null,12905,null,null,18226,null,null,17556,null,null,15540,null,null,5887,null,null,5911,null,null,21097,null,null,11749,null,null,10494,null,null,4670,null,null,20278,null,null,21818,null,null,9687,null,null,12
2370784,8688,745784,8143,439530,11104,251296,9980,168514,8398,15449,3150,4271,1467,306254,10086,61054,7075,55514,6721,5540,1865,245200,9947,187946,8527,57254,5563,1625000,10481,1002836,15199,651968,17498,292764,13530,41998,4919,16106,2902,622164,16913,117815,9154,101563,8306,16252,3342,504349,16051,415953,14825,88396,9280,8688,null,null,8143,null,null,11104,null,null,9980,null,null,8398,null,null,3150,null,null,1467,null,null,10086,null,null,7075,null,null,6721,null,null,1865,null,null,9947,null,null,8527,null,null,5563,null,null,10481,null,null,15199,null,null,17498,null,null,13530,null,null,4919,null,null,2902,null,null,16913,null,null,9154,null,null,8306,null,null,3342,null,null,16051,null,null,14825,null,null,9280,null,null,13
286037,3464,103327,2623,71172,3506,39967,3364,27999,3019,2137,715,1069,532,32155,3029,11182,2158,10237,2071,945,587,20973,2406,15463,1976,5510,1464,182710,3438,126832,4823,87347,5256,29049,3171,7015,1968,3421,1551,55878,4231,16552,2657,15005,2688,1547,725,39326,3124,31847,3204,7479,1913,3464,null,null,2623,null,null,3506,null,null,3364,null,null,3019,null,null,715,null,null,532,null,null,3029,null,null,2158,null,null,2071,null,null,587,null,null,2406,null,null,1976,null,null,1464,null,null,3438,null,null,4823,null,null,5256,null,null,3171,null,null,1968,null,null,1551,null,null,4231,null,null,2657,null,null,2688,null,null,725,null,null,3124,null,null,3204,null,null,1913,null,null,15
421469,2724,133275,3252,97624,4178,47775,4019,46398,3650,2257,896,1194,500,35651,3883,10635,2187,9265,2065,1370,821,25016,3271,17451,2682,7565,1917,288194,3667,213749,6431,126717,6766,75934,5568,8131,3419,2967,1015,74445,6318,20848,3997,18262,3347,2586,1317,53597,5367,42776,5416,10821,2406,2724,null,null,3252,null,null,4178,null,null,4019,null,null,3650,null,null,896,null,null,500,null,null,3883,null,null,2187,null,null,2065,null,null,821,null,null,3271,null,null,2682,null,null,1917,null,null,3667,null,null,6431,null,null,6766,null,null,5568,null,null,3419,null,null,1015,null,null,6318,null,null,3997,null,null,3347,null,null,1317,null,null,5367,null,null,5416,null,null,2406,null,null,16
2805993,7004,894705,6534,592613,10524,376084,8366,194564,9304,17175,2480,4790,1192,302092,8722,70302,5405,64571,5560,5731,1382,231790,8007,186042,7886,45748,3823,1911288,8466,1258403,15162,845438,14498,347237,12738,49019,4298,16709,3062,652885,16278,135377,9296,122279,8757,13098,2641,517508,14978,432675,14351,84833,7416,7004,null,null,6534,null,null,10524,null,null,8366,null,null,9304,null,null,2480,null,null,1192,null,null,8722,null,null,5405,null,null,5560,null,null,1382,null,null,8007,null,null,7886,null,null,3823,null,null,8466,null,null,15162,null,null,14498,null,null,12738,null,null,4298,null,null,3062,null,null,16278,null,null,9296,null,null,8757,null,null,2641,null,null,14978,null,null,14351,null,null,7416,null,null,17
1489601,6338,481661,5904,312007,8055,179309,7497,117306,7414,10105,1813,5287,1246,169654,7986,41805,4174,37555,4009,4250,1448,127849,6895,98055,6488,29794,4317,1007940,7734,661368,10572,434470,11496,185289,8332,29030,3430,12579,2627,346572,10985,81705,6017,71390,5475,10315,3082,264867,9655,216575,9623,48292,5534,6338,null,null,5904,null,null,8055,null,null,7497,null,null,7414,null,null,1813,null,null,1246,null,null,7986,null,null,4174,null,null,4009,null,null,1448,null,null,6895,null,null,6488,null,null,4317,null,null,7734,null,null,10572,null,null,11496,null,null,8332,null,null,3430,null,null,2627,null,null,10985,null,null,6017,null,null,5475,null,null,3082,null,null,9655,null,null,9623,null,null,5534,null,null,18
695841,3386,229769,3608,158826,4574,109832,4565,42959,3635,3890,1324,2145,1180,70943,3992,19146,2353,17347,2196,1799,806,51797,3514,40266,2973,11531,2240,466072,4353,330352,6409,250449,6878,64848,5222,10416,2308,4639,1477,135720,6452,34386,3243,30645,3152,3741,1186,101334,5885,86764,5727,14570,2193,3386,null,null,3608,null,null,4574,null,null,4565,null,null,3635,null,null,1324,null,null,1180,null,null,3992,null,null,2353,null,null,2196,null,null,806,null,null,3514,null,null,2973,null,null,2240,null,null,4353,null,null,6409,null,null,6878,null,null,5222,null,null,2308,null,null,1477,null,null,6452,null,null,3243,null,null,3152,null,null,1186,null,null,5885,null,null,5727,null,null,2193,null,null,19
685239,4100,227350,3967,158771,5014,99596,4498,54405,3468,4244,1077,526,423,68579,4497,18737,2620,16920,2752,1817,828,49842,3914,42100,3495,7742,1631,457889,4349,317097,8618,217224,7034,84155,6268,11809,2547,3909,1081,140792,7681,39081,4183,34964,4117,4117,1125,101711,6773,89926,6632,11785,2164,4100,null,null,3967,null,null,5014,null,null,4498,null,null,3468,null,null,1077,null,null,423,null,null,4497,null,null,2620,null,null,2752,null,null,828,null,null,3914,null,null,3495,null,null,1631,null,null,4349,null,null,8618,null,null,7034,null,null,6268,null,null,2547,null,null,1081,null,null,7681,null,null,4183,null,null,4117,null,null,1125,null,null,6773,null,null,6632,null,null,2164,null,null,20
927917,6765,299112,4803,190396,5543,115520,5012,64467,4614,6083,1366,4326,1355,108716,5766,22810,3229,19036,3068,3774,968,85906,4971,62858,4846,23048,3325,628805,7243,401712,9385,263750,9318,100694,6800,23747,2991,13521,2325,227093,7947,53552,4849,44150,4279,9402,1812,173541,6975,133922,5822,39619,4543,6765,null,null,4803,null,null,5543,null,null,5012,null,null,4614,null,null,1366,null,null,1355,null,null,5766,null,null,3229,null,null,3068,null,null,968,null,null,4971,null,null,4846,null,null,3325,null,null,7243,null,null,9385,null,null,9318,null,null,6800,null,null,2991,null,null,2325,null,null,7947,null,null,4849,null,null,4279,null,null,1812,null,null,6975,null,null,5822,null,null,4543,null,null,21
1038911,7324,351708,5832,185260,7972,112022,6030,63062,5935,5642,2215,4534,1911,166448,8197,31942,4711,26724,4394,5218,1789,134506,7200,99732,6148,34774,4802,687203,8243,383369,13209,258329,10774,97099,7134,16541,3199,11400,2610,303834,11001,54270,5415,42294,4863,11976,2545,249564,10844,194282,9126,55282,6462,7324,null,null,5832,null,null,7972,null,null,6030,null,null,5935,null,null,2215,null,null,1911,null,null,8197,null,null,4711,null,null,4394,null,null,1789,null,null,7200,null,null,6148,null,null,4802,null,null,8243,null,null,13209,null,null,10774,null,null,7134,null,null,3199,null,null,2610,null,null,11001,null,null,5415,null,null,4863,null,null,2545,null,null,10844,null,null,9126,null,null,6462,null,null,22
