B02011_001E,B02011_001M,B02011_001M,B02011_001EA,B02011_001MA,state
708195,8200,8200,null,null,12
471515,5766,5766,null,null,13
810627,5434,5434,null,null,15
38289,2391,2391,null,null,16
786820,4348,4348,null,null,17
172555,3126,3126,null,null,18
87194,2593,2593,null,null,19
100795,2296,2296,null,null,20
77104,2519,2519,null,null,21
93530,2348,2348,null,null,22
23732,1325,1325,null,null,23
449268,3759,3759,null,null,24
500157,3000,3000,null,null,25
362199,2579,2579,null,null,26
310723,2905,2905,null,null,27
33524,2651,2651,null,null,28
151203,3338,3338,null,null,29
14044,1387,1387,null,null,30
54283,1466,1466,null,null,31
305678,3731,3731,null,null,32
42487,1103,1103,null,null,33
935236,3769,3769,null,null,34
46208,2731,2731,null,null,35
1864781,7607,7607,null,null,36
336661,4384,4384,null,null,37
13470,1475,1475,null,null,38
305150,2855,2855,null,null,39
105872,2023,2023,null,null,40
235801,2879,2879,null,null,41
493781,3423,3423,null,null,42
44090,1475,1475,null,null,44
98824,3717,3717,null,null,45
15830,1877,1877,null,null,46
143549,3105,3105,null,null,47
1493998,9177,9177,null,null,48
104864,1892,1892,null,null,49
13419,933,933,null,null,50
649343,5531,5531,null,null,51
768828,4436,4436,null,null,53
20498,1828,1828,null,null,54
186501,1921,1921,null,null,55
9999,1554,1554,null,null,56
8025,2054,2054,null,null,72
85704,3824,3824,null,null,01
61637,1775,1775,null,null,02
289425,3666,3666,null,null,04
53699,2506,2506,null,null,05
6432756,14312,14312,null,null,06
229940,2645,2645,null,null,08
190086,2761,2761,null,null,09
43419,939,939,null,null,10
34489,977,977,null,null,11
