B20002_001E,B20002_001M,B20002_002E,B20002_002M,B20002_003E,B20002_003M,B20002_001M,B20002_001EA,B20002_001MA,B20002_002M,B20002_002EA,B20002_002MA,B20002_003M,B20002_003EA,B20002_003MA,state
29550,349,31908,164,25833,193,349,null,null,164,null,null,193,null,null,12
31026,174,35959,369,26367,298,174,null,null,369,null,null,298,null,null,13
35514,493,40083,989,31091,461,493,null,null,989,null,null,461,null,null,15
26998,446,32816,1738,21225,522,446,null,null,1738,null,null,522,null,null,16
34774,493,41196,209,28818,512,493,null,null,209,null,null,512,null,null,17
30906,153,37361,377,25013,313,153,null,null,377,null,null,313,null,null,18
31717,267,38078,851,26153,425,267,null,null,851,null,null,425,null,null,19
31098,265,36936,495,25501,375,265,null,null,495,null,null,375,null,null,20
30070,270,35309,402,24405,622,270,null,null,402,null,null,622,null,null,21
30261,266,38063,1432,23485,642,266,null,null,1432,null,null,642,null,null,22
30594,406,35747,726,26046,525,406,null,null,726,null,null,525,null,null,23
41235,211,47434,703,36379,403,211,null,null,703,null,null,403,null,null,24
40557,221,47506,732,33407,849,221,null,null,732,null,null,849,null,null,25
30456,126,36512,257,24611,317,126,null,null,257,null,null,317,null,null,26
36219,251,41616,270,30787,235,251,null,null,270,null,null,235,null,null,27
27427,615,32514,1174,22421,480,615,null,null,1174,null,null,480,null,null,28
30800,182,36375,324,25766,280,182,null,null,324,null,null,280,null,null,29
27162,707,32486,1746,22375,535,707,null,null,1746,null,null,535,null,null,30
31448,229,37517,869,26448,417,229,null,null,869,null,null,417,null,null,31
31132,263,35119,726,27294,406,263,null,null,726,null,null,406,null,null,32
36144,490,41648,585,30883,464,490,null,null,585,null,null,464,null,null,33
40881,243,49101,1061,32614,719,243,null,null,1061,null,null,719,null,null,34
26949,547,31443,584,22668,841,547,null,null,584,null,null,841,null,null,35
36263,175,41130,204,31539,189,175,null,null,204,null,null,189,null,null,36
30552,168,35022,562,26099,229,168,null,null,562,null,null,229,null,null,37
35039,1167,41897,841,27452,1177,1167,null,null,841,null,null,1177,null,null,38
31289,146,37345,237,25921,251,146,null,null,237,null,null,251,null,null,39
30262,182,35891,371,24542,450,182,null,null,371,null,null,450,null,null,40
30897,230,36271,532,25768,419,230,null,null,532,null,null,419,null,null,41
32465,233,40443,195,27415,255,233,null,null,195,null,null,255,null,null,42
35343,733,41141,574,30492,553,733,null,null,574,null,null,553,null,null,44
29640,573,34430,1356,24876,494,573,null,null,1356,null,null,494,null,null,45
31032,338,36465,711,26067,500,338,null,null,711,null,null,500,null,null,46
30164,190,34420,1076,25436,275,190,null,null,1076,null,null,275,null,null,47
31288,107,36725,189,25853,177,107,null,null,189,null,null,177,null,null,48
30209,271,38593,1331,21472,366,271,null,null,1331,null,null,366,null,null,49
32028,551,36322,858,29214,1269,551,null,null,858,null,null,1269,null,null,50
36282,250,41905,289,30591,277,250,null,null,289,null,null,277,null,null,51
36353,278,43776,1144,29662,668,278,null,null,1144,null,null,668,null,null,53
27617,1034,34509,1530,22611,697,1034,null,null,1530,null,null,697,null,null,54
32038,162,39933,550,26715,288,162,null,null,550,null,null,288,null,null,55
31526,816,39913,2022,24526,1509,816,null,null,2022,null,null,1509,null,null,56
16878,194,16898,227,16855,282,194,null,null,227,null,null,282,null,null,72
29164,651,35550,525,23511,470,651,null,null,525,null,null,470,null,null,01
36209,684,42368,1924,30859,646,684,null,null,1924,null,null,646,null,null,02
30675,201,34951,919,26303,325,201,null,null,919,null,null,325,null,null,04
27687,624,31890,359,23450,623,624,null,null,359,null,null,623,null,null,05
32499,285,37947,452,28554,391,285,null,null,452,null,null,391,null,null,06
35274,231,40637,291,30019,364,231,null,null,291,null,null,364,null,null,08
40323,363,48114,1699,32263,425,363,null,null,1699,null,null,425,null,null,09
35408,698,40276,764,30883,713,698,null,null,764,null,null,713,null,null,10
50364,1289,56181,2211,43880,3215,1289,null,null,2211,null,null,3215,null,null,11
