B21004_001E,B21004_001M,B21004_002E,B21004_002M,B21004_003E,B21004_003M,B21004_004E,B21004_004M,B21004_005E,B21004_005M,B21004_006E,B21004_006M,B21004_007E,B21004_007M,B21004_001M,B21004_001EA,B21004_001MA,B21004_002M,B21004_002EA,B21004_002MA,B21004_003M,B21004_003EA,B21004_003MA,B21004_004M,B21004_004EA,B21004_004MA,B21004_005M,B21004_005EA,B21004_005MA,B21004_006M,B21004_006EA,B21004_006MA,B21004_007M,B21004_007EA,B21004_007MA,state
26017,150,36686,506,37010,580,33807,2091,25193,158,30047,226,21754,130,150,null,null,506,null,null,580,null,null,2091,null,null,158,null,null,226,null,null,130,null,null,12
27367,219,40269,840,40694,772,36432,2211,26406,218,31734,262,22215,212,219,null,null,840,null,null,772,null,null,2211,null,null,218,null,null,262,null,null,212,null,null,13
32173,361,47359,1701,48252,1844,39309,5891,31226,382,36656,854,27441,689,361,null,null,1701,null,null,1844,null,null,5891,null,null,382,null,null,854,null,null,689,null,null,15
25883,408,36026,1323,36427,1319,31381,3969,25006,475,32270,908,19392,564,408,null,null,1323,null,null,1319,null,null,3969,null,null,475,null,null,908,null,null,564,null,null,16
31160,147,39713,656,40280,577,31779,2595,30746,154,38620,617,25086,199,147,null,null,656,null,null,577,null,null,2595,null,null,154,null,null,617,null,null,199,null,null,17
27955,272,36243,674,36668,674,31022,1449,27154,181,35681,349,21965,202,272,null,null,674,null,null,674,null,null,1449,null,null,181,null,null,349,null,null,202,null,null,18
30684,235,35970,769,36633,816,27011,3193,30300,256,37688,748,24367,417,235,null,null,769,null,null,816,null,null,3193,null,null,256,null,null,748,null,null,417,null,null,19
29942,462,36955,985,37484,1168,29895,3571,28925,606,36243,604,23543,424,462,null,null,985,null,null,1168,null,null,3571,null,null,606,null,null,604,null,null,424,null,null,20
25390,268,35553,820,35904,832,29301,4298,24361,406,30764,376,20298,282,268,null,null,820,null,null,832,null,null,4298,null,null,406,null,null,376,null,null,282,null,null,21
24872,381,35573,1346,36238,1230,28960,4614,23851,436,31354,456,19506,385,381,null,null,1346,null,null,1230,null,null,4614,null,null,436,null,null,456,null,null,385,null,null,22
27105,402,35868,1098,36265,1128,26244,7733,26421,412,31955,585,22645,706,402,null,null,1098,null,null,1128,null,null,7733,null,null,412,null,null,585,null,null,706,null,null,23
37730,521,54194,1828,54120,2064,54780,4891,36526,308,43412,1499,31613,293,521,null,null,1828,null,null,2064,null,null,4891,null,null,308,null,null,1499,null,null,293,null,null,24
35949,264,41154,932,41122,935,41756,5520,35643,280,44689,928,29347,498,264,null,null,932,null,null,935,null,null,5520,null,null,280,null,null,928,null,null,498,null,null,25
27463,181,35566,543,35957,575,30699,1520,26792,149,34283,470,21852,145,181,null,null,543,null,null,575,null,null,1520,null,null,149,null,null,470,null,null,145,null,null,26
33963,397,39481,865,40049,721,32111,4299,33168,416,41218,251,27388,286,397,null,null,865,null,null,721,null,null,4299,null,null,416,null,null,251,null,null,286,null,null,27
22420,321,34558,1550,35105,1323,29063,4233,21616,276,27431,769,18274,550,321,null,null,1550,null,null,1323,null,null,4233,null,null,276,null,null,769,null,null,550,null,null,28
27767,348,35396,680,35722,698,30988,2339,26955,234,33963,765,22310,242,348,null,null,680,null,null,698,null,null,2339,null,null,234,null,null,765,null,null,242,null,null,29
26624,533,33183,1799,34347,2006,26706,5269,25790,558,32777,1502,21469,414,533,null,null,1799,null,null,2006,null,null,5269,null,null,558,null,null,1502,null,null,414,null,null,30
30917,248,40696,1147,41104,1135,33578,2245,30345,258,37126,538,25117,387,248,null,null,1147,null,null,1135,null,null,2245,null,null,258,null,null,538,null,null,387,null,null,31
28739,598,38846,1966,40270,1599,30400,2855,27402,418,31777,452,24574,552,598,null,null,1966,null,null,1599,null,null,2855,null,null,418,null,null,452,null,null,552,null,null,32
33850,961,44083,2666,45165,2466,31753,4202,32394,693,40755,717,27184,550,961,null,null,2666,null,null,2466,null,null,4202,null,null,693,null,null,717,null,null,550,null,null,33
35953,254,44328,1582,44850,1684,37848,5672,35526,267,45514,433,28348,433,254,null,null,1582,null,null,1684,null,null,5672,null,null,267,null,null,433,null,null,433,null,null,34
24529,509,40279,1807,40690,1400,30973,5924,23080,581,27183,742,20300,551,509,null,null,1807,null,null,1400,null,null,5924,null,null,581,null,null,742,null,null,551,null,null,35
31484,130,40244,678,40576,689,35620,1907,31139,130,37311,257,26130,219,130,null,null,678,null,null,689,null,null,1907,null,null,130,null,null,257,null,null,219,null,null,36
26858,176,37341,693,38241,977,31650,1511,26002,188,31312,244,22010,170,176,null,null,693,null,null,977,null,null,1511,null,null,188,null,null,244,null,null,170,null,null,37
33184,1128,41737,1164,41726,1233,41842,5310,32217,639,42496,1552,26027,648,1128,null,null,1164,null,null,1233,null,null,5310,null,null,639,null,null,1552,null,null,648,null,null,38
28441,261,36029,532,36341,556,30870,2003,27404,176,35490,222,22225,165,261,null,null,532,null,null,556,null,null,2003,null,null,176,null,null,222,null,null,165,null,null,39
