B22003_001E,B22003_001M,B22003_002E,B22003_002M,B22003_003E,B22003_003M,B22003_004E,B22003_004M,B22003_005E,B22003_005M,B22003_006E,B22003_006M,B22003_007E,B22003_007M,B22003_001M,B22003_001EA,B22003_001MA,B22003_002M,B22003_002EA,B22003_002MA,B22003_003M,B22003_003EA,B22003_003MA,B22003_004M,B22003_004EA,B22003_004MA,B22003_005M,B22003_005EA,B22003_005MA,B22003_006M,B22003_006EA,B22003_006MA,B22003_007M,B22003_007EA,B22003_007MA,state
7573456,23478,1077995,17496,451127,11533,626868,14212,6495461,22684,602336,12932,5893125,23534,23478,null,null,17496,null,null,11533,null,null,14212,null,null,22684,null,null,12932,null,null,23534,null,null,12
3686135,15528,516772,11772,251165,7269,265607,9859,3169363,17329,299643,10026,2869720,19131,15528,null,null,11772,null,null,7269,null,null,9859,null,null,17329,null,null,10026,null,null,19131,null,null,13
455868,4824,54008,3530,19925,2253,34083,2790,401860,5330,26372,2311,375488,5316,4824,null,null,3530,null,null,2253,null,null,2790,null,null,5330,null,null,2311,null,null,5316,null,null,15
610872,4143,66302,4555,32267,3420,34035,3548,544570,6501,55873,3908,488697,6846,4143,null,null,4555,null,null,3420,null,null,3548,null,null,6501,null,null,3908,null,null,6846,null,null,16
4822046,12932,642115,11609,291908,8918,350207,8891,4179931,15057,328897,9094,3851034,16507,12932,null,null,11609,null,null,8918,null,null,8891,null,null,15057,null,null,9094,null,null,16507,null,null,17
2533270,10440,272445,7895,143302,6523,129143,5596,2260825,14041,194506,6624,2066319,13333,10440,null,null,7895,null,null,6523,null,null,5596,null,null,14041,null,null,6624,null,null,13333,null,null,18
1247932,7106,136100,5285,62987,3456,73113,4505,1111832,7121,81419,3471,1030413,7047,7106,null,null,5285,null,null,3456,null,null,4505,null,null,7121,null,null,3471,null,null,7047,null,null,19
1110407,6778,88187,4495,45433,2850,42754,3389,1022220,7788,88438,3958,933782,7874,6778,null,null,4495,null,null,2850,null,null,3389,null,null,7788,null,null,3958,null,null,7874,null,null,20
1717706,9131,255718,8110,160204,6537,95514,4492,1461988,11667,148913,6245,1313075,11903,9131,null,null,8110,null,null,6537,null,null,4492,null,null,11667,null,null,6245,null,null,11903,null,null,21
1720801,8997,287164,8481,157396,6897,129768,5889,1433637,11102,177993,6775,1255644,10458,8997,null,null,8481,null,null,6897,null,null,5889,null,null,11102,null,null,6775,null,null,10458,null,null,22
531660,5774,75618,3639,37357,3026,38261,3009,456042,6095,29902,2636,426140,6199,5774,null,null,3639,null,null,3026,null,null,3009,null,null,6095,null,null,2636,null,null,6199,null,null,23
2194657,9484,241614,8561,91905,4872,149709,6674,1953043,10702,115875,4543,1837168,10916,9484,null,null,8561,null,null,4872,null,null,6674,null,null,10702,null,null,4543,null,null,10916,null,null,24
2579398,8290,308996,8472,142293,5867,166703,6594,2270402,11643,141584,5799,2128818,11937,8290,null,null,8472,null,null,5867,null,null,6594,null,null,11643,null,null,5799,null,null,11937,null,null,25
3884153,13696,547147,9670,271666,7043,275481,6926,3337006,12719,271267,7334,3065739,13974,13696,null,null,9670,null,null,7043,null,null,6926,null,null,12719,null,null,7334,null,null,13974,null,null,26
2148725,7378,176238,5103,83263,3680,92975,4250,1972487,8530,122187,4358,1850300,8933,7378,null,null,5103,null,null,3680,null,null,4250,null,null,8530,null,null,4358,null,null,8933,null,null,27
1091245,8803,171868,6020,99851,4703,72017,4136,919377,8397,118249,4948,801128,8800,8803,null,null,6020,null,null,4703,null,null,4136,null,null,8397,null,null,4948,null,null,8800,null,null,28
2372190,10844,271761,8679,142964,6885,128797,6108,2100429,13248,176361,5109,1924068,13772,10844,null,null,8679,null,null,6885,null,null,6108,null,null,13248,null,null,5109,null,null,13772,null,null,29
416125,4426,43952,3325,21800,2702,22152,2084,372173,4868,32684,3194,339489,5091,4426,null,null,3325,null,null,2702,null,null,2084,null,null,4868,null,null,3194,null,null,5091,null,null,30
747562,4452,66941,4216,33288,2948,33653,2843,680621,6027,53199,3313,627422,5782,4452,null,null,4216,null,null,2948,null,null,2843,null,null,6027,null,null,3313,null,null,5782,null,null,31
1055158,6433,138304,6792,58347,4772,79957,5105,916854,9019,77740,4074,839114,9530,6433,null,null,6792,null,null,4772,null,null,5105,null,null,9019,null,null,4074,null,null,9530,null,null,32
520643,5191,37102,2960,15663,2055,21439,2454,483541,5443,23544,2563,459997,6099,5191,null,null,2960,null,null,2055,null,null,2454,null,null,5443,null,null,2563,null,null,6099,null,null,33
3194519,10274,300924,8327,136159,5932,164765,7081,2893595,13923,197843,7516,2695752,13590,10274,null,null,8327,null,null,5932,null,null,7081,null,null,13923,null,null,7516,null,null,13590,null,null,34
758364,6296,127832,5229,66318,4336,61514,4058,630532,7224,70759,3842,559773,7108,6296,null,null,5229,null,null,4336,null,null,4058,null,null,7224,null,null,3842,null,null,7108,null,null,35
7209054,17665,1080612,16413,527410,12860,553202,10286,6128442,24705,510006,10140,5618436,25721,17665,null,null,16413,null,null,12860,null,null,10286,null,null,24705,null,null,10140,null,null,25721,null,null,36
3882423,16063,523899,11421,259615,8664,264284,9034,3358524,16292,303161,9176,3055363,16604,16063,null,null,11421,null,null,8664,null,null,9034,null,null,16292,null,null,9176,null,null,16604,null,null,37
315134,3356,22783,2155,11191,1755,11592,1461,292351,3561,23391,2373,268960,4104,3356,null,null,2155,null,null,1755,null,null,1461,null,null,3561,null,null,2373,null,null,4104,null,null,38
4624669,14929,640303,10648,343621,8518,296682,7476,3984366,17149,313729,8394,3670637,17955,14929,null,null,10648,null,null,8518,null,null,7476,null,null,17149,null,null,8394,null,null,17955,null,null,39
1469342,7193,195296,5758,101324,4166,93972,4029,1274046,8741,126081,4531,1147965,8138,7193,null,null,5758,null,null,4166,null,null,4029,null,null,8741,null,null,4531,null,null,8138,null,null,40
1571678,6691,263647,8859,104874,5605,158773,7069,1308031,10124,92252,4645,1215779,10106,6691,null,null,8859,null,null,5605,null,null,7069,null,null,10124,null,null,4645,null,null,10106,null,null,41
4937771,13721,660314,12137,300239,8117,360075,9132,4277457,17434,305588,8604,3971869,17954,13721,null,null,12137,null,null,8117,null,null,9132,null,null,17434,null,null,8604,null,null,17954,null,null,42
408239,4139,64966,3813,32346,3241,32620,2573,343273,4781,23942,2379,319331,5024,4139,null,null,3813,null,null,3241,null,null,2573,null,null,4781,null,null,2379,null,null,5024,null,null,44
1877887,10574,261992,7129,131493,5454,130499,5668,1615895,11951,149273,5790,1466622,12173,10574,null,null,7129,null,null,5454,null,null,5668,null,null,11951,null,null,5790,null,null,12173,null,null,45
334003,3659,31549,2261,16534,1652,15015,1823,302454,3795,22684,2015,279770,4269,3659,null,null,2261,null,null,1652,null,null,1823,null,null,3795,null,null,2015,null,null,4269,null,null,46
2556332,11690,373125,7676,188068,7341,185057,6010,2183207,14217,199982,6639,1983225,13480,11690,null,null,7676,null,null,7341,null,null,6010,null,null,14217,null,null,6639,null,null,13480,null,null,47
9535612,20125,1175141,17921,568942,12147,606199,14495,8360471,24560,799872,15472,7560599,28787,20125,null,null,17921,null,null,12147,null,null,14495,null,null,24560,null,null,15472,null,null,28787,null,null,48
