B99194_001E,B99194_002E,B99194_003E,B99194_004E,B99194_005E,B99194_006E,B99194_007E,B99194_008E,B99194_001EA,B99194_002EA,B99194_003EA,B99194_004EA,B99194_005EA,B99194_006EA,B99194_007EA,B99194_008EA,state
2708995,1772541,168179,39550,30681,55391,92221,550432,null,null,null,null,null,null,null,null,12
1207132,809504,67836,15925,14585,23563,39261,236458,null,null,null,null,null,null,null,null,13
140363,95852,7817,2455,2249,3404,7250,21336,null,null,null,null,null,null,null,null,15
199255,132103,11247,3530,3224,4032,5578,39541,null,null,null,null,null,null,null,null,16
1721433,1170079,101657,27068,18398,33041,50843,320347,null,null,null,null,null,null,null,null,17
887512,599358,60656,12450,10881,17671,27962,158534,null,null,null,null,null,null,null,null,18
452889,300783,29711,8033,3952,11275,15818,83317,null,null,null,null,null,null,null,null,19
394402,270771,22600,6674,4938,8864,13239,67316,null,null,null,null,null,null,null,null,20
596302,408089,38993,6749,5447,11283,18490,107251,null,null,null,null,null,null,null,null,21
623089,413120,34247,6553,5485,10689,17391,135604,null,null,null,null,null,null,null,null,22
202106,144796,13734,3623,2834,4300,7612,25207,null,null,null,null,null,null,null,null,23
735704,493438,46507,14307,8685,13325,25218,134224,null,null,null,null,null,null,null,null,24
945737,620037,59602,18562,11858,20718,40018,174942,null,null,null,null,null,null,null,null,25
1407558,953436,92334,25814,18693,26698,50814,239769,null,null,null,null,null,null,null,null,26
781621,553281,48580,15820,9710,17757,27896,108577,null,null,null,null,null,null,null,null,27
360526,237493,24322,5334,2506,7281,9742,73848,null,null,null,null,null,null,null,null,28
844841,577714,52182,11414,9005,21499,28409,144618,null,null,null,null,null,null,null,null,29
158676,106717,9087,2972,1742,4341,5502,28315,null,null,null,null,null,null,null,null,30
271126,183108,16219,4387,3016,5940,9971,48485,null,null,null,null,null,null,null,null,31
384190,262977,21326,4760,4889,8230,12752,69256,null,null,null,null,null,null,null,null,32
177731,126627,11780,3982,2964,3903,5153,23322,null,null,null,null,null,null,null,null,33
997369,660914,63601,17708,12202,21028,34193,187723,null,null,null,null,null,null,null,null,34
277237,199903,15544,4714,2148,5398,8300,41230,null,null,null,null,null,null,null,null,35
2667471,1737984,170456,44923,31700,56063,103736,522609,null,null,null,null,null,null,null,null,36
1339760,929098,79129,17965,13168,26237,42209,231954,null,null,null,null,null,null,null,null,37
130230,89724,7219,1686,2035,3353,4396,21817,null,null,null,null,null,null,null,null,38
1695008,1179173,106617,25911,21806,31010,52944,277547,null,null,null,null,null,null,null,null,39
507611,339902,28868,7314,6586,10696,16565,97680,null,null,null,null,null,null,null,null,40
575929,403982,34854,9445,7458,17390,25397,77403,null,null,null,null,null,null,null,null,41
1787208,1193672,116183,33612,25767,38256,57199,322519,null,null,null,null,null,null,null,null,42
160791,110031,10502,3071,1745,3501,5081,26860,null,null,null,null,null,null,null,null,44
653192,425493,39056,9023,6443,11276,20697,141204,null,null,null,null,null,null,null,null,45
124017,88558,6570,2441,861,3038,5231,17318,null,null,null,null,null,null,null,null,46
885727,580752,56488,11340,10454,17928,27436,181329,null,null,null,null,null,null,null,null,47
2933397,2047058,142911,37316,32183,53598,99574,520757,null,null,null,null,null,null,null,null,48
232023,167103,12366,3658,3130,6681,10342,28743,null,null,null,null,null,null,null,null,49
100430,69975,5464,2374,1454,3096,4001,14066,null,null,null,null,null,null,null,null,50
1057643,715494,63717,20593,14030,24036,37275,182498,null,null,null,null,null,null,null,null,51
984033,699874,60575,18082,13124,24533,39484,128361,null,null,null,null,null,null,null,null,53
254729,179023,16371,2818,2585,4407,7866,41659,null,null,null,null,null,null,null,null,54
866076,598253,54362,17514,10706,18945,29297,136999,null,null,null,null,null,null,null,null,55
78095,51894,3958,1803,1720,1614,3497,13609,null,null,null,null,null,null,null,null,56
372106,284282,16359,1284,2855,3831,7016,56479,null,null,null,null,null,null,null,null,72
644156,413723,42483,9350,7390,13253,16931,141026,null,null,null,null,null,null,null,null,01
84366,62395,2124,2091,2211,1849,6462,7234,null,null,null,null,null,null,null,null,02
870313,586946,55037,11011,8828,18096,28793,161602,null,null,null,null,null,null,null,null,04
394801,268258,23498,6613,4067,8194,10004,74167,null,null,null,null,null,null,null,null,05
4056417,2768309,225441,67201,57941,102088,177839,657598,null,null,null,null,null,null,null,null,06
761056,531812,42259,12917,8541,18935,34110,112482,null,null,null,null,null,null,null,null,08
476669,325330,28756,9146,5482,10321,19028,78606,null,null,null,null,null,null,null,null,09
118652,81394,7242,1698,975,2222,3133,21988,null,null,null,null,null,null,null,null,10
158509,110243,8677,2515,2618,3914,6700,23842,null,null,null,null,null,null,null,null,11
