B18106_001E,B18106_001M,B18106_002E,B18106_002M,B18106_003E,B18106_003M,B18106_004E,B18106_004M,B18106_005E,B18106_005M,B18106_006E,B18106_006M,B18106_007E,B18106_007M,B18106_008E,B18106_008M,B18106_009E,B18106_009M,B18106_010E,B18106_010M,B18106_011E,B18106_011M,B18106_012E,B18106_012M,B18106_013E,B18106_013M,B18106_014E,B18106_014M,B18106_015E,B18106_015M,B18106_016E,B18106_016M,B18106_017E,B18106_017M,B18106_018E,B18106_018M,B18106_019E,B18106_019M,B18106_020E,B18106_020M,B18106_021E,B18106_021M,B18106_022E,B18106_022M,B18106_023E,B18106_023M,B18106_024E,B18106_024M,B18106_025E,B18106_025M,B18106_026E,B18106_026M,B18106_027E,B18106_027M,B18106_028E,B18106_028M,B18106_029E,B18106_029M,B18106_030E,B18106_030M,B18106_031E,B18106_031M,B18106_032E,B18106_032M,B18106_033E,B18106_033M,B18106_001M,B18106_001EA,B18106_001MA,B18106_002M,B18106_002EA,B18106_002MA,B18106_003M,B18106_003EA,B18106_003MA,B18106_004M,B18106_004EA,B18106_004MA,B18106_005M,B18106_005EA,B18106_005MA,B18106_006M,B18106_006EA,B18106_006MA,B18106_007M,B18106_007EA,B18106_007MA,B18106_008M,B18106_008EA,B18106_008MA,B18106_009M,B18106_009EA,B18106_009MA,B18106_010M,B18106_010EA,B18106_010MA,B18106_011M,B18106_011EA,B18106_011MA,B18106_012M,B18106_012EA,B18106_012MA,B18106_013M,B18106_013EA,B18106_013MA,B18106_014M,B18106_014EA,B18106_014MA,B18106_015M,B18106_015EA,B18106_015MA,B18106_016M,B18106_016EA,B18106_016MA,B18106_017M,B18106_017EA,B18106_017MA,B18106_018M,B18106_018EA,B18106_018MA,B18106_019M,B18106_019EA,B18106_019MA,B18106_020M,B18106_020EA,B18106_020MA,B18106_021M,B18106_021EA,B18106_021MA,B18106_022M,B18106_022EA,B18106_022MA,B18106_023M,B18106_023EA,B18106_023MA,B18106_024M,B18106_024EA,B18106_024MA,B18106_025M,B18106_025EA,B18106_025MA,B18106_026M,B18106_026EA,B18106_026MA,B18106_027M,B18106_027EA,B18106_027MA,B18106_028M,B18106_028EA,B18106_028MA,B18106_029M,B18106_029EA,B18106_029MA,B18106_030M,B18106_030EA,B18106_030MA,B18106_031M,B18106_031EA,B18106_031MA,B18106_032M,B18106_032EA,B18106_032MA,B18106_033M,B18106_033EA,B18106_033MA,state
19177107,4766,9258417,8294,1540903,5277,17750,2418,1523153,5166,2142659,7346,21912,2922,2120747,8020,3761541,7581,86784,5259,3674757,8851,1046794,2943,33672,3144,1013122,3479,766520,2762,74311,4033,692209,4842,9918690,6963,1478070,5997,10211,1856,1467859,6319,2160736,7148,19620,2544,2141116,7803,4072452,5872,97502,6251,3974950,7308,1213343,3258,43634,3550,1169709,4940,994089,3398,138110,5793,855979,6770,4766,null,null,8294,null,null,5277,null,null,2418,null,null,5166,null,null,7346,null,null,2922,null,null,8020,null,null,7581,null,null,5259,null,null,8851,null,null,2943,null,null,3144,null,null,3479,null,null,2762,null,null,4033,null,null,4842,null,null,6963,null,null,5997,null,null,1856,null,null,6319,null,null,7148,null,null,2544,null,null,7803,null,null,5872,null,null,6251,null,null,7308,null,null,3258,null,null,3550,null,null,4940,null,null,3398,null,null,5793,null,null,6770,null,null,12
9465910,5878,4530988,8536,943187,5942,11552,2611,931635,6069,1129302,5936,11609,2296,1117693,6157,1878678,6160,43954,3850,1834724,7006,382965,3225,18267,2180,364698,3913,196856,2573,23216,2323,173640,3070,4934922,7206,908261,5121,9040,1841,899221,5411,1198145,5087,10052,1714,1188093,5455,2078034,6010,49576,4188,2028458,6974,457409,3444,20570,2488,436839,3814,293073,2997,45456,3449,247617,4064,5878,null,null,8536,null,null,5942,null,null,2611,null,null,6069,null,null,5936,null,null,2296,null,null,6157,null,null,6160,null,null,3850,null,null,7006,null,null,3225,null,null,2180,null,null,3913,null,null,2573,null,null,2323,null,null,3070,null,null,7206,null,null,5121,null,null,1841,null,null,5411,null,null,5087,null,null,1714,null,null,5455,null,null,6010,null,null,4188,null,null,6974,null,null,3444,null,null,2488,null,null,3814,null,null,2997,null,null,3449,null,null,4064,null,null,13
1288024,2529,630027,2730,111362,1275,718,309,110644,1289,151384,2316,1013,508,150371,2376,258922,2108,4463,969,254459,2371,67152,693,2360,1195,64792,1476,41207,549,4780,1110,36427,1180,657997,1869,105493,1204,121,125,105372,1182,152615,1315,807,506,151808,1283,269514,1052,3967,944,265547,1432,70961,498,2809,842,68152,989,59414,557,11213,1359,48201,1461,2529,null,null,2730,null,null,1275,null,null,309,null,null,1289,null,null,2316,null,null,508,null,null,2376,null,null,2108,null,null,969,null,null,2371,null,null,693,null,null,1195,null,null,1476,null,null,549,null,null,1110,null,null,1180,null,null,1869,null,null,1204,null,null,125,null,null,1182,null,null,1315,null,null,506,null,null,1283,null,null,1052,null,null,944,null,null,1432,null,null,498,null,null,842,null,null,989,null,null,557,null,null,1359,null,null,1461,null,null,15
1548724,1864,768547,2817,165845,2271,2292,876,163553,2332,186688,2462,1726,638,184962,2712,296830,2494,6341,1476,290489,2710,74869,1212,2657,915,72212,1423,44315,869,4173,1037,40142,1345,780177,2676,155642,2013,1597,695,154045,2123,184608,2227,1600,643,183008,2476,306677,2511,9739,1846,296938,2867,79249,1178,1800,488,77449,1240,54001,859,7625,1307,46376,1571,1864,null,null,2817,null,null,2271,null,null,876,null,null,2332,null,null,2462,null,null,638,null,null,2712,null,null,2494,null,null,1476,null,null,2710,null,null,1212,null,null,915,null,null,1423,null,null,869,null,null,1037,null,null,1345,null,null,2676,null,null,2013,null,null,695,null,null,2123,null,null,2227,null,null,643,null,null,2476,null,null,2511,null,null,1846,null,null,2867,null,null,1178,null,null,488,null,null,1240,null,null,859,null,null,1307,null,null,1571,null,null,16
11850898,2531,5773220,4836,1095278,3003,10767,1844,1084511,3844,1459919,3508,11551,2110,1448368,4035,2427513,3724,51121,3657,2376392,5126,491228,1546,21129,1937,470099,2523,299282,2128,33235,2402,266047,3162,6077678,4745,1055095,3087,7980,1403,1047115,3275,1465364,2903,7718,1384,1457646,3030,2539819,3516,54047,3667,2485772,5018,568449,2072,25505,2356,542944,2926,448951,2560,68452,3929,380499,4809,2531,null,null,4836,null,null,3003,null,null,1844,null,null,3844,null,null,3508,null,null,2110,null,null,4035,null,null,3724,null,null,3657,null,null,5126,null,null,1546,null,null,1937,null,null,2523,null,null,2128,null,null,2402,null,null,3162,null,null,4745,null,null,3087,null,null,1403,null,null,3275,null,null,2903,null,null,1384,null,null,3030,null,null,3516,null,null,3667,null,null,5018,null,null,2072,null,null,2356,null,null,2926,null,null,2560,null,null,3929,null,null,4809,null,null,17
6114547,3206,2988588,5274,591206,3776,7075,1534,584131,3948,747116,4328,7228,1679,739888,5007,1226755,4515,35340,3432,1191415,5781,267078,1757,11207,1615,255871,2401,156433,1459,16259,1495,140174,1933,3125959,5091,562352,3840,4127,993,558225,4027,746645,2984,5308,1278,741337,3161,1283195,3797,36747,3238,1246448,4754,304566,2037,13918,1822,290648,2362,229201,1854,31966,2447,197235,2819,3206,null,null,5274,null,null,3776,null,null,1534,null,null,3948,null,null,4328,null,null,1679,null,null,5007,null,null,4515,null,null,3432,null,null,5781,null,null,1757,null,null,1615,null,null,2401,null,null,1459,null,null,1495,null,null,1933,null,null,5091,null,null,3840,null,null,993,null,null,4027,null,null,2984,null,null,1278,null,null,3161,null,null,3797,null,null,3238,null,null,4754,null,null,2037,null,null,1822,null,null,2362,null,null,1854,null,null,2447,null,null,2819,null,null,18
2893950,1898,1430471,3274,270610,2137,3159,711,267451,2290,356637,2445,2310,831,354327,2544,582367,3025,10801,1431,571566,3219,133100,1180,4540,898,128560,1430,87757,969,7021,1121,80736,1412,1463479,2837,256900,1887,1867,781,255033,1904,350207,2738,2453,877,347754,3051,585994,2745,11089,1170,574905,3145,143825,1161,4508,752,139317,1402,126553,1262,12327,1431,114226,1730,1898,null,null,3274,null,null,2137,null,null,711,null,null,2290,null,null,2445,null,null,831,null,null,2544,null,null,3025,null,null,1431,null,null,3219,null,null,1180,null,null,898,null,null,1430,null,null,969,null,null,1121,null,null,1412,null,null,2837,null,null,1887,null,null,781,null,null,1904,null,null,2738,null,null,877,null,null,3051,null,null,2745,null,null,1170,null,null,3145,null,null,1161,null,null,752,null,null,1402,null,null,1262,null,null,1431,null,null,1730,null,null,19
2653456,2585,1306273,4333,263594,2711,3014,797,260580,2750,330380,3296,2938,768,327442,3293,523091,3174,10486,1512,512605,3545,116363,1273,5089,1110,111274,1578,72845,1233,7199,1057,65646,1442,1347183,3590,252102,2936,2048,686,250054,2933,326343,2832,1799,626,324544,2896,538579,2688,14387,1736,524192,3168,127311,1090,5395,986,121916,1465,102848,1425,11224,1476,91624,1732,2585,null,null,4333,null,null,2711,null,null,797,null,null,2750,null,null,3296,null,null,768,null,null,3293,null,null,3174,null,null,1512,null,null,3545,null,null,1273,null,null,1110,null,null,1578,null,null,1233,null,null,1057,null,null,1442,null,null,3590,null,null,2936,null,null,686,null,null,2933,null,null,2832,null,null,626,null,null,2896,null,null,2688,null,null,1736,null,null,3168,null,null,1090,null,null,986,null,null,1465,null,null,1425,null,null,1476,null,null,1732,null,null,20
4081431,3163,1982073,5178,377444,3224,6725,1523,370719,3407,478318,3496,5849,1318,472469,3579,830830,3363,31633,3008,799197,4786,189568,1155,11398,1461,178170,2063,105913,1266,14242,1651,91671,1922,2099358,4560,359593,2815,2946,940,356647,2899,485736,3322,4350,1075,481386,3454,884143,3043,34163,2546,849980,4310,215237,1572,12276,1717,202961,2175,154649,1309,25452,2191,129197,2622,3163,null,null,5178,null,null,3224,null,null,1523,null,null,3407,null,null,3496,null,null,1318,null,null,3579,null,null,3363,null,null,3008,null,null,4786,null,null,1155,null,null,1461,null,null,2063,null,null,1266,null,null,1651,null,null,1922,null,null,4560,null,null,2815,null,null,940,null,null,2899,null,null,3322,null,null,1075,null,null,3454,null,null,3043,null,null,2546,null,null,4310,null,null,1572,null,null,1717,null,null,2175,null,null,1309,null,null,2191,null,null,2622,null,null,21
4270219,4205,2054579,5673,417051,5121,4631,1200,412420,5195,524846,4907,8487,2021,516359,5025,825918,5223,25903,2854,800015,5751,183138,1906,9668,1678,173470,2389,103626,1473,13036,1453,90590,1942,2215640,4394,391443,3837,3721,1230,387722,4040,554932,3664,4318,1127,550614,3852,902003,4085,33580,3360,868423,4954,214897,1735,13150,1648,201747,2254,152365,1821,27315,2491,125050,2929,4205,null,null,5673,null,null,5121,null,null,1200,null,null,5195,null,null,4907,null,null,2021,null,null,5025,null,null,5223,null,null,2854,null,null,5751,null,null,1906,null,null,1678,null,null,2389,null,null,1473,null,null,1453,null,null,1942,null,null,4394,null,null,3837,null,null,1230,null,null,4040,null,null,3664,null,null,1127,null,null,3852,null,null,4085,null,null,3360,null,null,4954,null,null,1735,null,null,1648,null,null,2254,null,null,1821,null,null,2491,null,null,2929,null,null,22
