B27010_001E,B27010_001M,B27010_002E,B27010_002M,B27010_003E,B27010_003M,B27010_004E,B27010_004M,B27010_005E,B27010_005M,B27010_006E,B27010_006M,B27010_007E,B27010_007M,B27010_008E,B27010_008M,B27010_009E,B27010_009M,B27010_010E,B27010_010M,B27010_011E,B27010_011M,B27010_012E,B27010_012M,B27010_013E,B27010_013M,B27010_014E,B27010_014M,B27010_015E,B27010_015M,B27010_016E,B27010_016M,B27010_017E,B27010_017M,B27010_018E,B27010_018M,B27010_019E,B27010_019M,B27010_020E,B27010_020M,B27010_021E,B27010_021M,B27010_022E,B27010_022M,B27010_023E,B27010_023M,B27010_024E,B27010_024M,B27010_025E,B27010_025M,B27010_026E,B27010_026M,B27010_027E,B27010_027M,B27010_028E,B27010_028M,B27010_029E,B27010_029M,B27010_030E,B27010_030M,B27010_031E,B27010_031M,B27010_032E,B27010_032M,B27010_033E,B27010_033M,B27010_034E,B27010_034M,B27010_035E,B27010_035M,B27010_036E,B27010_036M,B27010_037E,B27010_037M,B27010_038E,B27010_038M,B27010_039E,B27010_039M,B27010_040E,B27010_040M,B27010_041E,B27010_041M,B27010_042E,B27010_042M,B27010_043E,B27010_043M,B27010_044E,B27010_044M,B27010_045E,B27010_045M,B27010_046E,B27010_046M,B27010_047E,B27010_047M,B27010_048E,B27010_048M,B27010_049E,B27010_049M,B27010_050E,B27010_050M,B27010_051E,B27010_051M,B27010_052E,B27010_052M,B27010_053E,B27010_053M,B27010_054E,B27010_054M,B27010_055E,B27010_055M,B27010_056E,B27010_056M,B27010_057E,B27010_057M,B27010_058E,B27010_058M,B27010_059E,B27010_059M,B27010_060E,B27010_060M,B27010_061E,B27010_061M,B27010_062E,B27010_062M,B27010_063E,B27010_063M,B27010_064E,B27010_064M,B27010_065E,B27010_065M,B27010_066E,B27010_066M,B27010_001M,B27010_001EA,B27010_001MA,B27010_002M,B27010_002EA,B27010_002MA,B27010_003M,B27010_003EA,B27010_003MA,B27010_004M,B27010_004EA,B27010_004MA,B27010_005M,B27010_005EA,B27010_005MA,B27010_006M,B27010_006EA,B27010_006MA,B27010_007M,B27010_007EA,B27010_007MA,B27010_008M,B27010_008EA,B27010_008MA,B27010_009M,B27010_009EA,B27010_009MA,B27010_010M,B27010_010EA,B27010_010MA,B27010_011M,B27010_011EA,B27010_011MA,B27010_012M,B27010_012EA,B27010_012MA,B27010_013M,B27010_013EA,B27010_013MA,B27010_014M,B27010_014EA,B27010_014MA,B27010_015M,B27010_015EA,B27010_015MA,B27010_016M,B27010_016EA,B27010_016MA,B27010_017M,B27010_017EA,B27010_017MA,B27010_018M,B27010_018EA,B27010_018MA,B27010_019M,B27010_019EA,B27010_019MA,B27010_020M,B27010_020EA,B27010_020MA,B27010_021M,B27010_021EA,B27010_021MA,B27010_022M,B27010_022EA,B27010_022MA,B27010_023M,B27010_023EA,B27010_023MA,B27010_024M,B27010_024EA,B27010_024MA,B27010_025M,B27010_025EA,B27010_025MA,B27010_026M,B27010_026EA,B27010_026MA,B27010_027M,B27010_027EA,B27010_027MA,B27010_028M,B27010_028EA,B27010_028MA,B27010_029M,B27010_029EA,B27010_029MA,B27010_030M,B27010_030EA,B27010_030MA,B27010_031M,B27010_031EA,B27010_031MA,B27010_032M,B27010_032EA,B27010_032MA,B27010_033M,B27010_033EA,B27010_033MA,B27010_034M,B27010_034EA,B27010_034MA,B27010_035M,B27010_035EA,B27010_035MA,B27010_036M,B27010_036EA,B27010_036MA,B27010_037M,B27010_037EA,B27010_037MA,B27010_038M,B27010_038EA,B27010_038MA,B27010_039M,B27010_039EA,B27010_039MA,B27010_040M,B27010_040EA,B27010_040MA,B27010_041M,B27010_041EA,B27010_041MA,B27010_042M,B27010_042EA,B27010_042MA,B27010_043M,B27010_043EA,B27010_043MA,B27010_044M,B27010_044EA,B27010_044MA,B27010_045M,B27010_045EA,B27010_045MA,B27010_046M,B27010_046EA,B27010_046MA,B27010_047M,B27010_047EA,B27010_047MA,B27010_048M,B27010_048EA,B27010_048MA,B27010_049M,B27010_049EA,B27010_049MA,B27010_050M,B27010_050EA,B27010_050MA,B27010_051M,B27010_051EA,B27010_051MA,B27010_052M,B27010_052EA,B27010_052MA,B27010_053M,B27010_053EA,B27010_053MA,B27010_054M,B27010_054EA,B27010_054MA,B27010_055M,B27010_055EA,B27010_055MA,B27010_056M,B27010_056EA,B27010_056MA,B27010_057M,B27010_057EA,B27010_057MA,B27010_058M,B27010_058EA,B27010_058MA,B27010_059M,B27010_059EA,B27010_059MA,B27010_060M,B27010_060EA,B27010_060MA,B27010_061M,B27010_061EA,B27010_061MA,B27010_062M,B27010_062EA,B27010_062MA,B27010_063M,B27010_063EA,B27010_063MA,B27010_064M,B27010_064EA,B27010_064MA,B27010_065M,B27010_065EA,B27010_065MA,B27010_066M,B27010_066EA,B27010_066MA,state
20294479,4316,4136345,4168,3675646,18347,1571904,22501,332045,14249,11916,2653,1671435,23557,85823,6780,2523,1379,203952,9052,29827,3564,867,604,10114,2277,22221,4011,1121,558,139802,8740,256747,14400,4303395,8708,3149443,23008,2014056,21734,562672,16734,14161,2467,488249,14316,54124,4586,16181,2653,203901,8652,60251,5250,1690,587,23844,3195,16708,2511,2634,990,98774,6100,950051,21862,7833993,9462,5883321,28010,3871825,30666,1125925,20340,171343,8330,549521,15796,104907,5992,59800,4692,666296,15729,112172,6824,29921,3246,22164,2586,161794,8362,41236,3543,19497,2295,279512,11385,1284376,27132,4020746,4299,1495019,19529,74078,4855,34006,4115,1381372,20378,2592,1056,2971,1091,2472654,19175,4634,1102,548824,12400,697760,12414,388488,8685,689,613,110571,5021,721688,12535,53073,5594,4316,null,null,4168,null,null,18347,null,null,22501,null,null,14249,null,null,2653,null,null,23557,null,null,6780,null,null,1379,null,null,9052,null,null,3564,null,null,604,null,null,2277,null,null,4011,null,null,558,null,null,8740,null,null,14400,null,null,8708,null,null,23008,null,null,21734,null,null,16734,null,null,2467,null,null,14316,null,null,4586,null,null,2653,null,null,8652,null,null,5250,null,null,587,null,null,3195,null,null,2511,null,null,990,null,null,6100,null,null,21862,null,null,9462,null,null,28010,null,null,30666,null,null,20340,null,null,8330,null,null,15796,null,null,5992,null,null,4692,null,null,15729,null,null,6824,null,null,3246,null,null,2586,null,null,8362,null,null,3543,null,null,2295,null,null,11385,null,null,27132,null,null,4299,null,null,19529,null,null,4855,null,null,4115,null,null,20378,null,null,1056,null,null,1091,null,null,19175,null,null,1102,null,null,12400,null,null,12414,null,null,8685,null,null,613,null,null,5021,null,null,12535,null,null,5594,null,null,12
10120788,3683,2506326,3107,2210119,13435,1052022,18312,139105,10186,15214,3562,934934,20458,66517,6694,2327,1470,133435,8179,21979,2783,2300,2295,7540,2300,17154,3214,164,167,84298,6779,162772,11777,2327447,8310,1676754,15729,1200935,16909,226551,10653,7496,1792,189401,9041,44749,5060,7622,1682,126451,7538,36876,4095,1981,748,11038,2139,16742,2626,1018,636,58796,4461,524242,16028,3956712,7518,2968481,18794,2220826,22617,379827,12111,81094,4208,195232,9113,62821,6149,28681,3190,378462,12267,85637,6501,20085,2352,8651,1676,78988,5091,25589,3037,12567,2453,146945,7232,609769,15242,1330303,3964,425427,10841,33978,3206,7491,1582,382711,10145,551,350,696,439,892086,10626,1124,583,242373,7764,229675,7505,113179,5642,424,457,31548,2915,273763,8507,12790,2297,3683,null,null,3107,null,null,13435,null,null,18312,null,null,10186,null,null,3562,null,null,20458,null,null,6694,null,null,1470,null,null,8179,null,null,2783,null,null,2295,null,null,2300,null,null,3214,null,null,167,null,null,6779,null,null,11777,null,null,8310,null,null,15729,null,null,16909,null,null,10653,null,null,1792,null,null,9041,null,null,5060,null,null,1682,null,null,7538,null,null,4095,null,null,748,null,null,2139,null,null,2626,null,null,636,null,null,4461,null,null,16028,null,null,7518,null,null,18794,null,null,22617,null,null,12111,null,null,4208,null,null,9113,null,null,6149,null,null,3190,null,null,12267,null,null,6501,null,null,2352,null,null,1676,null,null,5091,null,null,3037,null,null,2453,null,null,7232,null,null,15242,null,null,3964,null,null,10841,null,null,3206,null,null,1582,null,null,10145,null,null,350,null,null,439,null,null,10626,null,null,583,null,null,7764,null,null,7505,null,null,5642,null,null,457,null,null,2915,null,null,8507,null,null,2297,null,null,13
1378730,2525,307561,765,267375,4150,141406,6403,14022,2052,130,126,82323,5020,29448,3319,46,75,33289,3337,5409,1221,184,236,223,213,12528,2513,80,113,14865,2127,6897,2095,303999,2791,258878,4189,180552,5115,18533,2314,720,572,41929,3251,16584,2101,560,477,27605,2915,5193,1246,97,110,746,382,10512,2102,194,230,10863,1662,17516,2419,528436,2056,450174,4970,338115,8499,36735,3450,5788,1190,54410,4434,13150,2052,1976,711,54828,3520,15559,1923,2658,800,1701,784,4228,1032,10864,1768,919,566,18899,2176,23434,3018,238734,714,60744,3495,9757,1589,1514,669,48627,3173,53,75,793,1072,177164,3444,435,263,77227,3415,29400,2520,18058,2091,198,176,3249,754,48597,2615,826,411,2525,null,null,765,null,null,4150,null,null,6403,null,null,2052,null,null,126,null,null,5020,null,null,3319,null,null,75,null,null,3337,null,null,1221,null,null,236,null,null,213,null,null,2513,null,null,113,null,null,2127,null,null,2095,null,null,2791,null,null,4189,null,null,5115,null,null,2314,null,null,572,null,null,3251,null,null,2101,null,null,477,null,null,2915,null,null,1246,null,null,110,null,null,382,null,null,2102,null,null,230,null,null,1662,null,null,2419,null,null,2056,null,null,4970,null,null,8499,null,null,3450,null,null,1190,null,null,4434,null,null,2052,null,null,711,null,null,3520,null,null,1923,null,null,800,null,null,784,null,null,1032,null,null,1768,null,null,566,null,null,2176,null,null,3018,null,null,714,null,null,3495,null,null,1589,null,null,669,null,null,3173,null,null,75,null,null,1072,null,null,3444,null,null,263,null,null,3415,null,null,2520,null,null,2091,null,null,176,null,null,754,null,null,2615,null,null,411,null,null,15
1662867,795,435630,1373,386108,5073,193337,9119,37791,3965,573,395,147770,7506,6583,1633,54,87,29039,4765,4027,1822,87,137,1059,489,3446,1579,10,17,20410,3813,20483,3088,371296,3485,280491,5365,192959,6881,49603,4168,742,523,31601,4047,4549,1357,1037,612,25065,2805,7590,1724,113,199,3202,1072,1739,711,494,375,11927,1850,65740,4429,603507,3358,462960,6597,338328,8256,82927,5009,8744,1723,23115,2669,5853,1180,3993,1249,60587,4356,13240,2197,2710,985,3643,1481,11327,1636,4123,1113,2158,661,23386,3066,79960,4881,252434,1794,71940,3894,4850,1181,374,278,66263,3854,132,193,321,380,178567,4170,706,760,30403,3089,69286,3897,17344,2539,0,198,9134,1447,51694,2653,1927,884,795,null,null,1373,null,null,5073,null,null,9119,null,null,3965,null,null,395,null,null,7506,null,null,1633,null,null,87,null,null,4765,null,null,1822,null,null,137,null,null,489,null,null,1579,null,null,17,null,null,3813,null,null,3088,null,null,3485,null,null,5365,null,null,6881,null,null,4168,null,null,523,null,null,4047,null,null,1357,null,null,612,null,null,2805,null,null,1724,null,null,199,null,null,1072,null,null,711,null,null,375,null,null,1850,null,null,4429,null,null,3358,null,null,6597,null,null,8256,null,null,5009,null,null,1723,null,null,2669,null,null,1180,null,null,1249,null,null,4356,null,null,2197,null,null,985,null,null,1481,null,null,1636,null,null,1113,null,null,661,null,null,3066,null,null,4881,null,null,1794,null,null,3894,null,null,1181,null,null,278,null,null,3854,null,null,193,null,null,380,null,null,4170,null,null,760,null,null,3089,null,null,3897,null,null,2539,null,null,198,null,null,1447,null,null,2653,null,null,884,null,null,16
12620388,1326,2919863,2632,2718793,11020,1515328,20130,149411,7925,6388,1536,1028670,20401,18258,3298,738,529,129751,8726,22777,2856,206,160,5159,1521,5767,1807,288,267,95554,7721,71319,6201,2925283,4367,2471131,14160,1705009,14498,272280,9364,9075,1629,467953,10455,12384,1914,4430,1109,133537,5435,53388,3266,1541,492,10217,1631,4849,1093,1136,428,62406,4290,320615,11974,4967332,5023,4207985,14262,3127546,18614,434420,9524,74189,4507,537658,12007,16751,1911,17421,2276,350147,10261,102199,4928,25569,2388,15895,2071,81341,4438,8970,1252,9855,1434,106318,5389,409200,9857,1807910,3613,567745,9408,52780,3579,7690,1496,506174,9367,85,86,1016,454,1224697,9460,1272,500,359063,8640,421488,10515,123931,5657,193,204,33865,2520,284885,6886,15468,2271,1326,null,null,2632,null,null,11020,null,null,20130,null,null,7925,null,null,1536,null,null,20401,null,null,3298,null,null,529,null,null,8726,null,null,2856,null,null,160,null,null,1521,null,null,1807,null,null,267,null,null,7721,null,null,6201,null,null,4367,null,null,14160,null,null,14498,null,null,9364,null,null,1629,null,null,10455,null,null,1914,null,null,1109,null,null,5435,null,null,3266,null,null,492,null,null,1631,null,null,1093,null,null,428,null,null,4290,null,null,11974,null,null,5023,null,null,14262,null,null,18614,null,null,9524,null,null,4507,null,null,12007,null,null,1911,null,null,2276,null,null,10261,null,null,4928,null,null,2388,null,null,2071,null,null,4438,null,null,1252,null,null,1434,null,null,5389,null,null,9857,null,null,3613,null,null,9408,null,null,3579,null,null,1496,null,null,9367,null,null,86,null,null,454,null,null,9460,null,null,500,null,null,8640,null,null,10515,null,null,5657,null,null,204,null,null,2520,null,null,6886,null,null,2271,null,null,17
6534914,919,1573925,3269,1394559,9830,820321,15084,64771,5459,3607,1518,496731,12377,8915,2171,214,170,87216,7030,15544,2945,552,292,4564,1456,3927,1376,89,98,62540,5750,92150,7308,1493761,5333,1215356,9147,885888,11904,123067,6374,6443,1537,186989,8102,8849,1759,4120,1346,77715,3911,26310,2837,696,409,8192,1463,3790,999,665,421,38062,2838,200690,8246,2509950,6015,2058449,12799,1581942,14765,192852,6456,58078,4297,200045,7574,13385,2176,12147,1811,220171,6496,49955,4167,18477,2231,10024,1498,60149,3464,4595,1030,5972,1031,70999,3739,231330,8902,957278,2718,281254,6708,18926,2111,3122,929,258609,7024,161,159,436,237,669831,7513,893,424,165212,5728,256362,6830,48090,3485,132,134,25909,2149,173233,5619,6193,1614,919,null,null,3269,null,null,9830,null,null,15084,null,null,5459,null,null,1518,null,null,12377,null,null,2171,null,null,170,null,null,7030,null,null,2945,null,null,292,null,null,1456,null,null,1376,null,null,98,null,null,5750,null,null,7308,null,null,5333,null,null,9147,null,null,11904,null,null,6374,null,null,1537,null,null,8102,null,null,1759,null,null,1346,null,null,3911,null,null,2837,null,null,409,null,null,1463,null,null,999,null,null,421,null,null,2838,null,null,8246,null,null,6015,null,null,12799,null,null,14765,null,null,6456,null,null,4297,null,null,7574,null,null,2176,null,null,1811,null,null,6496,null,null,4167,null,null,2231,null,null,1498,null,null,3464,null,null,1030,null,null,1031,null,null,3739,null,null,8902,null,null,2718,null,null,6708,null,null,2111,null,null,929,null,null,7024,null,null,159,null,null,237,null,null,7513,null,null,424,null,null,5728,null,null,6830,null,null,3485,null,null,134,null,null,2149,null,null,5619,null,null,1614,null,null,18
3091437,506,724997,1876,651118,6115,390416,9654,36842,2925,891,466,218057,8533,4375,1282,537,578,55437,5014,7668,1850,149,115,1222,615,1909,1274,0,159,44489,4506,18442,3194,706844,3553,604286,5704,438870,8985,62551,3709,1333,583,96222,5227,3324,1015,1986,678,50315,3898,16675,2495,734,388,3559,739,1982,619,537,300,26828,2431,52243,3777,1168361,4340,1001077,6962,762591,8765,115945,4944,11789,1553,101206,5155,4974,1109,4572,1019,107177,5189,27664,2715,5306,1034,3898,709,25175,2283,4223,1090,2994,654,37917,3118,60107,4337,491235,2015,136658,4510,9400,1395,1115,397,125856,4486,56,87,231,242,353757,4631,255,202,60666,3447,165412,4480,22673,2116,0,159,14028,1692,90723,3295,820,446,506,null,null,1876,null,null,6115,null,null,9654,null,null,2925,null,null,466,null,null,8533,null,null,1282,null,null,578,null,null,5014,null,null,1850,null,null,115,null,null,615,null,null,1274,null,null,159,null,null,4506,null,null,3194,null,null,3553,null,null,5704,null,null,8985,null,null,3709,null,null,583,null,null,5227,null,null,1015,null,null,678,null,null,3898,null,null,2495,null,null,388,null,null,739,null,null,619,null,null,300,null,null,2431,null,null,3777,null,null,4340,null,null,6962,null,null,8765,null,null,4944,null,null,1553,null,null,5155,null,null,1109,null,null,1019,null,null,5189,null,null,2715,null,null,1034,null,null,709,null,null,2283,null,null,1090,null,null,654,null,null,3118,null,null,4337,null,null,2015,null,null,4510,null,null,1395,null,null,397,null,null,4486,null,null,87,null,null,242,null,null,4631,null,null,202,null,null,3447,null,null,4480,null,null,2116,null,null,159,null,null,1692,null,null,3295,null,null,446,null,null,19
2850862,1447,713102,2368,631688,5893,362747,9927,52015,5004,1225,972,192964,7819,22587,3111,150,144,50502,4799,9596,2189,27,50,1026,555,6261,1671,124,135,33468,4209,30912,3255,656723,4225,511716,6950,381773,7668,70207,4728,2070,761,40146,3193,16464,1892,1056,445,41615,3547,14996,2168,601,356,2082,610,6446,1495,187,181,17303,2045,103392,5549,1061670,4300,850398,7169,665140,9765,110038,5736,19044,1957,36094,3512,14276,1987,5806,1287,98894,4284,21723,1936,4439,758,5318,963,20275,1986,7135,1478,2714,774,37290,2979,112378,4922,419367,2077,116293,4010,7457,1232,1254,551,107370,3592,136,148,76,72,300782,3968,263,174,53880,3398,131295,4195,18055,1690,24,42,9280,1079,87985,3674,2292,767,1447,null,null,2368,null,null,5893,null,null,9927,null,null,5004,null,null,972,null,null,7819,null,null,3111,null,null,144,null,null,4799,null,null,2189,null,null,50,null,null,555,null,null,1671,null,null,135,null,null,4209,null,null,3255,null,null,4225,null,null,6950,null,null,7668,null,null,4728,null,null,761,null,null,3193,null,null,1892,null,null,445,null,null,3547,null,null,2168,null,null,356,null,null,610,null,null,1495,null,null,181,null,null,2045,null,null,5549,null,null,4300,null,null,7169,null,null,9765,null,null,5736,null,null,1957,null,null,3512,null,null,1987,null,null,1287,null,null,4284,null,null,1936,null,null,758,null,null,963,null,null,1986,null,null,1478,null,null,774,null,null,2979,null,null,4922,null,null,2077,null,null,4010,null,null,1232,null,null,551,null,null,3592,null,null,148,null,null,72,null,null,3968,null,null,174,null,null,3398,null,null,4195,null,null,1690,null,null,42,null,null,1079,null,null,3674,null,null,767,null,null,20
4354380,1440,1009986,3149,919306,6874,454361,11512,44209,4117,4162,1244,396132,12711,20353,3048,89,104,58685,5655,5670,1245,353,240,5191,1471,2736,953,869,836,43866,4594,31995,3763,964054,4911,812881,7918,507673,9289,66710,4215,5198,1249,217761,8578,13462,2330,2077,779,61254,4645,13307,1848,1010,476,7449,1694,2850,968,953,580,35685,3597,89919,5140,1714973,4385,1423613,9311,950457,12944,112022,5307,57691,4186,278057,8657,15548,2123,9838,1721,192030,6454,28678,2928,15954,1699,10199,1666,52337,3639,5941,1263,6293,1437,72628,4351,99330,6444,665367,2166,185334,7426,10718,1393,2230,801,171581,7418,118,125,687,432,477927,7507,490,296,132441,5670,136529,5150,50240,3744,0,190,22577,2037,135650,4250,2106,891,1440,null,null,3149,null,null,6874,null,null,11512,null,null,4117,null,null,1244,null,null,12711,null,null,3048,null,null,104,null,null,5655,null,null,1245,null,null,240,null,null,1471,null,null,953,null,null,836,null,null,4594,null,null,3763,null,null,4911,null,null,7918,null,null,9289,null,null,4215,null,null,1249,null,null,8578,null,null,2330,null,null,779,null,null,4645,null,null,1848,null,null,476,null,null,1694,null,null,968,null,null,580,null,null,3597,null,null,5140,null,null,4385,null,null,9311,null,null,12944,null,null,5307,null,null,4186,null,null,8657,null,null,2123,null,null,1721,null,null,6454,null,null,2928,null,null,1699,null,null,1666,null,null,3639,null,null,1263,null,null,1437,null,null,4351,null,null,6444,null,null,2166,null,null,7426,null,null,1393,null,null,801,null,null,7418,null,null,125,null,null,432,null,null,7507,null,null,296,null,null,5670,null,null,5150,null,null,3744,null,null,190,null,null,2037,null,null,4250,null,null,891,null,null,21
4577182,1950,1115457,2300,1019257,6733,411481,14775,58243,6661,4232,1737,526338,14433,18107,2954,856,1310,62574,5546,6613,1428,119,192,3204,1200,4303,1528,34,61,48301,4852,33626,4737,1079778,6451,809964,10809,518985,11105,95244,5069,4881,1440,176564,7170,12803,2196,1487,889,67595,4917,14474,2113,732,326,8417,2087,4916,1390,601,458,38455,4027,202219,9529,1727921,7299,1320226,10681,916757,12381,164545,6854,49606,3787,168611,6218,11538,1942,9169,1696,176117,6360,30400,2694,10600,1935,6612,1383,55521,4190,5377,948,4716,994,62891,4719,231578,9963,654026,2581,226275,6897,18937,2506,2755,720,203617,6572,154,129,812,372,425342,6726,938,465,117259,4634,110476,4454,63567,4483,226,254,14304,1466,118572,4364,2409,658,1950,null,null,2300,null,null,6733,null,null,14775,null,null,6661,null,null,1737,null,null,14433,null,null,2954,null,null,1310,null,null,5546,null,null,1428,null,null,192,null,null,1200,null,null,1528,null,null,61,null,null,4852,null,null,4737,null,null,6451,null,null,10809,null,null,11105,null,null,5069,null,null,1440,null,null,7170,null,null,2196,null,null,889,null,null,4917,null,null,2113,null,null,326,null,null,2087,null,null,1390,null,null,458,null,null,4027,null,null,9529,null,null,7299,null,null,10681,null,null,12381,null,null,6854,null,null,3787,null,null,6218,null,null,1942,null,null,1696,null,null,6360,null,null,2694,null,null,1935,null,null,1383,null,null,4190,null,null,948,null,null,994,null,null,4719,null,null,9963,null,null,2581,null,null,6897,null,null,2506,null,null,720,null,null,6572,null,null,129,null,null,372,null,null,6726,null,null,465,null,null,4634,null,null,4454,null,null,4483,null,null,254,null,null,1466,null,null,4364,null,null,658,null,null,22
