C27001E_001E,C27001E_001M,C27001E_002E,C27001E_002M,C27001E_003E,C27001E_003M,C27001E_004E,C27001E_004M,C27001E_005E,C27001E_005M,C27001E_006E,C27001E_006M,C27001E_007E,C27001E_007M,C27001E_008E,C27001E_008M,C27001E_009E,C27001E_009M,C27001E_010E,C27001E_010M,C27001E_001M,C27001E_001EA,C27001E_001MA,C27001E_002M,C27001E_002EA,C27001E_002MA,C27001E_003M,C27001E_003EA,C27001E_003MA,C27001E_004M,C27001E_004EA,C27001E_004MA,C27001E_005M,C27001E_005EA,C27001E_005MA,C27001E_006M,C27001E_006EA,C27001E_006MA,C27001E_007M,C27001E_007EA,C27001E_007MA,C27001E_008M,C27001E_008EA,C27001E_008MA,C27001E_009M,C27001E_009EA,C27001E_009MA,C27001E_010M,C27001E_010EA,C27001E_010MA,state
12476,2415,2642,938,2587,925,55,92,8217,1854,6651,1694,1566,704,1617,806,1543,749,74,90,2415,null,null,938,null,null,925,null,null,92,null,null,1854,null,null,1694,null,null,704,null,null,806,null,null,749,null,null,90,null,null,12
6388,1961,1800,986,1736,974,64,116,3750,1439,3051,1249,699,717,838,637,838,637,0,218,1961,null,null,986,null,null,974,null,null,116,null,null,1439,null,null,1249,null,null,717,null,null,637,null,null,637,null,null,218,null,null,13
142357,6673,40453,3719,39578,3835,875,563,86646,3674,79543,3192,7103,1519,15258,1041,15143,1053,115,162,6673,null,null,3719,null,null,3835,null,null,563,null,null,3674,null,null,3192,null,null,1519,null,null,1041,null,null,1053,null,null,162,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4686,1347,950,537,950,537,0,185,3325,1056,2925,981,400,284,411,239,395,240,16,30,1347,null,null,537,null,null,537,null,null,185,null,null,1056,null,null,981,null,null,284,null,null,239,null,null,240,null,null,30,null,null,17
3395,1498,951,733,854,726,97,133,2258,1097,2001,949,257,246,186,164,186,164,0,192,1498,null,null,733,null,null,726,null,null,133,null,null,1097,null,null,949,null,null,246,null,null,164,null,null,164,null,null,192,null,null,18
3949,1754,1650,965,1650,965,0,159,2139,981,1983,946,156,153,160,155,160,155,0,159,1754,null,null,965,null,null,965,null,null,159,null,null,981,null,null,946,null,null,153,null,null,155,null,null,155,null,null,159,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
