C21001G_001E,C21001G_001M,C21001G_002E,C21001G_002M,C21001G_003E,C21001G_003M,C21001G_004E,C21001G_004M,C21001G_005E,C21001G_005M,C21001G_006E,C21001G_006M,C21001G_007E,C21001G_007M,C21001G_008E,C21001G_008M,C21001G_009E,C21001G_009M,C21001G_010E,C21001G_010M,C21001G_011E,C21001G_011M,C21001G_012E,C21001G_012M,C21001G_013E,C21001G_013M,C21001G_014E,C21001G_014M,C21001G_015E,C21001G_015M,C21001G_001M,C21001G_001EA,C21001G_001MA,C21001G_002M,C21001G_002EA,C21001G_002MA,C21001G_003M,C21001G_003EA,C21001G_003MA,C21001G_004M,C21001G_004EA,C21001G_004MA,C21001G_005M,C21001G_005EA,C21001G_005MA,C21001G_006M,C21001G_006EA,C21001G_006MA,C21001G_007M,C21001G_007EA,C21001G_007MA,C21001G_008M,C21001G_008EA,C21001G_008MA,C21001G_009M,C21001G_009EA,C21001G_009MA,C21001G_010M,C21001G_010EA,C21001G_010MA,C21001G_011M,C21001G_011EA,C21001G_011MA,C21001G_012M,C21001G_012EA,C21001G_012MA,C21001G_013M,C21001G_013EA,C21001G_013MA,C21001G_014M,C21001G_014EA,C21001G_014MA,C21001G_015M,C21001G_015EA,C21001G_015MA,state
288307,12623,144717,7401,130597,7269,11218,1924,119379,6932,14120,1508,3798,791,10322,1402,143590,8461,125343,7717,3022,1222,122321,7448,18247,2692,200,174,18047,2698,12623,null,null,7401,null,null,7269,null,null,1924,null,null,6932,null,null,1508,null,null,791,null,null,1402,null,null,8461,null,null,7717,null,null,1222,null,null,7448,null,null,2692,null,null,174,null,null,2698,null,null,12
125802,7771,57982,4750,53253,4514,5390,1492,47863,4307,4729,1174,1867,662,2862,886,67820,5087,60552,4702,1538,640,59014,4699,7268,1609,324,357,6944,1491,7771,null,null,4750,null,null,4514,null,null,1492,null,null,4307,null,null,1174,null,null,662,null,null,886,null,null,5087,null,null,4702,null,null,640,null,null,4699,null,null,1609,null,null,357,null,null,1491,null,null,13
212968,9295,107423,6203,95958,5919,8964,1680,86994,5182,11465,1500,5672,1091,5793,1027,105545,4593,92387,4217,1210,473,91177,4153,13158,1423,107,126,13051,1409,9295,null,null,6203,null,null,5919,null,null,1680,null,null,5182,null,null,1500,null,null,1091,null,null,1027,null,null,4593,null,null,4217,null,null,473,null,null,4153,null,null,1423,null,null,126,null,null,1409,null,null,15
23530,2334,11318,1779,9869,1600,1050,562,8819,1489,1449,745,728,511,721,501,12212,1479,10560,1547,202,300,10358,1560,1652,568,0,198,1652,568,2334,null,null,1779,null,null,1600,null,null,562,null,null,1489,null,null,745,null,null,511,null,null,501,null,null,1479,null,null,1547,null,null,300,null,null,1560,null,null,568,null,null,198,null,null,568,null,null,16
163537,8009,79099,5062,72800,4943,5096,957,67704,4905,6299,1124,2927,800,3372,705,84438,4665,75749,4577,1507,510,74242,4470,8689,1484,338,231,8351,1470,8009,null,null,5062,null,null,4943,null,null,957,null,null,4905,null,null,1124,null,null,800,null,null,705,null,null,4665,null,null,4577,null,null,510,null,null,4470,null,null,1484,null,null,231,null,null,1470,null,null,17
72108,5176,31755,3230,29309,3110,3220,1021,26089,2859,2446,759,1011,463,1435,613,40353,3632,36144,3581,285,238,35859,3562,4209,872,0,192,4209,872,5176,null,null,3230,null,null,3110,null,null,1021,null,null,2859,null,null,759,null,null,463,null,null,613,null,null,3632,null,null,3581,null,null,238,null,null,3562,null,null,872,null,null,192,null,null,872,null,null,18
25122,2514,10697,1583,9319,1531,802,388,8517,1469,1378,622,583,403,795,501,14425,2149,13534,2015,121,101,13413,2025,891,427,44,86,847,423,2514,null,null,1583,null,null,1531,null,null,388,null,null,1469,null,null,622,null,null,403,null,null,501,null,null,2149,null,null,2015,null,null,101,null,null,2025,null,null,427,null,null,86,null,null,423,null,null,19
48807,3950,22832,2720,20892,2634,2028,589,18864,2497,1940,667,613,295,1327,573,25975,2466,23575,2486,324,276,23251,2486,2400,606,7,15,2393,606,3950,null,null,2720,null,null,2634,null,null,589,null,null,2497,null,null,667,null,null,295,null,null,573,null,null,2466,null,null,2486,null,null,276,null,null,2486,null,null,606,null,null,15,null,null,606,null,null,20
41136,4286,19412,2660,17897,2633,1720,632,16177,2468,1515,534,1026,484,489,268,21724,2678,19473,2522,1020,559,18453,2451,2251,641,0,190,2251,641,4286,null,null,2660,null,null,2633,null,null,632,null,null,2468,null,null,534,null,null,484,null,null,268,null,null,2678,null,null,2522,null,null,559,null,null,2451,null,null,641,null,null,190,null,null,641,null,null,21
46510,5030,20970,2790,18128,2844,2135,889,15993,2621,2842,801,1376,501,1466,658,25540,3581,23178,3443,501,331,22677,3458,2362,770,0,208,2362,770,5030,null,null,2790,null,null,2844,null,null,889,null,null,2621,null,null,801,null,null,501,null,null,658,null,null,3581,null,null,3443,null,null,331,null,null,3458,null,null,770,null,null,208,null,null,770,null,null,22
