C25121_001E,C25121_001M,C25121_002E,C25121_002M,C25121_003E,C25121_003M,C25121_004E,C25121_004M,C25121_005E,C25121_005M,C25121_006E,C25121_006M,C25121_007E,C25121_007M,C25121_008E,C25121_008M,C25121_009E,C25121_009M,C25121_010E,C25121_010M,C25121_011E,C25121_011M,C25121_012E,C25121_012M,C25121_013E,C25121_013M,C25121_014E,C25121_014M,C25121_015E,C25121_015M,C25121_016E,C25121_016M,C25121_017E,C25121_017M,C25121_018E,C25121_018M,C25121_019E,C25121_019M,C25121_020E,C25121_020M,C25121_021E,C25121_021M,C25121_022E,C25121_022M,C25121_023E,C25121_023M,C25121_024E,C25121_024M,C25121_025E,C25121_025M,C25121_026E,C25121_026M,C25121_027E,C25121_027M,C25121_028E,C25121_028M,C25121_029E,C25121_029M,C25121_030E,C25121_030M,C25121_031E,C25121_031M,C25121_001M,C25121_001EA,C25121_001MA,C25121_002M,C25121_002EA,C25121_002MA,C25121_003M,C25121_003EA,C25121_003MA,C25121_004M,C25121_004EA,C25121_004MA,C25121_005M,C25121_005EA,C25121_005MA,C25121_006M,C25121_006EA,C25121_006MA,C25121_007M,C25121_007EA,C25121_007MA,C25121_008M,C25121_008EA,C25121_008MA,C25121_009M,C25121_009EA,C25121_009MA,C25121_010M,C25121_010EA,C25121_010MA,C25121_011M,C25121_011EA,C25121_011MA,C25121_012M,C25121_012EA,C25121_012MA,C25121_013M,C25121_013EA,C25121_013MA,C25121_014M,C25121_014EA,C25121_014MA,C25121_015M,C25121_015EA,C25121_015MA,C25121_016M,C25121_016EA,C25121_016MA,C25121_017M,C25121_017EA,C25121_017MA,C25121_018M,C25121_018EA,C25121_018MA,C25121_019M,C25121_019EA,C25121_019MA,C25121_020M,C25121_020EA,C25121_020MA,C25121_021M,C25121_021EA,C25121_021MA,C25121_022M,C25121_022EA,C25121_022MA,C25121_023M,C25121_023EA,C25121_023MA,C25121_024M,C25121_024EA,C25121_024MA,C25121_025M,C25121_025EA,C25121_025MA,C25121_026M,C25121_026EA,C25121_026MA,C25121_027M,C25121_027EA,C25121_027MA,C25121_028M,C25121_028EA,C25121_028MA,C25121_029M,C25121_029EA,C25121_029MA,C25121_030M,C25121_030EA,C25121_030MA,C25121_031M,C25121_031EA,C25121_031MA,state
4857125,26450,230555,7806,47866,3428,37128,3632,69325,4204,76236,4483,388905,8993,88729,4413,69221,4197,119981,6208,110974,5734,679965,11669,123934,5043,118966,5185,238998,9033,198067,7114,666374,14583,90012,5048,106830,5454,241886,7030,227646,7675,922040,15909,74401,4331,105020,5612,338969,10799,403650,10243,1969286,19951,56012,3632,89407,4829,443337,10897,1380530,14877,26450,null,null,7806,null,null,3428,null,null,3632,null,null,4204,null,null,4483,null,null,8993,null,null,4413,null,null,4197,null,null,6208,null,null,5734,null,null,11669,null,null,5043,null,null,5185,null,null,9033,null,null,7114,null,null,14583,null,null,5048,null,null,5454,null,null,7030,null,null,7675,null,null,15909,null,null,4331,null,null,5612,null,null,10799,null,null,10243,null,null,19951,null,null,3632,null,null,4829,null,null,10897,null,null,14877,null,null,12
2268606,20528,99856,5958,29767,3294,20582,2387,28120,2780,21387,2396,151860,6673,45166,2989,35980,3213,46630,3933,24084,2301,269264,7885,62763,3449,59472,3826,92315,4989,54714,3916,271629,8886,43623,4003,56074,3332,110518,5548,61414,3829,434512,9842,45577,3282,73750,4164,188139,7060,127046,5552,1041485,14671,36639,2759,66921,4510,325171,8549,612754,10890,20528,null,null,5958,null,null,3294,null,null,2387,null,null,2780,null,null,2396,null,null,6673,null,null,2989,null,null,3213,null,null,3933,null,null,2301,null,null,7885,null,null,3449,null,null,3826,null,null,4989,null,null,3916,null,null,8886,null,null,4003,null,null,3332,null,null,5548,null,null,3829,null,null,9842,null,null,3282,null,null,4164,null,null,7060,null,null,5552,null,null,14671,null,null,2759,null,null,4510,null,null,8549,null,null,10890,null,null,13
260626,4898,8317,1280,379,220,153,169,789,412,6996,1268,11685,1721,354,253,363,328,1272,498,9696,1565,20706,2303,616,329,466,279,2217,745,17407,2085,19918,1817,282,217,178,144,1541,523,17917,1732,38992,2965,932,508,312,203,3366,938,34382,2893,161008,4294,1251,384,758,357,2642,620,156357,4146,4898,null,null,1280,null,null,220,null,null,169,null,null,412,null,null,1268,null,null,1721,null,null,253,null,null,328,null,null,498,null,null,1565,null,null,2303,null,null,329,null,null,279,null,null,745,null,null,2085,null,null,1817,null,null,217,null,null,144,null,null,523,null,null,1732,null,null,2965,null,null,508,null,null,203,null,null,938,null,null,2893,null,null,4294,null,null,384,null,null,357,null,null,620,null,null,4146,null,null,15
418217,6970,17234,2621,3583,938,1282,441,5558,1154,6811,1926,27751,2376,6022,1058,3548,816,11027,1830,7154,1348,53562,3138,7468,1109,7406,991,23715,2162,14973,1750,58883,3504,5432,1227,7305,1274,28337,2433,17809,1906,92100,5015,4594,921,6474,1099,43174,3428,37858,3402,168687,6053,3124,917,5302,1234,51502,3422,108759,5252,6970,null,null,2621,null,null,938,null,null,441,null,null,1154,null,null,1926,null,null,2376,null,null,1058,null,null,816,null,null,1830,null,null,1348,null,null,3138,null,null,1109,null,null,991,null,null,2162,null,null,1750,null,null,3504,null,null,1227,null,null,1274,null,null,2433,null,null,1906,null,null,5015,null,null,921,null,null,1099,null,null,3428,null,null,3402,null,null,6053,null,null,917,null,null,1234,null,null,3422,null,null,5252,null,null,16
3146858,18286,104004,4948,22881,2188,17314,1961,31756,2836,32053,2903,173667,6589,42405,2708,34322,2301,53215,3887,43725,3339,335343,8234,62949,3312,69647,2763,116197,5186,86550,3800,349222,8311,49202,3119,71678,3013,132608,5233,95734,5236,546891,9784,49525,2819,96980,3925,220503,6567,179883,6414,1637731,15287,47307,3298,112526,4484,454726,8841,1023172,11833,18286,null,null,4948,null,null,2188,null,null,1961,null,null,2836,null,null,2903,null,null,6589,null,null,2708,null,null,2301,null,null,3887,null,null,3339,null,null,8234,null,null,3312,null,null,2763,null,null,5186,null,null,3800,null,null,8311,null,null,3119,null,null,3013,null,null,5233,null,null,5236,null,null,9784,null,null,2819,null,null,3925,null,null,6567,null,null,6414,null,null,15287,null,null,3298,null,null,4484,null,null,8841,null,null,11833,null,null,17
1731421,12509,57201,2934,18908,2179,14523,1635,15954,1919,7816,1346,107805,5285,36466,2499,32037,2917,29112,2478,10190,1480,219469,6796,51064,2923,70108,4180,73527,3817,24770,2376,239783,7548,40212,2637,68172,3635,99337,5182,32062,3238,371601,8189,39776,3089,91210,3988,178265,5909,62350,3588,735562,9531,27636,2164,81945,3236,313609,7479,312372,7413,12509,null,null,2934,null,null,2179,null,null,1635,null,null,1919,null,null,1346,null,null,5285,null,null,2499,null,null,2917,null,null,2478,null,null,1480,null,null,6796,null,null,2923,null,null,4180,null,null,3817,null,null,2376,null,null,7548,null,null,2637,null,null,3635,null,null,5182,null,null,3238,null,null,8189,null,null,3089,null,null,3988,null,null,5909,null,null,3588,null,null,9531,null,null,2164,null,null,3236,null,null,7479,null,null,7413,null,null,18
881435,7975,24634,2089,7338,1166,5344,884,7443,1133,4509,970,48141,2502,14729,1454,12371,1194,16010,1301,5031,872,107221,3770,25894,1801,31749,2142,36986,2510,12592,1498,114709,4683,20773,1891,32912,2098,43804,2940,17220,1876,182526,5212,21554,1783,41012,2410,82994,3444,36966,2789,404204,7036,16100,1454,42894,2528,158963,4451,186247,5193,7975,null,null,2089,null,null,1166,null,null,884,null,null,1133,null,null,970,null,null,2502,null,null,1454,null,null,1194,null,null,1301,null,null,872,null,null,3770,null,null,1801,null,null,2142,null,null,2510,null,null,1498,null,null,4683,null,null,1891,null,null,2098,null,null,2940,null,null,1876,null,null,5212,null,null,1783,null,null,2410,null,null,3444,null,null,2789,null,null,7036,null,null,1454,null,null,2528,null,null,4451,null,null,5193,null,null,19
729392,8711,23136,2141,7779,1092,4329,888,7220,1272,3808,933,42641,2633,17301,1822,10068,1360,11059,1155,4213,795,87223,3687,26489,2049,23806,1800,26624,2173,10304,1254,93613,3736,22598,2144,23160,2160,32950,2568,14905,1493,148312,4772,20476,1965,33351,2477,65023,3516,29462,2092,334467,7207,18581,2040,32580,2186,121101,4231,162205,4373,8711,null,null,2141,null,null,1092,null,null,888,null,null,1272,null,null,933,null,null,2633,null,null,1822,null,null,1360,null,null,1155,null,null,795,null,null,3687,null,null,2049,null,null,1800,null,null,2173,null,null,1254,null,null,3736,null,null,2144,null,null,2160,null,null,2568,null,null,1493,null,null,4772,null,null,1965,null,null,2477,null,null,3516,null,null,2092,null,null,7207,null,null,2040,null,null,2186,null,null,4231,null,null,4373,null,null,20
1148175,11051,62773,3557,28032,2693,12072,1556,14650,1843,8019,1378,103314,4945,39686,3274,25937,2054,28178,2572,9513,1361,160877,5718,42624,2694,43584,3242,54119,3385,20550,2243,156360,6489,28463,2532,37386,2677,65675,3996,24836,1923,220977,6715,23941,1901,46148,3152,104350,4663,46538,2951,443874,9448,19874,1801,42596,2654,178067,6374,203337,5939,11051,null,null,3557,null,null,2693,null,null,1556,null,null,1843,null,null,1378,null,null,4945,null,null,3274,null,null,2054,null,null,2572,null,null,1361,null,null,5718,null,null,2694,null,null,3242,null,null,3385,null,null,2243,null,null,6489,null,null,2532,null,null,2677,null,null,3996,null,null,1923,null,null,6715,null,null,1901,null,null,3152,null,null,4663,null,null,2951,null,null,9448,null,null,1801,null,null,2654,null,null,6374,null,null,5939,null,null,21
1105710,12317,65237,4086,22673,2262,12992,1544,17986,2179,11586,1853,101145,5034,32434,3173,21534,2212,31313,3007,15864,1815,160470,6053,38185,3014,32835,2409,58151,3576,31299,2931,140971,5755,26838,2886,25741,2194,57693,3687,30699,2686,198665,7510,21470,2262,28019,2647,89376,4675,59800,4096,439222,8050,23409,2323,30943,2919,148068,5271,236802,7137,12317,null,null,4086,null,null,2262,null,null,1544,null,null,2179,null,null,1853,null,null,5034,null,null,3173,null,null,2212,null,null,3007,null,null,1815,null,null,6053,null,null,3014,null,null,2409,null,null,3576,null,null,2931,null,null,5755,null,null,2886,null,null,2194,null,null,3687,null,null,2686,null,null,7510,null,null,2262,null,null,2647,null,null,4675,null,null,4096,null,null,8050,null,null,2323,null,null,2919,null,null,5271,null,null,7137,null,null,22
