B10051B_001E,B10051B_001M,B10051B_002E,B10051B_002M,B10051B_003E,B10051B_003M,B10051B_004E,B10051B_004M,B10051B_005E,B10051B_005M,B10051B_006E,B10051B_006M,B10051B_007E,B10051B_007M,B10051B_001M,B10051B_001EA,B10051B_001MA,B10051B_002M,B10051B_002EA,B10051B_002MA,B10051B_003M,B10051B_003EA,B10051B_003MA,B10051B_004M,B10051B_004EA,B10051B_004MA,B10051B_005M,B10051B_005EA,B10051B_005MA,B10051B_006M,B10051B_006EA,B10051B_006MA,B10051B_007M,B10051B_007EA,B10051B_007MA,state
115635,7610,39828,4583,23560,3308,16268,2772,75807,6328,30595,3500,45212,5030,7610,null,null,4583,null,null,3308,null,null,2772,null,null,6328,null,null,3500,null,null,5030,null,null,12
104485,6745,41715,4080,25176,3276,16539,2307,62770,5407,33420,4544,29350,3251,6745,null,null,4080,null,null,3276,null,null,2307,null,null,5407,null,null,4544,null,null,3251,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
50619,4441,22080,2740,13690,2029,8390,1813,28539,3262,14439,2253,14100,1775,4441,null,null,2740,null,null,2029,null,null,1813,null,null,3262,null,null,2253,null,null,1775,null,null,17
17028,2357,9928,1814,6603,1547,3325,947,7100,1396,2950,1084,4150,1017,2357,null,null,1814,null,null,1547,null,null,947,null,null,1396,null,null,1084,null,null,1017,null,null,18
2133,667,1170,546,508,314,662,502,963,579,266,195,697,533,667,null,null,546,null,null,314,null,null,502,null,null,579,null,null,195,null,null,533,null,null,19
2706,799,1336,527,946,461,390,245,1370,555,671,411,699,308,799,null,null,527,null,null,461,null,null,245,null,null,555,null,null,411,null,null,308,null,null,20
9832,1451,6174,1245,3976,1114,2198,639,3658,805,1832,631,1826,555,1451,null,null,1245,null,null,1114,null,null,639,null,null,805,null,null,631,null,null,555,null,null,21
44824,3670,23277,2676,14380,2207,8897,1818,21547,2479,10389,1988,11158,1649,3670,null,null,2676,null,null,2207,null,null,1818,null,null,2479,null,null,1988,null,null,1649,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
56983,5313,17388,2600,10380,2318,7008,1294,39595,4222,17476,2445,22119,3049,5313,null,null,2600,null,null,2318,null,null,1294,null,null,4222,null,null,2445,null,null,3049,null,null,24
