B13002I_001E,B13002I_001M,B13002I_002E,B13002I_002M,B13002I_003E,B13002I_003M,B13002I_004E,B13002I_004M,B13002I_005E,B13002I_005M,B13002I_006E,B13002I_006M,B13002I_007E,B13002I_007M,B13002I_001M,B13002I_001EA,B13002I_001MA,B13002I_002M,B13002I_002EA,B13002I_002MA,B13002I_003M,B13002I_003EA,B13002I_003MA,B13002I_004M,B13002I_004EA,B13002I_004MA,B13002I_005M,B13002I_005EA,B13002I_005MA,B13002I_006M,B13002I_006EA,B13002I_006MA,B13002I_007M,B13002I_007EA,B13002I_007MA,state
1323313,4682,66479,4588,37392,3966,29087,3690,1256834,6798,537723,10509,719111,11154,4682,null,null,4588,null,null,3966,null,null,3690,null,null,6798,null,null,10509,null,null,11154,null,null,12
248854,4078,16216,2714,11064,2505,5152,1361,232638,4713,116864,4673,115774,4489,4078,null,null,2714,null,null,2505,null,null,1361,null,null,4713,null,null,4673,null,null,4489,null,null,13
37048,757,3336,873,2141,600,1195,634,33712,1149,13544,1319,20168,1349,757,null,null,873,null,null,600,null,null,634,null,null,1149,null,null,1319,null,null,1349,null,null,15
54514,1609,5783,1463,3000,1101,2783,1080,48731,2197,23059,2422,25672,2347,1609,null,null,1463,null,null,1101,null,null,1080,null,null,2197,null,null,2422,null,null,2347,null,null,16
585905,2501,32986,2747,18100,1968,14886,1877,552919,3366,229669,5515,323250,5810,2501,null,null,2747,null,null,1968,null,null,1877,null,null,3366,null,null,5515,null,null,5810,null,null,17
117103,2283,9447,1918,5558,1251,3889,1454,107656,2971,47722,3300,59934,3628,2283,null,null,1918,null,null,1251,null,null,1454,null,null,2971,null,null,3300,null,null,3628,null,null,18
47486,1496,3508,900,1856,689,1652,621,43978,1620,19352,1836,24626,1959,1496,null,null,900,null,null,689,null,null,621,null,null,1620,null,null,1836,null,null,1959,null,null,19
87158,1908,4785,1258,3349,1027,1436,657,82373,2040,39725,2346,42648,2825,1908,null,null,1258,null,null,1027,null,null,657,null,null,2040,null,null,2346,null,null,2825,null,null,20
37372,1963,2718,834,1286,638,1432,605,34654,1986,14414,1656,20240,1874,1963,null,null,834,null,null,638,null,null,605,null,null,1986,null,null,1656,null,null,1874,null,null,21
56982,1809,3469,1150,2195,807,1274,748,53513,2025,26321,2368,27192,2549,1809,null,null,1150,null,null,807,null,null,748,null,null,2025,null,null,2368,null,null,2549,null,null,22
