B01002G_001E,B01002G_001M,B01002G_002E,B01002G_002M,B01002G_003E,B01002G_003M,B01002G_001M,B01002G_001EA,B01002G_001MA,B01002G_002M,B01002G_002EA,B01002G_002MA,B01002G_003M,B01002G_003EA,B01002G_003MA,state
20.4,0.7,19.6,1.0,21.3,1.1,0.7,null,null,1.0,null,null,1.1,null,null,12
17.7,1.0,16.7,1.6,18.7,1.0,1.0,null,null,1.6,null,null,1.0,null,null,13
26.5,0.7,26.3,0.8,26.8,1.0,0.7,null,null,0.8,null,null,1.0,null,null,15
21.0,2.8,20.6,3.9,22.4,4.5,2.8,null,null,3.9,null,null,4.5,null,null,16
18.5,0.8,18.0,1.0,19.0,1.1,0.8,null,null,1.0,null,null,1.1,null,null,17
16.3,0.9,15.0,1.3,17.4,1.2,0.9,null,null,1.3,null,null,1.2,null,null,18
15.9,1.2,14.7,2.1,17.2,1.5,1.2,null,null,2.1,null,null,1.5,null,null,19
17.3,1.0,16.8,1.3,18.0,1.2,1.0,null,null,1.3,null,null,1.2,null,null,20
16.0,0.9,15.2,1.5,16.7,1.3,0.9,null,null,1.5,null,null,1.3,null,null,21
18.3,1.3,16.9,1.7,19.6,1.2,1.3,null,null,1.7,null,null,1.2,null,null,22
21.9,2.4,19.5,2.6,29.6,6.9,2.4,null,null,2.6,null,null,6.9,null,null,23
18.4,0.9,16.6,1.4,19.9,1.3,0.9,null,null,1.4,null,null,1.3,null,null,24
21.4,1.0,21.5,1.5,21.4,1.2,1.0,null,null,1.5,null,null,1.2,null,null,25
19.1,0.6,18.5,0.8,19.8,1.0,0.6,null,null,0.8,null,null,1.0,null,null,26
16.9,0.9,16.3,1.1,17.6,1.3,0.9,null,null,1.1,null,null,1.3,null,null,27
18.0,2.6,16.6,3.8,18.8,4.3,2.6,null,null,3.8,null,null,4.3,null,null,28
18.1,1.0,17.9,1.1,18.4,1.2,1.0,null,null,1.1,null,null,1.2,null,null,29
22.8,2.0,22.9,4.7,22.7,1.9,2.0,null,null,4.7,null,null,1.9,null,null,30
17.4,1.4,17.3,1.8,17.5,1.6,1.4,null,null,1.8,null,null,1.6,null,null,31
20.9,1.2,20.3,1.4,22.2,2.1,1.2,null,null,1.4,null,null,2.1,null,null,32
22.5,2.4,19.9,4.8,23.9,4.4,2.4,null,null,4.8,null,null,4.4,null,null,33
19.9,0.9,18.7,0.9,21.7,1.4,0.9,null,null,0.9,null,null,1.4,null,null,34
24.1,2.6,23.6,2.4,25.0,4.6,2.6,null,null,2.4,null,null,4.6,null,null,35
22.4,0.6,21.4,0.9,23.3,0.8,0.6,null,null,0.9,null,null,0.8,null,null,36
17.3,1.1,15.5,0.9,19.0,1.0,1.1,null,null,0.9,null,null,1.0,null,null,37
19.7,3.5,12.7,6.0,25.2,2.3,3.5,null,null,6.0,null,null,2.3,null,null,38
17.6,0.5,17.6,0.7,17.6,0.8,0.5,null,null,0.7,null,null,0.8,null,null,39
22.5,0.7,21.2,1.0,23.9,1.1,0.7,null,null,1.0,null,null,1.1,null,null,40
21.9,1.0,21.1,1.1,23.3,1.6,1.0,null,null,1.1,null,null,1.6,null,null,41
17.8,0.5,17.6,0.7,18.0,0.8,0.5,null,null,0.7,null,null,0.8,null,null,42
20.6,3.1,18.8,3.4,22.6,3.7,3.1,null,null,3.4,null,null,3.7,null,null,44
16.0,1.7,13.9,1.9,18.0,1.3,1.7,null,null,1.9,null,null,1.3,null,null,45
16.6,2.0,16.6,3.4,16.5,2.9,2.0,null,null,3.4,null,null,2.9,null,null,46
17.9,1.2,16.8,1.3,20.0,2.5,1.2,null,null,1.3,null,null,2.5,null,null,47
20.2,0.8,19.1,0.8,21.6,0.8,0.8,null,null,0.8,null,null,0.8,null,null,48
18.1,0.8,17.9,1.3,18.2,0.9,0.8,null,null,1.3,null,null,0.9,null,null,49
24.7,7.1,25.0,9.6,24.5,7.6,7.1,null,null,9.6,null,null,7.6,null,null,50
18.7,0.6,18.1,0.8,19.6,1.4,0.6,null,null,0.8,null,null,1.4,null,null,51
20.6,0.6,20.2,0.9,20.9,1.0,0.6,null,null,0.9,null,null,1.0,null,null,53
16.4,1.4,15.1,2.5,17.4,2.3,1.4,null,null,2.5,null,null,2.3,null,null,54
15.9,0.9,15.7,1.3,16.2,1.4,0.9,null,null,1.3,null,null,1.4,null,null,55
21.7,6.1,17.3,13.7,24.1,7.9,6.1,null,null,13.7,null,null,7.9,null,null,56
37.0,2.3,36.6,2.1,37.5,3.3,2.3,null,null,2.1,null,null,3.3,null,null,72
19.4,1.5,18.5,1.1,21.1,2.6,1.5,null,null,1.1,null,null,2.6,null,null,01
18.6,1.2,18.5,1.1,19.0,3.6,1.2,null,null,1.1,null,null,3.6,null,null,02
18.9,0.8,18.7,1.0,19.2,1.3,0.8,null,null,1.0,null,null,1.3,null,null,04
18.8,1.7,17.8,2.5,19.5,2.1,1.7,null,null,2.5,null,null,2.1,null,null,05
21.9,0.4,21.3,0.4,22.5,0.4,0.4,null,null,0.4,null,null,0.4,null,null,06
20.7,0.9,20.3,1.2,21.1,1.2,0.9,null,null,1.2,null,null,1.2,null,null,08
19.2,1.1,18.9,1.9,19.4,1.5,1.1,null,null,1.9,null,null,1.5,null,null,09
18.1,1.8,13.1,3.1,20.3,4.2,1.8,null,null,3.1,null,null,4.2,null,null,10
28.1,3.2,25.5,4.3,29.3,2.7,3.2,null,null,4.3,null,null,2.7,null,null,11
