B22005E_001E,B22005E_001M,B22005E_002E,B22005E_002M,B22005E_003E,B22005E_003M,B22005E_001M,B22005E_001EA,B22005E_001MA,B22005E_002M,B22005E_002EA,B22005E_002MA,B22005E_003M,B22005E_003EA,B22005E_003MA,state
3785,764,631,303,3154,751,764,null,null,303,null,null,751,null,null,12
2180,911,432,517,1748,799,911,null,null,517,null,null,799,null,null,13
37097,2334,11910,1739,25187,2314,2334,null,null,1739,null,null,2314,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
682,363,376,286,306,243,363,null,null,286,null,null,243,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
449,379,26,26,423,385,379,null,null,26,null,null,385,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1205,683,281,341,924,605,683,null,null,341,null,null,605,null,null,25
635,315,114,126,521,280,315,null,null,126,null,null,280,null,null,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1850,741,393,366,1457,617,741,null,null,366,null,null,617,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
5512,855,1349,489,4163,796,855,null,null,489,null,null,796,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1051,680,236,271,815,502,680,null,null,271,null,null,502,null,null,34
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
2506,796,499,305,2007,715,796,null,null,305,null,null,715,null,null,36
2239,788,344,360,1895,745,788,null,null,360,null,null,745,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
860,396,68,87,792,369,396,null,null,87,null,null,369,null,null,39
1387,426,645,296,742,408,426,null,null,296,null,null,408,null,null,40
3268,743,638,367,2630,722,743,null,null,367,null,null,722,null,null,41
977,468,53,68,924,464,468,null,null,68,null,null,464,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
799,434,255,247,544,361,434,null,null,247,null,null,361,null,null,47
7118,1258,1794,714,5324,1248,1258,null,null,714,null,null,1248,null,null,48
5672,1085,1092,560,4580,968,1085,null,null,560,null,null,968,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
2383,699,0,201,2383,699,699,null,null,201,null,null,699,null,null,51
13079,1220,4848,1130,8231,1498,1220,null,null,1130,null,null,1498,null,null,53
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
695,441,248,329,447,284,441,null,null,329,null,null,284,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2169,330,946,355,1223,451,330,null,null,355,null,null,451,null,null,02
3704,778,701,398,3003,723,778,null,null,398,null,null,723,null,null,04
1908,507,829,520,1079,592,507,null,null,520,null,null,592,null,null,05
36943,2579,5903,1338,31040,2312,2579,null,null,1338,null,null,2312,null,null,06
2768,803,131,129,2637,760,803,null,null,129,null,null,760,null,null,08
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
