C23002F_001E,C23002F_001EA,C23002F_001M,C23002F_001MA,C23002F_002E,C23002F_002EA,C23002F_002M,C23002F_002MA,C23002F_003E,C23002F_003EA,C23002F_003M,C23002F_003MA,C23002F_004E,C23002F_004EA,C23002F_004M,C23002F_004MA,C23002F_005E,C23002F_005EA,C23002F_005M,C23002F_005MA,C23002F_006E,C23002F_006EA,C23002F_006M,C23002F_006MA,C23002F_007E,C23002F_007EA,C23002F_007M,C23002F_007MA,C23002F_008E,C23002F_008EA,C23002F_008M,C23002F_008MA,C23002F_009E,C23002F_009EA,C23002F_009M,C23002F_009MA,C23002F_010E,C23002F_010EA,C23002F_010M,C23002F_010MA,C23002F_011E,C23002F_011EA,C23002F_011M,C23002F_011MA,C23002F_012E,C23002F_012EA,C23002F_012M,C23002F_012MA,C23002F_013E,C23002F_013EA,C23002F_013M,C23002F_013MA,C23002F_014E,C23002F_014EA,C23002F_014M,C23002F_014MA,C23002F_015E,C23002F_015EA,C23002F_015M,C23002F_015MA,C23002F_016E,C23002F_016EA,C23002F_016M,C23002F_016MA,C23002F_017E,C23002F_017EA,C23002F_017M,C23002F_017MA,C23002F_018E,C23002F_018EA,C23002F_018M,C23002F_018MA,C23002F_019E,C23002F_019EA,C23002F_019M,C23002F_019MA,C23002F_020E,C23002F_020EA,C23002F_020M,C23002F_020MA,C23002F_021E,C23002F_021EA,C23002F_021M,C23002F_021MA,C23002F_022E,C23002F_022EA,C23002F_022M,C23002F_022MA,C23002F_023E,C23002F_023EA,C23002F_023M,C23002F_023MA,C23002F_024E,C23002F_024EA,C23002F_024M,C23002F_024MA,C23002F_025E,C23002F_025EA,C23002F_025M,C23002F_025MA,C23002F_026E,C23002F_026EA,C23002F_026M,C23002F_026MA,C23002F_027E,C23002F_027EA,C23002F_027M,C23002F_027MA,GEO_ID,NAME,state
28416,null,3295,null,17012,null,2187,null,16705,null,2200,null,15290,null,2100,null,185,null,198,null,15105,null,2087,null,13134,null,2251,null,1971,null,1041,null,1415,null,545,null,307,null,254,null,119,null,180,null,119,null,180,null,0,null,273,null,188,null,161,null,11404,null,1820,null,10909,null,1855,null,6677,null,1464,null,0,null,273,null,6677,null,1464,null,5549,null,1437,null,1128,null,585,null,4232,null,1074,null,495,null,302,null,0,null,273,null,0,null,273,null,0,null,273,null,495,null,302,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
277498,null,13563,null,144666,null,8138,null,136781,null,8060,null,110416,null,6982,null,1384,null,815,null,109032,null,6951,null,94268,null,6380,null,14764,null,2400,null,26365,null,2940,null,7885,null,1141,null,1286,null,475,null,1180,null,491,null,106,null,140,null,6599,null,1101,null,132832,null,7625,null,123009,null,7343,null,81317,null,5261,null,232,null,194,null,81085,null,5257,null,69503,null,4649,null,11582,null,1991,null,41692,null,4480,null,9823,null,1238,null,1425,null,582,null,1391,null,573,null,34,null,54,null,8398,null,1284,null,0400000US04,Arizona,04
41698,null,3664,null,22389,null,2532,null,21627,null,2521,null,18074,null,2453,null,0,null,273,null,18074,null,2453,null,16532,null,2419,null,1542,null,686,null,3553,null,911,null,762,null,382,null,167,null,177,null,167,null,177,null,0,null,273,null,595,null,348,null,19309,null,1991,null,18282,null,2013,null,10944,null,1781,null,0,null,273,null,10944,null,1781,null,9795,null,1704,null,1149,null,491,null,7338,null,1578,null,1027,null,734,null,169,null,195,null,105,null,162,null,64,null,108,null,858,null,723,null,0400000US05,Arkansas,05
3613288,null,52997,null,1900622,null,31340,null,1808687,null,30667,null,1485740,null,27544,null,8765,null,2122,null,1476975,null,27481,null,1297316,null,24541,null,179659,null,9511,null,322947,null,11606,null,91935,null,4188,null,17410,null,2156,null,15901,null,2097,null,1509,null,474,null,74525,null,4053,null,1712666,null,25776,null,1592743,null,24272,null,1039843,null,17724,null,809,null,628,null,1039034,null,17822,null,895947,null,16579,null,143087,null,5581,null,552900,null,14223,null,119923,null,5038,null,10403,null,1613,null,9662,null,1653,null,741,null,487,null,109520,null,4818,null,0400000US06,California,06
157393,null,10652,null,81470,null,6864,null,77767,null,6963,null,67081,null,6575,null,322,null,290,null,66759,null,6547,null,58177,null,6053,null,8582,null,2387,null,10686,null,1425,null,3703,null,755,null,682,null,337,null,645,null,320,null,37,null,63,null,3021,null,679,null,75923,null,5071,null,70647,null,4881,null,47410,null,4370,null,0,null,279,null,47410,null,4370,null,39876,null,3686,null,7534,null,1710,null,23237,null,3169,null,5276,null,1064,null,407,null,304,null,345,null,286,null,62,null,102,null,4869,null,1005,null,0400000US08,Colorado,08
132661,null,8617,null,69666,null,4966,null,66657,null,4729,null,53993,null,4529,null,284,null,256,null,53709,null,4528,null,42666,null,3880,null,11043,null,1960,null,12664,null,1836,null,3009,null,739,null,500,null,372,null,441,null,357,null,59,null,98,null,2509,null,613,null,62995,null,4613,null,58767,null,4368,null,42174,null,3572,null,0,null,277,null,42174,null,3572,null,33805,null,3019,null,8369,null,1628,null,16593,null,2273,null,4228,null,918,null,214,null,197,null,214,null,197,null,0,null,277,null,4014,null,916,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
386764,null,20111,null,206734,null,13154,null,196234,null,13015,null,166332,null,11799,null,765,null,444,null,165567,null,11830,null,144147,null,11309,null,21420,null,2995,null,29902,null,4051,null,10500,null,1936,null,2369,null,1002,null,1960,null,803,null,409,null,458,null,8131,null,1685,null,180030,null,9525,null,163738,null,8939,null,113475,null,7516,null,0,null,305,null,113475,null,7516,null,96708,null,6945,null,16767,null,2402,null,50263,null,4353,null,16292,null,2246,null,1534,null,608,null,1301,null,571,null,233,null,248,null,14758,null,2162,null,0400000US12,Florida,12
