B01001A_001E,B01001A_001EA,B01001A_001M,B01001A_001MA,B01001A_002E,B01001A_002EA,B01001A_002M,B01001A_002MA,B01001A_003E,B01001A_003EA,B01001A_003M,B01001A_003MA,B01001A_004E,B01001A_004EA,B01001A_004M,B01001A_004MA,B01001A_005E,B01001A_005EA,B01001A_005M,B01001A_005MA,B01001A_006E,B01001A_006EA,B01001A_006M,B01001A_006MA,B01001A_007E,B01001A_007EA,B01001A_007M,B01001A_007MA,B01001A_008E,B01001A_008EA,B01001A_008M,B01001A_008MA,B01001A_009E,B01001A_009EA,B01001A_009M,B01001A_009MA,B01001A_010E,B01001A_010EA,B01001A_010M,B01001A_010MA,B01001A_011E,B01001A_011EA,B01001A_011M,B01001A_011MA,B01001A_012E,B01001A_012EA,B01001A_012M,B01001A_012MA,B01001A_013E,B01001A_013EA,B01001A_013M,B01001A_013MA,B01001A_014E,B01001A_014EA,B01001A_014M,B01001A_014MA,B01001A_015E,B01001A_015EA,B01001A_015M,B01001A_015MA,B01001A_016E,B01001A_016EA,B01001A_016M,B01001A_016MA,B01001A_017E,B01001A_017EA,B01001A_017M,B01001A_017MA,B01001A_018E,B01001A_018EA,B01001A_018M,B01001A_018MA,B01001A_019E,B01001A_019EA,B01001A_019M,B01001A_019MA,B01001A_020E,B01001A_020EA,B01001A_020M,B01001A_020MA,B01001A_021E,B01001A_021EA,B01001A_021M,B01001A_021MA,B01001A_022E,B01001A_022EA,B01001A_022M,B01001A_022MA,B01001A_023E,B01001A_023EA,B01001A_023M,B01001A_023MA,B01001A_024E,B01001A_024EA,B01001A_024M,B01001A_024MA,B01001A_025E,B01001A_025EA,B01001A_025M,B01001A_025MA,B01001A_026E,B01001A_026EA,B01001A_026M,B01001A_026MA,B01001A_027E,B01001A_027EA,B01001A_027M,B01001A_027MA,B01001A_028E,B01001A_028EA,B01001A_028M,B01001A_028MA,B01001A_029E,B01001A_029EA,B01001A_029M,B01001A_029MA,B01001A_030E,B01001A_030EA,B01001A_030M,B01001A_030MA,B01001A_031E,B01001A_031EA,B01001A_031M,B01001A_031MA,GEO_ID,NAME,state
3295027,null,5329,null,1613635,null,4341,null,100299,null,2140,null,106065,null,4148,null,101080,null,3994,null,63559,null,1278,null,45498,null,1824,null,107523,null,2264,null,108342,null,1800,null,98373,null,1746,null,218872,null,1915,null,240595,null,1685,null,202389,null,679,null,130346,null,798,null,73870,null,1839,null,16824,null,1767,null,1681392,null,4031,null,99541,null,1958,null,96368,null,4237,null,98453,null,4213,null,59774,null,1767,null,40945,null,2238,null,103740,null,1931,null,106398,null,2095,null,97967,null,1337,null,216579,null,1597,null,245062,null,1240,null,215094,null,656,null,152129,null,529,null,105124,null,2761,null,44218,null,2710,null,0400000US01,Alabama,01
477384,null,2779,null,251816,null,2037,null,16177,null,695,null,13686,null,1715,null,17540,null,1646,null,9729,null,559,null,8036,null,1143,null,21565,null,1257,null,21626,null,1251,null,16964,null,1220,null,33189,null,1181,null,40619,null,630,null,33265,null,504,null,12809,null,323,null,5383,null,494,null,1228,null,413,null,225568,null,1509,null,15022,null,658,null,12834,null,1326,null,15580,null,1254,null,9167,null,452,null,6640,null,982,null,16296,null,1169,null,17619,null,646,null,14577,null,387,null,30751,null,698,null,38768,null,490,null,28532,null,335,null,11733,null,667,null,5748,null,760,null,2301,null,514,null,0400000US02,Alaska,02
5275163,null,22502,null,2650266,null,12555,null,195294,null,3813,null,177542,null,6531,null,178776,null,6245,null,106022,null,1696,null,69021,null,2247,null,173831,null,3308,null,201728,null,3906,null,190458,null,3263,null,356712,null,3618,null,352848,null,2797,null,291594,null,1999,null,192523,null,1134,null,126683,null,2810,null,37234,null,2741,null,2624897,null,12394,null,179783,null,4126,null,167844,null,6572,null,170255,null,6676,null,95540,null,2397,null,59984,null,2198,null,159479,null,2906,null,179480,null,3129,null,170629,null,2791,null,332851,null,3014,null,357461,null,2565,null,317938,null,1862,null,217287,null,1406,null,152186,null,3511,null,64180,null,3188,null,0400000US04,Arizona,04
2265537,null,6371,null,1111124,null,4451,null,73101,null,2407,null,72117,null,3636,null,70097,null,3549,null,44627,null,1555,null,29851,null,2179,null,73922,null,2295,null,75833,null,2562,null,72402,null,2036,null,144429,null,1997,null,159376,null,1416,null,137358,null,699,null,91397,null,773,null,49979,null,1865,null,16635,null,1768,null,1154413,null,4335,null,71881,null,2399,null,68391,null,3038,null,70139,null,2855,null,39925,null,1506,null,27049,null,2137,null,69086,null,2537,null,74954,null,1707,null,68847,null,1650,null,147929,null,2002,null,162535,null,944,null,146379,null,1022,null,103609,null,848,null,71945,null,2602,null,31744,null,2646,null,0400000US05,Arkansas,05
23157650,null,76456,null,11610808,null,42333,null,800286,null,9706,null,734873,null,12639,null,783976,null,11588,null,490226,null,5675,null,339584,null,5232,null,834689,null,8375,null,859981,null,8394,null,779555,null,7482,null,1618348,null,9624,null,1723462,null,8630,null,1315842,null,5833,null,737508,null,3464,null,429568,null,6156,null,162910,null,6026,null,11546842,null,39336,null,763576,null,10986,null,697504,null,12141,null,742015,null,11752,null,460484,null,5667,null,307637,null,4495,null,757019,null,7810,null,787733,null,6221,null,709669,null,6420,null,1508925,null,8838,null,1691279,null,7731,null,1366034,null,5266,null,841397,null,3700,null,598764,null,7536,null,314806,null,7246,null,0400000US06,California,06
4251059,null,15433,null,2139415,null,9201,null,145906,null,2533,null,139710,null,3985,null,129605,null,4400,null,81598,null,1503,null,58208,null,2158,null,163181,null,3237,null,164322,null,3077,null,150084,null,2236,null,309413,null,3276,null,325821,null,2012,null,255252,null,1774,null,129731,null,1209,null,65014,null,1555,null,21570,null,1493,null,2111644,null,8357,null,137643,null,2739,null,130443,null,4732,null,125588,null,4687,null,76747,null,1575,null,52747,null,2045,null,144606,null,2460,null,150603,null,2397,null,139680,null,1946,null,290293,null,2177,null,326358,null,2409,null,262974,null,1441,null,142170,null,1113,null,87287,null,2829,null,44505,null,2831,null,0400000US08,Colorado,08
2782023,null,11137,null,1352800,null,6308,null,72289,null,1344,null,78108,null,3266,null,91912,null,2990,null,55960,null,1050,null,39219,null,1054,null,88685,null,1627,null,77348,null,1365,null,71235,null,1492,null,183215,null,1655,null,232833,null,1269,null,178391,null,1001,null,101053,null,665,null,60828,null,1716,null,21724,null,1603,null,1429223,null,5860,null,70785,null,1378,null,75526,null,3179,null,83038,null,3176,null,54418,null,1049,null,38988,null,916,null,84516,null,1250,null,72746,null,1150,null,71953,null,1236,null,191557,null,1540,null,239293,null,1633,null,188521,null,1227,null,118378,null,776,null,88084,null,2557,null,51420,null,2623,null,0400000US09,Connecticut,09
636530,null,4204,null,310597,null,2564,null,19622,null,651,null,18429,null,1701,null,19303,null,1734,null,12466,null,531,null,8594,null,378,null,19172,null,486,null,20644,null,600,null,18894,null,589,null,39910,null,619,null,47155,null,518,null,39938,null,619,null,26046,null,274,null,14906,null,984,null,5518,null,980,null,325933,null,2028,null,17619,null,704,null,17973,null,1677,null,17876,null,1625,null,11266,null,462,null,9322,null,466,null,18752,null,541,null,19323,null,382,null,19780,null,466,null,41385,null,409,null,49284,null,574,null,42974,null,359,null,30277,null,336,null,18932,null,1250,null,11170,null,1330,null,0400000US10,Delaware,10
232247,null,4198,null,115399,null,2026,null,6412,null,890,null,4165,null,798,null,2901,null,776,null,843,null,397,null,4928,null,891,null,9152,null,1067,null,16089,null,405,null,13896,null,494,null,20356,null,675,null,13876,null,575,null,11469,null,542,null,7245,null,616,null,2596,null,525,null,1471,null,498,null,116848,null,2642,null,6049,null,690,null,3599,null,860,null,3411,null,890,null,2489,null,410,null,7281,null,1286,null,9947,null,1132,null,16707,null,512,null,13555,null,319,null,17180,null,634,null,11065,null,551,null,12343,null,473,null,6926,null,441,null,3665,null,817,null,2631,null,683,null,0400000US11,District of Columbia,11
14258610,null,28885,null,7027711,null,16991,null,402955,null,4501,null,369259,null,11143,null,422289,null,11086,null,246772,null,2967,null,172214,null,4646,null,439575,null,6137,null,458408,null,5462,null,419034,null,4651,null,932837,null,5661,null,1028741,null,4665,null,869578,null,2484,null,634697,null,2028,null,471836,null,5445,null,159516,null,5167,null,7230899,null,15543,null,384862,null,4796,null,358239,null,6907,null,383385,null,7601,null,235578,null,2239,null,158784,null,3114,null,398875,null,4673,null,420529,null,3783,null,386356,null,3492,null,905030,null,3784,null,1057190,null,3650,null,951263,null,2635,null,729029,null,2040,null,582375,null,8661,null,279404,null,8743,null,0400000US12,Florida,12
6079509,null,18960,null,3012217,null,13828,null,210197,null,3709,null,207834,null,5859,null,206686,null,6065,null,119651,null,2784,null,88389,null,5266,null,214327,null,5306,null,206476,null,4424,null,192594,null,3433,null,440829,null,4802,null,443818,null,4597,null,353030,null,1507,null,203433,null,1562,null,96494,null,2326,null,28459,null,2162,null,3067292,null,11301,null,203010,null,3851,null,199612,null,6314,null,192986,null,5782,null,115229,null,2749,null,87572,null,8362,null,187826,null,4314,null,195688,null,2944,null,187609,null,2754,null,428974,null,3043,null,449714,null,2495,null,375117,null,1315,null,231075,null,1321,null,146982,null,3322,null,65898,null,3221,null,0400000US13,Georgia,13
