B25055_001E,B25055_001EA,B25055_001M,B25055_001MA,B25055_002E,B25055_002EA,B25055_002M,B25055_002MA,B25055_003E,B25055_003EA,B25055_003M,B25055_003MA,B25055_004E,B25055_004EA,B25055_004M,B25055_004MA,B25055_005E,B25055_005EA,B25055_005M,B25055_005MA,B25055_006E,B25055_006EA,B25055_006M,B25055_006MA,B25055_007E,B25055_007EA,B25055_007M,B25055_007MA,B25055_008E,B25055_008EA,B25055_008M,B25055_008MA,B25055_009E,B25055_009EA,B25055_009M,B25055_009MA,B25055_010E,B25055_010EA,B25055_010M,B25055_010MA,B25055_011E,B25055_011EA,B25055_011M,B25055_011MA,B25055_012E,B25055_012EA,B25055_012M,B25055_012MA,B25055_013E,B25055_013EA,B25055_013M,B25055_013MA,GEO_ID,NAME,state
495599,null,10205,null,393012,null,9139,null,1134,null,597,null,391878,null,9124,null,49924,null,3417,null,339,null,248,null,49585,null,3400,null,26722,null,2320,null,335,null,357,null,26387,null,2318,null,25941,null,2236,null,4022,null,863,null,21919,null,2108,null,0400000US01,Alabama,01
73755,null,3559,null,60473,null,3330,null,40,null,65,null,60433,null,3340,null,8655,null,1370,null,56,null,93,null,8599,null,1374,null,3102,null,911,null,13,null,21,null,3089,null,911,null,1525,null,461,null,158,null,157,null,1367,null,442,null,0400000US02,Alaska,02
711833,null,11787,null,576727,null,10435,null,1855,null,853,null,574872,null,10242,null,66639,null,3910,null,740,null,358,null,65899,null,3922,null,29489,null,2508,null,714,null,321,null,28775,null,2438,null,38978,null,2865,null,14208,null,1718,null,24770,null,2483,null,0400000US04,Arizona,04
344143,null,9467,null,274888,null,9070,null,518,null,364,null,274370,null,9127,null,33549,null,2719,null,206,null,161,null,33343,null,2735,null,18908,null,2022,null,211,null,154,null,18697,null,2019,null,16798,null,1549,null,3222,null,842,null,13576,null,1473,null,0400000US05,Arkansas,05
5134566,null,27735,null,4005206,null,26708,null,12548,null,2051,null,3992658,null,26591,null,576035,null,9689,null,3109,null,1061,null,572926,null,9742,null,285095,null,8075,null,4588,null,1303,null,280507,null,7983,null,268230,null,6593,null,42964,null,2592,null,225266,null,6776,null,0400000US06,California,06
606425,null,8808,null,490709,null,8933,null,1260,null,585,null,489449,null,9007,null,56846,null,3349,null,137,null,167,null,56709,null,3331,null,27452,null,2048,null,834,null,424,null,26618,null,2076,null,31418,null,1895,null,8589,null,1427,null,22829,null,1996,null,0400000US08,Colorado,08
395746,null,7035,null,286615,null,6572,null,1366,null,598,null,285249,null,6465,null,47927,null,3143,null,326,null,252,null,47601,null,3149,null,25487,null,2159,null,713,null,523,null,24774,null,2147,null,35717,null,2526,null,6922,null,1219,null,28795,null,2496,null,0400000US09,Connecticut,09
82552,null,3761,null,60905,null,3418,null,226,null,198,null,60679,null,3443,null,11018,null,1619,null,0,null,263,null,11018,null,1619,null,4902,null,1037,null,163,null,197,null,4739,null,1033,null,5727,null,1024,null,1592,null,572,null,4135,null,967,null,0400000US10,Delaware,10
134249,null,3922,null,100264,null,3456,null,317,null,378,null,99947,null,3512,null,17501,null,1688,null,0,null,296,null,17501,null,1688,null,9214,null,1268,null,231,null,227,null,8983,null,1238,null,7270,null,1167,null,441,null,274,null,6829,null,1133,null,0400000US11,District of Columbia,11
2086900,null,20748,null,1609284,null,19651,null,4594,null,1327,null,1604690,null,19514,null,217108,null,7630,null,521,null,270,null,216587,null,7658,null,112691,null,4476,null,1953,null,674,null,110738,null,4454,null,147817,null,6150,null,38906,null,2650,null,108911,null,5749,null,0400000US12,Florida,12
1070208,null,14510,null,864416,null,13964,null,2444,null,996,null,861972,null,14255,null,107396,null,4740,null,440,null,247,null,106956,null,4741,null,55194,null,3561,null,795,null,376,null,54399,null,3476,null,43202,null,2941,null,7777,null,1300,null,35425,null,2797,null,0400000US13,Georgia,13
180766,null,6251,null,137793,null,5316,null,530,null,398,null,137263,null,5284,null,22752,null,2299,null,0,null,275,null,22752,null,2299,null,10557,null,1359,null,50,null,84,null,10507,null,1355,null,9664,null,1413,null,559,null,388,null,9105,null,1323,null,0400000US15,Hawaii,15
146164,null,5197,null,119045,null,4933,null,279,null,221,null,118766,null,4930,null,12203,null,1428,null,0,null,263,null,12203,null,1428,null,7142,null,1215,null,409,null,348,null,6733,null,1174,null,7774,null,1367,null,1620,null,674,null,6154,null,1227,null,0400000US16,Idaho,16
1455659,null,14223,null,1104573,null,12751,null,4996,null,1255,null,1099577,null,12655,null,161811,null,5707,null,1262,null,607,null,160549,null,5790,null,90718,null,4673,null,2666,null,869,null,88052,null,4756,null,98557,null,4454,null,22157,null,2153,null,76400,null,3606,null,0400000US17,Illinois,17
687184,null,11146,null,539649,null,10370,null,2124,null,795,null,537525,null,10177,null,68104,null,3955,null,230,null,259,null,67874,null,3923,null,38474,null,2839,null,477,null,260,null,37997,null,2816,null,40957,null,2642,null,7646,null,1237,null,33311,null,2392,null,0400000US18,Indiana,18
318864,null,6777,null,243981,null,6874,null,401,null,355,null,243580,null,6968,null,27935,null,2214,null,135,null,113,null,27800,null,2209,null,16224,null,1465,null,281,null,189,null,15943,null,1486,null,30724,null,2332,null,7388,null,1027,null,23336,null,1970,null,0400000US19,Iowa,19
332513,null,7221,null,261372,null,6272,null,1549,null,624,null,259823,null,6127,null,29208,null,2578,null,236,null,208,null,28972,null,2566,null,15875,null,2027,null,440,null,467,null,15435,null,1917,null,26058,null,2076,null,7945,null,1213,null,18113,null,1828,null,0400000US20,Kansas,20
474540,null,8602,null,370508,null,8057,null,1009,null,473,null,369499,null,8100,null,52810,null,3316,null,501,null,424,null,52309,null,3341,null,25684,null,2152,null,281,null,251,null,25403,null,2164,null,25538,null,2240,null,4493,null,742,null,21045,null,2201,null,0400000US21,Kentucky,21
483751,null,8410,null,386873,null,8243,null,1843,null,689,null,385030,null,8225,null,52433,null,3161,null,443,null,303,null,51990,null,3151,null,23817,null,2104,null,254,null,186,null,23563,null,2087,null,20628,null,2163,null,4014,null,956,null,16614,null,2022,null,0400000US22,Louisiana,22
135933,null,4510,null,96284,null,3684,null,450,null,372,null,95834,null,3700,null,16498,null,1808,null,65,null,79,null,16433,null,1801,null,9023,null,1179,null,206,null,153,null,8817,null,1169,null,14128,null,1636,null,1952,null,661,null,12176,null,1555,null,0400000US23,Maine,23
632804,null,11166,null,481710,null,10544,null,2092,null,941,null,479618,null,10403,null,66757,null,3994,null,618,null,434,null,66139,null,3962,null,37379,null,2672,null,503,null,399,null,36876,null,2664,null,46958,null,2559,null,12350,null,1363,null,34608,null,2259,null,0400000US24,Maryland,24
854577,null,12963,null,606696,null,11885,null,2583,null,1009,null,604113,null,11944,null,104526,null,5526,null,380,null,207,null,104146,null,5562,null,63332,null,3532,null,1148,null,645,null,62184,null,3419,null,80023,null,3462,null,11805,null,1564,null,68218,null,3219,null,0400000US25,Massachusetts,25
