C15003_001E,C15003_001EA,C15003_001M,C15003_001MA,C15003_002E,C15003_002EA,C15003_002M,C15003_002MA,C15003_003E,C15003_003EA,C15003_003M,C15003_003MA,C15003_004E,C15003_004EA,C15003_004M,C15003_004MA,C15003_005E,C15003_005EA,C15003_005M,C15003_005MA,C15003_006E,C15003_006EA,C15003_006M,C15003_006MA,C15003_007E,C15003_007EA,C15003_007M,C15003_007MA,C15003_008E,C15003_008EA,C15003_008M,C15003_008MA,C15003_009E,C15003_009EA,C15003_009M,C15003_009MA,C15003_010E,C15003_010EA,C15003_010M,C15003_010MA,C15003_011E,C15003_011EA,C15003_011M,C15003_011MA,C15003_012E,C15003_012EA,C15003_012M,C15003_012MA,C15003_013E,C15003_013EA,C15003_013M,C15003_013MA,C15003_014E,C15003_014EA,C15003_014M,C15003_014MA,C15003_015E,C15003_015EA,C15003_015M,C15003_015MA,C15003_016E,C15003_016EA,C15003_016M,C15003_016MA,C15003_017E,C15003_017EA,C15003_017M,C15003_017MA,C15003_018E,C15003_018EA,C15003_018M,C15003_018MA,GEO_ID,NAME,state
3115982,null,5413,null,37751,null,2677,null,20759,null,2412,null,42320,null,3299,null,86627,null,4977,null,82377,null,5089,null,111254,null,5004,null,120777,null,6315,null,55700,null,3675,null,797598,null,11185,null,169314,null,7076,null,187044,null,6187,null,499367,null,10770,null,218551,null,8671,null,447402,null,9617,null,168782,null,6279,null,43137,null,2464,null,27222,null,2455,null,0400000US01,Alabama,01
431178,null,2628,null,3122,null,908,null,2304,null,695,null,2276,null,628,null,5392,null,1169,null,3681,null,1174,null,6097,null,1238,null,7416,null,1385,null,6784,null,1414,null,95366,null,5119,null,24129,null,3161,null,37554,null,3121,null,89990,null,4287,null,32532,null,2289,null,75816,null,4059,null,28369,null,3108,null,6328,null,1237,null,4022,null,890,null,0400000US02,Alaska,02
4248231,null,3428,null,55276,null,4350,null,45771,null,4591,null,104499,null,7207,null,95050,null,6098,null,83328,null,4931,null,93163,null,5739,null,104153,null,5940,null,91080,null,5995,null,891969,null,19594,null,165360,null,7301,null,329783,null,9054,null,772503,null,17059,null,330543,null,8680,null,691996,null,11841,null,279698,null,8848,null,67951,null,3731,null,46108,null,3749,null,0400000US04,Arizona,04
1903914,null,5373,null,26335,null,3728,null,16417,null,2079,null,28912,null,3022,null,63936,null,4847,null,39290,null,3112,null,61588,null,4061,null,64156,null,4409,null,34783,null,3213,null,544562,null,10850,null,118109,null,6135,null,128509,null,5535,null,303367,null,9077,null,115017,null,6028,null,242389,null,8186,null,83186,null,4760,null,21009,null,2280,null,12349,null,1874,null,0400000US05,Arkansas,05
23782109,null,5693,null,557643,null,13580,null,473459,null,14658,null,996051,null,22955,null,478513,null,11639,null,503291,null,15573,null,449684,null,12495,null,565310,null,15847,null,585715,null,11941,null,4457919,null,36092,null,521657,null,13794,null,1408419,null,20259,null,3876236,null,37030,null,1797763,null,26579,null,4553969,null,34391,null,1685526,null,19151,null,535673,null,12403,null,335281,null,7732,null,0400000US06,California,06
3293368,null,3707,null,28180,null,3193,null,20543,null,3143,null,51910,null,4101,null,51964,null,4623,null,40589,null,3923,null,50577,null,3912,null,60145,null,4741,null,47588,null,3842,null,621150,null,12073,null,122657,null,6472,null,209006,null,6544,null,545618,null,11640,null,261847,null,7536,null,762038,null,12460,null,305896,null,7597,null,71046,null,4414,null,42614,null,2944,null,0400000US08,Colorado,08
2370028,null,1849,null,20979,null,2481,null,16948,null,2571,null,27403,null,3221,null,45219,null,3451,null,33789,null,2975,null,48314,null,3558,null,41399,null,3382,null,37046,null,3109,null,589020,null,11803,null,78755,null,5358,null,125561,null,4831,null,287284,null,8066,null,174809,null,6333,null,475179,null,10488,null,267418,null,8075,null,66317,null,4132,null,34588,null,3078,null,0400000US09,Connecticut,09
595133,null,1337,null,5136,null,1152,null,2662,null,829,null,4292,null,1465,null,10998,null,1942,null,12753,null,2023,null,14420,null,1857,null,15969,null,2280,null,8838,null,1393,null,165267,null,5728,null,20327,null,2099,null,37374,null,3246,null,81860,null,4737,null,44146,null,3752,null,103335,null,4893,null,46372,null,3190,null,11841,null,1680,null,9543,null,1583,null,0400000US10,Delaware,10
413396,null,601,null,4559,null,1429,null,3467,null,1478,null,4672,null,1320,null,6966,null,1635,null,7919,null,1903,null,8683,null,1702,null,10719,null,1700,null,6332,null,1168,null,71520,null,3994,null,11314,null,1777,null,16668,null,1998,null,49467,null,3655,null,10728,null,1935,null,84646,null,4637,null,64982,null,3934,null,34211,null,2630,null,16543,null,1945,null,0400000US11,District of Columbia,11
12800944,null,8517,null,170336,null,7466,null,111734,null,7638,null,226479,null,10528,null,252887,null,9755,null,220771,null,9192,null,299225,null,8938,null,310156,null,10651,null,292413,null,11545,null,3315145,null,29414,null,548249,null,13245,null,834192,null,15076,null,1902098,null,23718,null,1083545,null,17047,null,2081848,null,19355,null,774248,null,15545,null,251389,null,9548,null,126229,null,4752,null,0400000US12,Florida,12
6230326,null,11842,null,81262,null,6050,null,48243,null,4974,null,106689,null,7720,null,147811,null,7264,null,140143,null,6631,null,188177,null,7608,null,190283,null,7267,null,99329,null,6695,null,1514549,null,20258,null,284803,null,8820,null,358517,null,10449,null,952815,null,15303,null,401660,null,10613,null,1096655,null,17362,null,430420,null,9747,null,121361,null,5820,null,67609,null,4541,null,0400000US13,Georgia,13
