B98012_001E,B98012_001EA,B98012_002E,B98012_002EA,B98012_003E,B98012_003EA,GEO_ID,NAME,state
92.9,null,91.8,null,94.0,null,0400000US01,Alabama,01
90.7,null,90.0,null,91.5,null,0400000US02,Alaska,02
87.3,null,86.0,null,88.7,null,0400000US04,Arizona,04
94.1,null,93.2,null,94.9,null,0400000US05,Arkansas,05
93.5,null,92.0,null,94.9,null,0400000US06,California,06
94.0,null,92.7,null,95.3,null,0400000US08,Colorado,08
98.3,null,96.5,null,99.9,null,0400000US09,Connecticut,09
96.2,null,96.3,null,96.1,null,0400000US10,Delaware,10
87.7,null,85.9,null,89.4,null,0400000US11,District of Columbia,11
90.7,null,89.1,null,92.2,null,0400000US12,Florida,12
89.6,null,88.4,null,90.9,null,0400000US13,Georgia,13
94.4,null,91.3,null,97.7,null,0400000US15,Hawaii,15
94.8,null,94.3,null,95.3,null,0400000US16,Idaho,16
95.1,null,93.8,null,96.3,null,0400000US17,Illinois,17
96.7,null,95.9,null,97.6,null,0400000US18,Indiana,18
97.0,null,95.7,null,98.3,null,0400000US19,Iowa,19
96.5,null,95.6,null,97.5,null,0400000US20,Kansas,20
95.2,null,94.2,null,96.1,null,0400000US21,Kentucky,21
91.5,null,90.6,null,92.3,null,0400000US22,Louisiana,22
97.5,null,96.8,null,98.2,null,0400000US23,Maine,23
95.0,null,93.9,null,96.0,null,0400000US24,Maryland,24
95.2,null,93.8,null,96.6,null,0400000US25,Massachusetts,25
95.1,null,94.4,null,95.8,null,0400000US26,Michigan,26
97.1,null,95.9,null,98.3,null,0400000US27,Minnesota,27
91.4,null,90.1,null,92.7,null,0400000US28,Mississippi,28
95.3,null,94.6,null,95.8,null,0400000US29,Missouri,29
90.3,null,89.7,null,91.0,null,0400000US30,Montana,30
98.4,null,98.1,null,98.7,null,0400000US31,Nebraska,31
92.4,null,90.4,null,94.5,null,0400000US32,Nevada,32
95.7,null,93.6,null,97.7,null,0400000US33,New Hampshire,33
96.8,null,95.5,null,98.1,null,0400000US34,New Jersey,34
89.8,null,88.4,null,91.1,null,0400000US35,New Mexico,35
94.8,null,93.2,null,96.3,null,0400000US36,New York,36
93.5,null,92.3,null,94.6,null,0400000US37,North Carolina,37
96.4,null,96.2,null,96.6,null,0400000US38,North Dakota,38
96.9,null,96.2,null,97.5,null,0400000US39,Ohio,39
93.4,null,93.3,null,93.5,null,0400000US40,Oklahoma,40
95.1,null,94.5,null,95.7,null,0400000US41,Oregon,41
96.1,null,95.5,null,96.7,null,0400000US42,Pennsylvania,42
98.0,null,95.8,null,100.1,null,0400000US44,Rhode Island,44
93.3,null,92.3,null,94.2,null,0400000US45,South Carolina,45
93.7,null,92.4,null,95.1,null,0400000US46,South Dakota,46
95.4,null,94.5,null,96.3,null,0400000US47,Tennessee,47
93.6,null,92.3,null,94.9,null,0400000US48,Texas,48
93.1,null,91.7,null,94.6,null,0400000US49,Utah,49
97.0,null,97.0,null,97.0,null,0400000US50,Vermont,50
94.6,null,93.9,null,95.3,null,0400000US51,Virginia,51
95.7,null,94.5,null,97.0,null,0400000US53,Washington,53
91.4,null,91.0,null,91.9,null,0400000US54,West Virginia,54
98.5,null,97.9,null,99.1,null,0400000US55,Wisconsin,55
93.7,null,93.0,null,94.3,null,0400000US56,Wyoming,56
79.5,null,78.0,null,80.9,null,0400000US72,Puerto Rico,72
