C17009_001E,C17009_001EA,C17009_001M,C17009_001MA,C17009_002E,C17009_002EA,C17009_002M,C17009_002MA,C17009_003E,C17009_003EA,C17009_003M,C17009_003MA,C17009_004E,C17009_004EA,C17009_004M,C17009_004MA,C17009_005E,C17009_005EA,C17009_005M,C17009_005MA,C17009_006E,C17009_006EA,C17009_006M,C17009_006MA,C17009_007E,C17009_007EA,C17009_007M,C17009_007MA,C17009_008E,C17009_008EA,C17009_008M,C17009_008MA,C17009_009E,C17009_009EA,C17009_009M,C17009_009MA,GEO_ID,NAME,state
771422,null,14196,null,235582,null,8138,null,10867,null,1789,null,73550,null,5538,null,151165,null,5940,null,535840,null,12605,null,275626,null,9913,null,99930,null,5535,null,160284,null,5172,null,0400000US01,Alabama,01
133040,null,5897,null,24475,null,2718,null,1562,null,695,null,12638,null,1852,null,10275,null,1922,null,108565,null,5433,null,56991,null,3915,null,35066,null,3219,null,16508,null,1971,null,0400000US02,Alaska,02
1193223,null,23390,null,310202,null,11252,null,20610,null,3310,null,108200,null,6461,null,181392,null,7830,null,883021,null,17941,null,488740,null,13470,null,179705,null,7868,null,214576,null,7340,null,0400000US04,Arizona,04
473201,null,12217,null,145162,null,6414,null,6976,null,1455,null,52044,null,4449,null,86142,null,4609,null,328039,null,10406,null,166300,null,8944,null,62448,null,4096,null,99291,null,4537,null,0400000US05,Arkansas,05
6411271,null,35784,null,1550665,null,23578,null,72072,null,5486,null,561084,null,14792,null,917509,null,17875,null,4860606,null,32057,null,2578939,null,28545,null,1177550,null,18789,null,1104117,null,16724,null,0400000US06,California,06
1006402,null,14958,null,230492,null,8870,null,14620,null,2745,null,111281,null,6713,null,104591,null,5493,null,775910,null,14398,null,451565,null,11309,null,181762,null,7325,null,142583,null,6532,null,0400000US08,Colorado,08
609146,null,13986,null,124542,null,7037,null,4896,null,1218,null,42105,null,4399,null,77541,null,4912,null,484604,null,12435,null,256293,null,9204,null,108342,null,5913,null,119969,null,4675,null,0400000US09,Connecticut,09
161111,null,7505,null,33795,null,3551,null,1233,null,741,null,12329,null,2462,null,20233,null,2229,null,127316,null,6025,null,70460,null,4794,null,24625,null,2997,null,32231,null,2283,null,0400000US10,Delaware,10
202021,null,6743,null,43648,null,3718,null,1809,null,671,null,14539,null,2180,null,27300,null,3148,null,158373,null,6055,null,106884,null,4957,null,31855,null,3215,null,19634,null,1883,null,0400000US11,District of Columbia,11
3588848,null,34693,null,930392,null,20578,null,48040,null,4940,null,316204,null,12287,null,566148,null,14168,null,2658456,null,29009,null,1362983,null,21825,null,535263,null,15850,null,760210,null,14876,null,0400000US12,Florida,12
1590603,null,23648,null,433022,null,12706,null,24435,null,3689,null,152019,null,7520,null,256568,null,10029,null,1157581,null,21814,null,692425,null,16991,null,224157,null,10963,null,240999,null,7699,null,0400000US13,Georgia,13
224060,null,8474,null,51554,null,4570,null,3757,null,935,null,18146,null,2668,null,29651,null,3409,null,172506,null,7755,null,98749,null,6685,null,37570,null,3382,null,36187,null,2720,null,0400000US15,Hawaii,15
243639,null,8132,null,72244,null,5479,null,4284,null,1375,null,37204,null,4344,null,30756,null,3067,null,171395,null,5786,null,84630,null,4742,null,41491,null,3498,null,45274,null,2810,null,0400000US16,Idaho,16
2280925,null,24577,null,530431,null,14346,null,22691,null,2733,null,206601,null,9305,null,301139,null,10447,null,1750494,null,23380,null,953514,null,19968,null,371254,null,9413,null,425726,null,8222,null,0400000US17,Illinois,17
1130319,null,14205,null,296584,null,8933,null,13840,null,2136,null,129988,null,6328,null,152756,null,7253,null,833735,null,12739,null,429934,null,9679,null,182790,null,7163,null,221011,null,5544,null,0400000US18,Indiana,18
588933,null,11097,null,148702,null,6194,null,7816,null,1538,null,77830,null,4136,null,63056,null,3830,null,440231,null,11371,null,231418,null,7791,null,95752,null,5520,null,113061,null,4633,null,0400000US19,Iowa,19
536017,null,10169,null,142616,null,5848,null,9413,null,1771,null,67963,null,4817,null,65240,null,3803,null,393401,null,9961,null,218151,null,8133,null,76675,null,4740,null,98575,null,3709,null,0400000US20,Kansas,20
732702,null,14413,null,236119,null,8412,null,11349,null,1894,null,79535,null,5361,null,145235,null,6213,null,496583,null,11145,null,250057,null,7915,null,93144,null,4331,null,153382,null,5851,null,0400000US21,Kentucky,21
760338,null,17039,null,224500,null,8383,null,13628,null,2593,null,81873,null,5056,null,128999,null,6928,null,535838,null,13955,null,304580,null,11343,null,101925,null,6226,null,129333,null,4748,null,0400000US22,Louisiana,22
280499,null,8328,null,68123,null,4148,null,4406,null,1134,null,23680,null,2477,null,40037,null,2932,null,212376,null,7545,null,100847,null,6144,null,49368,null,3881,null,62161,null,3116,null,0400000US23,Maine,23
1024368,null,17116,null,203425,null,8040,null,8525,null,1504,null,74102,null,5822,null,120798,null,6570,null,820943,null,16706,null,492166,null,12964,null,157489,null,7156,null,171288,null,6355,null,0400000US24,Maryland,24
1344052,null,20622,null,284983,null,10851,null,8203,null,1775,null,101913,null,6964,null,174867,null,7661,null,1059069,null,18106,null,582413,null,15363,null,229932,null,8212,null,246724,null,6537,null,0400000US25,Massachusetts,25
1803400,null,20434,null,531086,null,11170,null,21339,null,2632,null,208035,null,8017,null,301712,null,9469,null,1272314,null,16261,null,582078,null,12433,null,286190,null,8959,null,404046,null,8953,null,0400000US26,Michigan,26
1038197,null,15389,null,235003,null,8816,null,11718,null,1814,null,109873,null,6250,null,113412,null,5573,null,803194,null,13457,null,435927,null,9135,null,194379,null,7242,null,172888,null,4911,null,0400000US27,Minnesota,27
457720,null,12641,null,154958,null,7214,null,8722,null,1773,null,45454,null,3968,null,100782,null,6390,null,302762,null,9343,null,160582,null,7783,null,53811,null,3892,null,88369,null,4213,null,0400000US28,Mississippi,28
1094164,null,16242,null,286263,null,9250,null,14855,null,2118,null,114356,null,5793,null,157052,null,6899,null,807901,null,14472,null,432608,null,10655,null,165043,null,7743,null,210250,null,6426,null,0400000US29,Missouri,29
205979,null,7837,null,57667,null,5167,null,5152,null,1525,null,27507,null,3950,null,25008,null,2946,null,148312,null,6047,null,74297,null,4573,null,35965,null,2983,null,38050,null,2855,null,0400000US30,Montana,30
349417,null,10747,null,90008,null,6437,null,7677,null,1643,null,46171,null,4549,null,36160,null,3263,null,259409,null,8155,null,146891,null,6736,null,53109,null,3527,null,59409,null,2776,null,0400000US31,Nebraska,31
520414,null,14368,null,107495,null,7189,null,5318,null,1235,null,41060,null,4294,null,61117,null,4963,null,412919,null,11129,null,246793,null,9056,null,88808,null,4541,null,77318,null,4228,null,0400000US32,Nevada,32
249985,null,8011,null,50221,null,4160,null,1348,null,726,null,20603,null,2996,null,28270,null,2852,null,199764,null,7677,null,112119,null,6344,null,44542,null,3667,null,43103,null,2297,null,0400000US33,New Hampshire,33
1396587,null,19243,null,264740,null,9079,null,11605,null,2309,null,74397,null,6251,null,178738,null,9498,null,1131847,null,19916,null,628257,null,17403,null,211659,null,8893,null,291931,null,6985,null,0400000US34,New Jersey,34
359807,null,10664,null,100225,null,5883,null,5871,null,1320,null,33901,null,3647,null,60453,null,4431,null,259582,null,9057,null,141653,null,7078,null,51167,null,4075,null,66762,null,3823,null,0400000US35,New Mexico,35
3757745,null,34790,null,899993,null,18448,null,38799,null,3432,null,270227,null,9727,null,590967,null,14217,null,2857752,null,28970,null,1591313,null,23536,null,564083,null,12377,null,702356,null,10223,null,0400000US36,New York,36
1668649,null,22328,null,481912,null,14961,null,28840,null,3299,null,193443,null,9760,null,259629,null,10010,null,1186737,null,17734,null,643092,null,14716,null,249483,null,9540,null,294162,null,8234,null,0400000US37,North Carolina,37
138686,null,5361,null,37583,null,3178,null,2535,null,938,null,20034,null,2643,null,15014,null,1752,null,101103,null,4410,null,57644,null,3854,null,22684,null,2095,null,20775,null,1867,null,0400000US38,North Dakota,38
2163864,null,21928,null,595488,null,13600,null,25877,null,2979,null,221999,null,7731,null,347612,null,10689,null,1568376,null,18313,null,806270,null,14754,null,320845,null,9940,null,441261,null,8188,null,0400000US39,Ohio,39
653610,null,13682,null,185698,null,6824,null,11694,null,1934,null,76654,null,5110,null,97350,null,4666,null,467912,null,11323,null,255435,null,8556,null,89688,null,5320,null,122789,null,4268,null,0400000US40,Oklahoma,40
810955,null,17373,null,214340,null,7916,null,11513,null,2005,null,98471,null,5853,null,104356,null,6002,null,596615,null,14699,null,291234,null,11519,null,150492,null,7160,null,154889,null,5546,null,0400000US41,Oregon,41
2355982,null,22874,null,582058,null,15467,null,24786,null,2890,null,190333,null,9356,null,366939,null,11370,null,1773924,null,18942,null,902094,null,15476,null,339408,null,9852,null,532422,null,10072,null,0400000US42,Pennsylvania,42
201234,null,7694,null,43695,null,3937,null,1774,null,740,null,12685,null,2290,null,29236,null,3006,null,157539,null,7163,null,81632,null,5491,null,31583,null,2973,null,44324,null,3165,null,0400000US44,Rhode Island,44
779716,null,13856,null,223928,null,8722,null,12423,null,2437,null,76034,null,5375,null,135471,null,6494,null,555788,null,12267,null,296943,null,8555,null,108649,null,5879,null,150196,null,5273,null,0400000US45,South Carolina,45
157231,null,7087,null,42773,null,3534,null,3488,null,1067,null,20611,null,2973,null,18674,null,1948,null,114458,null,5783,null,62708,null,4634,null,23521,null,2230,null,28229,null,2335,null,0400000US46,South Dakota,46
1105671,null,15732,null,322499,null,10024,null,15126,null,2128,null,117355,null,7255,null,190018,null,7989,null,783172,null,13470,null,418088,null,11221,null,162477,null,6293,null,202607,null,5624,null,0400000US47,Tennessee,47
3749787,null,37534,null,991832,null,19774,null,72466,null,6235,null,386287,null,13131,null,533079,null,14948,null,2757955,null,31118,null,1697381,null,25817,null,524146,null,14199,null,536428,null,10778,null,0400000US48,Texas,48
371179,null,10335,null,116921,null,7011,null,8088,null,1850,null,65803,null,5654,null,43030,null,3973,null,254258,null,8328,null,146182,null,6226,null,55352,null,4421,null,52724,null,3465,null,0400000US49,Utah,49
134791,null,4739,null,33267,null,2747,null,1729,null,513,null,14650,null,2217,null,16888,null,1500,null,101524,null,4005,null,53422,null,3217,null,23905,null,2145,null,24197,null,1681,null,0400000US50,Vermont,50
1412239,null,20812,null,300650,null,11602,null,16611,null,2666,null,119712,null,6860,null,164327,null,7630,null,1111589,null,18804,null,684666,null,15036,null,193700,null,7825,null,233223,null,7753,null,0400000US51,Virginia,51
1379339,null,21989,null,327814,null,9080,null,15332,null,2177,null,132701,null,6661,null,179781,null,7751,null,1051525,null,19900,null,557709,null,14368,null,257697,null,10314,null,236119,null,7047,null,0400000US53,Washington,53
