B99171_001E,B99171_001EA,B99171_002E,B99171_002EA,B99171_003E,B99171_003EA,B99171_004E,B99171_004EA,B99171_005E,B99171_005EA,B99171_006E,B99171_006EA,B99171_007E,B99171_007EA,B99171_008E,B99171_008EA,B99171_009E,B99171_009EA,B99171_010E,B99171_010EA,B99171_011E,B99171_011EA,B99171_012E,B99171_012EA,B99171_013E,B99171_013EA,B99171_014E,B99171_014EA,B99171_015E,B99171_015EA,GEO_ID,NAME,state
771422,null,185420,null,10825,null,519,null,428,null,571,null,864,null,36955,null,422007,null,8893,null,5187,null,3284,null,4302,null,6908,null,85259,null,0400000US01,Alabama,01
133040,null,18266,null,801,null,119,null,834,null,675,null,1181,null,2599,null,91423,null,693,null,1014,null,969,null,92,null,5142,null,9232,null,0400000US02,Alaska,02
1193223,null,228965,null,21366,null,761,null,51,null,569,null,1481,null,57009,null,668544,null,10501,null,4955,null,3185,null,4027,null,9864,null,181945,null,0400000US04,Arizona,04
473201,null,108691,null,5993,null,303,null,724,null,559,null,1695,null,27197,null,253360,null,3578,null,1835,null,1550,null,1950,null,5981,null,59785,null,0400000US05,Arkansas,05
6411271,null,1136642,null,95808,null,3457,null,3479,null,4508,null,7970,null,298801,null,3697407,null,63144,null,32968,null,19300,null,27553,null,63148,null,957086,null,0400000US06,California,06
1006402,null,181971,null,9671,null,639,null,931,null,527,null,1702,null,35051,null,633558,null,8168,null,4825,null,2190,null,3075,null,9305,null,114789,null,0400000US08,Colorado,08
609146,null,90010,null,7464,null,223,null,468,null,612,null,846,null,24919,null,375420,null,7528,null,3486,null,2155,null,2950,null,7933,null,85132,null,0400000US09,Connecticut,09
161111,null,26295,null,1751,null,0,null,66,null,0,null,250,null,5433,null,97157,null,1986,null,1310,null,793,null,856,null,1411,null,23803,null,0400000US10,Delaware,10
202021,null,31494,null,3169,null,91,null,225,null,191,null,288,null,8190,null,125174,null,1334,null,1353,null,359,null,712,null,1551,null,27890,null,0400000US11,District of Columbia,11
3588848,null,695641,null,51618,null,2744,null,1977,null,1711,null,5394,null,171307,null,1983346,null,46788,null,19643,null,11868,null,20309,null,39846,null,536656,null,0400000US12,Florida,12
1590603,null,327753,null,20046,null,1023,null,992,null,930,null,2390,null,79888,null,872870,null,12450,null,8739,null,3525,null,6063,null,13523,null,240411,null,0400000US13,Georgia,13
224060,null,37709,null,3145,null,100,null,50,null,75,null,444,null,10031,null,131424,null,2323,null,947,null,138,null,940,null,1840,null,34894,null,0400000US15,Hawaii,15
243639,null,56476,null,2889,null,102,null,483,null,0,null,745,null,11549,null,139876,null,1553,null,1067,null,751,null,1079,null,3367,null,23702,null,0400000US16,Idaho,16
2280925,null,394519,null,25506,null,2016,null,1694,null,1779,null,3824,null,101093,null,1343786,null,25459,null,15032,null,8770,null,12096,null,20836,null,324515,null,0400000US17,Illinois,17
1130319,null,229086,null,10894,null,800,null,755,null,402,null,1632,null,53015,null,662832,null,14013,null,6333,null,3663,null,6332,null,13667,null,126895,null,0400000US18,Indiana,18
588933,null,114095,null,5356,null,721,null,419,null,566,null,880,null,26665,null,355198,null,6550,null,3738,null,2148,null,4238,null,6225,null,62134,null,0400000US19,Iowa,19
536017,null,112310,null,3901,null,474,null,339,null,336,null,1052,null,24204,null,318256,null,6287,null,3411,null,2363,null,4531,null,6089,null,52464,null,0400000US20,Kansas,20
732702,null,185538,null,10273,null,563,null,619,null,1064,null,1320,null,36742,null,394311,null,7498,null,3279,null,2334,null,4108,null,7976,null,77077,null,0400000US21,Kentucky,21
760338,null,168421,null,12519,null,527,null,542,null,1408,null,1841,null,39242,null,397559,null,6676,null,3220,null,1869,null,3808,null,7079,null,115627,null,0400000US22,Louisiana,22
280499,null,51455,null,3131,null,350,null,283,null,58,null,84,null,12762,null,173709,null,2390,null,1930,null,559,null,1838,null,2885,null,29065,null,0400000US23,Maine,23
1024368,null,147586,null,11135,null,643,null,348,null,592,null,1538,null,41583,null,656292,null,9754,null,6603,null,2984,null,5288,null,8866,null,131156,null,0400000US24,Maryland,24
1344052,null,201508,null,19154,null,1470,null,1083,null,1384,null,1561,null,58823,null,782500,null,19803,null,10349,null,4953,null,8066,null,14675,null,218723,null,0400000US25,Massachusetts,25
1803400,null,396052,null,26992,null,1895,null,1519,null,1010,null,4596,null,99022,null,986859,null,21629,null,11393,null,6625,null,7849,null,18310,null,219649,null,0400000US26,Michigan,26
1038197,null,179472,null,9648,null,1271,null,567,null,879,null,2095,null,41071,null,659153,null,10910,null,6049,null,3920,null,6461,null,15691,null,101010,null,0400000US27,Minnesota,27
457720,null,117519,null,7073,null,153,null,192,null,634,null,522,null,28865,null,221601,null,5022,null,1117,null,1362,null,3431,null,4248,null,65981,null,0400000US28,Mississippi,28
1094164,null,220130,null,12139,null,874,null,808,null,1393,null,2479,null,48440,null,639452,null,10689,null,8310,null,4098,null,6010,null,12620,null,126722,null,0400000US29,Missouri,29
205979,null,41698,null,2362,null,197,null,244,null,211,null,816,null,12139,null,116496,null,2314,null,1054,null,765,null,1241,null,2597,null,23845,null,0400000US30,Montana,30
349417,null,68911,null,3763,null,831,null,220,null,172,null,524,null,15587,null,212056,null,3453,null,2454,null,1572,null,1955,null,4064,null,33855,null,0400000US31,Nebraska,31
520414,null,84590,null,4443,null,467,null,448,null,108,null,794,null,16645,null,314176,null,5120,null,2073,null,1550,null,1789,null,5414,null,82797,null,0400000US32,Nevada,32
249985,null,36612,null,4238,null,580,null,427,null,332,null,340,null,7692,null,157964,null,2379,null,2494,null,1034,null,1542,null,2634,null,31717,null,0400000US33,New Hampshire,33
1396587,null,187132,null,16955,null,938,null,590,null,712,null,1147,null,57266,null,832166,null,19725,null,9535,null,5481,null,9357,null,17711,null,237872,null,0400000US34,New Jersey,34
359807,null,76451,null,5912,null,314,null,56,null,70,null,816,null,16606,null,201434,null,2571,null,1733,null,667,null,1733,null,3274,null,48170,null,0400000US35,New Mexico,35
3757745,null,633452,null,61782,null,2519,null,2223,null,2913,null,5709,null,191395,null,2097551,null,41934,null,27797,null,13676,null,20095,null,37709,null,618990,null,0400000US36,New York,36
1668649,null,369714,null,19938,null,1488,null,288,null,1249,null,3689,null,85546,null,938274,null,15727,null,10375,null,4728,null,7199,null,16640,null,193794,null,0400000US37,North Carolina,37
138686,null,29412,null,1119,null,202,null,393,null,94,null,267,null,6096,null,80709,null,1439,null,1556,null,354,null,878,null,1660,null,14507,null,0400000US38,North Dakota,38
2163864,null,457792,null,26413,null,1993,null,1305,null,1646,null,5467,null,100872,null,1260534,null,22943,null,13353,null,7348,null,14945,null,21712,null,227541,null,0400000US39,Ohio,39
653610,null,146719,null,5952,null,483,null,1057,null,779,null,1522,null,29186,null,370615,null,5850,null,3971,null,2196,null,3924,null,5894,null,75462,null,0400000US40,Oklahoma,40
810955,null,168839,null,8663,null,1101,null,124,null,238,null,2188,null,33187,null,485559,null,7238,null,4089,null,2761,null,4408,null,8178,null,84382,null,0400000US41,Oregon,41
2355982,null,424481,null,35206,null,2935,null,2059,null,1753,null,5891,null,109733,null,1372436,null,30189,null,16565,null,11234,null,13363,null,27230,null,302907,null,0400000US42,Pennsylvania,42
201234,null,33182,null,2766,null,471,null,73,null,143,null,416,null,6644,null,116422,null,2216,null,1386,null,1020,null,1879,null,2464,null,32152,null,0400000US44,Rhode Island,44
779716,null,159104,null,12812,null,949,null,518,null,564,null,802,null,49179,null,411146,null,6992,null,3693,null,2013,null,2918,null,7101,null,121925,null,0400000US45,South Carolina,45
157231,null,34019,null,1693,null,43,null,194,null,163,null,317,null,6344,null,95947,null,1678,null,906,null,409,null,851,null,1325,null,13342,null,0400000US46,South Dakota,46
1105671,null,249857,null,13025,null,509,null,738,null,1221,null,2499,null,54650,null,612860,null,11934,null,7194,null,3284,null,4674,null,10550,null,132676,null,0400000US47,Tennessee,47
3749787,null,765446,null,42991,null,2627,null,1342,null,1984,null,5020,null,172422,null,2129790,null,32281,null,17183,null,10413,null,14020,null,30229,null,524039,null,0400000US48,Texas,48
371179,null,84601,null,6097,null,388,null,144,null,159,null,1526,null,24006,null,201071,null,2745,null,2301,null,835,null,969,null,3252,null,43085,null,0400000US49,Utah,49
134791,null,24834,null,1446,null,450,null,11,null,139,null,118,null,6269,null,80427,null,1118,null,888,null,817,null,812,null,1703,null,15759,null,0400000US50,Vermont,50
1412239,null,226112,null,14254,null,1146,null,799,null,591,null,2621,null,55127,null,882131,null,12936,null,7395,null,3221,null,6387,null,12538,null,186981,null,0400000US51,Virginia,51
1379339,null,263418,null,12760,null,513,null,892,null,751,null,2410,null,47070,null,866745,null,13671,null,8026,null,4115,null,5172,null,16977,null,136819,null,0400000US53,Washington,53
337717,null,85503,null,4691,null,247,null,386,null,187,null,700,null,14945,null,181084,null,4735,null,2435,null,968,null,1724,null,3862,null,36250,null,0400000US54,West Virginia,54
1125444,null,203339,null,12732,null,1093,null,639,null,768,null,2414,null,59926,null,670638,null,11785,null,6912,null,5440,null,5530,null,10340,null,133888,null,0400000US55,Wisconsin,55
96501,null,18188,null,982,null,173,null,150,null,0,null,182,null,1957,null,61248,null,1079,null,678,null,360,null,159,null,1427,null,9918,null,0400000US56,Wyoming,56
451953,null,219128,null,6728,null,78,null,291,null,260,null,1443,null,30924,null,154987,null,2838,null,911,null,790,null,1109,null,2668,null,29798,null,0400000US72,Puerto Rico,72
