C12002C_001E,C12002C_001EA,C12002C_001M,C12002C_001MA,C12002C_002E,C12002C_002EA,C12002C_002M,C12002C_002MA,C12002C_003E,C12002C_003EA,C12002C_003M,C12002C_003MA,C12002C_004E,C12002C_004EA,C12002C_004M,C12002C_004MA,C12002C_005E,C12002C_005EA,C12002C_005M,C12002C_005MA,C12002C_006E,C12002C_006EA,C12002C_006M,C12002C_006MA,GEO_ID,NAME,state
19371,null,2719,null,5264,null,1941,null,9276,null,1342,null,456,null,296,null,1197,null,486,null,3178,null,809,null,0400000US01,Alabama,01
69203,null,2876,null,34404,null,2447,null,23525,null,1854,null,1619,null,443,null,3419,null,662,null,6236,null,1053,null,0400000US02,Alaska,02
212939,null,5794,null,114882,null,5500,null,62052,null,4175,null,6755,null,1449,null,10936,null,1299,null,18314,null,2539,null,0400000US04,Arizona,04
14232,null,2201,null,4317,null,1288,null,6472,null,1349,null,176,null,186,null,779,null,323,null,2488,null,815,null,0400000US05,Arkansas,05
235297,null,9262,null,91929,null,5730,null,93402,null,5420,null,8688,null,1653,null,10768,null,1475,null,30510,null,3316,null,0400000US06,California,06
40502,null,4074,null,15089,null,2214,null,15793,null,2277,null,1101,null,539,null,1780,null,650,null,6739,null,1797,null,0400000US08,Colorado,08
8331,null,2261,null,4015,null,1274,null,3298,null,1331,null,34,null,54,null,206,null,148,null,778,null,375,null,0400000US09,Connecticut,09
2026,null,900,null,654,null,454,null,744,null,436,null,188,null,241,null,37,null,63,null,403,null,312,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
46435,null,4784,null,15997,null,3168,null,19740,null,2379,null,2361,null,932,null,2768,null,887,null,5569,null,1447,null,0400000US12,Florida,12
18009,null,2323,null,6395,null,1515,null,7909,null,1653,null,916,null,527,null,549,null,338,null,2240,null,738,null,0400000US13,Georgia,13
3161,null,1024,null,1047,null,614,null,1203,null,399,null,67,null,87,null,181,null,185,null,663,null,470,null,0400000US15,Hawaii,15
16796,null,2307,null,6452,null,1668,null,6333,null,1602,null,578,null,378,null,687,null,388,null,2746,null,719,null,0400000US16,Idaho,16
20655,null,2604,null,7546,null,1389,null,9301,null,1753,null,862,null,467,null,940,null,514,null,2006,null,583,null,0400000US17,Illinois,17
11948,null,1889,null,4117,null,1058,null,5011,null,1221,null,279,null,177,null,503,null,303,null,2038,null,681,null,0400000US18,Indiana,18
7547,null,1385,null,2872,null,838,null,2668,null,874,null,52,null,85,null,369,null,243,null,1586,null,902,null,0400000US19,Iowa,19
17912,null,1820,null,6230,null,1086,null,7632,null,1398,null,453,null,315,null,788,null,407,null,2809,null,918,null,0400000US20,Kansas,20
8075,null,1393,null,2203,null,659,null,3930,null,1114,null,271,null,308,null,277,null,199,null,1394,null,712,null,0400000US21,Kentucky,21
16916,null,1932,null,4010,null,1034,null,8243,null,1168,null,1039,null,518,null,1407,null,560,null,2217,null,759,null,0400000US22,Louisiana,22
5939,null,850,null,2706,null,709,null,1923,null,465,null,42,null,45,null,301,null,184,null,967,null,347,null,0400000US23,Maine,23
12790,null,2325,null,4140,null,1299,null,5871,null,1132,null,537,null,454,null,573,null,377,null,1669,null,645,null,0400000US24,Maryland,24
8060,null,1663,null,4247,null,1441,null,2405,null,678,null,246,null,213,null,311,null,211,null,851,null,359,null,0400000US25,Massachusetts,25
38877,null,2794,null,14343,null,1685,null,15504,null,1685,null,1142,null,572,null,1874,null,573,null,6014,null,1180,null,0400000US26,Michigan,26
40725,null,2167,null,19402,null,2027,null,13121,null,1714,null,932,null,366,null,1326,null,470,null,5944,null,1120,null,0400000US27,Minnesota,27
10251,null,1879,null,3064,null,740,null,3285,null,1088,null,650,null,448,null,790,null,524,null,2462,null,893,null,0400000US28,Mississippi,28
16438,null,2072,null,4368,null,1377,null,6834,null,1157,null,567,null,497,null,1176,null,477,null,3493,null,890,null,0400000US29,Missouri,29
45898,null,1794,null,20886,null,2011,null,16583,null,2157,null,552,null,245,null,2268,null,633,null,5609,null,1102,null,0400000US30,Montana,30
11341,null,2139,null,4413,null,1371,null,3572,null,1061,null,198,null,233,null,1027,null,613,null,2131,null,624,null,0400000US31,Nebraska,31
22154,null,2242,null,8031,null,1148,null,9007,null,1639,null,538,null,356,null,662,null,288,null,3916,null,845,null,0400000US32,Nevada,32
2777,null,1039,null,935,null,716,null,1589,null,544,null,57,null,60,null,126,null,124,null,70,null,71,null,0400000US33,New Hampshire,33
17978,null,2735,null,8096,null,2009,null,6737,null,1642,null,464,null,280,null,1366,null,698,null,1315,null,521,null,0400000US34,New Jersey,34
140451,null,3562,null,75789,null,3628,null,45369,null,3513,null,2432,null,1004,null,8410,null,1395,null,8451,null,1340,null,0400000US35,New Mexico,35
53227,null,4447,null,21918,null,2881,null,18429,null,2559,null,2255,null,894,null,3582,null,997,null,7043,null,1349,null,0400000US36,New York,36
79242,null,3588,null,29197,null,2688,null,31883,null,3337,null,4179,null,1482,null,5543,null,1147,null,8440,null,1716,null,0400000US37,North Carolina,37
26052,null,1349,null,11947,null,1469,null,9061,null,1489,null,752,null,312,null,1439,null,648,null,2853,null,750,null,0400000US38,North Dakota,38
16468,null,2433,null,4783,null,1312,null,7181,null,1376,null,531,null,337,null,943,null,435,null,3030,null,853,null,0400000US39,Ohio,39
169314,null,5276,null,53809,null,2992,null,75481,null,3778,null,4920,null,1021,null,10296,null,1071,null,24808,null,2010,null,0400000US40,Oklahoma,40
35781,null,4017,null,13871,null,2302,null,13403,null,2455,null,1938,null,751,null,1457,null,514,null,5112,null,1131,null,0400000US41,Oregon,41
13995,null,1721,null,4345,null,837,null,6068,null,1199,null,785,null,516,null,812,null,438,null,1985,null,915,null,0400000US42,Pennsylvania,42
2666,null,780,null,983,null,499,null,1134,null,574,null,0,null,287,null,115,null,154,null,434,null,355,null,0400000US44,Rhode Island,44
9306,null,1655,null,2449,null,900,null,3817,null,1071,null,1229,null,617,null,581,null,405,null,1230,null,459,null,0400000US45,South Carolina,45
46082,null,1835,null,22542,null,1805,null,11867,null,1930,null,1469,null,735,null,2463,null,603,null,7741,null,1271,null,0400000US46,South Dakota,46
11571,null,2088,null,2110,null,1022,null,5754,null,1531,null,563,null,343,null,429,null,305,null,2715,null,1004,null,0400000US47,Tennessee,47
106689,null,7734,null,34810,null,3936,null,48218,null,4564,null,5593,null,1531,null,4960,null,1246,null,13108,null,2173,null,0400000US48,Texas,48
22433,null,2000,null,11389,null,1786,null,7873,null,1273,null,424,null,355,null,919,null,489,null,1828,null,714,null,0400000US49,Utah,49
1588,null,628,null,709,null,418,null,509,null,330,null,75,null,94,null,0,null,211,null,295,null,186,null,0400000US50,Vermont,50
19793,null,2796,null,6194,null,1947,null,9084,null,1717,null,868,null,484,null,1244,null,594,null,2403,null,855,null,0400000US51,Virginia,51
67127,null,3938,null,26614,null,2877,null,23622,null,2080,null,2424,null,704,null,2779,null,726,null,11688,null,1532,null,0400000US53,Washington,53
2742,null,795,null,393,null,256,null,1300,null,563,null,34,null,57,null,135,null,173,null,880,null,392,null,0400000US54,West Virginia,54
36115,null,2138,null,15411,null,1647,null,13885,null,1562,null,688,null,335,null,1742,null,484,null,4389,null,793,null,0400000US55,Wisconsin,55
10276,null,1266,null,4824,null,924,null,2856,null,919,null,204,null,262,null,435,null,273,null,1957,null,763,null,0400000US56,Wyoming,56
6040,null,1860,null,2124,null,739,null,2629,null,1109,null,470,null,271,null,181,null,152,null,636,null,404,null,0400000US72,Puerto Rico,72
