C27001D_001E,C27001D_001EA,C27001D_001M,C27001D_001MA,C27001D_002E,C27001D_002EA,C27001D_002M,C27001D_002MA,C27001D_003E,C27001D_003EA,C27001D_003M,C27001D_003MA,C27001D_004E,C27001D_004EA,C27001D_004M,C27001D_004MA,C27001D_005E,C27001D_005EA,C27001D_005M,C27001D_005MA,C27001D_006E,C27001D_006EA,C27001D_006M,C27001D_006MA,C27001D_007E,C27001D_007EA,C27001D_007M,C27001D_007MA,C27001D_008E,C27001D_008EA,C27001D_008M,C27001D_008MA,C27001D_009E,C27001D_009EA,C27001D_009M,C27001D_009MA,C27001D_010E,C27001D_010EA,C27001D_010M,C27001D_010MA,GEO_ID,NAME,state
50551,null,2140,null,13246,null,1469,null,12171,null,1694,null,1075,null,612,null,33646,null,1655,null,27194,null,1994,null,6452,null,1463,null,3659,null,767,null,3225,null,794,null,434,null,359,null,0400000US01,Alabama,01
33396,null,1805,null,7496,null,1079,null,6355,null,1163,null,1141,null,624,null,22859,null,1242,null,15894,null,1661,null,6965,null,1483,null,3041,null,749,null,3009,null,750,null,32,null,61,null,0400000US02,Alaska,02
167012,null,3802,null,37386,null,2428,null,34353,null,2766,null,3033,null,1374,null,114698,null,2782,null,93850,null,4109,null,20848,null,3225,null,14928,null,816,null,13683,null,1066,null,1245,null,719,null,0400000US04,Arizona,04
31799,null,2555,null,8115,null,1206,null,6111,null,1478,null,2004,null,1043,null,21351,null,1783,null,14973,null,1881,null,6378,null,1635,null,2333,null,698,null,2125,null,659,null,208,null,236,null,0400000US05,Arkansas,05
4587872,null,13994,null,955656,null,8067,null,887785,null,7920,null,67871,null,6374,null,3105914,null,9707,null,2551354,null,13830,null,554560,null,13081,null,526302,null,3248,null,510597,null,4271,null,15705,null,2324,null,0400000US06,California,06
128631,null,3479,null,30027,null,1956,null,27116,null,2224,null,2911,null,1125,null,87220,null,2688,null,71760,null,2904,null,15460,null,2066,null,11384,null,838,null,11189,null,849,null,195,null,204,null,0400000US08,Colorado,08
123760,null,2249,null,30722,null,1496,null,29797,null,1550,null,925,null,529,null,85794,null,1515,null,77152,null,2280,null,8642,null,1933,null,7244,null,785,null,6547,null,851,null,697,null,490,null,0400000US09,Connecticut,09
26954,null,948,null,6773,null,742,null,6655,null,769,null,118,null,153,null,18261,null,727,null,16370,null,935,null,1891,null,777,null,1920,null,608,null,1844,null,580,null,76,null,118,null,0400000US10,Delaware,10
17194,null,1011,null,1818,null,929,null,1818,null,929,null,0,null,296,null,14184,null,624,null,12713,null,873,null,1471,null,681,null,1192,null,310,null,1192,null,310,null,0,null,296,null,0400000US11,District of Columbia,11
440450,null,6183,null,100760,null,4037,null,86656,null,4817,null,14104,null,2829,null,298581,null,3859,null,216954,null,5335,null,81627,null,5272,null,41109,null,1816,null,39239,null,1831,null,1870,null,785,null,0400000US12,Florida,12
290394,null,4658,null,74559,null,2440,null,61412,null,3094,null,13147,null,2389,null,197794,null,3669,null,139196,null,5324,null,58598,null,5013,null,18041,null,1316,null,15391,null,1350,null,2650,null,902,null,0400000US13,Georgia,13
469583,null,10176,null,68326,null,4660,null,67097,null,4696,null,1229,null,526,null,295107,null,6934,null,271930,null,6466,null,23177,null,3037,null,106150,null,1849,null,105148,null,1855,null,1002,null,427,null,0400000US15,Hawaii,15
17152,null,1443,null,4068,null,868,null,3894,null,848,null,174,null,161,null,11875,null,1032,null,10479,null,1156,null,1396,null,570,null,1209,null,556,null,1209,null,556,null,0,null,263,null,0400000US16,Idaho,16
563669,null,4693,null,132654,null,2825,null,124508,null,3392,null,8146,null,2118,null,382187,null,3251,null,308999,null,5964,null,73188,null,5777,null,48828,null,1590,null,44878,null,1909,null,3950,null,1040,null,0400000US17,Illinois,17
90137,null,2882,null,22763,null,1750,null,19345,null,1880,null,3418,null,1026,null,61649,null,2107,null,48860,null,2727,null,12789,null,2224,null,5725,null,1137,null,5203,null,1143,null,522,null,382,null,0400000US18,Indiana,18
45720,null,2204,null,10740,null,1292,null,10425,null,1325,null,315,null,287,null,32996,null,1658,null,29913,null,1821,null,3083,null,1073,null,1984,null,530,null,1984,null,530,null,0,null,228,null,0400000US19,Iowa,19
61052,null,1870,null,14801,null,1098,null,13524,null,1235,null,1277,null,621,null,43382,null,1474,null,37626,null,1815,null,5756,null,1115,null,2869,null,516,null,2738,null,554,null,131,null,125,null,0400000US20,Kansas,20
41620,null,1863,null,11625,null,1271,null,10627,null,1284,null,998,null,542,null,27950,null,1500,null,23835,null,1622,null,4115,null,1135,null,2045,null,497,null,1940,null,477,null,105,null,171,null,0400000US21,Kentucky,21
66539,null,2468,null,17853,null,1409,null,16589,null,1582,null,1264,null,807,null,44469,null,1854,null,30584,null,1966,null,13885,null,2322,null,4217,null,900,null,3476,null,890,null,741,null,495,null,0400000US22,Louisiana,22
12213,null,1050,null,3264,null,821,null,3106,null,750,null,158,null,249,null,8630,null,846,null,7336,null,968,null,1294,null,647,null,319,null,226,null,319,null,226,null,0,null,230,null,0400000US23,Maine,23
288085,null,3696,null,63779,null,2261,null,60279,null,2447,null,3500,null,1145,null,197913,null,2738,null,161973,null,3608,null,35940,null,3601,null,26393,null,974,null,24608,null,1329,null,1785,null,880,null,0400000US24,Maryland,24
327157,null,3909,null,74999,null,2396,null,74352,null,2494,null,647,null,350,null,231083,null,2579,null,213400,null,4007,null,17683,null,3130,null,21075,null,1361,null,20839,null,1361,null,236,null,249,null,0400000US25,Massachusetts,25
240862,null,3728,null,62900,null,2267,null,59868,null,2329,null,3032,null,1189,null,162349,null,2212,null,139114,null,3112,null,23235,null,2608,null,15613,null,1105,null,14656,null,1151,null,957,null,530,null,0400000US26,Michigan,26
195374,null,2870,null,61237,null,1822,null,56993,null,2398,null,4244,null,1787,null,125491,null,1856,null,108233,null,3160,null,17258,null,2876,null,8646,null,602,null,8038,null,737,null,608,null,463,null,0400000US27,Minnesota,27
22441,null,2542,null,3995,null,1349,null,3513,null,1294,null,482,null,556,null,16662,null,2129,null,12652,null,2211,null,4010,null,1025,null,1784,null,676,null,1663,null,665,null,121,null,181,null,0400000US28,Mississippi,28
86074,null,2852,null,20756,null,1655,null,19357,null,1637,null,1399,null,748,null,58913,null,2169,null,48999,null,2593,null,9914,null,1798,null,6405,null,782,null,5746,null,879,null,659,null,569,null,0400000US29,Missouri,29
5178,null,1062,null,1053,null,612,null,976,null,590,null,77,null,136,null,4033,null,852,null,2969,null,852,null,1064,null,462,null,92,null,129,null,92,null,129,null,0,null,240,null,0400000US30,Montana,30
29661,null,1786,null,8936,null,1153,null,8373,null,1289,null,563,null,668,null,19453,null,1194,null,16566,null,1342,null,2887,null,1126,null,1272,null,422,null,1209,null,426,null,63,null,102,null,0400000US31,Nebraska,31
173786,null,3460,null,36195,null,2552,null,30955,null,2606,null,5240,null,1492,null,117124,null,2082,null,93813,null,3516,null,23311,null,3346,null,20467,null,797,null,19179,null,1071,null,1288,null,827,null,0400000US32,Nevada,32
25003,null,1426,null,7388,null,1097,null,6834,null,1145,null,554,null,439,null,15864,null,980,null,13271,null,1217,null,2593,null,866,null,1751,null,533,null,1606,null,535,null,145,null,183,null,0400000US33,New Hampshire,33
674894,null,4700,null,165811,null,3119,null,152476,null,3432,null,13335,null,2263,null,454324,null,2875,null,380281,null,5932,null,74043,null,5304,null,54759,null,1307,null,49739,null,1745,null,5020,null,1490,null,0400000US34,New Jersey,34
28125,null,1731,null,7774,null,1210,null,7317,null,1250,null,457,null,313,null,18018,null,1347,null,14701,null,1359,null,3317,null,893,null,2333,null,670,null,2253,null,660,null,80,null,126,null,0400000US35,New Mexico,35
1368479,null,6947,null,304117,null,4198,null,285787,null,5015,null,18330,null,2834,null,941822,null,4943,null,755700,null,9410,null,186122,null,9572,null,122540,null,1581,null,114926,null,2381,null,7614,null,1964,null,0400000US36,New York,36
182225,null,3684,null,48646,null,2301,null,44349,null,2632,null,4297,null,1476,null,120694,null,2532,null,92879,null,3945,null,27815,null,3791,null,12885,null,1352,null,11947,null,1374,null,938,null,588,null,0400000US37,North Carolina,37
4907,null,897,null,1052,null,431,null,849,null,452,null,203,null,298,null,3460,null,878,null,2744,null,756,null,716,null,394,null,395,null,271,null,395,null,271,null,0,null,208,null,0400000US38,North Dakota,38
178985,null,3678,null,44805,null,2065,null,39805,null,2342,null,5000,null,1414,null,121849,null,2256,null,104690,null,3147,null,17159,null,2577,null,12331,null,1164,null,11122,null,1265,null,1209,null,626,null,0400000US39,Ohio,39
58913,null,2770,null,13232,null,1440,null,9633,null,1391,null,3599,null,1110,null,41460,null,2003,null,30392,null,2504,null,11068,null,2308,null,4221,null,586,null,3878,null,680,null,343,null,294,null,0400000US40,Oklahoma,40
136920,null,3682,null,31664,null,2369,null,29180,null,2468,null,2484,null,1067,null,92808,null,2302,null,75005,null,3474,null,17803,null,2891,null,12448,null,1170,null,12216,null,1173,null,232,null,189,null,0400000US41,Oregon,41
309435,null,4061,null,78573,null,2342,null,75213,null,2525,null,3360,null,1167,null,206029,null,2982,null,167813,null,5141,null,38216,null,4115,null,24833,null,1137,null,24121,null,1234,null,712,null,404,null,0400000US42,Pennsylvania,42
