C03002_001E,C03002_001EA,C03002_001M,C03002_001MA,C03002_002E,C03002_002EA,C03002_002M,C03002_002MA,C03002_003E,C03002_003EA,C03002_003M,C03002_003MA,C03002_004E,C03002_004EA,C03002_004M,C03002_004MA,C03002_005E,C03002_005EA,C03002_005M,C03002_005MA,C03002_006E,C03002_006EA,C03002_006M,C03002_006MA,C03002_007E,C03002_007EA,C03002_007M,C03002_007MA,C03002_008E,C03002_008EA,C03002_008M,C03002_008MA,C03002_009E,C03002_009EA,C03002_009M,C03002_009MA,C03002_010E,C03002_010EA,C03002_010M,C03002_010MA,C03002_011E,C03002_011EA,C03002_011M,C03002_011MA,C03002_012E,C03002_012EA,C03002_012M,C03002_012MA,GEO_ID,NAME,state
4708708,null,0,*****,4560429,null,1956,null,3198640,null,1785,null,1223876,null,5261,null,21459,null,3258,null,51274,null,2185,null,2130,null,1344,null,4964,null,1998,null,58086,null,5158,null,1454,null,765,null,56632,null,5111,null,148279,null,1956,null,0400000US01,Alabama,01
698473,null,0,*****,655100,null,231,null,454124,null,704,null,26613,null,1478,null,89572,null,3344,null,33380,null,1779,null,5188,null,927,null,944,null,705,null,45279,null,3713,null,500,null,673,null,44779,null,3698,null,43373,null,231,null,0400000US02,Alaska,02
6595778,null,0,*****,4564127,null,0,*****,3767988,null,3913,null,237258,null,5606,null,260968,null,5432,null,162025,null,3069,null,11051,null,2186,null,10920,null,3441,null,113917,null,6201,null,5117,null,2100,null,108800,null,6130,null,2031651,null,0,*****,0400000US04,Arizona,04
2889450,null,0,*****,2716957,null,1908,null,2166895,null,1752,null,445464,null,4898,null,16585,null,2348,null,32114,null,2530,null,2329,null,530,null,3074,null,1450,null,50496,null,4141,null,1284,null,941,null,49212,null,4066,null,172493,null,1908,null,0400000US05,Arkansas,05
36961664,null,0,*****,23280294,null,0,*****,15325751,null,6499,null,2159978,null,11356,null,152668,null,6001,null,4559739,null,13368,null,129128,null,3759,null,104190,null,8668,null,848840,null,21148,null,48606,null,4977,null,800234,null,19550,null,13681370,null,0,*****,0400000US06,California,06
5024748,null,0,*****,4006540,null,0,*****,3540663,null,3902,null,184407,null,4626,null,29799,null,3356,null,128568,null,3312,null,4842,null,1148,null,10103,null,2776,null,108158,null,6165,null,4209,null,1525,null,103949,null,5739,null,1018208,null,0,*****,0400000US08,Colorado,08
3518288,null,0,*****,3083817,null,0,*****,2562302,null,3868,null,320278,null,4312,null,4755,null,1015,null,123354,null,2239,null,969,null,687,null,15542,null,3771,null,56617,null,4449,null,2342,null,1011,null,54275,null,4326,null,434471,null,0,*****,0400000US09,Connecticut,09
885122,null,0,*****,821230,null,0,*****,596365,null,638,null,179561,null,2527,null,2208,null,630,null,26966,null,911,null,0,null,263,null,1242,null,710,null,14888,null,2573,null,633,null,417,null,14255,null,2548,null,63892,null,0,*****,0400000US10,Delaware,10
599657,null,0,*****,546632,null,0,*****,199898,null,1211,null,315968,null,1549,null,1445,null,478,null,17268,null,980,null,539,null,368,null,1615,null,1095,null,9899,null,1881,null,531,null,366,null,9368,null,1843,null,53025,null,0,*****,0400000US11,District of Columbia,11
18537969,null,0,*****,14549211,null,1790,null,10988592,null,6103,null,2782647,null,11410,null,36481,null,3588,null,434692,null,6214,null,8146,null,2475,null,51866,null,6791,null,246787,null,11736,null,13144,null,2055,null,233643,null,11767,null,3988758,null,1790,null,0400000US12,Florida,12
