C17017_001E,C17017_001EA,C17017_001M,C17017_001MA,C17017_002E,C17017_002EA,C17017_002M,C17017_002MA,C17017_003E,C17017_003EA,C17017_003M,C17017_003MA,C17017_004E,C17017_004EA,C17017_004M,C17017_004MA,C17017_005E,C17017_005EA,C17017_005M,C17017_005MA,C17017_006E,C17017_006EA,C17017_006M,C17017_006MA,C17017_007E,C17017_007EA,C17017_007M,C17017_007MA,C17017_008E,C17017_008EA,C17017_008M,C17017_008MA,C17017_009E,C17017_009EA,C17017_009M,C17017_009MA,C17017_010E,C17017_010EA,C17017_010M,C17017_010MA,C17017_011E,C17017_011EA,C17017_011M,C17017_011MA,C17017_012E,C17017_012EA,C17017_012M,C17017_012MA,C17017_013E,C17017_013EA,C17017_013M,C17017_013MA,C17017_014E,C17017_014EA,C17017_014M,C17017_014MA,C17017_015E,C17017_015EA,C17017_015M,C17017_015MA,C17017_016E,C17017_016EA,C17017_016M,C17017_016MA,C17017_017E,C17017_017EA,C17017_017M,C17017_017MA,C17017_018E,C17017_018EA,C17017_018M,C17017_018MA,C17017_019E,C17017_019EA,C17017_019M,C17017_019MA,GEO_ID,NAME,state
1848051,null,10312,null,319530,null,8470,null,166703,null,5280,null,51081,null,3470,null,115622,null,4531,null,13304,null,2007,null,102318,null,4068,null,152827,null,5728,null,62019,null,3707,null,90808,null,4208,null,1528521,null,11885,null,1079353,null,12047,null,833452,null,11027,null,245901,null,7893,null,63729,null,4207,null,182172,null,7676,null,449168,null,9705,null,210141,null,7350,null,239027,null,6349,null,0400000US01,Alabama,01
236597,null,2353,null,17975,null,1894,null,9850,null,1365,null,2625,null,686,null,7225,null,1361,null,1319,null,615,null,5906,null,1216,null,8125,null,1300,null,4464,null,964,null,3661,null,831,null,218622,null,2979,null,150090,null,3688,null,116518,null,3220,null,33572,null,2634,null,12461,null,1669,null,21111,null,2081,null,68532,null,3245,null,36507,null,2559,null,32025,null,2196,null,0400000US02,Alaska,02
2276865,null,11778,null,315427,null,8253,null,175498,null,7259,null,79652,null,4954,null,95846,null,5146,null,20151,null,2636,null,75695,null,5147,null,139929,null,6076,null,67086,null,4928,null,72843,null,4354,null,1961438,null,12835,null,1338737,null,13081,null,1046173,null,12194,null,292564,null,8661,null,96639,null,6054,null,195925,null,6956,null,622701,null,12342,null,303595,null,7753,null,319106,null,8451,null,0400000US04,Arizona,04
1124947,null,8066,null,202384,null,6162,null,113410,null,4531,null,42448,null,2721,null,70962,null,4404,null,9088,null,1766,null,61874,null,4077,null,88974,null,4405,null,38611,null,2799,null,50363,null,3220,null,922563,null,8859,null,655082,null,7950,null,523949,null,8443,null,131133,null,5330,null,40414,null,3461,null,90719,null,4490,null,267481,null,7566,null,129274,null,5884,null,138207,null,4927,null,0400000US05,Arkansas,05
12214891,null,20992,null,1509930,null,17473,null,887411,null,13879,null,383236,null,10824,null,504175,null,12303,null,106471,null,6044,null,397704,null,10265,null,622519,null,12270,null,264351,null,8974,null,358168,null,7939,null,10704961,null,25922,null,7478842,null,27770,null,5657974,null,30044,null,1820868,null,24083,null,625098,null,14682,null,1195770,null,16812,null,3226119,null,19591,null,1562409,null,16901,null,1663710,null,17916,null,0400000US06,California,06
1910146,null,9468,null,226663,null,7871,null,109626,null,5252,null,47715,null,3972,null,61911,null,4325,null,10894,null,1902,null,51017,null,3855,null,117037,null,5796,null,52204,null,3853,null,64833,null,4317,null,1683483,null,11523,null,1123513,null,10157,null,922053,null,10702,null,201460,null,6908,null,65210,null,4379,null,136250,null,5728,null,559970,null,9819,null,280933,null,8345,null,279037,null,7523,null,0400000US08,Colorado,08
1326329,null,5869,null,126225,null,6257,null,59484,null,4290,null,14009,null,1938,null,45475,null,3661,null,5119,null,1217,null,40356,null,3452,null,66741,null,4370,null,26717,null,2958,null,40024,null,3129,null,1200104,null,8809,null,831046,null,9223,null,653939,null,8630,null,177107,null,5856,null,50346,null,3797,null,126761,null,4600,null,369058,null,8652,null,165990,null,6037,null,203068,null,5569,null,0400000US09,Connecticut,09
327252,null,4316,null,31311,null,2797,null,15627,null,2343,null,4115,null,1091,null,11512,null,2117,null,1917,null,802,null,9595,null,1794,null,15684,null,1890,null,5301,null,1134,null,10383,null,1421,null,295941,null,5052,null,205028,null,4752,null,155747,null,4527,null,49281,null,3041,null,13338,null,1956,null,35943,null,2283,null,90913,null,4716,null,43641,null,3055,null,47272,null,3080,null,0400000US10,Delaware,10
249280,null,3172,null,39673,null,2900,null,15965,null,2196,null,1175,null,453,null,14790,null,2107,null,1994,null,721,null,12796,null,2031,null,23708,null,2291,null,9655,null,1387,null,14053,null,1836,null,209607,null,3782,null,93065,null,4537,null,55520,null,3162,null,37545,null,3087,null,6799,null,1289,null,30746,null,2857,null,116542,null,3831,null,55679,null,2749,null,60863,null,2875,null,0400000US11,District of Columbia,11
6987647,null,25717,null,963759,null,16267,null,488257,null,11108,null,192017,null,7854,null,296240,null,10087,null,55004,null,4318,null,241236,null,9765,null,475502,null,12625,null,202529,null,8024,null,272973,null,10298,null,6023888,null,25845,null,4054209,null,24841,null,3143382,null,23398,null,910827,null,17910,null,254755,null,8633,null,656072,null,14252,null,1969679,null,18172,null,921213,null,15168,null,1048466,null,13413,null,0400000US12,Florida,12
