B03002_001E,B03002_001EA,B03002_001M,B03002_001MA,B03002_002E,B03002_002EA,B03002_002M,B03002_002MA,B03002_003E,B03002_003EA,B03002_003M,B03002_003MA,B03002_004E,B03002_004EA,B03002_004M,B03002_004MA,B03002_005E,B03002_005EA,B03002_005M,B03002_005MA,B03002_006E,B03002_006EA,B03002_006M,B03002_006MA,B03002_007E,B03002_007EA,B03002_007M,B03002_007MA,B03002_008E,B03002_008EA,B03002_008M,B03002_008MA,B03002_009E,B03002_009EA,B03002_009M,B03002_009MA,B03002_010E,B03002_010EA,B03002_010M,B03002_010MA,B03002_011E,B03002_011EA,B03002_011M,B03002_011MA,B03002_012E,B03002_012EA,B03002_012M,B03002_012MA,B03002_013E,B03002_013EA,B03002_013M,B03002_013MA,B03002_014E,B03002_014EA,B03002_014M,B03002_014MA,B03002_015E,B03002_015EA,B03002_015M,B03002_015MA,B03002_016E,B03002_016EA,B03002_016M,B03002_016MA,B03002_017E,B03002_017EA,B03002_017M,B03002_017MA,B03002_018E,B03002_018EA,B03002_018M,B03002_018MA,B03002_019E,B03002_019EA,B03002_019M,B03002_019MA,B03002_020E,B03002_020EA,B03002_020M,B03002_020MA,B03002_021E,B03002_021EA,B03002_021M,B03002_021MA,GEO_ID,NAME,state
4708708,null,0,*****,4560429,null,1956,null,3198640,null,1785,null,1223876,null,5261,null,21459,null,3258,null,51274,null,2185,null,2130,null,1344,null,4964,null,1998,null,58086,null,5158,null,1454,null,765,null,56632,null,5111,null,148279,null,1956,null,96387,null,5307,null,5392,null,1613,null,2617,null,1533,null,136,null,159,null,41,null,81,null,37707,null,5088,null,5999,null,1626,null,3471,null,1285,null,2528,null,1089,null,0400000US01,Alabama,01
698473,null,0,*****,655100,null,231,null,454124,null,704,null,26613,null,1478,null,89572,null,3344,null,33380,null,1779,null,5188,null,927,null,944,null,705,null,45279,null,3713,null,500,null,673,null,44779,null,3698,null,43373,null,231,null,23260,null,2800,null,454,null,270,null,2381,null,981,null,256,null,276,null,163,null,215,null,10799,null,2547,null,6060,null,1579,null,2889,null,1073,null,3171,null,1221,null,0400000US02,Alaska,02
6595778,null,0,*****,4564127,null,0,*****,3767988,null,3913,null,237258,null,5606,null,260968,null,5432,null,162025,null,3069,null,11051,null,2186,null,10920,null,3441,null,113917,null,6201,null,5117,null,2100,null,108800,null,6130,null,2031651,null,0,*****,1507175,null,21805,null,16753,null,3922,null,33177,null,6331,null,5856,null,2172,null,289,null,246,null,398954,null,19387,null,69447,null,8251,null,36240,null,4506,null,33207,null,5576,null,0400000US04,Arizona,04
2889450,null,0,*****,2716957,null,1908,null,2166895,null,1752,null,445464,null,4898,null,16585,null,2348,null,32114,null,2530,null,2329,null,530,null,3074,null,1450,null,50496,null,4141,null,1284,null,941,null,49212,null,4066,null,172493,null,1908,null,98642,null,6204,null,2322,null,1100,null,1656,null,1037,null,88,null,133,null,0,null,273,null,63229,null,5784,null,6556,null,1546,null,3641,null,1228,null,2915,null,1014,null,0400000US05,Arkansas,05
36961664,null,0,*****,23280294,null,0,*****,15325751,null,6499,null,2159978,null,11356,null,152668,null,6001,null,4559739,null,13368,null,129128,null,3759,null,104190,null,8668,null,848840,null,21148,null,48606,null,4977,null,800234,null,19550,null,13681370,null,0,*****,7831899,null,75300,null,87970,null,7720,null,143087,null,11784,null,59008,null,5731,null,8416,null,2552,null,4993246,null,71372,null,557744,null,20279,null,315715,null,15189,null,242029,null,13733,null,0400000US06,California,06
5024748,null,0,*****,4006540,null,0,*****,3540663,null,3902,null,184407,null,4626,null,29799,null,3356,null,128568,null,3312,null,4842,null,1148,null,10103,null,2776,null,108158,null,6165,null,4209,null,1525,null,103949,null,5739,null,1018208,null,0,*****,710396,null,15731,null,10544,null,2907,null,19343,null,3999,null,1648,null,1005,null,895,null,768,null,221404,null,15805,null,53978,null,7062,null,23295,null,3924,null,30683,null,5659,null,0400000US08,Colorado,08
3518288,null,0,*****,3083817,null,0,*****,2562302,null,3868,null,320278,null,4312,null,4755,null,1015,null,123354,null,2239,null,969,null,687,null,15542,null,3771,null,56617,null,4449,null,2342,null,1011,null,54275,null,4326,null,434471,null,0,*****,219721,null,10043,null,17015,null,3375,null,5046,null,2714,null,683,null,387,null,0,null,277,null,170100,null,10761,null,21906,null,3348,null,13763,null,2930,null,8143,null,1802,null,0400000US09,Connecticut,09
885122,null,0,*****,821230,null,0,*****,596365,null,638,null,179561,null,2527,null,2208,null,630,null,26966,null,911,null,0,null,263,null,1242,null,710,null,14888,null,2573,null,633,null,417,null,14255,null,2548,null,63892,null,0,*****,40165,null,4158,null,4229,null,1940,null,528,null,710,null,166,null,271,null,0,null,263,null,14798,null,3070,null,4006,null,1517,null,1171,null,791,null,2835,null,1438,null,0400000US10,Delaware,10
599657,null,0,*****,546632,null,0,*****,199898,null,1211,null,315968,null,1549,null,1445,null,478,null,17268,null,980,null,539,null,368,null,1615,null,1095,null,9899,null,1881,null,531,null,366,null,9368,null,1843,null,53025,null,0,*****,32349,null,3763,null,3151,null,1373,null,390,null,458,null,0,null,296,null,0,null,296,null,15985,null,3520,null,1150,null,611,null,382,null,368,null,768,null,477,null,0400000US11,District of Columbia,11
18537969,null,0,*****,14549211,null,1790,null,10988592,null,6103,null,2782647,null,11410,null,36481,null,3588,null,434692,null,6214,null,8146,null,2475,null,51866,null,6791,null,246787,null,11736,null,13144,null,2055,null,233643,null,11767,null,3988758,null,1790,null,3270018,null,27936,null,115984,null,11918,null,21234,null,5774,null,7995,null,2491,null,760,null,779,null,461715,null,25034,null,111052,null,10836,null,64341,null,7721,null,46711,null,6513,null,0400000US12,Florida,12
