B05003D_001E,B05003D_001EA,B05003D_001M,B05003D_001MA,B05003D_002E,B05003D_002EA,B05003D_002M,B05003D_002MA,B05003D_003E,B05003D_003EA,B05003D_003M,B05003D_003MA,B05003D_004E,B05003D_004EA,B05003D_004M,B05003D_004MA,B05003D_005E,B05003D_005EA,B05003D_005M,B05003D_005MA,B05003D_006E,B05003D_006EA,B05003D_006M,B05003D_006MA,B05003D_007E,B05003D_007EA,B05003D_007M,B05003D_007MA,B05003D_008E,B05003D_008EA,B05003D_008M,B05003D_008MA,B05003D_009E,B05003D_009EA,B05003D_009M,B05003D_009MA,B05003D_010E,B05003D_010EA,B05003D_010M,B05003D_010MA,B05003D_011E,B05003D_011EA,B05003D_011M,B05003D_011MA,B05003D_012E,B05003D_012EA,B05003D_012M,B05003D_012MA,B05003D_013E,B05003D_013EA,B05003D_013M,B05003D_013MA,B05003D_014E,B05003D_014EA,B05003D_014M,B05003D_014MA,B05003D_015E,B05003D_015EA,B05003D_015M,B05003D_015MA,B05003D_016E,B05003D_016EA,B05003D_016M,B05003D_016MA,B05003D_017E,B05003D_017EA,B05003D_017M,B05003D_017MA,B05003D_018E,B05003D_018EA,B05003D_018M,B05003D_018MA,B05003D_019E,B05003D_019EA,B05003D_019M,B05003D_019MA,B05003D_020E,B05003D_020EA,B05003D_020M,B05003D_020MA,B05003D_021E,B05003D_021EA,B05003D_021M,B05003D_021MA,B05003D_022E,B05003D_022EA,B05003D_022M,B05003D_022MA,B05003D_023E,B05003D_023EA,B05003D_023M,B05003D_023MA,GEO_ID,NAME,state
51410,null,2190,null,24410,null,1625,null,6795,null,1144,null,4915,null,1073,null,1880,null,748,null,398,null,356,null,1482,null,629,null,17615,null,1151,null,3103,null,749,null,14512,null,1132,null,6411,null,1309,null,8101,null,1363,null,27000,null,1921,null,6451,null,1273,null,4704,null,1075,null,1747,null,683,null,938,null,588,null,809,null,364,null,20549,null,1345,null,3868,null,1082,null,16681,null,1352,null,7999,null,1267,null,8682,null,1561,null,0400000US01,Alabama,01
33636,null,1807,null,15637,null,1079,null,3493,null,586,null,2868,null,619,null,625,null,348,null,280,null,226,null,345,null,294,null,12144,null,839,null,1748,null,612,null,10396,null,972,null,5425,null,995,null,4971,null,901,null,17999,null,1117,null,4003,null,760,null,2727,null,749,null,1276,null,501,null,558,null,373,null,718,null,411,null,13996,null,700,null,2050,null,721,null,11946,null,924,null,7705,null,1137,null,4241,null,838,null,0400000US02,Alaska,02
167881,null,3725,null,80020,null,3082,null,18905,null,1776,null,15609,null,1848,null,3296,null,1075,null,309,null,259,null,2987,null,1049,null,61115,null,2262,null,15620,null,2574,null,45495,null,2078,null,21807,null,2239,null,23688,null,2207,null,87861,null,2053,null,18481,null,1326,null,14749,null,1540,null,3732,null,937,null,1458,null,588,null,2274,null,813,null,69380,null,1566,null,13569,null,1623,null,55811,null,1963,null,30996,null,2385,null,24815,null,2148,null,0400000US04,Arizona,04
32202,null,2525,null,15234,null,1372,null,3670,null,806,null,2864,null,787,null,806,null,473,null,72,null,101,null,734,null,448,null,11564,null,1109,null,2342,null,984,null,9222,null,1345,null,4985,null,1044,null,4237,null,1138,null,16968,null,1779,null,4445,null,1025,null,3365,null,975,null,1080,null,536,null,603,null,434,null,477,null,283,null,12523,null,1247,null,1833,null,723,null,10690,null,1431,null,5981,null,1085,null,4709,null,1124,null,0400000US05,Arkansas,05
4618747,null,13431,null,2211243,null,9052,null,488364,null,5299,null,414120,null,6536,null,74244,null,3983,null,17812,null,2029,null,56432,null,4246,null,1722879,null,6124,null,422498,null,9011,null,1300381,null,10171,null,855847,null,11333,null,444534,null,11289,null,2407504,null,7595,null,467508,null,5393,null,395928,null,6991,null,71580,null,5087,null,21951,null,2500,null,49629,null,4099,null,1939996,null,6282,null,400648,null,9919,null,1539348,null,10069,null,1013715,null,11170,null,525633,null,11601,null,0400000US06,California,06
130216,null,3502,null,59484,null,2850,null,14326,null,1513,null,11640,null,1650,null,2686,null,882,null,1528,null,681,null,1158,null,484,null,45158,null,1929,null,12410,null,1509,null,32748,null,2189,null,18044,null,2013,null,14704,null,2123,null,70732,null,2124,null,15701,null,1367,null,9161,null,1323,null,6540,null,1145,null,3828,null,862,null,2712,null,885,null,55031,null,1840,null,11546,null,1768,null,43485,null,2049,null,25832,null,1799,null,17653,null,2193,null,0400000US08,Colorado,08
124037,null,2221,null,60174,null,1437,null,14540,null,1159,null,10385,null,1363,null,4155,null,1002,null,1450,null,622,null,2705,null,952,null,45634,null,845,null,6865,null,1128,null,38769,null,1334,null,19595,null,1669,null,19174,null,1574,null,63863,null,1462,null,16182,null,1071,null,11353,null,1211,null,4829,null,848,null,2309,null,703,null,2520,null,710,null,47681,null,907,null,6531,null,925,null,41150,null,1107,null,19793,null,1662,null,21357,null,1867,null,0400000US09,Connecticut,09
27132,null,956,null,13850,null,813,null,3921,null,653,null,2169,null,809,null,1752,null,776,null,67,null,115,null,1685,null,740,null,9929,null,393,null,1338,null,578,null,8591,null,673,null,4044,null,645,null,4547,null,798,null,13282,null,741,null,2852,null,604,null,2315,null,543,null,537,null,312,null,393,null,306,null,144,null,187,null,10430,null,396,null,1372,null,608,null,9058,null,666,null,4608,null,748,null,4450,null,609,null,0400000US10,Delaware,10
17268,null,980,null,7397,null,705,null,662,null,591,null,508,null,525,null,154,null,266,null,0,null,296,null,154,null,266,null,6735,null,406,null,2145,null,709,null,4590,null,723,null,3050,null,669,null,1540,null,568,null,9871,null,739,null,1156,null,728,null,1032,null,701,null,124,null,213,null,124,null,213,null,0,null,296,null,8715,null,364,null,3240,null,587,null,5475,null,665,null,3290,null,566,null,2185,null,573,null,0400000US11,District of Columbia,11
442687,null,6207,null,206541,null,4364,null,51426,null,2998,null,43555,null,3015,null,7871,null,1522,null,2052,null,749,null,5819,null,1343,null,155115,null,2712,null,26585,null,2762,null,128530,null,3771,null,80317,null,4497,null,48213,null,3474,null,236146,null,4125,null,49394,null,2616,null,37257,null,2417,null,12137,null,2016,null,3989,null,1071,null,8148,null,1512,null,186752,null,2699,null,22813,null,2819,null,163939,null,3226,null,101408,null,3806,null,62531,null,3636,null,0400000US12,Florida,12
