B19019_001E,B19019_001EA,B19019_001M,B19019_001MA,B19019_002E,B19019_002EA,B19019_002M,B19019_002MA,B19019_003E,B19019_003EA,B19019_003M,B19019_003MA,B19019_004E,B19019_004EA,B19019_004M,B19019_004MA,B19019_005E,B19019_005EA,B19019_005M,B19019_005MA,B19019_006E,B19019_006EA,B19019_006M,B19019_006MA,B19019_007E,B19019_007EA,B19019_007M,B19019_007MA,B19019_008E,B19019_008EA,B19019_008M,B19019_008MA,GEO_ID,NAME,state
40489,null,528,null,20864,null,556,null,46210,null,903,null,52073,null,1395,null,62337,null,1821,null,56784,null,4041,null,52329,null,4193,null,44297,null,6663,null,0400000US01,Alabama,01
66953,null,2331,null,36767,null,2667,null,77846,null,4390,null,81354,null,2354,null,84148,null,6791,null,84154,null,4588,null,90691,null,7225,null,81711,null,11873,null,0400000US02,Alaska,02
48745,null,484,null,27691,null,672,null,55252,null,929,null,60868,null,1776,null,65753,null,1287,null,60272,null,2599,null,57191,null,6002,null,59328,null,5530,null,0400000US04,Arizona,04
37823,null,629,null,19933,null,677,null,43857,null,1067,null,48976,null,1779,null,54332,null,2169,null,51561,null,3659,null,49085,null,5698,null,44459,null,7857,null,0400000US05,Arkansas,05
58931,null,274,null,33325,null,499,null,65308,null,567,null,70782,null,943,null,77202,null,915,null,66503,null,1001,null,64141,null,1613,null,74399,null,1908,null,0400000US06,California,06
55430,null,704,null,30482,null,699,null,63455,null,984,null,69661,null,1951,null,80660,null,2415,null,72736,null,2893,null,67155,null,6291,null,67889,null,5822,null,0400000US08,Colorado,08
67034,null,993,null,32308,null,1089,null,73025,null,1448,null,84090,null,2681,null,100373,null,2578,null,100779,null,4496,null,100246,null,9470,null,107050,null,4097,null,0400000US09,Connecticut,09
56860,null,1744,null,28897,null,1690,null,62931,null,2037,null,69819,null,3336,null,84381,null,5910,null,71756,null,11977,null,72345,null,20388,null,72290,null,16750,null,0400000US10,Delaware,10
59290,null,1710,null,45082,null,3471,null,84943,null,6180,null,66300,null,14644,null,74435,null,19350,null,65048,null,31918,null,69566,null,17837,null,58041,null,20982,null,0400000US11,District of Columbia,11
44736,null,290,null,25610,null,352,null,50582,null,525,null,54766,null,902,null,63756,null,1241,null,60565,null,1663,null,56981,null,1905,null,57888,null,5363,null,0400000US12,Florida,12
47590,null,414,null,26475,null,707,null,52537,null,642,null,57282,null,1410,null,67201,null,1649,null,58999,null,2202,null,56750,null,3562,null,53280,null,3431,null,0400000US13,Georgia,13
64098,null,1574,null,31562,null,1703,null,65212,null,3291,null,76557,null,3420,null,86350,null,6458,null,84448,null,5222,null,96971,null,8112,null,115384,null,10046,null,0400000US15,Hawaii,15
44926,null,953,null,23036,null,802,null,48256,null,1291,null,54851,null,2647,null,60392,null,2013,null,57088,null,4983,null,50681,null,5636,null,58109,null,7311,null,0400000US16,Idaho,16
53966,null,404,null,28942,null,424,null,60654,null,735,null,69374,null,1101,null,78684,null,1267,null,71532,null,1493,null,66788,null,2542,null,68480,null,2615,null,0400000US17,Illinois,17
45424,null,455,null,25268,null,475,null,51154,null,644,null,58045,null,1104,null,66230,null,1370,null,63631,null,2281,null,61211,null,3388,null,65375,null,4227,null,0400000US18,Indiana,18
48044,null,426,null,24009,null,599,null,55135,null,840,null,61809,null,1623,null,72271,null,1940,null,70953,null,2245,null,59597,null,4491,null,61573,null,4848,null,0400000US19,Iowa,19
47817,null,670,null,24823,null,464,null,56092,null,1137,null,63141,null,1841,null,67651,null,1951,null,66648,null,3623,null,59908,null,5424,null,59105,null,6979,null,0400000US20,Kansas,20
40072,null,535,null,20490,null,527,null,45364,null,829,null,51994,null,1527,null,61034,null,2197,null,59332,null,2728,null,52404,null,5630,null,53778,null,4264,null,0400000US21,Kentucky,21
42492,null,629,null,21820,null,656,null,47236,null,1158,null,54732,null,2405,null,65164,null,2310,null,66509,null,3356,null,55922,null,5596,null,58471,null,6364,null,0400000US22,Louisiana,22
45734,null,935,null,22650,null,825,null,52186,null,1469,null,58756,null,2060,null,66967,null,2190,null,67470,null,4362,null,68651,null,9243,null,50506,null,12726,null,0400000US23,Maine,23
69272,null,696,null,38526,null,895,null,75481,null,1301,null,86386,null,1786,null,100706,null,2356,null,97827,null,3266,null,94429,null,4858,null,97920,null,9357,null,0400000US24,Maryland,24
64081,null,680,null,30863,null,668,null,70745,null,1214,null,83087,null,1763,null,99843,null,1898,null,101130,null,2589,null,100684,null,6238,null,85510,null,7515,null,0400000US25,Massachusetts,25
45255,null,358,null,24454,null,325,null,50238,null,473,null,58910,null,806,null,69496,null,1015,null,65789,null,1765,null,60193,null,3562,null,52226,null,3746,null,0400000US26,Michigan,26
55616,null,546,null,28785,null,551,null,61708,null,632,null,72063,null,1631,null,83003,null,1401,null,79274,null,1736,null,72406,null,3850,null,62585,null,5104,null,0400000US27,Minnesota,27
36646,null,695,null,18985,null,641,null,41114,null,1221,null,47325,null,1708,null,54608,null,2215,null,50184,null,3487,null,43456,null,7249,null,42669,null,10953,null,0400000US28,Mississippi,28
45229,null,519,null,24247,null,510,null,50938,null,601,null,57865,null,1356,null,67623,null,1642,null,65712,null,3095,null,62855,null,5851,null,58800,null,6877,null,0400000US29,Missouri,29
42322,null,1073,null,22977,null,1200,null,51037,null,1907,null,54807,null,2659,null,66804,null,3770,null,58149,null,4145,null,60000,null,10686,null,66921,null,12357,null,0400000US30,Montana,30
47357,null,804,null,25294,null,850,null,53697,null,1348,null,62689,null,2221,null,69688,null,2071,null,68897,null,2978,null,56259,null,5895,null,67377,null,6844,null,0400000US31,Nebraska,31
53341,null,981,null,30432,null,1265,null,59427,null,1279,null,63500,null,2152,null,69981,null,2416,null,62533,null,4256,null,62179,null,6593,null,83346,null,11410,null,0400000US32,Nevada,32
60567,null,1385,null,28333,null,1404,null,64611,null,1673,null,80966,null,3205,null,87846,null,2538,null,83245,null,6060,null,94555,null,7599,null,79559,null,26268,null,0400000US33,New Hampshire,33
68342,null,659,null,33620,null,669,null,73320,null,1082,null,85142,null,1575,null,98596,null,1467,null,101635,null,2373,null,96093,null,6141,null,93370,null,5935,null,0400000US34,New Jersey,34
43028,null,1033,null,24019,null,792,null,51053,null,1395,null,52785,null,2526,null,53837,null,2777,null,55270,null,4868,null,53214,null,3998,null,58499,null,2716,null,0400000US35,New Mexico,35
54659,null,396,null,29426,null,408,null,59931,null,633,null,69189,null,956,null,81960,null,1394,null,79322,null,1535,null,78187,null,3666,null,80010,null,3033,null,0400000US36,New York,36
