B16002_001E,B16002_001EA,B16002_001M,B16002_001MA,B16002_002E,B16002_002EA,B16002_002M,B16002_002MA,B16002_003E,B16002_003EA,B16002_003M,B16002_003MA,B16002_004E,B16002_004EA,B16002_004M,B16002_004MA,B16002_005E,B16002_005EA,B16002_005M,B16002_005MA,B16002_006E,B16002_006EA,B16002_006M,B16002_006MA,B16002_007E,B16002_007EA,B16002_007M,B16002_007MA,B16002_008E,B16002_008EA,B16002_008M,B16002_008MA,B16002_009E,B16002_009EA,B16002_009M,B16002_009MA,B16002_010E,B16002_010EA,B16002_010M,B16002_010MA,B16002_011E,B16002_011EA,B16002_011M,B16002_011MA,B16002_012E,B16002_012EA,B16002_012M,B16002_012MA,B16002_013E,B16002_013EA,B16002_013M,B16002_013MA,B16002_014E,B16002_014EA,B16002_014M,B16002_014MA,GEO_ID,NAME,state
1848051,null,10312,null,1748037,null,9427,null,57828,null,3085,null,17469,null,2108,null,40359,null,3140,null,21861,null,1859,null,1796,null,544,null,20065,null,1767,null,15624,null,1527,null,4176,null,1023,null,11448,null,1456,null,4701,null,1274,null,187,null,238,null,4514,null,1202,null,0400000US01,Alabama,01
236597,null,2353,null,192463,null,3256,null,12691,null,1395,null,1191,null,569,null,11500,null,1459,null,8001,null,1420,null,841,null,488,null,7160,null,1294,null,10513,null,1122,null,2693,null,805,null,7820,null,1293,null,12929,null,1161,null,1494,null,333,null,11435,null,1176,null,0400000US02,Alaska,02
2276865,null,11778,null,1668711,null,13184,null,444107,null,9493,null,97844,null,5834,null,346263,null,9041,null,64786,null,4283,null,8576,null,1801,null,56210,null,3918,null,41476,null,2556,null,9087,null,1415,null,32389,null,2417,null,57785,null,3406,null,9723,null,1557,null,48062,null,3096,null,0400000US04,Arizona,04
1124947,null,8066,null,1047313,null,7541,null,53950,null,2463,null,13449,null,1351,null,40501,null,2543,null,12614,null,1696,null,1676,null,643,null,10938,null,1498,null,9081,null,1218,null,2423,null,777,null,6658,null,1034,null,1989,null,708,null,99,null,160,null,1890,null,700,null,0400000US05,Arkansas,05
12214891,null,20992,null,7167482,null,26936,null,3024194,null,17495,null,780725,null,12526,null,2243469,null,16097,null,712365,null,12443,null,131790,null,6180,null,580575,null,12026,null,1181935,null,10747,null,342884,null,7804,null,839051,null,9930,null,128915,null,5206,null,22186,null,3052,null,106729,null,5262,null,0400000US06,California,06
1910146,null,9468,null,1572499,null,9480,null,219642,null,5485,null,56547,null,3465,null,163095,null,4887,null,65886,null,3604,null,7355,null,1392,null,58531,null,3428,null,37527,null,2312,null,8254,null,1286,null,29273,null,2242,null,14592,null,2275,null,3761,null,1281,null,10831,null,1783,null,0400000US08,Colorado,08
1326329,null,5869,null,1018672,null,7744,null,142489,null,3901,null,37941,null,2553,null,104548,null,4253,null,128592,null,4629,null,21439,null,2198,null,107153,null,4596,null,27526,null,2051,null,7288,null,1302,null,20238,null,1846,null,9050,null,1314,null,951,null,556,null,8099,null,1216,null,0400000US09,Connecticut,09
327252,null,4316,null,285325,null,4576,null,19401,null,2019,null,4331,null,869,null,15070,null,2083,null,13346,null,1803,null,1444,null,673,null,11902,null,1658,null,6899,null,1049,null,1395,null,433,null,5504,null,1040,null,2281,null,808,null,62,null,107,null,2219,null,790,null,0400000US10,Delaware,10
249280,null,3172,null,211331,null,3359,null,15849,null,1442,null,3834,null,1031,null,12015,null,1450,null,13885,null,1431,null,1000,null,573,null,12885,null,1443,null,4491,null,978,null,574,null,386,null,3917,null,917,null,3724,null,839,null,752,null,397,null,2972,null,792,null,0400000US11,District of Columbia,11
6987647,null,25717,null,5157733,null,20586,null,1270883,null,14035,null,380476,null,9504,null,890407,null,13460,null,407878,null,11775,null,81504,null,4780,null,326374,null,11339,null,110419,null,4458,null,25414,null,2515,null,85005,null,4101,null,40734,null,3309,null,4417,null,1035,null,36317,null,3060,null,0400000US12,Florida,12
3469250,null,16258,null,3037423,null,14925,null,226181,null,6355,null,73502,null,4571,null,152679,null,6171,null,108946,null,5173,null,11039,null,1648,null,97907,null,4945,null,70286,null,3190,null,20251,null,1999,null,50035,null,3149,null,26414,null,2566,null,2166,null,773,null,24248,null,2585,null,0400000US13,Georgia,13
446136,null,4850,null,301265,null,5552,null,14528,null,1968,null,1110,null,648,null,13418,null,1825,null,13824,null,2004,null,1812,null,725,null,12012,null,1912,null,115352,null,4725,null,26044,null,2783,null,89308,null,3986,null,1167,null,474,null,0,null,275,null,1167,null,474,null,0400000US15,Hawaii,15
558466,null,5299,null,494731,null,5332,null,42572,null,2262,null,9645,null,1347,null,32927,null,2230,null,12696,null,1463,null,1259,null,531,null,11437,null,1330,null,5918,null,1034,null,1068,null,607,null,4850,null,883,null,2549,null,786,null,520,null,304,null,2029,null,738,null,0400000US16,Idaho,16
4757452,null,13703,null,3758874,null,15183,null,501301,null,7370,null,130503,null,5339,null,370798,null,8453,null,323267,null,7284,null,73421,null,4682,null,249846,null,7125,null,130941,null,4362,null,33342,null,3011,null,97599,null,4314,null,43069,null,3233,null,6306,null,1702,null,36763,null,2998,null,0400000US17,Illinois,17
2477548,null,11798,null,2263626,null,12497,null,113321,null,4119,null,27189,null,2536,null,86132,null,3899,null,66949,null,4510,null,6441,null,1164,null,60508,null,4260,null,24701,null,2274,null,6779,null,1327,null,17922,null,1829,null,8951,null,1454,null,1381,null,684,null,7570,null,1279,null,0400000US18,Indiana,18
1226804,null,6707,null,1134987,null,6494,null,47941,null,2388,null,10185,null,1347,null,37756,null,2541,null,24646,null,1974,null,2893,null,806,null,21753,null,1853,null,14634,null,1496,null,4016,null,837,null,10618,null,1429,null,4596,null,877,null,1287,null,692,null,3309,null,650,null,0400000US19,Iowa,19
1104976,null,6395,null,988976,null,7367,null,69515,null,3019,null,19797,null,2101,null,49718,null,3122,null,23342,null,2123,null,2001,null,745,null,21341,null,1827,null,18089,null,1536,null,5319,null,1038,null,12770,null,1586,null,5054,null,1188,null,1225,null,594,null,3829,null,984,null,0400000US20,Kansas,20
1694197,null,9986,null,1607076,null,10177,null,44565,null,2665,null,12094,null,1708,null,32471,null,2696,null,24285,null,2371,null,3021,null,965,null,21264,null,2160,null,12976,null,1273,null,3317,null,834,null,9659,null,1175,null,5295,null,1137,null,1578,null,718,null,3717,null,915,null,0400000US21,Kentucky,21
