B27001A_001E,B27001A_001EA,B27001A_001M,B27001A_001MA,B27001A_002E,B27001A_002EA,B27001A_002M,B27001A_002MA,B27001A_003E,B27001A_003EA,B27001A_003M,B27001A_003MA,B27001A_004E,B27001A_004EA,B27001A_004M,B27001A_004MA,B27001A_005E,B27001A_005EA,B27001A_005M,B27001A_005MA,B27001A_006E,B27001A_006EA,B27001A_006M,B27001A_006MA,B27001A_007E,B27001A_007EA,B27001A_007M,B27001A_007MA,B27001A_008E,B27001A_008EA,B27001A_008M,B27001A_008MA,B27001A_009E,B27001A_009EA,B27001A_009M,B27001A_009MA,B27001A_010E,B27001A_010EA,B27001A_010M,B27001A_010MA,B27001A_011E,B27001A_011EA,B27001A_011M,B27001A_011MA,B27001A_012E,B27001A_012EA,B27001A_012M,B27001A_012MA,B27001A_013E,B27001A_013EA,B27001A_013M,B27001A_013MA,B27001A_014E,B27001A_014EA,B27001A_014M,B27001A_014MA,B27001A_015E,B27001A_015EA,B27001A_015M,B27001A_015MA,B27001A_016E,B27001A_016EA,B27001A_016M,B27001A_016MA,B27001A_017E,B27001A_017EA,B27001A_017M,B27001A_017MA,B27001A_018E,B27001A_018EA,B27001A_018M,B27001A_018MA,B27001A_019E,B27001A_019EA,B27001A_019M,B27001A_019MA,B27001A_020E,B27001A_020EA,B27001A_020M,B27001A_020MA,B27001A_021E,B27001A_021EA,B27001A_021M,B27001A_021MA,B27001A_022E,B27001A_022EA,B27001A_022M,B27001A_022MA,B27001A_023E,B27001A_023EA,B27001A_023M,B27001A_023MA,B27001A_024E,B27001A_024EA,B27001A_024M,B27001A_024MA,B27001A_025E,B27001A_025EA,B27001A_025M,B27001A_025MA,B27001A_026E,B27001A_026EA,B27001A_026M,B27001A_026MA,B27001A_027E,B27001A_027EA,B27001A_027M,B27001A_027MA,B27001A_028E,B27001A_028EA,B27001A_028M,B27001A_028MA,GEO_ID,NAME,state
3237402,null,5547,null,239288,null,4345,null,229034,null,4414,null,10254,null,1944,null,484893,null,3914,null,455153,null,5107,null,29740,null,3880,null,291084,null,3125,null,219822,null,4559,null,71262,null,4662,null,397076,null,4131,null,299786,null,6710,null,97290,null,6032,null,427645,null,2459,null,352689,null,4963,null,74956,null,4850,null,480337,null,2356,null,417312,null,4525,null,63025,null,4096,null,414772,null,1398,null,379284,null,3439,null,35488,null,3175,null,280184,null,1182,null,279529,null,1249,null,655,null,410,null,222123,null,2183,null,221681,null,2211,null,442,null,401,null,0400000US01,Alabama,01
462018,null,3416,null,36683,null,1295,null,33448,null,1644,null,3235,null,1070,null,73012,null,1324,null,66092,null,1985,null,6920,null,1572,null,49051,null,2371,null,34184,null,2544,null,14867,null,2315,null,64174,null,2645,null,44135,null,3170,null,20039,null,2732,null,60780,null,1658,null,46268,null,2306,null,14512,null,2212,null,78348,null,897,null,66639,null,1644,null,11709,null,1613,null,61364,null,779,null,54211,null,1783,null,7153,null,1535,null,24421,null,765,null,24343,null,766,null,78,null,103,null,14185,null,615,null,14150,null,619,null,35,null,75,null,0400000US02,Alaska,02
5205918,null,22148,null,448617,null,8118,null,405116,null,8109,null,43501,null,4148,null,820816,null,8925,null,718122,null,9739,null,102694,null,7123,null,449324,null,5317,null,303368,null,7214,null,145956,null,7050,null,724312,null,7212,null,518725,null,10090,null,205587,null,9700,null,676632,null,5401,null,528195,null,7784,null,148437,null,7604,null,701380,null,4807,null,582129,null,7394,null,119251,null,6853,null,606562,null,3271,null,528789,null,6144,null,77773,null,5582,null,407268,null,2052,null,402112,null,2307,null,5156,null,1387,null,371007,null,2503,null,369375,null,2664,null,1632,null,976,null,0400000US04,Arizona,04
2225065,null,6546,null,173685,null,4272,null,164351,null,4113,null,9334,null,1937,null,336150,null,3832,null,314802,null,4500,null,21348,null,2803,null,196326,null,3402,null,126569,null,5053,null,69757,null,4232,null,285391,null,4556,null,195755,null,5516,null,89636,null,5587,null,286609,null,3282,null,219062,null,5142,null,67547,null,4607,null,318279,null,2202,null,257402,null,4501,null,60877,null,4086,null,281556,null,1385,null,245691,null,2668,null,35865,null,2565,null,191290,null,1423,null,190433,null,1426,null,857,null,482,null,155779,null,1936,null,155664,null,1946,null,115,null,192,null,0400000US05,Arkansas,05
22810919,null,77809,null,1848166,null,17531,null,1728062,null,18892,null,120104,null,7296,null,3619404,null,24118,null,3261862,null,24382,null,357542,null,12808,null,2164134,null,16245,null,1475004,null,17112,null,689130,null,16927,null,3055094,null,18860,null,2179073,null,18489,null,876021,null,16006,null,3077980,null,16293,null,2408550,null,16432,null,669430,null,14074,null,3385006,null,13409,null,2808921,null,15553,null,576085,null,13100,null,2665036,null,9794,null,2331935,null,12826,null,333101,null,8737,null,1562665,null,6014,null,1537765,null,6568,null,24900,null,3331,null,1433434,null,6391,null,1422207,null,6580,null,11227,null,2097,null,0400000US06,California,06
4178355,null,15617,null,337281,null,5175,null,311020,null,6070,null,26261,null,3438,null,628192,null,6767,null,563022,null,8291,null,65170,null,6233,null,402485,null,4032,null,286146,null,6021,null,116339,null,6130,null,586622,null,6633,null,437896,null,8419,null,148726,null,7847,null,588151,null,4090,null,481708,null,6447,null,106443,null,5807,null,645875,null,3560,null,555204,null,6220,null,90671,null,6435,null,515790,null,2307,null,461337,null,4081,null,54453,null,3658,null,268967,null,2061,null,266048,null,2127,null,2919,null,1135,null,204992,null,2302,null,203549,null,2307,null,1443,null,872,null,0400000US08,Colorado,08
2740099,null,11296,null,171491,null,3059,null,166285,null,3202,null,5206,null,1351,null,410463,null,4321,null,398039,null,4731,null,12424,null,2351,null,247783,null,2972,null,208901,null,3428,null,38882,null,3687,null,288928,null,3063,null,240508,null,4145,null,48420,null,3529,null,370886,null,2853,null,335053,null,3986,null,35833,null,3762,null,469320,null,2478,null,433764,null,4089,null,35556,null,3381,null,364755,null,1989,null,343865,null,2939,null,20890,null,2305,null,216372,null,1309,null,215624,null,1272,null,748,null,389,null,200101,null,2002,null,199709,null,2042,null,392,null,303,null,0400000US09,Connecticut,09
627129,null,4552,null,43691,null,1506,null,41243,null,1819,null,2448,null,1236,null,90863,null,1922,null,84711,null,2491,null,6152,null,1733,null,54798,null,1053,null,44060,null,2032,null,10738,null,1737,null,76517,null,1576,null,62889,null,2079,null,13628,null,2118,null,79888,null,927,null,70529,null,1829,null,9359,null,1891,null,95684,null,1023,null,85271,null,1762,null,10413,null,1500,null,82523,null,719,null,76988,null,1327,null,5535,null,1257,null,55656,null,450,null,55404,null,550,null,252,null,322,null,47509,null,721,null,47226,null,829,null,283,null,352,null,0400000US10,Delaware,10
228507,null,4660,null,14170,null,1404,null,13722,null,1525,null,448,null,511,null,15699,null,1280,null,15100,null,1337,null,599,null,608,null,31190,null,1028,null,29326,null,1314,null,1864,null,848,null,58874,null,1127,null,55342,null,1323,null,3532,null,894,null,37044,null,1104,null,34865,null,1085,null,2179,null,920,null,24576,null,1080,null,23763,null,1298,null,813,null,574,null,23788,null,683,null,22646,null,691,null,1142,null,424,null,14133,null,768,null,14050,null,766,null,83,null,142,null,9033,null,1709,null,9033,null,1709,null,0,null,296,null,0400000US11,District of Columbia,11
14040265,null,29165,null,928042,null,10945,null,818962,null,12696,null,109080,null,8335,null,1873017,null,9934,null,1588664,null,13083,null,284353,null,10574,null,1139486,null,8153,null,735061,null,11500,null,404425,null,12065,null,1639438,null,11033,null,1061070,null,13570,null,578368,null,12964,null,1802442,null,7855,null,1280520,null,12288,null,521922,null,14010,null,2060694,null,7002,null,1602564,null,12282,null,458130,null,12730,null,1806979,null,4780,null,1526323,null,9823,null,280656,null,9442,null,1351062,null,3782,null,1331556,null,4623,null,19506,null,3045,null,1439105,null,6625,null,1430164,null,6979,null,8941,null,1821,null,0400000US12,Florida,12
5957426,null,19109,null,498905,null,6428,null,457975,null,7994,null,40930,null,4286,null,952845,null,7834,null,858650,null,8004,null,94195,null,7080,null,550581,null,9961,null,374142,null,10329,null,176439,null,6696,null,751284,null,7710,null,540409,null,9415,null,210875,null,9937,null,848480,null,6817,null,667462,null,8679,null,181018,null,8917,null,884184,null,5364,null,741123,null,7221,null,143061,null,6846,null,723912,null,2595,null,640657,null,5692,null,83255,null,5512,null,430642,null,2279,null,427859,null,2212,null,2783,null,1291,null,316593,null,2699,null,314416,null,2513,null,2177,null,1041,null,0400000US13,Georgia,13
316595,null,4377,null,22898,null,1684,null,22561,null,1686,null,337,null,294,null,37855,null,1489,null,36865,null,1624,null,990,null,495,null,25609,null,2022,null,21848,null,2239,null,3761,null,1081,null,47358,null,2281,null,39405,null,2226,null,7953,null,2285,null,41044,null,1617,null,36718,null,1967,null,4326,null,1201,null,46958,null,785,null,41946,null,1101,null,5012,null,1029,null,50076,null,625,null,46007,null,1152,null,4069,null,966,null,24972,null,541,null,24586,null,520,null,386,null,337,null,19825,null,881,null,19742,null,860,null,83,null,140,null,0400000US15,Hawaii,15
1404940,null,5283,null,131125,null,2707,null,121947,null,3120,null,9178,null,1719,null,240974,null,3034,null,210475,null,4229,null,30499,null,3596,null,144690,null,2079,null,100296,null,3403,null,44394,null,3528,null,186090,null,2345,null,132630,null,3222,null,53460,null,3571,null,173459,null,1928,null,134170,null,3256,null,39289,null,3460,null,191400,null,1707,null,154556,null,3035,null,36844,null,3475,null,163689,null,1413,null,142633,null,2320,null,21056,null,2200,null,96535,null,831,null,95968,null,886,null,567,null,393,null,76978,null,1365,null,76519,null,1481,null,459,null,620,null,0400000US16,Idaho,16
