C19001F_001E,C19001F_001EA,C19001F_001M,C19001F_001MA,C19001F_002E,C19001F_002EA,C19001F_002M,C19001F_002MA,C19001F_003E,C19001F_003EA,C19001F_003M,C19001F_003MA,C19001F_004E,C19001F_004EA,C19001F_004M,C19001F_004MA,C19001F_005E,C19001F_005EA,C19001F_005M,C19001F_005MA,C19001F_006E,C19001F_006EA,C19001F_006M,C19001F_006MA,C19001F_007E,C19001F_007EA,C19001F_007M,C19001F_007MA,C19001F_008E,C19001F_008EA,C19001F_008M,C19001F_008MA,C19001F_009E,C19001F_009EA,C19001F_009M,C19001F_009MA,C19001F_010E,C19001F_010EA,C19001F_010M,C19001F_010MA,C19001F_011E,C19001F_011EA,C19001F_011M,C19001F_011MA,GEO_ID,NAME,state
10848,null,1471,null,733,null,423,null,745,null,401,null,2236,null,696,null,1490,null,783,null,1706,null,621,null,1988,null,841,null,1505,null,691,null,370,null,240,null,0,null,273,null,75,null,123,null,0400000US01,Alabama,01
3833,null,1150,null,373,null,446,null,47,null,75,null,265,null,236,null,594,null,572,null,492,null,392,null,724,null,498,null,853,null,491,null,353,null,253,null,0,null,244,null,132,null,102,null,0400000US02,Alaska,02
103993,null,4829,null,9655,null,1515,null,6215,null,1260,null,14224,null,2292,null,14421,null,2118,null,18315,null,2441,null,21476,null,3008,null,9407,null,1375,null,7578,null,1686,null,1219,null,485,null,1483,null,683,null,0400000US04,Arizona,04
16340,null,1773,null,1856,null,866,null,859,null,469,null,3573,null,937,null,3803,null,1323,null,2413,null,770,null,2558,null,821,null,934,null,480,null,133,null,164,null,211,null,194,null,0,null,273,null,0400000US05,Arkansas,05
1233793,null,16815,null,77820,null,4771,null,74907,null,4732,null,165733,null,8019,null,163813,null,6793,null,205627,null,7656,null,247819,null,8331,null,144341,null,7105,null,112338,null,4992,null,29395,null,3241,null,12000,null,1839,null,0400000US06,California,06
63783,null,3881,null,5752,null,1360,null,4317,null,1112,null,10064,null,1799,null,7256,null,1236,null,11562,null,1684,null,11577,null,1919,null,7173,null,1450,null,4163,null,883,null,1536,null,647,null,383,null,256,null,0400000US08,Colorado,08
54746,null,3595,null,8132,null,1596,null,5550,null,1140,null,7537,null,1574,null,7562,null,1708,null,7223,null,1348,null,8146,null,1877,null,3814,null,1010,null,4199,null,1023,null,1407,null,598,null,1176,null,647,null,0400000US09,Connecticut,09
3900,null,853,null,279,null,205,null,196,null,230,null,456,null,452,null,793,null,402,null,761,null,468,null,542,null,283,null,485,null,312,null,308,null,323,null,24,null,43,null,56,null,92,null,0400000US10,Delaware,10
5714,null,1095,null,319,null,372,null,343,null,382,null,554,null,403,null,1350,null,680,null,943,null,585,null,876,null,585,null,550,null,435,null,367,null,333,null,219,null,282,null,193,null,157,null,0400000US11,District of Columbia,11
139250,null,6803,null,9472,null,1697,null,9351,null,1986,null,21039,null,2930,null,21505,null,2757,null,26440,null,2570,null,27337,null,3342,null,13412,null,1993,null,7339,null,1499,null,1904,null,854,null,1451,null,738,null,0400000US12,Florida,12
