C01001F_001E,C01001F_001EA,C01001F_001M,C01001F_001MA,C01001F_002E,C01001F_002EA,C01001F_002M,C01001F_002MA,C01001F_003E,C01001F_003EA,C01001F_003M,C01001F_003MA,C01001F_004E,C01001F_004EA,C01001F_004M,C01001F_004MA,C01001F_005E,C01001F_005EA,C01001F_005M,C01001F_005MA,C01001F_006E,C01001F_006EA,C01001F_006M,C01001F_006MA,C01001F_007E,C01001F_007EA,C01001F_007M,C01001F_007MA,C01001F_008E,C01001F_008EA,C01001F_008M,C01001F_008MA,C01001F_009E,C01001F_009EA,C01001F_009M,C01001F_009MA,GEO_ID,NAME,state
42671,null,5367,null,25033,null,3282,null,8528,null,1813,null,16198,null,2138,null,307,null,254,null,17638,null,2645,null,6579,null,1548,null,10564,null,1810,null,495,null,302,null,0400000US01,Alabama,01
11743,null,2551,null,5448,null,1824,null,1124,null,772,null,4113,null,1499,null,211,null,179,null,6295,null,1244,null,1386,null,645,null,4724,null,988,null,185,null,161,null,0400000US02,Alaska,02
409874,null,20106,null,208793,null,11631,null,70969,null,5771,null,129939,null,7783,null,7885,null,1141,null,201081,null,10790,null,76130,null,5553,null,115128,null,6803,null,9823,null,1238,null,0400000US04,Arizona,04
66303,null,6069,null,35948,null,3941,null,14564,null,2296,null,20622,null,2432,null,762,null,382,null,30355,null,3045,null,12028,null,1962,null,17300,null,1916,null,1027,null,734,null,0400000US05,Arkansas,05
5097436,null,73157,null,2663281,null,41449,null,855286,null,18860,null,1716060,null,29998,null,91935,null,4188,null,2434155,null,37437,null,808645,null,18383,null,1505587,null,22232,null,119923,null,5038,null,0400000US06,California,06
231507,null,16039,null,120168,null,9471,null,42659,null,4266,null,73806,null,6656,null,3703,null,755,null,111339,null,8014,null,39228,null,4453,null,66835,null,4632,null,5276,null,1064,null,0400000US08,Colorado,08
185642,null,11639,null,95918,null,6519,null,29805,null,3135,null,63104,null,4603,null,3009,null,739,null,89724,null,6110,null,29160,null,2927,null,56336,null,3923,null,4228,null,918,null,0400000US09,Connecticut,09
16040,null,3257,null,8621,null,1931,null,2329,null,943,null,6204,null,1504,null,88,null,132,null,7419,null,1709,null,2688,null,878,null,4576,null,1168,null,155,null,232,null,0400000US10,Delaware,10
17600,null,3915,null,9332,null,2066,null,3163,null,1390,null,6169,null,1278,null,0,null,296,null,8268,null,2314,null,2901,null,1094,null,5211,null,1576,null,156,null,197,null,0400000US11,District of Columbia,11
513581,null,26082,null,270327,null,15805,null,70781,null,5346,null,189046,null,12655,null,10500,null,1936,null,243254,null,13531,null,71999,null,6621,null,154963,null,8757,null,16292,null,2246,null,0400000US12,Florida,12
323130,null,18305,null,189109,null,11742,null,63560,null,5412,null,124020,null,8441,null,1529,null,655,null,134021,null,8404,null,59434,null,4838,null,71724,null,4737,null,2863,null,970,null,0400000US13,Georgia,13
13486,null,2957,null,7553,null,1829,null,1776,null,909,null,5262,null,1339,null,515,null,284,null,5933,null,1514,null,1597,null,706,null,4082,null,1047,null,254,null,260,null,0400000US15,Hawaii,15
27703,null,3741,null,15041,null,2183,null,4756,null,1074,null,9938,null,1543,null,347,null,232,null,12662,null,1986,null,5236,null,1267,null,6867,null,1186,null,559,null,344,null,0400000US16,Idaho,16
848996,null,24246,null,448805,null,14121,null,154199,null,7366,null,280430,null,9518,null,14176,null,1828,null,400191,null,13079,null,141988,null,6693,null,243125,null,7828,null,15078,null,2018,null,0400000US17,Illinois,17
131257,null,8069,null,68948,null,4544,null,22961,null,2662,null,44436,null,3291,null,1551,null,484,null,62309,null,4581,null,22258,null,2643,null,37526,null,2982,null,2525,null,703,null,0400000US18,Indiana,18
44975,null,4714,null,26101,null,3128,null,9587,null,1749,null,16143,null,2139,null,371,null,225,null,18874,null,2468,null,7487,null,1342,null,11182,null,1590,null,205,null,179,null,0400000US19,Iowa,19
59853,null,6960,null,33623,null,4141,null,10322,null,1942,null,21682,null,2918,null,1619,null,496,null,26230,null,3414,null,9413,null,1919,null,15862,null,2040,null,955,null,397,null,0400000US20,Kansas,20
37092,null,5000,null,22989,null,3113,null,6413,null,1461,null,16446,null,2406,null,130,null,148,null,14103,null,2801,null,6746,null,1806,null,7186,null,1380,null,171,null,173,null,0400000US21,Kentucky,21
42957,null,4996,null,24284,null,3024,null,6835,null,1351,null,16997,null,2354,null,452,null,264,null,18673,null,2781,null,5570,null,1373,null,11853,null,1845,null,1250,null,497,null,0400000US22,Louisiana,22
3866,null,1343,null,1602,null,676,null,636,null,539,null,845,null,451,null,121,null,129,null,2264,null,888,null,523,null,279,null,1741,null,759,null,0,null,230,null,0400000US23,Maine,23
176532,null,11618,null,94679,null,6263,null,30897,null,3228,null,62766,null,4280,null,1016,null,519,null,81853,null,6687,null,28844,null,3089,null,49563,null,4043,null,3446,null,1016,null,0400000US24,Maryland,24
247899,null,13434,null,125553,null,7212,null,38134,null,3926,null,82777,null,5192,null,4642,null,976,null,122346,null,7846,null,36301,null,3830,null,79733,null,5473,null,6312,null,1155,null,0400000US25,Massachusetts,25
122345,null,9968,null,66214,null,6157,null,19989,null,2831,null,43185,null,4374,null,3040,null,891,null,56131,null,5106,null,19922,null,2720,null,33550,null,2961,null,2659,null,743,null,0400000US26,Michigan,26
73135,null,6638,null,39611,null,3697,null,13000,null,2058,null,26073,null,2559,null,538,null,466,null,33524,null,3824,null,13329,null,2362,null,19688,null,2269,null,507,null,347,null,0400000US27,Minnesota,27
24083,null,3925,null,15767,null,3015,null,4185,null,1329,null,11558,null,2628,null,24,null,42,null,8316,null,2014,null,3005,null,1072,null,5213,null,1398,null,98,null,118,null,0400000US28,Mississippi,28
60766,null,6365,null,31946,null,4480,null,11426,null,2658,null,19409,null,2799,null,1111,null,558,null,28820,null,3000,null,11394,null,1955,null,16570,null,1724,null,856,null,536,null,0400000US29,Missouri,29
7350,null,1873,null,3508,null,1092,null,643,null,365,null,2842,null,986,null,23,null,35,null,3842,null,1135,null,1438,null,872,null,2404,null,644,null,0,null,240,null,0400000US30,Montana,30
50884,null,5280,null,27899,null,3375,null,10561,null,1632,null,16511,null,2356,null,827,null,610,null,22985,null,2620,null,9170,null,1685,null,13148,null,1506,null,667,null,382,null,0400000US31,Nebraska,31
119399,null,11427,null,62346,null,6886,null,21180,null,3600,null,39148,null,4402,null,2018,null,853,null,57053,null,5971,null,18595,null,3000,null,36031,null,3927,null,2427,null,662,null,0400000US32,Nevada,32
10706,null,2621,null,5567,null,1475,null,2053,null,846,null,3498,null,1096,null,16,null,25,null,5139,null,1430,null,1860,null,687,null,3279,null,945,null,0,null,255,null,0400000US33,New Hampshire,33
475348,null,20081,null,242603,null,11512,null,72397,null,5592,null,160911,null,7709,null,9295,null,1596,null,232745,null,10938,null,68578,null,4576,null,152912,null,7060,null,11255,null,1776,null,0400000US34,New Jersey,34
230591,null,13391,null,119952,null,7541,null,31041,null,3486,null,81800,null,5179,null,7111,null,1158,null,110639,null,7403,null,32182,null,3501,null,69236,null,4614,null,9221,null,1464,null,0400000US35,New Mexico,35
1473739,null,27086,null,738173,null,15861,null,223637,null,7484,null,479608,null,12229,null,34928,null,2927,null,735566,null,16147,null,208586,null,7385,null,474903,null,11066,null,52077,null,2964,null,0400000US36,New York,36
319170,null,13399,null,177325,null,8969,null,60712,null,4921,null,115092,null,5955,null,1521,null,747,null,141845,null,7341,null,63549,null,4429,null,76727,null,4237,null,1569,null,653,null,0400000US37,North Carolina,37
3924,null,1154,null,2127,null,792,null,488,null,405,null,1550,null,597,null,89,null,164,null,1797,null,658,null,296,null,242,null,1501,null,549,null,0,null,208,null,0400000US38,North Dakota,38
78010,null,7284,null,40774,null,3837,null,15145,null,2360,null,24404,null,2340,null,1225,null,526,null,37236,null,4251,null,13926,null,2646,null,21644,null,2327,null,1666,null,500,null,0400000US39,Ohio,39
90973,null,8981,null,48156,null,4679,null,17488,null,2443,null,29332,null,3224,null,1336,null,505,null,42817,null,4997,null,17395,null,2963,null,23705,null,2536,null,1717,null,668,null,0400000US40,Oklahoma,40
149204,null,13631,null,81382,null,7484,null,25993,null,3817,null,53300,null,5194,null,2089,null,516,null,67822,null,7484,null,26570,null,3580,null,39945,null,4604,null,1307,null,694,null,0400000US41,Oregon,41
229560,null,11790,null,117170,null,5983,null,40764,null,3900,null,72445,null,3858,null,3961,null,741,null,112390,null,7168,null,38128,null,4086,null,70202,null,4579,null,4060,null,1034,null,0400000US42,Pennsylvania,42
66236,null,5525,null,33833,null,2996,null,11630,null,1727,null,20701,null,2272,null,1502,null,390,null,32403,null,3178,null,10872,null,1804,null,19481,null,1928,null,2050,null,587,null,0400000US44,Rhode Island,44
65551,null,7176,null,36816,null,4677,null,11944,null,2350,null,24657,null,3618,null,215,null,212,null,28735,null,3742,null,11616,null,2294,null,16321,null,2071,null,798,null,404,null,0400000US45,South Carolina,45
7738,null,1955,null,3103,null,770,null,1071,null,512,null,2032,null,512,null,0,null,223,null,4635,null,1554,null,1584,null,915,null,3051,null,844,null,0,null,223,null,0400000US46,South Dakota,46
72277,null,8716,null,39729,null,5410,null,16079,null,2822,null,23114,null,3287,null,536,null,410,null,32548,null,4113,null,12423,null,2292,null,19801,null,2760,null,324,null,208,null,0400000US47,Tennessee,47
2075500,null,51246,null,1092795,null,29818,null,348983,null,14695,null,702166,null,18928,null,41646,null,2749,null,982705,null,24789,null,325190,null,13550,null,604617,null,14002,null,52898,null,3410,null,0400000US48,Texas,48
92923,null,8685,null,51912,null,5344,null,19877,null,3132,null,30739,null,3400,null,1296,null,677,null,41011,null,4129,null,15747,null,1939,null,24225,null,2882,null,1039,null,659,null,0400000US49,Utah,49
2061,null,1116,null,1389,null,776,null,652,null,473,null,623,null,329,null,114,null,165,null,672,null,429,null,53,null,57,null,603,null,427,null,16,null,25,null,0400000US50,Vermont,50
173971,null,12358,null,92726,null,6912,null,26527,null,3340,null,64124,null,5153,null,2075,null,905,null,81245,null,7048,null,27295,null,3642,null,51319,null,4217,null,2631,null,977,null,0400000US51,Virginia,51
249828,null,14879,null,136470,null,8489,null,49336,null,4723,null,82976,null,5436,null,4158,null,920,null,113358,null,8081,null,45504,null,4206,null,64206,null,4507,null,3648,null,913,null,0400000US53,Washington,53
3330,null,1103,null,1502,null,647,null,535,null,373,null,952,null,472,null,15,null,26,null,1828,null,644,null,242,null,216,null,1544,null,582,null,42,null,71,null,0400000US54,West Virginia,54
59545,null,5719,null,32924,null,3640,null,10546,null,1979,null,21950,null,2617,null,428,null,470,null,26621,null,2892,null,9877,null,1497,null,15913,null,1857,null,831,null,409,null,0400000US55,Wisconsin,55
10073,null,1873,null,5410,null,1332,null,1292,null,685,null,4020,null,1027,null,98,null,110,null,4663,null,911,null,1471,null,580,null,2981,null,623,null,211,null,175,null,0400000US56,Wyoming,56
342385,null,13256,null,167414,null,7716,null,45701,null,3520,null,106021,null,5323,null,15692,null,2055,null,174971,null,7797,null,45094,null,3309,null,108168,null,5110,null,21709,null,2225,null,0400000US72,Puerto Rico,72
