B16005D_001E,B16005D_001EA,B16005D_001M,B16005D_001MA,B16005D_002E,B16005D_002EA,B16005D_002M,B16005D_002MA,B16005D_003E,B16005D_003EA,B16005D_003M,B16005D_003MA,B16005D_004E,B16005D_004EA,B16005D_004M,B16005D_004MA,B16005D_005E,B16005D_005EA,B16005D_005M,B16005D_005MA,B16005D_006E,B16005D_006EA,B16005D_006M,B16005D_006MA,B16005D_007E,B16005D_007EA,B16005D_007M,B16005D_007MA,B16005D_008E,B16005D_008EA,B16005D_008M,B16005D_008MA,B16005D_009E,B16005D_009EA,B16005D_009M,B16005D_009MA,B16005D_010E,B16005D_010EA,B16005D_010M,B16005D_010MA,B16005D_011E,B16005D_011EA,B16005D_011M,B16005D_011MA,GEO_ID,NAME,state
47601,null,2309,null,13363,null,2002,null,5795,null,1794,null,7568,null,1474,null,6953,null,1426,null,615,null,350,null,34238,null,1959,null,5317,null,1279,null,28921,null,2334,null,13303,null,1716,null,15618,null,2180,null,0400000US01,Alabama,01
31773,null,1617,null,7530,null,1258,null,2939,null,779,null,4591,null,1216,null,3395,null,933,null,1196,null,638,null,24243,null,1683,null,1698,null,812,null,22545,null,1745,null,7548,null,1675,null,14997,null,1981,null,0400000US02,Alaska,02
156190,null,3528,null,49059,null,3857,null,29695,null,3804,null,19364,null,2942,null,16643,null,2618,null,2721,null,1022,null,107131,null,3157,null,16382,null,2174,null,90749,null,3742,null,47316,null,3956,null,43433,null,3999,null,0400000US04,Arizona,04
28640,null,2173,null,7408,null,1661,null,3164,null,1249,null,4244,null,1171,null,3447,null,1091,null,797,null,536,null,21232,null,2419,null,3344,null,1039,null,17888,null,2181,null,8200,null,1705,null,9688,null,2021,null,0400000US05,Arkansas,05
4350844,null,12044,null,1380341,null,17462,null,716335,null,17198,null,664006,null,14313,null,543189,null,13999,null,120817,null,5648,null,2970503,null,17994,null,262964,null,8220,null,2707539,null,18353,null,1208226,null,16820,null,1499313,null,19443,null,0400000US06,California,06
121591,null,3482,null,37541,null,2977,null,20201,null,2242,null,17340,null,2277,null,13239,null,2163,null,4101,null,1504,null,84050,null,3722,null,17122,null,2322,null,66928,null,3390,null,31380,null,3098,null,35548,null,2802,null,0400000US08,Colorado,08
114125,null,2078,null,25919,null,2447,null,12528,null,1710,null,13391,null,1910,null,11077,null,1822,null,2314,null,920,null,88206,null,2228,null,10773,null,1840,null,77433,null,2897,null,40784,null,2916,null,36649,null,3154,null,0400000US09,Connecticut,09
25227,null,851,null,5760,null,1317,null,2871,null,1020,null,2889,null,931,null,2492,null,1000,null,397,null,359,null,19467,null,1262,null,2373,null,751,null,17094,null,1472,null,10391,null,1417,null,6703,null,1249,null,0400000US10,Delaware,10
16620,null,852,null,6431,null,1190,null,4219,null,1158,null,2212,null,598,null,1853,null,530,null,359,null,256,null,10189,null,1006,null,3182,null,1056,null,7007,null,1136,null,4647,null,935,null,2360,null,749,null,0400000US11,District of Columbia,11
414225,null,5645,null,103790,null,5825,null,56375,null,5361,null,47415,null,4312,null,41581,null,3961,null,5834,null,1643,null,310435,null,6125,null,61882,null,5130,null,248553,null,7805,null,130556,null,7199,null,117997,null,7883,null,0400000US12,Florida,12
270440,null,4500,null,65561,null,3265,null,25392,null,2447,null,40169,null,2971,null,33642,null,2937,null,6527,null,1549,null,204879,null,4785,null,24719,null,3154,null,180160,null,5198,null,90917,null,4957,null,89243,null,4993,null,0400000US13,Georgia,13
461642,null,9391,null,290946,null,7409,null,245654,null,6866,null,45292,null,4124,null,30425,null,2961,null,14867,null,2324,null,170696,null,8550,null,17196,null,2606,null,153500,null,8181,null,57128,null,4880,null,96372,null,6608,null,0400000US15,Hawaii,15
15839,null,1367,null,4955,null,1198,null,4200,null,1141,null,755,null,454,null,593,null,436,null,162,null,149,null,10884,null,1317,null,4066,null,1274,null,6818,null,1359,null,3210,null,864,null,3608,null,1095,null,0400000US16,Idaho,16
523316,null,4208,null,143503,null,5080,null,68299,null,4832,null,75204,null,4083,null,62820,null,3665,null,12384,null,1828,null,379813,null,5435,null,33600,null,3133,null,346213,null,6448,null,184275,null,6620,null,161938,null,7872,null,0400000US17,Illinois,17
83059,null,2420,null,18921,null,1822,null,10322,null,1524,null,8599,null,1357,null,6907,null,1175,null,1692,null,657,null,64138,null,2632,null,8342,null,1451,null,55796,null,3026,null,29476,null,2783,null,26320,null,2726,null,0400000US18,Indiana,18
43222,null,2067,null,8278,null,1610,null,3739,null,1108,null,4539,null,1295,null,3835,null,1208,null,704,null,340,null,34944,null,2148,null,7483,null,1626,null,27461,null,2501,null,12528,null,1788,null,14933,null,1958,null,0400000US19,Iowa,19
56966,null,1713,null,15591,null,1578,null,7669,null,1580,null,7922,null,1360,null,6601,null,1230,null,1321,null,476,null,41375,null,1807,null,5759,null,1332,null,35616,null,1928,null,14279,null,1776,null,21337,null,2054,null,0400000US20,Kansas,20
39678,null,1799,null,7274,null,1398,null,4009,null,1035,null,3265,null,850,null,2808,null,846,null,457,null,263,null,32404,null,2015,null,6415,null,1645,null,25989,null,2012,null,12446,null,1383,null,13543,null,1549,null,0400000US21,Kentucky,21
62084,null,2394,null,19614,null,1735,null,6381,null,1427,null,13233,null,1737,null,9935,null,1713,null,3298,null,979,null,42470,null,2143,null,4050,null,1008,null,38420,null,2362,null,16865,null,2587,null,21555,null,2436,null,0400000US22,Louisiana,22
