C12002I_001E,C12002I_001EA,C12002I_001M,C12002I_001MA,C12002I_002E,C12002I_002EA,C12002I_002M,C12002I_002MA,C12002I_003E,C12002I_003EA,C12002I_003M,C12002I_003MA,C12002I_004E,C12002I_004EA,C12002I_004M,C12002I_004MA,C12002I_005E,C12002I_005EA,C12002I_005M,C12002I_005MA,C12002I_006E,C12002I_006EA,C12002I_006M,C12002I_006MA,GEO_ID,NAME,state
90868,null,2103,null,34797,null,2723,null,45950,null,2821,null,2497,null,887,null,1354,null,407,null,6270,null,1383,null,0400000US01,Alabama,01
30012,null,537,null,12491,null,1421,null,13804,null,1538,null,746,null,419,null,751,null,397,null,2220,null,856,null,0400000US02,Alaska,02
1383993,null,630,null,569311,null,12681,null,612505,null,15374,null,35360,null,3713,null,45177,null,3479,null,121640,null,7294,null,0400000US04,Arizona,04
109364,null,1748,null,38868,null,2620,null,58842,null,3356,null,3238,null,1077,null,1607,null,589,null,6809,null,1689,null,0400000US05,Arkansas,05
9691912,null,981,null,4059437,null,29401,null,4344552,null,34718,null,304834,null,10251,null,319614,null,7875,null,663475,null,15254,null,0400000US06,California,06
700746,null,1006,null,261250,null,6643,null,328999,null,7939,null,23164,null,2542,null,21809,null,2093,null,65524,null,5093,null,0400000US08,Colorado,08
312117,null,632,null,136873,null,4177,null,121930,null,4422,null,13906,null,2134,null,6737,null,960,null,32671,null,2456,null,0400000US09,Connecticut,09
42016,null,295,null,17486,null,2033,null,18122,null,1948,null,1715,null,773,null,1989,null,777,null,2704,null,904,null,0400000US10,Delaware,10
40672,null,0,*****,21730,null,1786,null,13839,null,2193,null,1148,null,784,null,981,null,537,null,2974,null,1032,null,0400000US11,District of Columbia,11
3077011,null,2230,null,1027551,null,13987,null,1441755,null,21701,null,112601,null,6894,null,146145,null,6123,null,348959,null,12787,null,0400000US12,Florida,12
529336,null,3206,null,214737,null,7591,null,253799,null,8883,null,19012,null,2908,null,12342,null,2114,null,29446,null,3682,null,0400000US13,Georgia,13
77700,null,441,null,30489,null,2139,null,33696,null,2451,null,2921,null,1017,null,2144,null,686,null,8450,null,1454,null,0400000US15,Hawaii,15
106165,null,1134,null,38144,null,2740,null,55953,null,3081,null,3596,null,1287,null,1869,null,682,null,6603,null,1431,null,0400000US16,Idaho,16
1363467,null,1835,null,566846,null,10604,null,639948,null,12385,null,35999,null,3388,null,36421,null,3152,null,84253,null,5615,null,0400000US17,Illinois,17
229754,null,1813,null,90042,null,3946,null,107361,null,4706,null,8263,null,2169,null,4994,null,1269,null,19094,null,2440,null,0400000US18,Indiana,18
84470,null,1977,null,33534,null,2835,null,39890,null,2942,null,1922,null,724,null,1671,null,738,null,7453,null,1621,null,0400000US19,Iowa,19
172993,null,1631,null,60765,null,3992,null,89239,null,4134,null,4808,null,1356,null,3162,null,757,null,15019,null,2109,null,0400000US20,Kansas,20
70323,null,2507,null,26027,null,2179,null,36427,null,2832,null,1987,null,714,null,1222,null,579,null,4660,null,1124,null,0400000US21,Kentucky,21
118747,null,1762,null,43746,null,2814,null,56889,null,3049,null,4097,null,1112,null,4762,null,1164,null,9253,null,1529,null,0400000US22,Louisiana,22
12499,null,781,null,6140,null,981,null,4557,null,770,null,87,null,138,null,281,null,233,null,1434,null,613,null,0400000US23,Maine,23
289854,null,1444,null,117709,null,5207,null,133943,null,5255,null,8540,null,1721,null,8490,null,1451,null,21172,null,2505,null,0400000US24,Maryland,24
418686,null,940,null,208135,null,6219,null,135371,null,6046,null,22550,null,2807,null,12866,null,1751,null,39764,null,3676,null,0400000US25,Massachusetts,25
289025,null,1744,null,114941,null,4496,null,132029,null,5460,null,8179,null,1707,null,7095,null,1376,null,26781,null,2800,null,0400000US26,Michigan,26
144491,null,1350,null,67177,null,3162,null,59024,null,3851,null,6081,null,1496,null,1440,null,459,null,10769,null,1599,null,0400000US27,Minnesota,27
46354,null,2579,null,16614,null,2671,null,23736,null,2858,null,1015,null,551,null,792,null,488,null,4197,null,1254,null,0400000US28,Mississippi,28
133143,null,1557,null,50734,null,2868,null,61307,null,3350,null,5134,null,1000,null,4554,null,972,null,11414,null,1925,null,0400000US29,Missouri,29
19041,null,945,null,8588,null,1351,null,5592,null,1181,null,598,null,542,null,1096,null,535,null,3167,null,892,null,0400000US30,Montana,30
95804,null,1174,null,36673,null,2765,null,46775,null,3246,null,3207,null,1014,null,2339,null,796,null,6810,null,1327,null,0400000US31,Nebraska,31
473489,null,1133,null,181405,null,6943,null,226306,null,8241,null,15350,null,2324,null,11099,null,1735,null,39329,null,4210,null,0400000US32,Nevada,32
25502,null,580,null,10704,null,1265,null,10118,null,1547,null,879,null,514,null,820,null,463,null,2981,null,1229,null,0400000US33,New Hampshire,33
1074457,null,665,null,453986,null,9272,null,454108,null,10420,null,41900,null,3783,null,37038,null,2990,null,87425,null,5416,null,0400000US34,New Jersey,34
678254,null,1229,null,246254,null,7611,null,307416,null,8660,null,16032,null,2339,null,33076,null,2547,null,75476,null,5812,null,0400000US35,New Mexico,35
2466820,null,2057,null,1105281,null,14833,null,913406,null,15954,null,127923,null,7078,null,102970,null,5176,null,217240,null,6666,null,0400000US36,New York,36
455130,null,3140,null,187545,null,6403,null,219239,null,6526,null,16586,null,2988,null,7460,null,1452,null,24300,null,2787,null,0400000US37,North Carolina,37
9381,null,669,null,2880,null,776,null,5108,null,798,null,213,null,219,null,260,null,333,null,920,null,481,null,0400000US38,North Dakota,38
217295,null,2238,null,92875,null,3393,null,92477,null,4375,null,6514,null,1267,null,5939,null,1083,null,19490,null,2305,null,0400000US39,Ohio,39
195308,null,2009,null,69167,null,3576,null,103034,null,4501,null,6565,null,1698,null,4241,null,1073,null,12301,null,1790,null,0400000US40,Oklahoma,40
277297,null,862,null,109992,null,4198,null,128889,null,5652,null,15007,null,3279,null,4945,null,1129,null,18464,null,2440,null,0400000US41,Oregon,41
438420,null,1674,null,205988,null,6132,null,161734,null,5818,null,19755,null,2250,null,13811,null,1543,null,37132,null,2939,null,0400000US42,Pennsylvania,42
88289,null,478,null,40631,null,2585,null,32965,null,2981,null,5190,null,1376,null,1812,null,618,null,7691,null,1701,null,0400000US44,Rhode Island,44
132592,null,2169,null,52857,null,3837,null,64891,null,4063,null,5594,null,1634,null,2010,null,674,null,7240,null,1504,null,0400000US45,South Carolina,45
13710,null,1195,null,4621,null,1081,null,6751,null,1303,null,755,null,433,null,243,null,207,null,1340,null,743,null,0400000US46,South Dakota,46
163678,null,1931,null,63301,null,4041,null,81949,null,4139,null,4987,null,1313,null,3083,null,1189,null,10358,null,1798,null,0400000US47,Tennessee,47
6358943,null,2403,null,2249289,null,21602,null,3091181,null,26649,null,252485,null,10062,null,250885,null,7921,null,515103,null,13828,null,0400000US48,Texas,48
217969,null,654,null,79538,null,3256,null,112512,null,4517,null,7224,null,1794,null,4402,null,1227,null,14293,null,2247,null,0400000US49,Utah,49
6422,null,500,null,2462,null,769,null,3200,null,746,null,0,null,211,null,416,null,249,null,344,null,242,null,0400000US50,Vermont,50
393765,null,3789,null,147273,null,7123,null,198305,null,7512,null,14702,null,2363,null,8587,null,1923,null,24898,null,3192,null,0400000US51,Virginia,51
446604,null,833,null,180271,null,4754,null,204756,null,6084,null,16589,null,2408,null,11383,null,1456,null,33605,null,3020,null,0400000US53,Washington,53
14852,null,2403,null,5733,null,1360,null,6070,null,1429,null,514,null,340,null,1490,null,1008,null,1045,null,440,null,0400000US54,West Virginia,54
198896,null,998,null,86627,null,3652,null,86671,null,3368,null,4511,null,1250,null,4134,null,850,null,16953,null,2277,null,0400000US55,Wisconsin,55
30900,null,1380,null,10073,null,1607,null,15239,null,1741,null,813,null,560,null,1422,null,614,null,3353,null,1146,null,0400000US56,Wyoming,56
3141553,null,3848,null,1234803,null,13285,null,1174778,null,13676,null,104738,null,5680,null,220947,null,5831,null,406287,null,9710,null,0400000US72,Puerto Rico,72
