C22007_001E,C22007_001EA,C22007_001M,C22007_001MA,C22007_002E,C22007_002EA,C22007_002M,C22007_002MA,C22007_003E,C22007_003EA,C22007_003M,C22007_003MA,C22007_004E,C22007_004EA,C22007_004M,C22007_004MA,C22007_005E,C22007_005EA,C22007_005M,C22007_005MA,C22007_006E,C22007_006EA,C22007_006M,C22007_006MA,C22007_007E,C22007_007EA,C22007_007M,C22007_007MA,C22007_008E,C22007_008EA,C22007_008M,C22007_008MA,C22007_009E,C22007_009EA,C22007_009M,C22007_009MA,C22007_010E,C22007_010EA,C22007_010M,C22007_010MA,C22007_011E,C22007_011EA,C22007_011M,C22007_011MA,C22007_012E,C22007_012EA,C22007_012M,C22007_012MA,C22007_013E,C22007_013EA,C22007_013M,C22007_013MA,C22007_014E,C22007_014EA,C22007_014M,C22007_014MA,C22007_015E,C22007_015EA,C22007_015M,C22007_015MA,C22007_016E,C22007_016EA,C22007_016M,C22007_016MA,C22007_017E,C22007_017EA,C22007_017M,C22007_017MA,C22007_018E,C22007_018EA,C22007_018M,C22007_018MA,C22007_019E,C22007_019EA,C22007_019M,C22007_019MA,C22007_020E,C22007_020EA,C22007_020M,C22007_020MA,C22007_021E,C22007_021EA,C22007_021M,C22007_021MA,C22007_022E,C22007_022EA,C22007_022M,C22007_022MA,C22007_023E,C22007_023EA,C22007_023M,C22007_023MA,C22007_024E,C22007_024EA,C22007_024M,C22007_024MA,C22007_025E,C22007_025EA,C22007_025M,C22007_025MA,C22007_026E,C22007_026EA,C22007_026M,C22007_026MA,C22007_027E,C22007_027EA,C22007_027M,C22007_027MA,C22007_028E,C22007_028EA,C22007_028M,C22007_028MA,C22007_029E,C22007_029EA,C22007_029M,C22007_029MA,GEO_ID,NAME,state
1246056,null,11767,null,178140,null,6445,null,57779,null,3993,null,10879,null,1568,null,21762,null,2511,null,25138,null,2514,null,120361,null,4930,null,12860,null,2017,null,3316,null,816,null,7453,null,1569,null,2091,null,685,null,107501,null,4817,null,34297,null,2900,null,58863,null,4009,null,14341,null,1896,null,1067916,null,11874,null,826754,null,11309,null,129126,null,4150,null,215572,null,6739,null,482056,null,8225,null,241162,null,8038,null,64173,null,4672,null,7603,null,1301,null,33859,null,3650,null,22711,null,2753,null,176989,null,7317,null,24381,null,2437,null,101019,null,5116,null,51589,null,3899,null,0400000US01,Alabama,01
159940,null,3646,null,16251,null,1941,null,6284,null,1320,null,111,null,121,null,2103,null,771,null,4070,null,1006,null,9967,null,1503,null,3107,null,961,null,329,null,364,null,2108,null,832,null,670,null,402,null,6860,null,1276,null,1594,null,637,null,4222,null,916,null,1044,null,435,null,143689,null,3916,null,112859,null,3493,null,7815,null,977,null,24791,null,2050,null,80253,null,3240,null,30830,null,2893,null,10673,null,1637,null,468,null,291,null,5574,null,1194,null,4631,null,1212,null,20157,null,2225,null,1343,null,479,null,11927,null,1870,null,6887,null,1052,null,0400000US02,Alaska,02
1514235,null,13945,null,187943,null,8839,null,79672,null,5829,null,9496,null,1488,null,31204,null,3480,null,38972,null,3458,null,108271,null,6366,null,22725,null,2832,null,4657,null,1214,null,12683,null,2165,null,5385,null,1337,null,85546,null,5382,null,22449,null,2650,null,46429,null,4058,null,16668,null,2287,null,1326292,null,13758,null,1046153,null,12341,null,192244,null,5777,null,260931,null,7313,null,592978,null,9765,null,280139,null,8844,null,94065,null,5893,null,7612,null,1508,null,51479,null,4127,null,34974,null,3869,null,186074,null,7164,null,21736,null,2199,null,103832,null,5284,null,60506,null,4209,null,0400000US04,Arizona,04
768492,null,8905,null,113720,null,4867,null,40772,null,2903,null,6965,null,1503,null,16733,null,1985,null,17074,null,2153,null,72948,null,4438,null,10432,null,1909,null,2180,null,703,null,5975,null,1410,null,2277,null,860,null,62516,null,4249,null,17781,null,2815,null,38299,null,3119,null,6436,null,1231,null,654772,null,8687,null,525625,null,8430,null,86061,null,3405,null,135431,null,5408,null,304133,null,7809,null,129147,null,4910,null,39070,null,3498,null,4694,null,996,null,21879,null,2757,null,12497,null,1983,null,90077,null,4214,null,11713,null,1456,null,49431,null,3683,null,28933,null,2288,null,0400000US05,Arkansas,05
8366253,null,25708,null,665816,null,12973,null,268489,null,8142,null,27969,null,3066,null,103503,null,5893,null,137017,null,5344,null,397327,null,11389,null,81181,null,4736,null,16316,null,2283,null,44001,null,3502,null,20864,null,2724,null,316146,null,9322,null,97992,null,5653,null,161951,null,6053,null,56203,null,4094,null,7700437,null,26918,null,5772721,null,26761,null,658588,null,10615,null,1482205,null,19600,null,3631928,null,23037,null,1927716,null,24023,null,650388,null,14347,null,45268,null,3459,null,332073,null,10729,null,273047,null,9224,null,1277328,null,17163,null,149897,null,6331,null,666525,null,12709,null,460906,null,11176,null,0400000US06,California,06
1233139,null,11054,null,86400,null,4464,null,33176,null,3175,null,3288,null,842,null,12936,null,1882,null,16952,null,1896,null,53224,null,3532,null,8862,null,1435,null,1779,null,774,null,5292,null,1029,null,1791,null,726,null,44362,null,3402,null,9382,null,1669,null,27083,null,2887,null,7897,null,1527,null,1146739,null,11052,null,936592,null,10614,null,100613,null,3760,null,219960,null,6310,null,616019,null,9915,null,210147,null,6686,null,67242,null,4724,null,3749,null,806,null,34303,null,3276,null,29190,null,3602,null,142905,null,5800,null,13875,null,2002,null,78398,null,4734,null,50632,null,3117,null,0400000US08,Colorado,08
890530,null,9200,null,69110,null,4319,null,17687,null,2473,null,3016,null,772,null,5421,null,1316,null,9250,null,1737,null,51423,null,3780,null,6231,null,1688,null,1279,null,630,null,3635,null,1325,null,1317,null,635,null,45192,null,3539,null,11874,null,1976,null,25712,null,2771,null,7606,null,1284,null,821420,null,9374,null,650261,null,8716,null,67957,null,2930,null,141814,null,4938,null,440490,null,7452,null,171159,null,6307,null,49234,null,3425,null,4132,null,1014,null,25055,null,2772,null,20047,null,2310,null,121925,null,4717,null,10984,null,1749,null,65192,null,3589,null,45749,null,3234,null,0400000US09,Connecticut,09
220655,null,4595,null,21018,null,2467,null,5560,null,1316,null,570,null,369,null,2226,null,895,null,2764,null,702,null,15458,null,2032,null,2257,null,742,null,41,null,68,null,1164,null,494,null,1052,null,548,null,13201,null,1880,null,2828,null,962,null,7113,null,1447,null,3260,null,898,null,199637,null,4730,null,154302,null,4485,null,23097,null,1772,null,35109,null,2891,null,96096,null,3720,null,45335,null,3229,null,12998,null,2006,null,1328,null,634,null,7495,null,1528,null,4175,null,973,null,32337,null,2405,null,2294,null,741,null,18841,null,2462,null,11202,null,1362,null,0400000US10,Delaware,10
109030,null,4490,null,21691,null,2014,null,2662,null,777,null,187,null,160,null,1068,null,445,null,1407,null,600,null,19029,null,2044,null,2307,null,824,null,835,null,510,null,1024,null,536,null,448,null,340,null,16722,null,2078,null,6452,null,1366,null,7014,null,1268,null,3256,null,825,null,87339,null,4238,null,54033,null,3136,null,4543,null,686,null,13034,null,1629,null,36456,null,2794,null,33306,null,2868,null,6486,null,1187,null,725,null,399,null,3666,null,1009,null,2095,null,684,null,26820,null,2681,null,3461,null,928,null,13503,null,2142,null,9856,null,1702,null,0400000US11,District of Columbia,11
4542466,null,26422,null,487770,null,11929,null,189558,null,6969,null,33651,null,3355,null,63831,null,4477,null,92076,null,4885,null,298212,null,10274,null,52747,null,4020,null,12302,null,2084,null,29343,null,3411,null,11102,null,1917,null,245465,null,9886,null,67426,null,5424,null,136024,null,6919,null,42015,null,3237,null,4054696,null,25280,null,3145841,null,23329,null,652290,null,9516,null,769502,null,15291,null,1724049,null,18703,null,908855,null,16937,null,257012,null,7883,null,21734,null,2452,null,142191,null,6727,null,93087,null,5179,null,651843,null,14170,null,74065,null,5226,null,370197,null,10376,null,207581,null,8479,null,0400000US12,Florida,12
