B15010_001E,B15010_001EA,B15010_001M,B15010_001MA,B15010_002E,B15010_002EA,B15010_002M,B15010_002MA,B15010_003E,B15010_003EA,B15010_003M,B15010_003MA,B15010_004E,B15010_004EA,B15010_004M,B15010_004MA,B15010_005E,B15010_005EA,B15010_005M,B15010_005MA,B15010_006E,B15010_006EA,B15010_006M,B15010_006MA,B15010_007E,B15010_007EA,B15010_007M,B15010_007MA,B15010_008E,B15010_008EA,B15010_008M,B15010_008MA,B15010_009E,B15010_009EA,B15010_009M,B15010_009MA,B15010_010E,B15010_010EA,B15010_010M,B15010_010MA,B15010_011E,B15010_011EA,B15010_011M,B15010_011MA,B15010_012E,B15010_012EA,B15010_012M,B15010_012MA,B15010_013E,B15010_013EA,B15010_013M,B15010_013MA,B15010_014E,B15010_014EA,B15010_014M,B15010_014MA,B15010_015E,B15010_015EA,B15010_015M,B15010_015MA,B15010_016E,B15010_016EA,B15010_016M,B15010_016MA,GEO_ID,NAME,state
686543,null,12245,null,28905,null,2793,null,41971,null,2984,null,14918,null,2031,null,22925,null,2118,null,32411,null,2827,null,54916,null,3374,null,10652,null,1909,null,68454,null,3642,null,162573,null,6096,null,124597,null,5129,null,21550,null,2247,null,28537,null,2664,null,16103,null,1867,null,16430,null,2068,null,41601,null,2544,null,0400000US01,Alabama,01
114535,null,5559,null,2327,null,716,null,12646,null,1484,null,3609,null,865,null,6255,null,1750,null,8515,null,1653,null,8134,null,1280,null,2066,null,714,null,11064,null,1828,null,14856,null,1993,null,19096,null,2009,null,5692,null,1121,null,5955,null,1037,null,4150,null,950,null,2496,null,744,null,7674,null,1263,null,0400000US02,Alaska,02
1085753,null,14044,null,43604,null,3761,null,56136,null,3455,null,24839,null,2268,null,44742,null,3833,null,71950,null,4661,null,104806,null,5820,null,19491,null,2371,null,99163,null,5068,null,233317,null,8645,null,162026,null,6472,null,42496,null,3243,null,55972,null,4316,null,35823,null,3352,null,38148,null,3010,null,53240,null,4015,null,0400000US04,Arizona,04
358933,null,9504,null,12987,null,1908,null,27103,null,2652,null,6529,null,1459,null,13244,null,1501,null,16465,null,2135,null,15697,null,1696,null,8508,null,1774,null,38521,null,3389,null,76349,null,4270,null,75818,null,4585,null,11383,null,1711,null,17284,null,2089,null,7964,null,1332,null,10478,null,1776,null,20603,null,2335,null,0400000US05,Arkansas,05
7110449,null,41480,null,342327,null,9728,null,458593,null,9622,null,189523,null,6376,null,352752,null,8944,null,713110,null,13758,null,720303,null,13034,null,119872,null,5840,null,545937,null,12284,null,1312606,null,21219,null,533425,null,11711,null,386211,null,9346,null,460228,null,10682,null,383555,null,10529,null,268239,null,8892,null,323768,null,9600,null,0400000US06,California,06
1181594,null,15302,null,58071,null,3603,null,82790,null,4608,null,36790,null,2737,null,57447,null,3867,null,102292,null,4546,null,101212,null,4667,null,20252,null,2084,null,86112,null,4293,null,238580,null,6486,null,130177,null,5396,null,56111,null,4122,null,59274,null,3675,null,46285,null,3265,null,44561,null,3242,null,61640,null,4467,null,0400000US08,Colorado,08
843502,null,11640,null,34433,null,2947,null,44681,null,3140,null,21863,null,2396,null,48143,null,3711,null,84641,null,4979,null,66635,null,3003,null,14746,null,1923,null,65254,null,4108,null,164584,null,4874,null,97762,null,4788,null,53339,null,3183,null,50255,null,3711,null,35953,null,3049,null,25994,null,3158,null,35219,null,2476,null,0400000US09,Connecticut,09
171091,null,6009,null,6164,null,1141,null,10313,null,1731,null,5205,null,1038,null,7750,null,1251,null,12695,null,1765,null,13568,null,1660,null,4841,null,1374,null,15425,null,2091,null,31451,null,2680,null,26062,null,2762,null,7374,null,1313,null,9214,null,1459,null,4311,null,970,null,5726,null,1445,null,10992,null,1790,null,0400000US10,Delaware,10
200382,null,5000,null,6236,null,1484,null,11185,null,1722,null,4900,null,1012,null,8082,null,1399,null,52000,null,3329,null,8724,null,1540,null,4580,null,1394,null,8444,null,1435,null,22141,null,2672,null,11992,null,1804,null,17701,null,1880,null,17534,null,2098,null,11089,null,1774,null,10009,null,1563,null,5765,null,1115,null,0400000US11,District of Columbia,11
3233714,null,25701,null,111086,null,5404,null,160416,null,6300,null,62685,null,4047,null,141485,null,6302,null,230077,null,8382,null,254598,null,8126,null,63464,null,3903,null,308371,null,10048,null,776875,null,14600,null,487866,null,11600,null,109820,null,5214,null,155802,null,6117,null,101934,null,4911,null,112831,null,5707,null,156404,null,6721,null,0400000US12,Florida,12
1716045,null,21504,null,79889,null,4715,null,91624,null,5623,null,31898,null,2766,null,79462,null,5004,null,116094,null,5719,null,121344,null,5252,null,29079,null,3143,null,150240,null,5769,null,421421,null,10358,null,240620,null,6835,null,62494,null,3937,null,76895,null,5259,null,57396,null,4064,null,70579,null,4713,null,87010,null,5341,null,0400000US13,Georgia,13
261095,null,6888,null,7661,null,1188,null,18113,null,2178,null,6945,null,1363,null,13474,null,2034,null,22155,null,2508,null,16965,null,2002,null,4291,null,1141,null,22820,null,2567,null,55700,null,3364,null,34179,null,3109,null,12895,null,1944,null,14373,null,2120,null,9533,null,1667,null,9043,null,1444,null,12948,null,1727,null,0400000US15,Hawaii,15
230252,null,6022,null,8631,null,1176,null,22064,null,1838,null,7073,null,1233,null,7431,null,1280,null,14433,null,1669,null,18024,null,1577,null,4461,null,1152,null,21117,null,2057,null,40100,null,2794,null,42569,null,2540,null,5885,null,1110,null,8991,null,1395,null,6977,null,1190,null,8034,null,1242,null,14462,null,1892,null,0400000US16,Idaho,16
2581463,null,17778,null,118346,null,5601,null,142630,null,6495,null,55312,null,4146,null,108845,null,4857,null,190972,null,7085,null,190700,null,6459,null,49342,null,3714,null,225345,null,6954,null,539948,null,10484,null,363425,null,9394,null,111343,null,5033,null,137854,null,6236,null,104207,null,4671,null,115627,null,5202,null,127567,null,5595,null,0400000US17,Illinois,17
944320,null,14704,null,35138,null,2946,null,54851,null,3623,null,21631,null,2434,null,33874,null,2780,null,47897,null,3837,null,66518,null,3700,null,14035,null,1662,null,110566,null,4330,null,192173,null,7156,null,173212,null,6261,null,33572,null,2442,null,56591,null,3955,null,26139,null,2615,null,29874,null,3083,null,48249,null,3149,null,0400000US18,Indiana,18
496918,null,9576,null,17151,null,1871,null,38172,null,2586,null,7925,null,1286,null,20629,null,2155,null,27086,null,2163,null,28536,null,2625,null,9772,null,1300,null,43529,null,3087,null,99333,null,4214,null,102934,null,4381,null,15151,null,1645,null,26353,null,2140,null,15872,null,1839,null,15228,null,1657,null,29247,null,2794,null,0400000US19,Iowa,19
533004,null,9566,null,16217,null,1856,null,41391,null,2818,null,10824,null,1525,null,19696,null,1963,null,27110,null,2460,null,32619,null,2890,null,8587,null,1475,null,50141,null,2799,null,113055,null,5349,null,102158,null,4545,null,16282,null,2040,null,28393,null,2412,null,18830,null,2442,null,19655,null,1852,null,28046,null,2423,null,0400000US20,Kansas,20
603567,null,12395,null,21041,null,2751,null,42806,null,2878,null,11285,null,1333,null,27774,null,2538,null,33661,null,2914,null,33355,null,2636,null,8906,null,1553,null,63883,null,3311,null,110899,null,4786,null,112483,null,5008,null,26143,null,2469,null,35610,null,2743,null,15926,null,2026,null,21877,null,2085,null,37918,null,3092,null,0400000US21,Kentucky,21
620131,null,11881,null,15457,null,2128,null,38700,null,3105,null,13672,null,1994,null,23501,null,2355,null,30379,null,2885,null,34036,null,2616,null,13578,null,2057,null,73895,null,4370,null,127245,null,5472,null,117680,null,5601,null,18306,null,1823,null,43549,null,3337,null,16875,null,2071,null,18355,null,2534,null,34903,null,3112,null,0400000US22,Louisiana,22
249275,null,7829,null,6070,null,1046,null,19535,null,2012,null,4257,null,947,null,12649,null,1802,null,21588,null,1787,null,13108,null,1617,null,5546,null,1105,null,28248,null,2549,null,35604,null,2759,null,41180,null,2884,null,16015,null,2004,null,14826,null,1801,null,9969,null,1350,null,7788,null,1336,null,12892,null,1642,null,0400000US23,Maine,23
1355268,null,16700,null,76590,null,4233,null,96328,null,5068,null,43507,null,3294,null,65231,null,4410,null,145131,null,5792,null,109731,null,4576,null,25715,null,2337,null,110335,null,4664,null,237451,null,7998,null,139299,null,5595,null,69238,null,4070,null,78328,null,4181,null,45906,null,3434,null,48480,null,3249,null,63998,null,4057,null,0400000US24,Maryland,24
1716578,null,18229,null,72450,null,4725,null,107139,null,4753,null,49080,null,3285,null,94806,null,4710,null,180561,null,7296,null,149142,null,5105,null,32305,null,3231,null,132753,null,6134,null,298392,null,9024,null,174383,null,7081,null,114616,null,5024,null,113485,null,5432,null,73196,null,4453,null,50255,null,3541,null,74015,null,4744,null,0400000US25,Massachusetts,25
1628826,null,21418,null,58349,null,3388,null,89995,null,4783,null,32172,null,2501,null,60744,null,4034,null,87862,null,4765,null,172053,null,5783,null,31673,null,2698,null,159525,null,6019,null,342583,null,9698,null,263295,null,6254,null,55156,null,2588,null,73994,null,4288,null,49707,null,3738,null,57321,null,4085,null,94397,null,5047,null,0400000US26,Michigan,26
1098041,null,13828,null,44149,null,2823,null,70310,null,3691,null,25038,null,2341,null,53254,null,3407,null,84223,null,3639,null,71310,null,3689,null,16381,null,1779,null,101673,null,4436,null,218426,null,6418,null,168016,null,5886,null,47601,null,2909,null,49844,null,3011,null,43493,null,3317,null,45287,null,2750,null,59036,null,3513,null,0400000US27,Minnesota,27
365660,null,9502,null,10008,null,1744,null,27714,null,2734,null,8046,null,1325,null,12757,null,1769,null,14880,null,1845,null,16545,null,1614,null,5700,null,1287,null,43722,null,3999,null,77350,null,5241,null,76851,null,4400,null,10843,null,1714,null,16817,null,2311,null,9146,null,1805,null,10527,null,1927,null,24754,null,2391,null,0400000US28,Mississippi,28
999095,null,14352,null,40198,null,3435,null,69998,null,3581,null,18626,null,2111,null,43174,null,2979,null,51493,null,3207,null,55564,null,4005,null,17022,null,2220,null,96608,null,5314,null,213719,null,6876,null,173578,null,6157,null,33552,null,2415,null,50865,null,2966,null,35871,null,3357,null,40156,null,2936,null,58671,null,3562,null,0400000US29,Missouri,29
177632,null,6493,null,4779,null,998,null,19779,null,2322,null,5729,null,1192,null,7207,null,1211,null,12481,null,2160,null,8431,null,1417,null,3178,null,704,null,16099,null,2190,null,28999,null,3009,null,33524,null,2448,null,7424,null,1543,null,9641,null,1652,null,6615,null,1164,null,5305,null,1073,null,8441,null,1397,null,0400000US30,Montana,30
315465,null,7589,null,10428,null,1585,null,26670,null,2254,null,5411,null,968,null,13364,null,1450,null,13797,null,1601,null,12380,null,1861,null,5714,null,1025,null,31613,null,2413,null,65909,null,3632,null,63246,null,3441,null,10127,null,1410,null,12933,null,1590,null,7754,null,1162,null,13950,null,1694,null,22169,null,2130,null,0400000US31,Nebraska,31
