C13004_001E,C13004_001EA,C13004_001M,C13004_001MA,C13004_002E,C13004_002EA,C13004_002M,C13004_002MA,C13004_003E,C13004_003EA,C13004_003M,C13004_003MA,C13004_004E,C13004_004EA,C13004_004M,C13004_004MA,C13004_005E,C13004_005EA,C13004_005M,C13004_005MA,C13004_006E,C13004_006EA,C13004_006M,C13004_006MA,C13004_007E,C13004_007EA,C13004_007M,C13004_007MA,GEO_ID,NAME,state
1130157,null,5438,null,68707,null,4874,null,39708,null,3139,null,28999,null,3528,null,1061450,null,6780,null,518158,null,8777,null,543292,null,10523,null,0400000US01,Alabama,01
174341,null,1956,null,13354,null,1866,null,8215,null,1487,null,5139,null,1007,null,160987,null,2522,null,78319,null,3295,null,82668,null,3550,null,0400000US02,Alaska,02
1549541,null,4238,null,92778,null,5438,null,56132,null,3875,null,36646,null,4044,null,1456763,null,7405,null,655441,null,11297,null,801322,null,11662,null,0400000US04,Arizona,04
678736,null,5048,null,41215,null,3047,null,24789,null,2469,null,16426,null,2343,null,637521,null,5892,null,328916,null,8710,null,308605,null,8527,null,0400000US05,Arkansas,05
9147415,null,11586,null,527037,null,12790,null,353908,null,9805,null,173129,null,6942,null,8620378,null,14694,null,3924483,null,26923,null,4695895,null,27605,null,0400000US06,California,06
1237105,null,4664,null,71862,null,4204,null,52283,null,3553,null,19579,null,2333,null,1165243,null,5561,null,580810,null,9169,null,584433,null,9163,null,0400000US08,Colorado,08
836135,null,4044,null,40031,null,2927,null,27623,null,2457,null,12408,null,1665,null,796104,null,5041,null,370412,null,7337,null,425692,null,7423,null,0400000US09,Connecticut,09
211905,null,2049,null,11885,null,1858,null,7017,null,1331,null,4868,null,1274,null,200020,null,2556,null,88220,null,3870,null,111800,null,3682,null,0400000US10,Delaware,10
161893,null,1661,null,7915,null,1514,null,3969,null,825,null,3946,null,1313,null,153978,null,2260,null,36808,null,3034,null,117170,null,3490,null,0400000US11,District of Columbia,11
4261597,null,9913,null,229578,null,7831,null,138570,null,5331,null,91008,null,5755,null,4032019,null,11384,null,1822892,null,17448,null,2209127,null,18419,null,0400000US12,Florida,12
2490028,null,9388,null,148495,null,6773,null,85985,null,4868,null,62510,null,5474,null,2341533,null,11261,null,1091314,null,14116,null,1250219,null,17247,null,0400000US13,Georgia,13
296033,null,2497,null,20560,null,2550,null,13642,null,1879,null,6918,null,1847,null,275473,null,3538,null,138363,null,4980,null,137110,null,4879,null,0400000US15,Hawaii,15
360158,null,2933,null,28421,null,2706,null,23046,null,2465,null,5375,null,1212,null,331737,null,3814,null,184781,null,4886,null,146956,null,5010,null,0400000US16,Idaho,16
3148929,null,7904,null,184712,null,7154,null,119271,null,5451,null,65441,null,4861,null,2964217,null,9392,null,1339824,null,13134,null,1624393,null,14088,null,0400000US17,Illinois,17
1525393,null,6909,null,95390,null,4510,null,60731,null,3493,null,34659,null,3397,null,1430003,null,8000,null,700385,null,9531,null,729618,null,10627,null,0400000US18,Indiana,18
684273,null,5311,null,44545,null,3103,null,29050,null,2267,null,15495,null,2161,null,639728,null,6105,null,327062,null,6835,null,312666,null,6856,null,0400000US19,Iowa,19
661374,null,3702,null,46848,null,3178,null,31611,null,2812,null,15237,null,1936,null,614526,null,4545,null,307736,null,6126,null,306790,null,6208,null,0400000US20,Kansas,20
1029771,null,5758,null,62636,null,4010,null,40099,null,2940,null,22537,null,2822,null,967135,null,6926,null,502572,null,9280,null,464563,null,10230,null,0400000US21,Kentucky,21
1112292,null,7675,null,67683,null,3854,null,37590,null,3424,null,30093,null,2805,null,1044609,null,8990,null,465917,null,9338,null,578692,null,9577,null,0400000US22,Louisiana,22
