B17021_001E,B17021_001EA,B17021_001M,B17021_001MA,B17021_002E,B17021_002EA,B17021_002M,B17021_002MA,B17021_003E,B17021_003EA,B17021_003M,B17021_003MA,B17021_004E,B17021_004EA,B17021_004M,B17021_004MA,B17021_005E,B17021_005EA,B17021_005M,B17021_005MA,B17021_006E,B17021_006EA,B17021_006M,B17021_006MA,B17021_007E,B17021_007EA,B17021_007M,B17021_007MA,B17021_008E,B17021_008EA,B17021_008M,B17021_008MA,B17021_009E,B17021_009EA,B17021_009M,B17021_009MA,B17021_010E,B17021_010EA,B17021_010M,B17021_010MA,B17021_011E,B17021_011EA,B17021_011M,B17021_011MA,B17021_012E,B17021_012EA,B17021_012M,B17021_012MA,B17021_013E,B17021_013EA,B17021_013M,B17021_013MA,B17021_014E,B17021_014EA,B17021_014M,B17021_014MA,B17021_015E,B17021_015EA,B17021_015M,B17021_015MA,B17021_016E,B17021_016EA,B17021_016M,B17021_016MA,B17021_017E,B17021_017EA,B17021_017M,B17021_017MA,B17021_018E,B17021_018EA,B17021_018M,B17021_018MA,B17021_019E,B17021_019EA,B17021_019M,B17021_019MA,B17021_020E,B17021_020EA,B17021_020M,B17021_020MA,B17021_021E,B17021_021EA,B17021_021M,B17021_021MA,B17021_022E,B17021_022EA,B17021_022M,B17021_022MA,B17021_023E,B17021_023EA,B17021_023M,B17021_023MA,B17021_024E,B17021_024EA,B17021_024M,B17021_024MA,B17021_025E,B17021_025EA,B17021_025M,B17021_025MA,B17021_026E,B17021_026EA,B17021_026M,B17021_026MA,B17021_027E,B17021_027EA,B17021_027M,B17021_027MA,B17021_028E,B17021_028EA,B17021_028M,B17021_028MA,B17021_029E,B17021_029EA,B17021_029M,B17021_029MA,B17021_030E,B17021_030EA,B17021_030M,B17021_030MA,B17021_031E,B17021_031EA,B17021_031M,B17021_031MA,B17021_032E,B17021_032EA,B17021_032M,B17021_032MA,B17021_033E,B17021_033EA,B17021_033M,B17021_033MA,B17021_034E,B17021_034EA,B17021_034M,B17021_034MA,B17021_035E,B17021_035EA,B17021_035M,B17021_035MA,GEO_ID,NAME,state
4588899,null,2203,null,804683,null,22895,null,597988,null,20304,null,190734,null,14271,null,186019,null,14107,null,4715,null,1230,null,407254,null,17647,null,50314,null,7226,null,39334,null,6110,null,10980,null,2053,null,356940,null,16665,null,343748,null,15922,null,13192,null,2353,null,206695,null,7110,null,152827,null,5728,null,128410,null,5639,null,24417,null,2716,null,53868,null,3912,null,3784216,null,22643,null,3276954,null,25257,null,2545017,null,28278,null,2541481,null,28307,null,3536,null,1170,null,731937,null,21850,null,189651,null,12791,null,179263,null,12062,null,10388,null,2181,null,542286,null,21594,null,527632,null,21617,null,14654,null,1977,null,507262,null,11992,null,449168,null,9705,null,396524,null,8950,null,52644,null,4253,null,58094,null,4597,null,0400000US01,Alabama,01
682412,null,1129,null,61653,null,5417,null,44888,null,5055,null,15757,null,3241,null,14010,null,3104,null,1747,null,547,null,29131,null,4481,null,7586,null,2417,null,4300,null,1960,null,3286,null,1326,null,21545,null,4051,null,18868,null,3822,null,2677,null,982,null,16765,null,2433,null,8125,null,1300,null,6564,null,1205,null,1561,null,602,null,8640,null,1812,null,620759,null,5727,null,527235,null,7307,null,409470,null,9982,null,405671,null,10085,null,3799,null,1298,null,117765,null,8301,null,44127,null,5715,null,40087,null,5100,null,4040,null,1030,null,73638,null,7006,null,66436,null,6623,null,7202,null,2024,null,93524,null,5197,null,68532,null,3245,null,53180,null,3010,null,15352,null,2077,null,24992,null,3146,null,0400000US02,Alaska,02
6475485,null,4779,null,1069897,null,28715,null,829387,null,28076,null,380881,null,22574,null,364174,null,21480,null,16707,null,3279,null,448506,null,20410,null,108453,null,11786,null,80547,null,10815,null,27906,null,4702,null,340053,null,21339,null,314974,null,20419,null,25079,null,3749,null,240510,null,9349,null,139929,null,6076,null,107774,null,5720,null,32155,null,3222,null,100581,null,6501,null,5405588,null,30160,null,4612312,null,36370,null,3493079,null,41734,null,3477819,null,41377,null,15260,null,3496,null,1119233,null,34749,null,361500,null,23851,null,330015,null,22019,null,31485,null,3920,null,757733,null,30744,null,714733,null,28809,null,43000,null,4438,null,793276,null,17902,null,622701,null,12342,null,506309,null,11995,null,116392,null,6195,null,170575,null,10363,null,0400000US04,Arizona,04
2806056,null,2222,null,527378,null,17322,null,404053,null,15722,null,164955,null,11692,null,159343,null,11382,null,5612,null,1825,null,239098,null,13800,null,35243,null,5139,null,27807,null,4796,null,7436,null,1644,null,203855,null,13238,null,195066,null,12825,null,8789,null,1923,null,123325,null,5853,null,88974,null,4405,null,75215,null,4194,null,13759,null,2131,null,34351,null,3449,null,2278678,null,17940,null,1973450,null,18808,null,1563833,null,24562,null,1560759,null,24527,null,3074,null,1124,null,409617,null,17677,null,122668,null,11284,null,116666,null,10525,null,6002,null,1506,null,286949,null,14559,null,273214,null,14322,null,13735,null,2127,null,305228,null,10266,null,267481,null,7566,null,233382,null,6710,null,34099,null,3301,null,37747,null,4627,null,0400000US05,Arkansas,05
36202780,null,9722,null,5128708,null,60936,null,3958961,null,61034,null,1799579,null,50282,null,1701670,null,49686,null,97909,null,7392,null,2159382,null,52953,null,529117,null,28091,null,384522,null,24634,null,144595,null,7383,null,1630265,null,45686,null,1491851,null,45257,null,138414,null,8114,null,1169747,null,22784,null,622519,null,12270,null,459259,null,10081,null,163260,null,6832,null,547228,null,16778,null,31074072,null,60203,null,26811312,null,66252,null,20251900,null,102123,null,20108579,null,101058,null,143321,null,7743,null,6559412,null,89387,null,2229835,null,54717,null,2059787,null,53425,null,170048,null,8711,null,4329577,null,62442,null,4045100,null,58958,null,284477,null,12129,null,4262760,null,33751,null,3226119,null,19591,null,2519731,null,20275,null,706388,null,12609,null,1036641,null,23626,null,0400000US06,California,06
4917061,null,2396,null,634387,null,21625,null,438524,null,20354,null,199996,null,16918,null,189555,null,16749,null,10441,null,2121,null,238528,null,15682,null,46109,null,7538,null,34833,null,6393,null,11276,null,2371,null,192419,null,14235,null,179507,null,13626,null,12912,null,2580,null,195863,null,9290,null,117037,null,5796,null,85281,null,4803,null,31756,null,3282,null,78826,null,6263,null,4282674,null,21401,null,3565229,null,22369,null,2917780,null,31226,null,2906464,null,31287,null,11316,null,2556,null,647449,null,24233,null,204089,null,15650,null,188319,null,14719,null,15770,null,2792,null,443360,null,19533,null,411981,null,18565,null,31379,null,3318,null,717445,null,13816,null,559970,null,9819,null,447642,null,9770,null,112328,null,5769,null,157475,null,7862,null,0400000US08,Colorado,08
3409901,null,1798,null,320554,null,16151,null,215722,null,14055,null,58042,null,7903,null,54199,null,7807,null,3843,null,1076,null,157680,null,11940,null,22857,null,4030,null,14089,null,3423,null,8768,null,1677,null,134823,null,11198,null,127724,null,10846,null,7099,null,1575,null,104832,null,6470,null,66741,null,4370,null,55358,null,3890,null,11383,null,1691,null,38091,null,3626,null,3089347,null,16230,null,2646057,null,19476,null,2102662,null,23310,null,2094043,null,23534,null,8619,null,1725,null,543395,null,20081,null,144875,null,11805,null,134319,null,10838,null,10556,null,1801,null,398520,null,17626,null,376381,null,16907,null,22139,null,2819,null,443290,null,11537,null,369058,null,8652,null,303149,null,8186,null,65909,null,4608,null,74232,null,4722,null,0400000US09,Connecticut,09
860972,null,1467,null,93251,null,9829,null,67342,null,9468,null,19209,null,5080,null,17613,null,4963,null,1596,null,858,null,48133,null,8291,null,8408,null,3091,null,5694,null,2443,null,2714,null,1042,null,39725,null,7116,null,36149,null,6689,null,3576,null,1136,null,25909,null,3020,null,15684,null,1890,null,12528,null,1553,null,3156,null,984,null,10225,null,2032,null,767721,null,9714,null,654753,null,11002,null,489775,null,14652,null,487211,null,14455,null,2564,null,1317,null,164978,null,10493,null,44606,null,6583,null,39544,null,5832,null,5062,null,1480,null,120372,null,7960,null,113650,null,7523,null,6722,null,1576,null,112968,null,5640,null,90913,null,4716,null,74222,null,4450,null,16691,null,2037,null,22055,null,2825,null,0400000US10,Delaware,10
570093,null,857,null,104901,null,9224,null,65714,null,8571,null,5686,null,2227,null,4631,null,2137,null,1055,null,525,null,60028,null,8090,null,9779,null,3902,null,8580,null,3782,null,1199,null,602,null,50249,null,7636,null,48042,null,7576,null,2207,null,845,null,39187,null,3460,null,23708,null,2291,null,20800,null,2197,null,2908,null,840,null,15479,null,2328,null,465192,null,9188,null,312790,null,11324,null,177046,null,9962,null,175828,null,9934,null,1218,null,532,null,135744,null,9172,null,24179,null,4643,null,22083,null,4503,null,2096,null,780,null,111565,null,9071,null,108908,null,9063,null,2657,null,1088,null,152402,null,6023,null,116542,null,3831,null,95383,null,4014,null,21159,null,1981,null,35860,null,3593,null,0400000US11,District of Columbia,11
18124789,null,5650,null,2707925,null,39754,null,1935702,null,38060,null,747994,null,29381,null,712216,null,29706,null,35778,null,4448,null,1187708,null,36604,null,243890,null,18216,null,187078,null,15669,null,56812,null,5762,null,943818,null,36825,null,878239,null,36458,null,65579,null,5822,null,772223,null,18712,null,475502,null,12625,null,363785,null,10739,null,111717,null,5660,null,296721,null,12718,null,15416864,null,39540,null,12984351,null,46197,null,9808245,null,67952,null,9772547,null,68080,null,35698,null,4729,null,3176106,null,63209,null,872045,null,30892,null,801219,null,29165,null,70826,null,5250,null,2304061,null,51556,null,2184642,null,49054,null,119419,null,7827,null,2432513,null,27497,null,1969679,null,18172,null,1611083,null,17301,null,358596,null,11329,null,462834,null,17655,null,0400000US12,Florida,12
