B19101I_001E,B19101I_001EA,B19101I_001M,B19101I_001MA,B19101I_002E,B19101I_002EA,B19101I_002M,B19101I_002MA,B19101I_003E,B19101I_003EA,B19101I_003M,B19101I_003MA,B19101I_004E,B19101I_004EA,B19101I_004M,B19101I_004MA,B19101I_005E,B19101I_005EA,B19101I_005M,B19101I_005MA,B19101I_006E,B19101I_006EA,B19101I_006M,B19101I_006MA,B19101I_007E,B19101I_007EA,B19101I_007M,B19101I_007MA,B19101I_008E,B19101I_008EA,B19101I_008M,B19101I_008MA,B19101I_009E,B19101I_009EA,B19101I_009M,B19101I_009MA,B19101I_010E,B19101I_010EA,B19101I_010M,B19101I_010MA,B19101I_011E,B19101I_011EA,B19101I_011M,B19101I_011MA,B19101I_012E,B19101I_012EA,B19101I_012M,B19101I_012MA,B19101I_013E,B19101I_013EA,B19101I_013M,B19101I_013MA,B19101I_014E,B19101I_014EA,B19101I_014M,B19101I_014MA,B19101I_015E,B19101I_015EA,B19101I_015M,B19101I_015MA,B19101I_016E,B19101I_016EA,B19101I_016M,B19101I_016MA,B19101I_017E,B19101I_017EA,B19101I_017M,B19101I_017MA,GEO_ID,NAME,state
27684,null,2234,null,3304,null,1125,null,2097,null,854,null,3162,null,1096,null,1772,null,634,null,2434,null,773,null,2571,null,773,null,2523,null,915,null,1137,null,393,null,1151,null,532,null,2333,null,790,null,1331,null,580,null,2324,null,900,null,1003,null,393,null,236,null,168,null,136,null,132,null,170,null,164,null,0400000US01,Alabama,01
7977,null,1007,null,479,null,259,null,47,null,75,null,214,null,147,null,428,null,327,null,533,null,412,null,308,null,395,null,131,null,131,null,522,null,350,null,304,null,341,null,651,null,350,null,1034,null,523,null,1713,null,680,null,717,null,405,null,474,null,334,null,310,null,286,null,112,null,124,null,0400000US02,Alaska,02
381668,null,7055,null,33413,null,3073,null,22279,null,2891,null,27358,null,3231,null,32038,null,3531,null,31249,null,3579,null,22784,null,2525,null,22661,null,2890,null,22594,null,2478,null,20591,null,2430,null,33345,null,3255,null,39150,null,3560,null,39933,null,3693,null,16343,null,2030,null,7788,null,1436,null,6257,null,1131,null,3885,null,952,null,0400000US04,Arizona,04
34925,null,1695,null,3214,null,905,null,2663,null,819,null,4680,null,1286,null,3449,null,991,null,2586,null,964,null,3401,null,923,null,2806,null,955,null,1143,null,569,null,2043,null,875,null,2751,null,842,null,2573,null,1001,null,1800,null,635,null,991,null,678,null,275,null,308,null,409,null,268,null,141,null,136,null,0400000US05,Arkansas,05
2679041,null,15940,null,160321,null,5586,null,144044,null,6564,null,175408,null,6943,null,179912,null,6481,null,174111,null,7823,null,169060,null,6364,null,164334,null,7506,null,148457,null,6962,null,139985,null,6246,null,242140,null,9287,null,288640,null,8727,null,308892,null,10093,null,171998,null,7132,null,94513,null,5067,null,74392,null,4374,null,42834,null,3369,null,0400000US06,California,06
208182,null,5166,null,18558,null,2472,null,15979,null,2639,null,15016,null,2097,null,15772,null,2469,null,13405,null,1805,null,10249,null,1764,null,12677,null,2027,null,12901,null,2120,null,9043,null,1703,null,18643,null,1985,null,20146,null,2599,null,22508,null,2011,null,11769,null,1692,null,4929,null,1217,null,4780,null,1078,null,1807,null,634,null,0400000US08,Colorado,08
95523,null,2790,null,10301,null,1704,null,8046,null,1568,null,5374,null,1307,null,6049,null,1237,null,6752,null,1491,null,5387,null,1042,null,5608,null,1289,null,3694,null,1095,null,4952,null,1368,null,7364,null,1314,null,7398,null,1599,null,9167,null,1634,null,6195,null,1236,null,3380,null,941,null,2788,null,773,null,3068,null,960,null,0400000US09,Connecticut,09
11189,null,1198,null,783,null,492,null,535,null,385,null,1019,null,483,null,855,null,492,null,1381,null,672,null,366,null,278,null,1011,null,491,null,450,null,250,null,418,null,300,null,964,null,512,null,513,null,276,null,1282,null,643,null,730,null,455,null,595,null,409,null,193,null,221,null,94,null,164,null,0400000US10,Delaware,10
8429,null,1225,null,267,null,250,null,41,null,73,null,265,null,423,null,834,null,469,null,1334,null,693,null,625,null,470,null,486,null,350,null,230,null,317,null,566,null,496,null,710,null,435,null,724,null,502,null,454,null,385,null,437,null,378,null,475,null,297,null,332,null,227,null,649,null,352,null,0400000US11,District of Columbia,11
892223,null,11882,null,53911,null,4114,null,52057,null,3540,null,61875,null,4698,null,66374,null,4892,null,65927,null,5128,null,59545,null,4700,null,59349,null,4296,null,52436,null,3942,null,46967,null,3675,null,76881,null,5106,null,89699,null,4565,null,93812,null,4698,null,47395,null,3628,null,23043,null,2554,null,23972,null,2688,null,18980,null,2326,null,0400000US12,Florida,12
