B19001F_001E,B19001F_001EA,B19001F_001M,B19001F_001MA,B19001F_002E,B19001F_002EA,B19001F_002M,B19001F_002MA,B19001F_003E,B19001F_003EA,B19001F_003M,B19001F_003MA,B19001F_004E,B19001F_004EA,B19001F_004M,B19001F_004MA,B19001F_005E,B19001F_005EA,B19001F_005M,B19001F_005MA,B19001F_006E,B19001F_006EA,B19001F_006M,B19001F_006MA,B19001F_007E,B19001F_007EA,B19001F_007M,B19001F_007MA,B19001F_008E,B19001F_008EA,B19001F_008M,B19001F_008MA,B19001F_009E,B19001F_009EA,B19001F_009M,B19001F_009MA,B19001F_010E,B19001F_010EA,B19001F_010M,B19001F_010MA,B19001F_011E,B19001F_011EA,B19001F_011M,B19001F_011MA,B19001F_012E,B19001F_012EA,B19001F_012M,B19001F_012MA,B19001F_013E,B19001F_013EA,B19001F_013M,B19001F_013MA,B19001F_014E,B19001F_014EA,B19001F_014M,B19001F_014MA,B19001F_015E,B19001F_015EA,B19001F_015M,B19001F_015MA,B19001F_016E,B19001F_016EA,B19001F_016M,B19001F_016MA,B19001F_017E,B19001F_017EA,B19001F_017M,B19001F_017MA,GEO_ID,NAME,state
10848,null,1471,null,733,null,423,null,745,null,401,null,1232,null,631,null,1004,null,513,null,684,null,462,null,806,null,566,null,857,null,405,null,738,null,445,null,111,null,147,null,915,null,508,null,1073,null,617,null,1505,null,691,null,322,null,223,null,48,null,87,null,0,null,273,null,75,null,123,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
103993,null,4829,null,9655,null,1515,null,6215,null,1260,null,6243,null,1408,null,7981,null,1739,null,8500,null,1820,null,5921,null,1325,null,6221,null,1533,null,6314,null,1231,null,5780,null,1402,null,9836,null,1658,null,11640,null,2088,null,9407,null,1375,null,4983,null,1207,null,2595,null,977,null,1219,null,485,null,1483,null,683,null,0400000US04,Arizona,04
16340,null,1773,null,1856,null,866,null,859,null,469,null,1703,null,808,null,1870,null,612,null,1459,null,764,null,2344,null,917,null,1032,null,522,null,781,null,547,null,600,null,420,null,1296,null,592,null,1262,null,588,null,934,null,480,null,0,null,273,null,133,null,164,null,211,null,194,null,0,null,273,null,0400000US05,Arkansas,05
1233793,null,16815,null,77820,null,4771,null,74907,null,4732,null,84662,null,5169,null,81071,null,5572,null,83058,null,5120,null,80755,null,5249,null,74089,null,4966,null,67412,null,4331,null,64126,null,4150,null,111305,null,6535,null,136514,null,5370,null,144341,null,7105,null,76409,null,4608,null,35929,null,3313,null,29395,null,3241,null,12000,null,1839,null,0400000US06,California,06
63783,null,3881,null,5752,null,1360,null,4317,null,1112,null,4630,null,1141,null,5434,null,1396,null,4185,null,985,null,3071,null,885,null,3652,null,880,null,5653,null,1327,null,2257,null,757,null,5700,null,1345,null,5877,null,1352,null,7173,null,1450,null,2955,null,780,null,1208,null,558,null,1536,null,647,null,383,null,256,null,0400000US08,Colorado,08
54746,null,3595,null,8132,null,1596,null,5550,null,1140,null,3597,null,990,null,3940,null,1218,null,4293,null,1337,null,3269,null,1035,null,2907,null,920,null,1919,null,739,null,2397,null,876,null,4092,null,1305,null,4054,null,1227,null,3814,null,1010,null,3005,null,951,null,1194,null,546,null,1407,null,598,null,1176,null,647,null,0400000US09,Connecticut,09
3900,null,853,null,279,null,205,null,196,null,230,null,124,null,126,null,332,null,432,null,390,null,296,null,403,null,269,null,410,null,378,null,165,null,163,null,186,null,228,null,242,null,176,null,300,null,228,null,485,null,312,null,81,null,140,null,227,null,294,null,24,null,43,null,56,null,92,null,0400000US10,Delaware,10
5714,null,1095,null,319,null,372,null,343,null,382,null,0,null,296,null,554,null,403,null,968,null,582,null,382,null,349,null,241,null,237,null,230,null,317,null,472,null,408,null,334,null,299,null,542,null,505,null,550,null,435,null,169,null,210,null,198,null,255,null,219,null,282,null,193,null,157,null,0400000US11,District of Columbia,11
139250,null,6803,null,9472,null,1697,null,9351,null,1986,null,10551,null,1991,null,10488,null,1884,null,10294,null,1716,null,11211,null,2258,null,10697,null,1740,null,8144,null,1666,null,7599,null,1726,null,12987,null,2489,null,14350,null,2269,null,13412,null,1993,null,5020,null,1160,null,2319,null,692,null,1904,null,854,null,1451,null,738,null,0400000US12,Florida,12
