B07011_001E,B07011_001EA,B07011_001M,B07011_001MA,B07011_002E,B07011_002EA,B07011_002M,B07011_002MA,B07011_003E,B07011_003EA,B07011_003M,B07011_003MA,B07011_004E,B07011_004EA,B07011_004M,B07011_004MA,B07011_005E,B07011_005EA,B07011_005M,B07011_005MA,B07011_006E,B07011_006EA,B07011_006M,B07011_006MA,GEO_ID,NAME,state
21306,null,250,null,22281,null,288,null,16091,null,834,null,13503,null,1632,null,19827,null,2824,null,20493,null,9048,null,0400000US01,Alabama,01
28739,null,921,null,30952,null,1037,null,24468,null,2813,null,16369,null,1776,null,24204,null,4222,null,13426,null,8396,null,0400000US02,Alaska,02
24750,null,214,null,25874,null,311,null,21738,null,747,null,18988,null,2520,null,19678,null,1033,null,17875,null,5756,null,0400000US04,Arizona,04
20376,null,321,null,21350,null,323,null,17083,null,1058,null,13112,null,1296,null,17600,null,1812,null,9392,null,1631,null,0400000US05,Arkansas,05
26130,null,163,null,27169,null,171,null,22383,null,416,null,21018,null,776,null,22428,null,1258,null,15487,null,1643,null,0400000US06,California,06
28139,null,242,null,30032,null,298,null,20722,null,856,null,20203,null,1074,null,19616,null,1094,null,22391,null,5975,null,0400000US08,Colorado,08
31279,null,404,null,32706,null,530,null,23333,null,1353,null,15280,null,2384,null,19521,null,2502,null,14850,null,4082,null,0400000US09,Connecticut,09
27821,null,653,null,29060,null,679,null,23278,null,2063,null,9766,null,8427,null,18462,null,2823,null,10554,null,4951,null,0400000US10,Delaware,10
34593,null,1026,null,35550,null,1345,null,26093,null,4602,null,-666666666,-,0,**,30930,null,3026,null,46759,null,34302,null,0400000US11,District of Columbia,11
23139,null,109,null,23923,null,130,null,19581,null,352,null,18176,null,715,null,20216,null,761,null,15709,null,2692,null,0400000US12,Florida,12
24226,null,193,null,25275,null,277,null,18888,null,715,null,18588,null,1116,null,21866,null,2122,null,23612,null,4757,null,0400000US13,Georgia,13
29205,null,424,null,29842,null,471,null,25404,null,1735,null,18470,null,8672,null,26784,null,2879,null,37713,null,13404,null,0400000US15,Hawaii,15
21460,null,359,null,23072,null,371,null,16146,null,1122,null,12052,null,971,null,12765,null,2438,null,9850,null,14238,null,0400000US16,Idaho,16
26560,null,196,null,27822,null,181,null,19720,null,515,null,16133,null,1366,null,19681,null,1160,null,16191,null,4876,null,0400000US17,Illinois,17
23780,null,212,null,25314,null,269,null,16516,null,593,null,16277,null,981,null,16914,null,1203,null,12909,null,2026,null,0400000US18,Indiana,18
24704,null,257,null,26433,null,305,null,17975,null,753,null,14363,null,1352,null,15227,null,2086,null,17389,null,13820,null,0400000US19,Iowa,19
24699,null,292,null,26789,null,382,null,18151,null,779,null,13334,null,1475,null,19770,null,1991,null,18682,null,6568,null,0400000US20,Kansas,20
21229,null,268,null,22474,null,278,null,14611,null,815,null,14470,null,1516,null,16466,null,2071,null,11261,null,4434,null,0400000US21,Kentucky,21
22274,null,263,null,23078,null,227,null,17795,null,896,null,16950,null,1679,null,17793,null,1848,null,20055,null,4192,null,0400000US22,Louisiana,22
22803,null,457,null,23936,null,444,null,16360,null,1345,null,12819,null,1555,null,16281,null,3858,null,17051,null,13633,null,0400000US23,Maine,23
33332,null,356,null,34809,null,410,null,26335,null,1235,null,27872,null,1611,null,28022,null,2005,null,19686,null,3825,null,0400000US24,Maryland,24
30061,null,277,null,31127,null,281,null,23783,null,1213,null,25837,null,2781,null,20347,null,2439,null,15155,null,4411,null,0400000US25,Massachusetts,25
22992,null,154,null,24604,null,183,null,15113,null,481,null,12936,null,1019,null,13844,null,1461,null,17897,null,2438,null,0400000US26,Michigan,26
28105,null,212,null,29783,null,203,null,20048,null,814,null,16905,null,1111,null,16522,null,1546,null,20539,null,6971,null,0400000US27,Minnesota,27
19276,null,271,null,20086,null,362,null,14579,null,1071,null,12398,null,1526,null,16542,null,1987,null,13571,null,4409,null,0400000US28,Mississippi,28
23409,null,226,null,24789,null,237,null,17288,null,685,null,14997,null,1176,null,17332,null,1583,null,24297,null,7955,null,0400000US29,Missouri,29
21240,null,500,null,22890,null,590,null,17071,null,1453,null,11631,null,1706,null,12223,null,1840,null,20014,null,4754,null,0400000US30,Montana,30
24488,null,337,null,26491,null,400,null,18012,null,1053,null,12603,null,1767,null,15093,null,2702,null,20945,null,7548,null,0400000US31,Nebraska,31
27943,null,372,null,28881,null,397,null,24930,null,925,null,18724,null,3160,null,21437,null,1467,null,22675,null,5948,null,0400000US32,Nevada,32
29054,null,444,null,30401,null,526,null,23081,null,1831,null,16804,null,2031,null,22729,null,6729,null,15361,null,10370,null,0400000US33,New Hampshire,33
31891,null,266,null,32464,null,333,null,25845,null,1612,null,29729,null,1830,null,28518,null,2853,null,19839,null,3352,null,0400000US34,New Jersey,34
22102,null,356,null,23160,null,423,null,17433,null,1071,null,13730,null,1955,null,20041,null,1776,null,11795,null,4566,null,0400000US35,New Mexico,35
27602,null,146,null,28470,null,154,null,21766,null,727,null,17973,null,1031,null,19964,null,1405,null,14844,null,2340,null,0400000US36,New York,36
23204,null,195,null,24461,null,235,null,17664,null,597,null,15410,null,1202,null,18631,null,1297,null,21545,null,1965,null,0400000US37,North Carolina,37
24753,null,507,null,26893,null,621,null,20620,null,1677,null,13917,null,3057,null,11319,null,1748,null,15259,null,16519,null,0400000US38,North Dakota,38
