B13002H_001E,B13002H_001EA,B13002H_001M,B13002H_001MA,B13002H_002E,B13002H_002EA,B13002H_002M,B13002H_002MA,B13002H_003E,B13002H_003EA,B13002H_003M,B13002H_003MA,B13002H_004E,B13002H_004EA,B13002H_004M,B13002H_004MA,B13002H_005E,B13002H_005EA,B13002H_005M,B13002H_005MA,B13002H_006E,B13002H_006EA,B13002H_006M,B13002H_006MA,B13002H_007E,B13002H_007EA,B13002H_007M,B13002H_007MA,GEO_ID,NAME,state
749458,null,3419,null,37628,null,3143,null,29013,null,2495,null,8615,null,1765,null,711830,null,4672,null,392702,null,6392,null,319128,null,7503,null,0400000US01,Alabama,01
112868,null,1092,null,7444,null,1382,null,5507,null,1099,null,1937,null,685,null,105424,null,1677,null,53583,null,2741,null,51841,null,2831,null,0400000US02,Alaska,02
839304,null,2552,null,42223,null,3326,null,30606,null,2782,null,11617,null,2083,null,797081,null,3931,null,367308,null,7963,null,429773,null,8345,null,0400000US04,Arizona,04
501920,null,2026,null,28125,null,2828,null,19302,null,2300,null,8823,null,1967,null,473795,null,3206,null,260959,null,7103,null,212836,null,7115,null,0400000US05,Arkansas,05
3544285,null,5709,null,157710,null,6813,null,122624,null,5667,null,35086,null,3200,null,3386575,null,8526,null,1544394,null,14708,null,1842181,null,16558,null,0400000US06,California,06
880419,null,2535,null,46075,null,3314,null,36891,null,3071,null,9184,null,1543,null,834344,null,3527,null,420510,null,7440,null,413834,null,7258,null,0400000US08,Colorado,08
598539,null,2311,null,25123,null,2767,null,19960,null,2269,null,5163,null,1172,null,573416,null,3672,null,269664,null,6320,null,303752,null,5985,null,0400000US09,Connecticut,09
138937,null,878,null,6759,null,1190,null,4778,null,1017,null,1981,null,803,null,132178,null,1522,null,62095,null,2765,null,70083,null,2499,null,0400000US10,Delaware,10
65265,null,656,null,3002,null,799,null,2755,null,762,null,247,null,216,null,62263,null,1144,null,17425,null,1564,null,44838,null,1890,null,0400000US11,District of Columbia,11
2327526,null,5246,null,103076,null,5844,null,72191,null,4238,null,30885,null,3490,null,2224450,null,7777,null,1043259,null,12363,null,1181191,null,13172,null,0400000US12,Florida,12
1371626,null,6374,null,68463,null,4274,null,51618,null,3354,null,16845,null,2617,null,1303163,null,7944,null,697444,null,10966,null,605719,null,13668,null,0400000US13,Georgia,13
68901,null,866,null,4868,null,1183,null,4007,null,1096,null,861,null,634,null,64033,null,1355,null,33736,null,2130,null,30297,null,1934,null,0400000US15,Hawaii,15
309717,null,1201,null,21946,null,2093,null,18100,null,1958,null,3846,null,1107,null,287771,null,2369,null,158472,null,4243,null,129299,null,4415,null,0400000US16,Idaho,16
2009183,null,3582,null,102209,null,4569,null,76368,null,3857,null,25841,null,2900,null,1906974,null,5336,null,924303,null,9067,null,982671,null,9053,null,0400000US17,Illinois,17
1283620,null,3491,null,75117,null,3861,null,51372,null,3409,null,23745,null,2532,null,1208503,null,5014,null,607730,null,8337,null,600773,null,9125,null,0400000US18,Indiana,18
635019,null,2050,null,39503,null,2769,null,26520,null,2117,null,12983,null,1821,null,595516,null,3399,null,296969,null,5969,null,298547,null,5734,null,0400000US19,Iowa,19
534807,null,1755,null,34783,null,2664,null,25329,null,2514,null,9454,null,1500,null,500024,null,3338,null,251039,null,5067,null,248985,null,5484,null,0400000US20,Kansas,20
919487,null,2976,null,51930,null,3508,null,35136,null,2660,null,16794,null,2437,null,867557,null,4637,null,456469,null,8927,null,411088,null,9647,null,0400000US21,Kentucky,21
664265,null,2679,null,35786,null,3024,null,25231,null,2971,null,10555,null,1861,null,628479,null,3942,null,330545,null,7355,null,297934,null,7352,null,0400000US22,Louisiana,22
294897,null,1801,null,14786,null,1657,null,10165,null,1382,null,4621,null,933,null,280111,null,2335,null,128780,null,3723,null,151331,null,3569,null,0400000US23,Maine,23
771369,null,2371,null,38279,null,3116,null,29034,null,2400,null,9245,null,1835,null,733090,null,3673,null,371143,null,6653,null,361947,null,6389,null,0400000US24,Maryland,24
1267585,null,4120,null,52265,null,3669,null,39856,null,3023,null,12409,null,2112,null,1215320,null,4612,null,523952,null,9273,null,691368,null,8647,null,0400000US25,Massachusetts,25
1822251,null,3472,null,91700,null,4170,null,66550,null,3706,null,25150,null,2724,null,1730551,null,5761,null,844033,null,10184,null,886518,null,11103,null,0400000US26,Michigan,26
1083304,null,2174,null,57822,null,3477,null,42857,null,2828,null,14965,null,2035,null,1025482,null,4132,null,507030,null,5382,null,518452,null,5489,null,0400000US27,Minnesota,27
400299,null,2304,null,25613,null,2919,null,18682,null,2483,null,6931,null,1545,null,374686,null,3659,null,208229,null,5790,null,166457,null,6176,null,0400000US28,Mississippi,28
1177035,null,2769,null,63036,null,4436,null,44200,null,3019,null,18836,null,2639,null,1113999,null,5144,null,562974,null,8380,null,551025,null,8584,null,0400000US29,Missouri,29
196888,null,1104,null,10801,null,1288,null,7335,null,1219,null,3466,null,969,null,186087,null,1614,null,87743,null,3103,null,98344,null,3600,null,0400000US30,Montana,30
