B15002A_001E,B15002A_001EA,B15002A_001M,B15002A_001MA,B15002A_002E,B15002A_002EA,B15002A_002M,B15002A_002MA,B15002A_003E,B15002A_003EA,B15002A_003M,B15002A_003MA,B15002A_004E,B15002A_004EA,B15002A_004M,B15002A_004MA,B15002A_005E,B15002A_005EA,B15002A_005M,B15002A_005MA,B15002A_006E,B15002A_006EA,B15002A_006M,B15002A_006MA,B15002A_007E,B15002A_007EA,B15002A_007M,B15002A_007MA,B15002A_008E,B15002A_008EA,B15002A_008M,B15002A_008MA,B15002A_009E,B15002A_009EA,B15002A_009M,B15002A_009MA,B15002A_010E,B15002A_010EA,B15002A_010M,B15002A_010MA,B15002A_011E,B15002A_011EA,B15002A_011M,B15002A_011MA,B15002A_012E,B15002A_012EA,B15002A_012M,B15002A_012MA,B15002A_013E,B15002A_013EA,B15002A_013M,B15002A_013MA,B15002A_014E,B15002A_014EA,B15002A_014M,B15002A_014MA,B15002A_015E,B15002A_015EA,B15002A_015M,B15002A_015MA,B15002A_016E,B15002A_016EA,B15002A_016M,B15002A_016MA,B15002A_017E,B15002A_017EA,B15002A_017M,B15002A_017MA,B15002A_018E,B15002A_018EA,B15002A_018M,B15002A_018MA,B15002A_019E,B15002A_019EA,B15002A_019M,B15002A_019MA,GEO_ID,NAME,state
2272182,null,3690,null,1089611,null,2627,null,65046,null,4188,null,115088,null,4701,null,260010,null,6418,null,68911,null,3744,null,239532,null,7271,null,65137,null,4090,null,178880,null,5856,null,97007,null,3938,null,1182571,null,2533,null,61190,null,3322,null,127696,null,5334,null,302886,null,6487,null,65668,null,4157,null,255910,null,7606,null,92330,null,4913,null,179459,null,5342,null,97432,null,4720,null,0400000US01,Alabama,01
315112,null,1728,null,165083,null,1512,null,2350,null,744,null,7296,null,1306,null,35849,null,3018,null,9503,null,1962,null,49375,null,3084,null,13430,null,1638,null,29755,null,2342,null,17525,null,1612,null,150029,null,814,null,1920,null,818,null,6176,null,1432,null,25925,null,2366,null,6742,null,1416,null,46002,null,2698,null,12861,null,1413,null,34029,null,2566,null,16374,null,2034,null,0400000US02,Alaska,02
3541792,null,12148,null,1749780,null,7885,null,116063,null,7405,null,151118,null,7728,null,341509,null,11121,null,78702,null,4473,null,446571,null,11716,null,128437,null,6191,null,309429,null,8466,null,177951,null,5944,null,1792012,null,6641,null,102761,null,5992,null,137192,null,5877,null,400995,null,9641,null,57957,null,4553,null,481970,null,10578,null,151901,null,5707,null,295527,null,6096,null,163709,null,7255,null,0400000US04,Arizona,04
1555351,null,4752,null,747409,null,3229,null,53231,null,4003,null,74421,null,4220,null,215655,null,6516,null,50745,null,4064,null,166583,null,5727,null,35584,null,3264,null,102265,null,4370,null,48925,null,3498,null,807942,null,2663,null,46966,null,3432,null,70973,null,3872,null,232180,null,6484,null,50577,null,3287,null,185035,null,6443,null,60445,null,3772,null,109636,null,4962,null,52130,null,3041,null,0400000US05,Arkansas,05
15445781,null,42049,null,7627174,null,26181,null,636794,null,15628,null,624341,null,14934,null,1396321,null,18705,null,207309,null,7994,null,1729194,null,20466,null,552436,null,11676,null,1513742,null,20867,null,967037,null,13686,null,7818607,null,19967,null,663395,null,12625,null,573190,null,14237,null,1519137,null,17456,null,143677,null,6356,null,1900305,null,20031,null,660680,null,14687,null,1509600,null,17812,null,848623,null,12076,null,0400000US06,California,06
2865077,null,9254,null,1421207,null,6240,null,57773,null,4493,null,79538,null,5069,null,259317,null,7839,null,62296,null,4762,null,313962,null,7973,null,105343,null,4444,null,342952,null,7890,null,200026,null,5610,null,1443870,null,5033,null,50842,null,4029,null,74285,null,4705,null,275001,null,6738,null,39526,null,3231,null,342287,null,7813,null,124929,null,4657,null,354188,null,7666,null,182812,null,5866,null,0400000US08,Colorado,08
1948579,null,5870,null,926627,null,3563,null,34284,null,2470,null,55203,null,3650,null,222257,null,7004,null,36762,null,3583,null,157610,null,5031,null,56907,null,3595,null,207238,null,5701,null,156366,null,4828,null,1021952,null,3375,null,36099,null,3087,null,53731,null,3520,null,264902,null,6516,null,24166,null,2282,null,178962,null,4861,null,88857,null,4328,null,210025,null,6011,null,165210,null,5346,null,0400000US09,Connecticut,09
446136,null,2210,null,213011,null,1581,null,8750,null,1651,null,17814,null,2049,null,56305,null,2930,null,7716,null,1210,null,41425,null,3038,null,13728,null,1501,null,40728,null,3030,null,26545,null,2252,null,233125,null,1001,null,7910,null,1434,null,17726,null,1713,null,68675,null,3262,null,5988,null,1238,null,43606,null,2630,null,21121,null,2383,null,42116,null,3204,null,25983,null,2219,null,0400000US10,Delaware,10
171070,null,2143,null,86998,null,1134,null,3615,null,1129,null,1974,null,823,null,3457,null,1138,null,545,null,450,null,6650,null,1353,null,791,null,356,null,27426,null,1949,null,42540,null,2288,null,84072,null,1396,null,3390,null,985,null,1203,null,661,null,3453,null,1069,null,279,null,261,null,6513,null,1526,null,1758,null,739,null,26124,null,2214,null,41352,null,2395,null,0400000US11,District of Columbia,11
10285823,null,17687,null,4974647,null,10990,null,252938,null,10838,null,414494,null,10904,null,1181613,null,17055,null,259347,null,9254,null,1062832,null,15566,null,393488,null,11380,null,885958,null,12175,null,523977,null,10900,null,5311176,null,9201,null,261134,null,8763,null,384377,null,9958,null,1480076,null,19054,null,193522,null,6725,null,1175628,null,15536,null,492255,null,13673,null,875711,null,12218,null,448473,null,10417,null,0400000US12,Florida,12
4046190,null,14445,null,1965133,null,10410,null,114363,null,6754,null,180570,null,7718,null,423373,null,8329,null,112732,null,5394,null,394070,null,8977,null,108856,null,5979,null,406566,null,9323,null,224603,null,7856,null,2081057,null,5719,null,97146,null,5886,null,173707,null,6120,null,507288,null,9240,null,95591,null,4894,null,439259,null,9969,null,148059,null,6867,null,391697,null,9238,null,228310,null,6268,null,0400000US13,Georgia,13
251094,null,2161,null,136111,null,1548,null,2616,null,813,null,5177,null,1281,null,23649,null,2408,null,4662,null,1222,null,33550,null,2953,null,11805,null,1979,null,30681,null,2713,null,23971,null,2241,null,114983,null,1283,null,1540,null,581,null,3522,null,980,null,20951,null,2297,null,1844,null,647,null,26491,null,2592,null,11896,null,1788,null,29284,null,2216,null,19455,null,1962,null,0400000US15,Hawaii,15
906204,null,2990,null,447304,null,1923,null,20308,null,2397,null,30700,null,2328,null,102003,null,4606,null,26529,null,2439,null,118054,null,4457,null,35584,null,2551,null,72549,null,3389,null,41577,null,2560,null,458900,null,1708,null,14647,null,2099,null,31238,null,2518,null,115143,null,4814,null,19322,null,2299,null,131658,null,4817,null,41649,null,3176,null,78105,null,3546,null,27138,null,2145,null,0400000US16,Idaho,16
6379726,null,13610,null,3098070,null,8742,null,142791,null,7086,null,201374,null,6460,null,731123,null,12028,null,127812,null,5495,null,647220,null,11231,null,209448,null,6592,null,638235,null,10538,null,400067,null,7928,null,3281656,null,7024,null,154617,null,6502,null,189905,null,6153,null,830940,null,11017,null,98040,null,4852,null,694662,null,11317,null,274132,null,7173,null,650895,null,9493,null,388465,null,8836,null,0400000US17,Illinois,17
3680276,null,5530,null,1779366,null,4172,null,74871,null,4947,null,148950,null,5766,null,545187,null,8029,null,101557,null,4624,null,363782,null,7531,null,120474,null,5439,null,275936,null,6124,null,148609,null,4996,null,1900910,null,2986,null,71190,null,4004,null,162114,null,6062,null,598812,null,8559,null,81932,null,4539,null,401172,null,8701,null,158884,null,6080,null,274438,null,6994,null,152368,null,5074,null,0400000US18,Indiana,18
1865029,null,2731,null,898812,null,1756,null,31669,null,2573,null,51053,null,2886,null,274146,null,5661,null,39556,null,2462,null,192523,null,4936,null,84720,null,4053,null,156507,null,4472,null,68638,null,3246,null,966217,null,1949,null,27851,null,2129,null,48646,null,2990,null,283960,null,6419,null,31780,null,2466,null,219883,null,5547,null,108861,null,4475,null,178383,null,5062,null,66853,null,3685,null,0400000US19,Iowa,19
1601834,null,4948,null,776892,null,3195,null,31826,null,2470,null,43990,null,3039,null,191891,null,5628,null,37416,null,2570,null,184180,null,5707,null,48799,null,3328,null,157010,null,4795,null,81780,null,3946,null,824942,null,2794,null,25794,null,2877,null,46334,null,3077,null,197462,null,6043,null,31727,null,2445,null,208835,null,5566,null,67418,null,3439,null,164035,null,4575,null,83337,null,3836,null,0400000US20,Kansas,20
2605823,null,3866,null,1245486,null,2581,null,104659,null,4767,null,136994,null,5389,null,348543,null,7854,null,94467,null,5233,null,231964,null,7156,null,64497,null,4231,null,162938,null,5417,null,101424,null,3921,null,1360337,null,2197,null,101871,null,4144,null,130099,null,5970,null,362049,null,8790,null,93885,null,4877,null,277492,null,7428,null,104705,null,4754,null,166854,null,6223,null,123382,null,5136,null,0400000US21,Kentucky,21
1953725,null,3848,null,942031,null,2546,null,54009,null,3453,null,94599,null,5021,null,252903,null,6989,null,56246,null,3468,null,207324,null,7067,null,43315,null,3654,null,154397,null,5803,null,79238,null,4282,null,1011694,null,2456,null,52541,null,4023,null,81572,null,5044,null,306261,null,6943,null,50707,null,3623,null,209771,null,6999,null,56604,null,3350,null,178952,null,5658,null,75286,null,4364,null,0400000US22,Louisiana,22
894426,null,2091,null,426023,null,1418,null,17015,null,1573,null,29136,null,2410,null,125203,null,4801,null,23749,null,1764,null,84499,null,3568,null,35884,null,2440,null,70656,null,3685,null,39881,null,2742,null,468403,null,1289,null,15083,null,1835,null,24141,null,1911,null,136077,null,3947,null,23167,null,2328,null,93869,null,4054,null,42938,null,2723,null,85890,null,4651,null,47238,null,2911,null,0400000US23,Maine,23
2381584,null,6527,null,1146338,null,4279,null,45933,null,3493,null,71125,null,4972,null,252186,null,6374,null,38895,null,3016,null,208068,null,6363,null,60335,null,3896,null,249352,null,6314,null,220444,null,6209,null,1235246,null,3749,null,41280,null,2992,null,73677,null,4727,null,299554,null,7589,null,29925,null,2857,null,231099,null,7553,null,91605,null,4501,null,258576,null,7728,null,209530,null,6420,null,0400000US24,Maryland,24
3817667,null,7388,null,1811262,null,5054,null,65915,null,4382,null,105242,null,5304,null,440307,null,10657,null,62804,null,4275,null,295107,null,7834,null,123423,null,5927,null,414781,null,9862,null,303683,null,7004,null,2006405,null,4328,null,69280,null,4777,null,100692,null,5002,null,478237,null,9926,null,39245,null,3417,null,347725,null,8486,null,179509,null,5895,null,456406,null,9120,null,335311,null,7537,null,0400000US25,Massachusetts,25
5460690,null,5164,null,2651977,null,3442,null,89183,null,6064,null,207707,null,6624,null,702454,null,10279,null,119476,null,5470,null,637895,null,9905,null,200294,null,5568,null,430026,null,9676,null,264942,null,6889,null,2808713,null,2932,null,91392,null,4355,null,193859,null,6455,null,826751,null,8881,null,75553,null,4065,null,661916,null,10931,null,269058,null,7430,null,440099,null,7760,null,250085,null,6169,null,0400000US26,Michigan,26
3143384,null,4378,null,1538126,null,2956,null,42287,null,3593,null,73509,null,3534,null,386651,null,7420,null,57448,null,2891,null,346320,null,6787,null,142473,null,5246,null,327108,null,7434,null,162330,null,4323,null,1605258,null,2264,null,41658,null,2495,null,62699,null,3429,null,410982,null,6520,null,35654,null,2822,null,363913,null,7293,null,171332,null,5639,null,358616,null,6190,null,160404,null,4866,null,0400000US27,Minnesota,27
