B99172_001E,B99172_001EA,B99172_002E,B99172_002EA,B99172_003E,B99172_003EA,B99172_004E,B99172_004EA,B99172_005E,B99172_005EA,B99172_006E,B99172_006EA,B99172_007E,B99172_007EA,B99172_008E,B99172_008EA,B99172_009E,B99172_009EA,B99172_010E,B99172_010EA,B99172_011E,B99172_011EA,B99172_012E,B99172_012EA,B99172_013E,B99172_013EA,B99172_014E,B99172_014EA,B99172_015E,B99172_015EA,GEO_ID,NAME,state
1246056,null,123154,null,7858,null,1741,null,1801,null,4560,null,7033,null,20556,null,802627,null,23150,null,30660,null,23467,null,35334,null,59976,null,104139,null,0400000US01,Alabama,01
159940,null,7658,null,53,null,430,null,228,null,268,null,488,null,725,null,117927,null,1703,null,5937,null,3207,null,4873,null,9299,null,7144,null,0400000US02,Alaska,02
1514235,null,123847,null,5341,null,2416,null,2998,null,3275,null,6485,null,31136,null,979944,null,24139,null,33234,null,28877,null,41209,null,62654,null,168680,null,0400000US04,Arizona,04
768492,null,83722,null,3088,null,1867,null,1966,null,2752,null,3497,null,16518,null,483258,null,12094,null,20066,null,15390,null,22261,null,37066,null,64947,null,0400000US05,Arkansas,05
8366253,null,646894,null,29337,null,11134,null,15380,null,23227,null,34903,null,126536,null,5418703,null,152043,null,248034,null,198358,null,273248,null,459641,null,728815,null,0400000US06,California,06
1233139,null,85936,null,3087,null,1328,null,1621,null,1882,null,4416,null,11356,null,898188,null,18490,null,31545,null,24527,null,25606,null,41687,null,83470,null,0400000US08,Colorado,08
890530,null,42360,null,2120,null,786,null,807,null,1742,null,1974,null,9695,null,596423,null,17387,null,31232,null,20872,null,26087,null,46724,null,92321,null,0400000US09,Connecticut,09
220655,null,11062,null,696,null,605,null,440,null,276,null,217,null,2331,null,153417,null,4556,null,6699,null,4180,null,7233,null,9355,null,19588,null,0400000US10,Delaware,10
109030,null,11847,null,368,null,362,null,271,null,340,null,928,null,1849,null,65258,null,1469,null,3087,null,2110,null,3865,null,7116,null,10160,null,0400000US11,District of Columbia,11
4542466,null,353506,null,19555,null,5094,null,5949,null,7271,null,16561,null,80321,null,2922245,null,100126,null,105474,null,96903,null,130290,null,205494,null,493677,null,0400000US12,Florida,12
2370143,null,210030,null,12223,null,4172,null,4262,null,6386,null,9068,null,54807,null,1458503,null,44095,null,61071,null,41515,null,66267,null,110232,null,287512,null,0400000US13,Georgia,13
310366,null,16995,null,710,null,419,null,327,null,594,null,449,null,3787,null,201765,null,5257,null,9642,null,7921,null,12458,null,22682,null,27360,null,0400000US15,Hawaii,15
397214,null,30644,null,1096,null,581,null,445,null,802,null,1076,null,4743,null,283449,null,6672,null,11117,null,6833,null,9127,null,13346,null,27283,null,0400000US16,Idaho,16
3120138,null,220224,null,11638,null,4989,null,4750,null,6547,null,10435,null,50726,null,2062563,null,52287,null,89077,null,68295,null,88177,null,138785,null,311645,null,0400000US17,Illinois,17
1657555,null,132353,null,7355,null,2924,null,2616,null,3733,null,6830,null,22097,null,1146292,null,27656,null,42497,null,32280,null,37542,null,61869,null,131511,null,0400000US18,Indiana,18
798262,null,48798,null,1424,null,1234,null,934,null,725,null,2098,null,5967,null,586921,null,11020,null,23854,null,12249,null,18779,null,29900,null,54359,null,0400000US19,Iowa,19
722181,null,50606,null,1844,null,1161,null,789,null,1081,null,2885,null,6495,null,523741,null,10802,null,17978,null,11709,null,18522,null,27711,null,46857,null,0400000US20,Kansas,20
1146621,null,128935,null,5543,null,2820,null,2239,null,3598,null,5669,null,16173,null,760925,null,19499,null,24727,null,21334,null,26896,null,45990,null,82273,null,0400000US21,Kentucky,21
1128899,null,105017,null,6109,null,1741,null,3786,null,2754,null,6118,null,24119,null,681936,null,18279,null,27730,null,27047,null,36349,null,57085,null,130829,null,0400000US22,Louisiana,22
347561,null,22976,null,883,null,589,null,553,null,301,null,752,null,2883,null,250240,null,5110,null,11532,null,7274,null,9582,null,13144,null,21742,null,0400000US23,Maine,23
1391688,null,62767,null,3050,null,1485,null,1215,null,1868,null,3309,null,11664,null,979360,null,25821,null,46939,null,30531,null,42518,null,64850,null,116311,null,0400000US24,Maryland,24
1557057,null,77449,null,3962,null,2112,null,2246,null,1868,null,4898,null,16076,null,1037548,null,31414,null,53772,null,35760,null,53023,null,73439,null,163490,null,0400000US25,Massachusetts,25
2523758,null,207928,null,10565,null,5798,null,4101,null,6807,null,12330,null,44587,null,1683025,null,45902,null,66076,null,53286,null,60300,null,99151,null,223902,null,0400000US26,Michigan,26
1349167,null,70639,null,3481,null,1514,null,1430,null,2059,null,3380,null,12412,null,999048,null,22712,null,37522,null,24854,null,29993,null,49154,null,90969,null,0400000US27,Minnesota,27
754131,null,88655,null,5158,null,1234,null,1544,null,5057,null,6691,null,22205,null,434017,null,11561,null,18159,null,16608,null,21087,null,41837,null,80318,null,0400000US28,Mississippi,28
1543375,null,121228,null,4862,null,2194,null,3469,null,3085,null,7464,null,26170,null,1041366,null,26209,null,41275,null,28287,null,39223,null,65206,null,133337,null,0400000US29,Missouri,29
235940,null,17782,null,551,null,172,null,442,null,582,null,787,null,3113,null,158572,null,3016,null,7458,null,4314,null,6301,null,10645,null,22205,null,0400000US30,Montana,30
457966,null,29563,null,896,null,891,null,662,null,757,null,1738,null,4050,null,327819,null,7332,null,13159,null,8487,null,11496,null,18206,null,32910,null,0400000US31,Nebraska,31
632236,null,41416,null,1739,null,612,null,771,null,453,null,1551,null,10179,null,421550,null,10214,null,15814,null,12904,null,15834,null,29590,null,69609,null,0400000US32,Nevada,32
336491,null,13343,null,329,null,580,null,359,null,392,null,846,null,2823,null,242855,null,5277,null,9354,null,7842,null,9955,null,13365,null,29171,null,0400000US33,New Hampshire,33
2172031,null,105094,null,6078,null,2323,null,2426,null,3489,null,5136,null,26458,null,1451742,null,48032,null,67529,null,51559,null,65751,null,103143,null,233271,null,0400000US34,New Jersey,34
489296,null,48794,null,1655,null,1362,null,958,null,1827,null,2556,null,9309,null,306869,null,7947,null,12571,null,9694,null,14783,null,23702,null,47269,null,0400000US35,New Mexico,35
4606840,null,340748,null,22483,null,8199,null,8548,null,12055,null,17560,null,88624,null,2804231,null,84848,null,136543,null,112704,null,155566,null,251245,null,563486,null,0400000US36,New York,36
2430277,null,211307,null,9646,null,5105,null,4519,null,4899,null,10391,null,43456,null,1579925,null,42137,null,55375,null,45215,null,69508,null,114075,null,234719,null,0400000US37,North Carolina,37
172152,null,8653,null,342,null,350,null,59,null,215,null,416,null,1301,null,121385,null,2427,null,5603,null,3201,null,5021,null,6723,null,16456,null,0400000US38,North Dakota,38
2947214,null,252109,null,10403,null,3778,null,3850,null,6224,null,12914,null,38754,null,2035915,null,55462,null,76350,null,53776,null,70481,null,109845,null,217353,null,0400000US39,Ohio,39
949299,null,85611,null,3460,null,1463,null,2296,null,2136,null,4392,null,15756,null,635814,null,13285,null,24001,null,20331,null,22714,null,42221,null,75819,null,0400000US40,Oklahoma,40
956627,null,74200,null,3049,null,1092,null,1181,null,2351,null,2839,null,9503,null,679816,null,14765,null,25783,null,19415,null,21772,null,36499,null,64362,null,0400000US41,Oregon,41
3195832,null,187905,null,13022,null,4626,null,5180,null,7919,null,11152,null,45383,null,2184448,null,59370,null,92933,null,67209,null,86835,null,138229,null,291621,null,0400000US42,Pennsylvania,42
257514,null,15995,null,676,null,103,null,562,null,741,null,1146,null,2844,null,162763,null,4424,null,7766,null,6835,null,8763,null,16341,null,28555,null,0400000US44,Rhode Island,44
1163764,null,99833,null,6268,null,2239,null,2801,null,2073,null,6240,null,30294,null,713921,null,19895,null,27502,null,21700,null,32221,null,64284,null,134493,null,0400000US45,South Carolina,45
204649,null,14099,null,479,null,709,null,632,null,411,null,664,null,1499,null,146114,null,3493,null,4057,null,3822,null,5128,null,9387,null,14155,null,0400000US46,South Dakota,46
1638789,null,160059,null,7752,null,2792,null,3788,null,4999,null,8729,null,26566,null,1063794,null,31295,null,38156,null,31081,null,43374,null,73595,null,142809,null,0400000US47,Tennessee,47
5956367,null,588196,null,22521,null,11626,null,13330,null,16873,null,25864,null,121223,null,3752765,null,94055,null,142628,null,117813,null,173652,null,268457,null,607364,null,0400000US48,Texas,48
648732,null,38038,null,2321,null,911,null,826,null,860,null,2181,null,5570,null,474162,null,10595,null,19861,null,13705,null,18412,null,22389,null,38901,null,0400000US49,Utah,49
159445,null,8905,null,454,null,388,null,145,null,110,null,425,null,1217,null,113337,null,2716,null,5146,null,3791,null,5610,null,6566,null,10635,null,0400000US50,Vermont,50
1987501,null,108409,null,6675,null,2253,null,2048,null,3765,null,4588,null,20628,null,1410830,null,31956,null,56665,null,38165,null,52803,null,81617,null,167099,null,0400000US51,Virginia,51
1650519,null,104550,null,4588,null,1404,null,1499,null,2567,null,5541,null,13077,null,1216826,null,27792,null,43458,null,29633,null,36633,null,56774,null,106177,null,0400000US53,Washington,53
492279,null,50916,null,1967,null,1282,null,1230,null,1833,null,2582,null,8463,null,306750,null,8113,null,14878,null,10802,null,13300,null,21799,null,48364,null,0400000US54,West Virginia,54
