B07004F_001E,B07004F_001EA,B07004F_001M,B07004F_001MA,B07004F_002E,B07004F_002EA,B07004F_002M,B07004F_002MA,B07004F_003E,B07004F_003EA,B07004F_003M,B07004F_003MA,B07004F_004E,B07004F_004EA,B07004F_004M,B07004F_004MA,B07004F_005E,B07004F_005EA,B07004F_005M,B07004F_005MA,B07004F_006E,B07004F_006EA,B07004F_006M,B07004F_006MA,GEO_ID,NAME,state
41859,null,5285,null,32121,null,5343,null,6162,null,2138,null,507,null,526,null,1782,null,1190,null,1287,null,1501,null,0400000US01,Alabama,01
11561,null,2516,null,6677,null,1853,null,3492,null,1855,null,72,null,127,null,1203,null,707,null,117,null,142,null,0400000US02,Alaska,02
401057,null,19699,null,317469,null,17129,null,66793,null,10431,null,7239,null,2615,null,7640,null,2683,null,1916,null,950,null,0400000US04,Arizona,04
65656,null,5926,null,48510,null,5685,null,11687,null,3540,null,789,null,484,null,3936,null,2612,null,734,null,705,null,0400000US05,Arkansas,05
5005001,null,72177,null,4144332,null,69168,null,683727,null,28868,null,124858,null,11256,null,24451,null,4459,null,27633,null,3760,null,0400000US06,California,06
227046,null,15674,null,179517,null,14381,null,27537,null,5332,null,11437,null,2937,null,6566,null,2290,null,1989,null,871,null,0400000US08,Colorado,08
182282,null,11622,null,140053,null,10184,null,28421,null,5630,null,4817,null,1292,null,5475,null,1675,null,3516,null,2224,null,0400000US09,Connecticut,09
15749,null,3174,null,10623,null,2754,null,1851,null,1146,null,689,null,602,null,840,null,591,null,1746,null,1836,null,0400000US10,Delaware,10
16790,null,3641,null,14627,null,3753,null,555,null,432,null,0,null,296,null,1047,null,531,null,561,null,561,null,0400000US11,District of Columbia,11
505058,null,25649,null,404207,null,23192,null,67036,null,9022,null,17755,null,3804,null,9097,null,2219,null,6963,null,2704,null,0400000US12,Florida,12
315078,null,17849,null,235860,null,15571,null,46946,null,7697,null,17275,null,3797,null,10381,null,2502,null,4616,null,1840,null,0400000US13,Georgia,13
13199,null,2894,null,7161,null,2021,null,4508,null,1973,null,100,null,129,null,1303,null,887,null,127,null,177,null,0400000US15,Hawaii,15
27204,null,3709,null,24083,null,3542,null,1503,null,588,null,415,null,425,null,878,null,771,null,325,null,320,null,0400000US16,Idaho,16
830825,null,23276,null,725109,null,23895,null,80623,null,10781,null,10013,null,3740,null,8927,null,2786,null,6153,null,2307,null,0400000US17,Illinois,17
127920,null,7793,null,104758,null,6969,null,14183,null,3215,null,3257,null,1385,null,4814,null,1615,null,908,null,578,null,0400000US18,Indiana,18
44218,null,4612,null,34427,null,4773,null,4858,null,1950,null,1120,null,609,null,2628,null,1334,null,1185,null,953,null,0400000US19,Iowa,19
59293,null,6837,null,47718,null,6691,null,6228,null,1966,null,869,null,601,null,4171,null,1568,null,307,null,326,null,0400000US20,Kansas,20
35764,null,4931,null,23099,null,4371,null,5785,null,2429,null,1495,null,776,null,2711,null,1403,null,2674,null,1812,null,0400000US21,Kentucky,21
41986,null,4977,null,32389,null,4076,null,3043,null,1342,null,1287,null,737,null,4770,null,2209,null,497,null,339,null,0400000US22,Louisiana,22
3866,null,1343,null,3331,null,1328,null,210,null,199,null,45,null,76,null,280,null,233,null,0,null,230,null,0400000US23,Maine,23
171700,null,11113,null,138470,null,10046,null,22588,null,5285,null,5289,null,2145,null,3843,null,1696,null,1510,null,657,null,0400000US24,Maryland,24
243719,null,13328,null,184089,null,13482,null,39944,null,7153,null,9126,null,2465,null,5045,null,1889,null,5515,null,2153,null,0400000US25,Massachusetts,25
119440,null,9492,null,89542,null,6941,null,20104,null,4934,null,3035,null,965,null,4147,null,1654,null,2612,null,1567,null,0400000US26,Michigan,26
71229,null,6524,null,54926,null,6124,null,11180,null,3637,null,2687,null,1140,null,1559,null,805,null,877,null,476,null,0400000US27,Minnesota,27
23424,null,3735,null,18588,null,3414,null,1664,null,1162,null,1109,null,865,null,1221,null,634,null,842,null,831,null,0400000US28,Mississippi,28
58877,null,6085,null,46596,null,6229,null,5900,null,1742,null,1941,null,965,null,3698,null,1924,null,742,null,557,null,0400000US29,Missouri,29
7350,null,1873,null,4684,null,1743,null,1771,null,1098,null,516,null,407,null,280,null,228,null,99,null,164,null,0400000US30,Montana,30
