B19001_001E,B19001_001EA,B19001_001M,B19001_001MA,B19001_002E,B19001_002EA,B19001_002M,B19001_002MA,B19001_003E,B19001_003EA,B19001_003M,B19001_003MA,B19001_004E,B19001_004EA,B19001_004M,B19001_004MA,B19001_005E,B19001_005EA,B19001_005M,B19001_005MA,B19001_006E,B19001_006EA,B19001_006M,B19001_006MA,B19001_007E,B19001_007EA,B19001_007M,B19001_007MA,B19001_008E,B19001_008EA,B19001_008M,B19001_008MA,B19001_009E,B19001_009EA,B19001_009M,B19001_009MA,B19001_010E,B19001_010EA,B19001_010M,B19001_010MA,B19001_011E,B19001_011EA,B19001_011M,B19001_011MA,B19001_012E,B19001_012EA,B19001_012M,B19001_012MA,B19001_013E,B19001_013EA,B19001_013M,B19001_013MA,B19001_014E,B19001_014EA,B19001_014M,B19001_014MA,B19001_015E,B19001_015EA,B19001_015M,B19001_015MA,B19001_016E,B19001_016EA,B19001_016M,B19001_016MA,B19001_017E,B19001_017EA,B19001_017M,B19001_017MA,GEO_ID,NAME,state
1848051,null,10312,null,201765,null,6608,null,136194,null,5461,null,134798,null,5826,null,119524,null,4633,null,111564,null,5652,null,105836,null,5972,null,104562,null,6195,null,95839,null,4793,null,84918,null,4432,null,146422,null,5947,null,167427,null,6222,null,192497,null,5747,null,106449,null,4293,null,54623,null,3232,null,46270,null,3129,null,39363,null,2458,null,0400000US01,Alabama,01
236597,null,2353,null,9801,null,1582,null,7584,null,1243,null,8139,null,1604,null,9212,null,1359,null,9623,null,1435,null,10248,null,1529,null,9468,null,1440,null,10580,null,1432,null,11504,null,1673,null,18631,null,1805,null,26897,null,2336,null,38354,null,2963,null,26161,null,2317,null,15154,null,1633,null,14104,null,1857,null,11137,null,1397,null,0400000US02,Alaska,02
2276865,null,11778,null,176945,null,6858,null,122671,null,5629,null,125461,null,5696,null,137379,null,5678,null,130503,null,5249,null,123078,null,6208,null,122869,null,6480,null,119138,null,5113,null,108680,null,5137,null,192893,null,7711,null,242445,null,7101,null,274108,null,7822,null,163741,null,5724,null,91858,null,4993,null,75970,null,4074,null,69126,null,4135,null,0400000US04,Arizona,04
1124947,null,8066,null,120726,null,5491,null,91184,null,4184,null,84697,null,4469,null,84667,null,4952,null,75591,null,4872,null,68371,null,4399,null,64783,null,3953,null,56427,null,3124,null,56976,null,4120,null,95104,null,4855,null,101643,null,4850,null,100513,null,4552,null,57084,null,3275,null,26269,null,2178,null,20984,null,1872,null,19928,null,1963,null,0400000US05,Arkansas,05
12214891,null,20992,null,695403,null,12091,null,649202,null,14056,null,583735,null,14032,null,601302,null,13166,null,584763,null,12232,null,550676,null,11991,null,557993,null,12957,null,518167,null,10772,null,521499,null,12968,null,948345,null,13661,null,1206377,null,18204,null,1547756,null,21144,null,1085712,null,17002,null,693943,null,13153,null,748264,null,13543,null,721754,null,12308,null,0400000US06,California,06
1910146,null,9468,null,128321,null,6003,null,93428,null,5406,null,92331,null,4728,null,94712,null,4598,null,93705,null,4659,null,92484,null,5241,null,92055,null,4873,null,95790,null,5349,null,81130,null,4410,null,158819,null,6049,null,201706,null,7586,null,252161,null,7456,null,165773,null,5929,null,95643,null,4430,null,93588,null,3686,null,78500,null,3780,null,0400000US08,Colorado,08
1326329,null,5869,null,78653,null,5079,null,53967,null,3610,null,52843,null,3691,null,57479,null,3594,null,54250,null,3810,null,49076,null,3642,null,53035,null,3537,null,50772,null,3860,null,52345,null,3661,null,95621,null,4769,null,133968,null,4986,null,176454,null,6074,null,136585,null,4731,null,84884,null,4323,null,92058,null,4754,null,104339,null,5021,null,0400000US09,Connecticut,09
327252,null,4316,null,17477,null,2026,null,14685,null,1989,null,14753,null,1786,null,19012,null,2763,null,16045,null,1791,null,16480,null,1784,null,15496,null,2165,null,15018,null,1787,null,13830,null,1890,null,30582,null,2670,null,35166,null,3029,null,43741,null,2926,null,28295,null,1883,null,18017,null,1807,null,16072,null,1771,null,12583,null,1511,null,0400000US10,Delaware,10
249280,null,3172,null,28804,null,2706,null,11929,null,1652,null,9982,null,1585,null,9382,null,1662,null,9304,null,1656,null,10403,null,1753,null,10682,null,1782,null,10139,null,1343,null,7653,null,1206,null,17590,null,1934,null,20622,null,2238,null,27231,null,2301,null,18769,null,2361,null,13547,null,1784,null,18108,null,1935,null,25135,null,1895,null,0400000US11,District of Columbia,11
6987647,null,25717,null,558840,null,12611,null,420306,null,9052,null,438757,null,10143,null,449084,null,11755,null,431983,null,11572,null,419393,null,12635,null,414777,null,10451,null,379717,null,10790,null,347434,null,9202,null,583638,null,14072,null,704962,null,11053,null,747850,null,12642,null,429354,null,11461,null,231761,null,7252,null,214297,null,6831,null,215494,null,7186,null,0400000US12,Florida,12
