C25074_001E,C25074_001EA,C25074_001M,C25074_001MA,C25074_002E,C25074_002EA,C25074_002M,C25074_002MA,C25074_003E,C25074_003EA,C25074_003M,C25074_003MA,C25074_004E,C25074_004EA,C25074_004M,C25074_004MA,C25074_005E,C25074_005EA,C25074_005M,C25074_005MA,C25074_006E,C25074_006EA,C25074_006M,C25074_006MA,C25074_007E,C25074_007EA,C25074_007M,C25074_007MA,C25074_008E,C25074_008EA,C25074_008M,C25074_008MA,C25074_009E,C25074_009EA,C25074_009M,C25074_009MA,C25074_010E,C25074_010EA,C25074_010M,C25074_010MA,C25074_011E,C25074_011EA,C25074_011M,C25074_011MA,C25074_012E,C25074_012EA,C25074_012M,C25074_012MA,C25074_013E,C25074_013EA,C25074_013M,C25074_013MA,C25074_014E,C25074_014EA,C25074_014M,C25074_014MA,C25074_015E,C25074_015EA,C25074_015M,C25074_015MA,C25074_016E,C25074_016EA,C25074_016M,C25074_016MA,C25074_017E,C25074_017EA,C25074_017M,C25074_017MA,C25074_018E,C25074_018EA,C25074_018M,C25074_018MA,C25074_019E,C25074_019EA,C25074_019M,C25074_019MA,C25074_020E,C25074_020EA,C25074_020M,C25074_020MA,C25074_021E,C25074_021EA,C25074_021M,C25074_021MA,C25074_022E,C25074_022EA,C25074_022M,C25074_022MA,C25074_023E,C25074_023EA,C25074_023M,C25074_023MA,C25074_024E,C25074_024EA,C25074_024M,C25074_024MA,C25074_025E,C25074_025EA,C25074_025M,C25074_025MA,GEO_ID,NAME,state
562172,null,10797,null,124032,null,5374,null,7857,null,1549,null,84440,null,5012,null,31735,null,2907,null,127699,null,6028,null,20120,null,2586,null,90816,null,5059,null,16763,null,2017,null,128393,null,5940,null,56029,null,4116,null,58179,null,4493,null,14185,null,1702,null,84510,null,6059,null,64185,null,4771,null,12389,null,2326,null,7936,null,1474,null,56710,null,3591,null,48751,null,3543,null,2352,null,808,null,5607,null,1073,null,40828,null,3250,null,36170,null,3170,null,276,null,223,null,4382,null,1035,null,0400000US01,Alabama,01
82260,null,3476,null,4985,null,1138,null,225,null,346,null,3756,null,909,null,1004,null,394,null,9593,null,1722,null,1010,null,409,null,7601,null,1606,null,982,null,406,null,15083,null,1901,null,3993,null,890,null,9736,null,1746,null,1354,null,501,null,15368,null,2027,null,8010,null,1524,null,5170,null,1294,null,2188,null,664,null,17239,null,2188,null,12319,null,1730,null,3136,null,910,null,1784,null,584,null,19992,null,1968,null,17921,null,2025,null,669,null,447,null,1402,null,430,null,0400000US02,Alaska,02
750075,null,11978,null,106018,null,6017,null,4210,null,1142,null,75510,null,5408,null,26298,null,2549,null,123602,null,5752,null,8839,null,1446,null,107183,null,5127,null,7580,null,1513,null,170908,null,7358,null,48459,null,4260,null,114973,null,5866,null,7476,null,1387,null,126339,null,7544,null,77076,null,5235,null,44199,null,4182,null,5064,null,1178,null,122507,null,6381,null,100929,null,5316,null,15796,null,2767,null,5782,null,1147,null,100701,null,5605,null,94911,null,5003,null,2175,null,1032,null,3615,null,1076,null,0400000US04,Arizona,04
382087,null,9861,null,79184,null,5214,null,4698,null,1172,null,58878,null,4302,null,15608,null,2229,null,90128,null,4863,null,17267,null,2209,null,63992,null,4144,null,8869,null,1446,null,92390,null,5634,null,48143,null,4052,null,35835,null,3826,null,8412,null,1343,null,57338,null,4271,null,47674,null,3904,null,4205,null,1151,null,5459,null,962,null,40968,null,3553,null,36134,null,3589,null,716,null,515,null,4118,null,1024,null,22079,null,2548,null,20005,null,2423,null,65,null,109,null,2009,null,648,null,0400000US05,Arkansas,05
5304837,null,27827,null,499901,null,11511,null,15844,null,1621,null,374744,null,10821,null,109313,null,6055,null,849426,null,16148,null,90685,null,4167,null,727162,null,15540,null,31579,null,2690,null,1024312,null,18425,null,146998,null,6324,null,844794,null,15873,null,32520,null,2438,null,837942,null,15357,null,331571,null,10930,null,480972,null,10940,null,25399,null,2327,null,927060,null,16665,null,616953,null,13257,null,287357,null,9624,null,22750,null,2608,null,1166196,null,18750,null,1053778,null,18014,null,83921,null,5016,null,28497,null,2651,null,0400000US06,California,06
630191,null,8889,null,89408,null,5586,null,5017,null,1003,null,63697,null,4191,null,20694,null,3037,null,112033,null,6534,null,8796,null,1211,null,98674,null,5902,null,4563,null,1172,null,144699,null,5613,null,43902,null,3449,null,96760,null,4885,null,4037,null,1028,null,106449,null,4967,null,66280,null,3890,null,36496,null,3519,null,3673,null,961,null,96497,null,5041,null,81244,null,4240,null,12126,null,2229,null,3127,null,868,null,81105,null,5382,null,75763,null,5215,null,2662,null,913,null,2680,null,929,null,0400000US08,Colorado,08
413163,null,7387,null,62130,null,4576,null,4894,null,1045,null,46639,null,4203,null,10597,null,1852,null,66283,null,3437,null,11225,null,1445,null,52223,null,3112,null,2835,null,701,null,80489,null,4297,null,15871,null,2039,null,61470,null,4276,null,3148,null,928,null,62514,null,4352,null,32386,null,2926,null,27712,null,2976,null,2416,null,778,null,69972,null,4484,null,54239,null,4128,null,13089,null,2177,null,2644,null,760,null,71775,null,3749,null,65020,null,3587,null,3026,null,937,null,3729,null,955,null,0400000US09,Connecticut,09
86344,null,3763,null,10217,null,1638,null,420,null,271,null,8350,null,1575,null,1447,null,510,null,13685,null,2201,null,1937,null,651,null,11258,null,1927,null,490,null,301,null,21223,null,2558,null,4601,null,1212,null,15630,null,2090,null,992,null,494,null,12850,null,1875,null,6930,null,1690,null,5242,null,1029,null,678,null,379,null,15478,null,2259,null,12752,null,2052,null,2085,null,705,null,641,null,427,null,12891,null,1803,null,11906,null,1750,null,554,null,473,null,431,null,325,null,0400000US10,Delaware,10
137662,null,3905,null,24608,null,2609,null,2617,null,929,null,17845,null,2175,null,4146,null,984,null,17551,null,2170,null,3866,null,1086,null,13280,null,1934,null,405,null,316,null,21555,null,2617,null,5388,null,1341,null,15547,null,2378,null,620,null,406,null,18907,null,2044,null,9457,null,1484,null,9133,null,1789,null,317,null,214,null,21220,null,2163,null,15258,null,1818,null,5694,null,1157,null,268,null,202,null,33821,null,2604,null,29949,null,2435,null,2754,null,862,null,1118,null,604,null,0400000US11,District of Columbia,11
2202583,null,21786,null,311940,null,10521,null,16529,null,2044,null,223845,null,9393,null,71566,null,4922,null,409722,null,10150,null,29830,null,2726,null,354790,null,9028,null,25102,null,2753,null,518139,null,14161,null,84322,null,5739,null,408445,null,11499,null,25372,null,2697,null,389942,null,11110,null,204120,null,8768,null,169681,null,7372,null,16141,null,2373,null,331460,null,10444,null,255658,null,8383,null,61400,null,4859,null,14402,null,2227,null,241380,null,8868,null,220391,null,8671,null,12125,null,2345,null,8864,null,1719,null,0400000US12,Florida,12
1143333,null,15579,null,197104,null,7219,null,15232,null,2044,null,131259,null,6220,null,50613,null,3996,null,227175,null,8896,null,27263,null,2731,null,184671,null,7702,null,15241,null,1796,null,266539,null,8254,null,81507,null,4999,null,170635,null,7065,null,14397,null,2138,null,170749,null,7266,null,118071,null,5832,null,45510,null,4243,null,7168,null,1278,null,167023,null,8289,null,145942,null,7430,null,11244,null,2008,null,9837,null,2012,null,114743,null,5095,null,107491,null,4820,null,1422,null,616,null,5830,null,1256,null,0400000US13,Georgia,13
193255,null,6159,null,17672,null,2227,null,1299,null,580,null,11342,null,1620,null,5031,null,1474,null,23052,null,2974,null,3388,null,954,null,18606,null,2762,null,1058,null,471,null,35474,null,3557,null,4894,null,1097,null,27608,null,3012,null,2972,null,920,null,31188,null,3236,null,9677,null,1612,null,20050,null,2993,null,1461,null,631,null,36818,null,3303,null,18373,null,2468,null,15504,null,2354,null,2941,null,835,null,49051,null,3726,null,38468,null,3184,null,8058,null,1802,null,2525,null,786,null,0400000US15,Hawaii,15
158968,null,5233,null,22317,null,2280,null,1475,null,586,null,17062,null,1824,null,3780,null,1018,null,33770,null,2905,null,4008,null,846,null,26907,null,2574,null,2855,null,790,null,43634,null,3033,null,19005,null,2079,null,21140,null,2400,null,3489,null,854,null,25955,null,2393,null,19823,null,2064,null,4235,null,1036,null,1897,null,627,null,20865,null,2494,null,19006,null,2315,null,621,null,396,null,1238,null,475,null,12427,null,1818,null,11211,null,1741,null,59,null,100,null,1157,null,560,null,0400000US16,Idaho,16
1522387,null,14245,null,248492,null,8456,null,16684,null,1910,null,177422,null,7419,null,54386,null,3839,null,289840,null,9343,null,39544,null,3048,null,237532,null,8754,null,12764,null,1646,null,323976,null,8462,null,99353,null,5389,null,211232,null,7673,null,13391,null,1699,null,231184,null,7436,null,159257,null,6178,null,63384,null,4529,null,8543,null,1371,null,230984,null,7770,null,196190,null,7312,null,24675,null,2690,null,10119,null,1554,null,197911,null,7522,null,182754,null,7132,null,6985,null,1693,null,8172,null,1262,null,0400000US17,Illinois,17
732717,null,11039,null,133533,null,6158,null,9429,null,1615,null,97440,null,5385,null,26664,null,2842,null,156833,null,6381,null,22209,null,2631,null,125727,null,5778,null,8897,null,1482,null,179447,null,7555,null,79174,null,5551,null,90782,null,4715,null,9491,null,1319,null,117444,null,5963,null,96875,null,5476,null,14294,null,1966,null,6275,null,1283,null,92715,null,5026,null,84127,null,5070,null,3067,null,1047,null,5521,null,1222,null,52745,null,3240,null,48238,null,3132,null,565,null,451,null,3942,null,823,null,0400000US18,Indiana,18
342503,null,6969,null,55630,null,3749,null,4407,null,1061,null,42493,null,3232,null,8730,null,1584,null,77278,null,4218,null,16501,null,1922,null,57075,null,4110,null,3702,null,717,null,84685,null,4229,null,47667,null,3199,null,31861,null,2730,null,5157,null,1096,null,57464,null,3501,null,48400,null,3588,null,5361,null,1249,null,3703,null,1122,null,40901,null,2791,null,36898,null,2823,null,836,null,411,null,3167,null,649,null,26545,null,2571,null,22751,null,2393,null,131,null,127,null,3663,null,831,null,0400000US19,Iowa,19
