B20017A_001E,B20017A_001EA,B20017A_001M,B20017A_001MA,B20017A_002E,B20017A_002EA,B20017A_002M,B20017A_002MA,B20017A_003E,B20017A_003EA,B20017A_003M,B20017A_003MA,B20017A_004E,B20017A_004EA,B20017A_004M,B20017A_004MA,B20017A_005E,B20017A_005EA,B20017A_005M,B20017A_005MA,B20017A_006E,B20017A_006EA,B20017A_006M,B20017A_006MA,B20017A_007E,B20017A_007EA,B20017A_007M,B20017A_007MA,GEO_ID,NAME,state
28314,null,397,null,34217,null,742,null,44984,null,939,null,10600,null,562,null,21758,null,483,null,33360,null,652,null,7896,null,396,null,0400000US01,Alabama,01
36433,null,1261,null,43418,null,1398,null,55515,null,2149,null,18979,null,1666,null,28365,null,1696,null,41228,null,1494,null,12462,null,1287,null,0400000US02,Alaska,02
28612,null,267,null,32497,null,573,null,43142,null,653,null,12111,null,491,null,24522,null,364,null,35716,null,558,null,10223,null,327,null,0400000US04,Arizona,04
25363,null,459,null,29859,null,510,null,38158,null,720,null,10430,null,587,null,20901,null,531,null,29483,null,544,null,8625,null,394,null,0400000US05,Arkansas,05
31553,null,214,null,37217,null,370,null,52021,null,413,null,13844,null,202,null,26496,null,333,null,42256,null,366,null,11346,null,136,null,0400000US06,California,06
30413,null,359,null,36563,null,748,null,49266,null,481,null,11764,null,456,null,25254,null,529,null,38992,null,442,null,10076,null,297,null,0400000US08,Colorado,08
38423,null,514,null,48236,null,600,null,62260,null,914,null,12191,null,493,null,30350,null,637,null,46646,null,1046,null,12105,null,404,null,0400000US09,Connecticut,09
32113,null,1150,null,39473,null,932,null,49621,null,1310,null,11982,null,899,null,26799,null,1154,null,39456,null,1646,null,9530,null,639,null,0400000US10,Delaware,10
60032,null,1907,null,67509,null,6188,null,86733,null,4697,null,18538,null,2767,null,52309,null,3750,null,68370,null,3491,null,16686,null,3193,null,0400000US11,District of Columbia,11
27386,null,201,null,30798,null,267,null,41002,null,364,null,11602,null,199,null,23770,null,223,null,33808,null,381,null,10297,null,165,null,0400000US12,Florida,12
30604,null,303,null,37074,null,559,null,48937,null,446,null,11329,null,392,null,24976,null,402,null,37163,null,520,null,9254,null,251,null,0400000US13,Georgia,13
35503,null,1418,null,40434,null,1995,null,50440,null,1747,null,14855,null,2404,null,28310,null,1378,null,40203,null,2316,null,12988,null,1944,null,0400000US15,Hawaii,15
22933,null,461,null,29027,null,596,null,40990,null,792,null,10580,null,674,null,18086,null,486,null,29537,null,753,null,7636,null,429,null,0400000US16,Idaho,16
31408,null,238,null,39111,null,344,null,52082,null,452,null,11753,null,249,null,24742,null,253,null,38974,null,283,null,9806,null,170,null,0400000US17,Illinois,17
