B07004B_001E,B07004B_001EA,B07004B_001M,B07004B_001MA,B07004B_002E,B07004B_002EA,B07004B_002M,B07004B_002MA,B07004B_003E,B07004B_003EA,B07004B_003M,B07004B_003MA,B07004B_004E,B07004B_004EA,B07004B_004M,B07004B_004MA,B07004B_005E,B07004B_005EA,B07004B_005M,B07004B_005MA,B07004B_006E,B07004B_006EA,B07004B_006M,B07004B_006MA,GEO_ID,NAME,state
1212219,null,5549,null,983047,null,12274,null,164613,null,10330,null,36051,null,5001,null,25869,null,4435,null,2639,null,1324,null,0400000US01,Alabama,01
26841,null,1515,null,19957,null,2323,null,3009,null,1117,null,377,null,336,null,3498,null,1895,null,0,null,244,null,0400000US02,Alaska,02
250113,null,7263,null,160498,null,9903,null,65240,null,7301,null,5354,null,2911,null,16713,null,4447,null,2308,null,1116,null,0400000US04,Arizona,04
441463,null,5290,null,349997,null,9871,null,61670,null,7335,null,15194,null,2707,null,13470,null,3953,null,1132,null,866,null,0400000US05,Arkansas,05
2221605,null,13448,null,1762017,null,19552,null,331221,null,14942,null,86340,null,6864,null,33742,null,5311,null,8285,null,3630,null,0400000US06,California,06
191061,null,5464,null,146250,null,6217,null,23750,null,4537,null,15126,null,3338,null,4878,null,1650,null,1057,null,524,null,0400000US08,Colorado,08
333227,null,5316,null,278549,null,6836,null,34697,null,5390,null,6259,null,1259,null,9768,null,2996,null,3954,null,1673,null,0400000US09,Connecticut,09
180767,null,3344,null,141630,null,6375,null,26008,null,5107,null,2600,null,1286,null,9904,null,3748,null,625,null,489,null,0400000US10,Delaware,10
315856,null,2223,null,275029,null,5570,null,27599,null,4682,null,0,null,296,null,11968,null,2702,null,1260,null,784,null,0400000US11,District of Columbia,11
2853916,null,17546,null,2263255,null,25479,null,414205,null,22650,null,109237,null,9423,null,50300,null,6695,null,16919,null,4034,null,0400000US12,Florida,12
2897989,null,12916,null,2307095,null,28695,null,338502,null,21732,null,166964,null,12868,null,77225,null,7363,null,8203,null,2704,null,0400000US13,Georgia,13
28599,null,3580,null,17095,null,3391,null,6429,null,2341,null,338,null,439,null,2755,null,1807,null,1982,null,1539,null,0400000US15,Hawaii,15
10012,null,1878,null,7053,null,2016,null,825,null,449,null,423,null,414,null,221,null,191,null,1490,null,1642,null,0400000US16,Idaho,16
1851156,null,9705,null,1504759,null,15948,null,270226,null,13868,null,46200,null,6090,null,26206,null,4519,null,3765,null,1444,null,0400000US17,Illinois,17
559141,null,5617,null,426897,null,10043,null,90259,null,8693,null,17602,null,3662,null,23131,null,3917,null,1252,null,610,null,0400000US18,Indiana,18
75227,null,3513,null,50913,null,4493,null,14099,null,2769,null,3288,null,884,null,6366,null,1680,null,561,null,513,null,0400000US19,Iowa,19
